"Date","volETH","totalValueLockedUSD","bridgeVolume","weightedAverageEthAPY","weightedAverageStablecoinAPY","weightedAverageGasPrice","weightedAverageTxFee","dailyBorrowUSD","dailyDepositUSD","dailyRepayUSD","dailyWithdrawUSD","dailyFlashloanUSD","dailyLiquidateUSD","totalBorrowBalanceUSD","totalDepositBalanceUSD","dailyTotalRevenueUSD","dailyTransferUSD","dailyActiveBorrowers","dailyActiveDepositors","dailyActiveUsers","dailyActiveTxSigners","dailyActiveLiquidatees","dailyActiveLiquidators","dailyActivePositions","dailyBorrowCount","dailyDepositCount","dailyFlashloanCount","dailyLiquidateCount","dailyRepayCount","dailyTransactionCount","dailyTransferCount","dailyWithdrawCount","openPositionCount","bridgeHack","lendingHack","tokenization","marketCollapse","bridgeIntegrations","mainnet","FGI","ETHreturn","CER"
"2022-10-17",0.015205933900958,1409811329,802304.9055,1.53774452105454,2.83602274910393,-0.25192748766164,-0.0533003406358328,111468304.4,109920832.7,14943479.06,51341853.26,1093610.16,793.7284575,623007612.7,1409811329,62262.99993885,7175367.428,1398,2716,4887,9253,9,4,0,3212,12723,216,10,1153,27288,3968,6006,1682798,0,0,0,0,0,0,20,0.0190899478429625,1.01407805656116
"2022-10-18",0.016440377524022,1550346271,82087170.1,1.53489095825164,2.75393539494548,0.0561862185343896,0.00624635196000337,208586748.9,224563259.6,9038375.52,27895803.3,1128519.021,7129.951803,766618592.2,1550346271,57565.4270878,11341257.67,2023,6923,8946,13237,22,11,0,6042,18509,257,23,1530,36648,3790,6497,1686906,0,0,0,0,1,0,22,-0.0153754263827945,0.928855188829829
"2022-10-19",0.018038580717203,1509923441,72055705.67,1.54875504369984,2.69677643879666,-0.0692569117526521,0.0309550135551253,44608431.78,63106889.7,13707905.32,50543484.96,1648482.69,2239.350629,729409799.8,1509923441,57766.38337111,7341506.876,6732,8176,10328,14046,7,5,0,9181,19839,156,7,1719,40654,3937,5815,1694677,0,0,0,0,1,0,23,-0.019637552159919,0.706871024575309
"2022-10-20",0.0179361571357163,1506149219,19205386.91,1.58123775790283,2.73773204761098,0.101078954701443,-0.00587951834685833,15464743.06,30171132.34,1880898.463,21282778.94,751207.0339,1188.037507,728204578.4,1506149219,55775.91895595,5818254.153,1237,2151,4549,7820,6,6,0,3024,10883,174,6,729,23133,3293,5024,1697165,0,0,0,0,0,0,23,-0.00190795910211427,0.512567539253318
"2022-10-21",0.0184812617697314,1508854144,33254353.23,1.60834586757291,2.8072800272737,0.0866673149233606,0.0639830182180182,6631419.866,20059340.7,5821272.163,20484237.96,1985111.172,613.4097844,725746308.7,1508854144,56111.56943121,9603244.154,1242,2293,4645,8427,20,6,0,3322,11690,232,20,1392,25412,2987,5769,1699945,0,0,0,0,0,0,23,0.0130798765590709,0.330590120840811
"2022-10-22",0.0170065768180759,1523768763,21591630.87,1.50729039953202,2.90839688802339,0.0730567543854856,-0.0233031661964544,27362701.33,33668563.15,5606804.18,21632652.64,1317280.954,1004.078002,746396848.6,1523768763,58041.90590212,8349593.893,1575,8719,11143,15636,8,5,0,4129,21773,205,8,1297,35347,2655,5280,1704913,0,0,0,0,0,0,20,0.0106222778829714,0.812707724059796
"2022-10-23",0.0200639356977468,1608691006,5117333.801,1.5830330347641,2.86465759169732,-0.0834103836319052,-0.0142820912844698,85010966.02,106495334.4,10203250.81,37693215.55,14585056.36,1032179.139,818869487.4,1608691006,83513.16738462,6650807.265,1765,4982,7558,14635,35,16,0,5438,22520,219,37,1196,40155,4192,6553,1709569,0,0,0,0,0,0,23,0.037560996752509,0.798260003585659
"2022-10-24",0.0205203858839807,1620402421,15442984.12,1.6271902146294,2.99691214816683,-0.134674478056976,-0.0803476260707421,22362933.53,41115142.45,5532043.34,25093905.7,652482.8915,13598.1682,830048783.2,1620402421,65047.75374539,7553774.011,1579,3694,6597,12548,10,6,0,6308,20615,178,11,985,38208,4149,5962,1713854,0,0,0,0,0,0,22,-0.0148019542743727,0.543909912441517
"2022-10-25",0.0352956548297818,1635736597,26828221.92,1.69223867735106,3.09437286311963,0.147528040231451,0.0208205797972316,29540880.45,56539209.8,5959715.359,63344177.51,2608529.066,458287.6313,829213855.2,1635736597,67693.4261014,15655104.32,1613,2684,5856,10342,55,20,0,5804,15831,347,63,1163,35758,5123,7427,1716613,0,0,0,0,0,0,20,0.0826014731796896,0.522484848205289
"2022-10-26",0.0368027799419273,1864121492,64822302.78,1.70912729319415,3.05978447743423,0.0655005926923284,0.012542502314842,240662443.4,267386196.5,8248818.569,45994893.36,2318143.399,442429.7228,1037796887,1864121492,77697.49640954,19284684.04,1772,2213,6038,9883,35,17,0,6612,15783,399,71,1262,36004,4510,7367,1719849,0,0,0,0,0,0,33,0.070464337905995,0.900055599541766
"2022-10-27",0.042651071072082,1986632409,46801239.14,1.71441950883584,3.18557954548457,-0.0279738906317393,0.0284125396768726,158038561.3,209592424.4,6192816.878,35357336.48,2847078.454,5824.036669,1142366466,1986632409,92112.35322734,13472121.2,2075,2081,9692,13801,41,7,0,10238,24071,294,42,985,47264,4256,7378,1724581,0,0,0,0,0,0,32,-0.033746120968293,0.754028022493737
"2022-10-28",0.0423951127309851,1984950261,23098135.52,1.76625367890518,3.10686889185746,0.0773957338614179,-0.00886412211892062,9875346.262,25845807.09,9350436.933,31004212.89,1476703.259,41.1833699,1130942025,1984950261,99781.63949606,10406593.92,1948,1918,9144,13243,5,4,0,9921,23793,413,5,856,46261,4322,6951,1729873,0,0,0,0,0,0,30,0.0262540090026828,0.38208697556289
"2022-10-29",0.0421691604023194,2014996461,21888967.32,1.62803734119381,3.12811073308132,0.112388022759397,0.0406403069117089,19147187.15,45975290.29,7056533.229,27950304.03,1449038.928,55815.12137,1137833634,2014996461,98965.68876937,10021888.48,1832,1989,7383,10609,25,11,0,8505,19848,547,30,1076,40157,3733,6418,1734645,0,0,0,0,0,0,34,0.0411001213877782,0.416466911447967
"2022-10-30",0.0456119467828495,1612349374,20810279.96,0.758601420551706,2.73248652792281,-0.161264723392384,-0.0380314682703292,7773619.807,38929140.26,101569634.6,52391102.65,712442.0839,7802.187581,749590602.6,1612349374,95809.73287852,11150554.79,2066,1937,7468,11189,6,4,0,7995,19740,506,6,1016,41300,4654,7383,1739950,0,0,0,0,0,0,34,-0.0182052028722301,0.199686398288828
"2022-10-31",0.0451355708801705,1291944589,19930964.58,0.739212261651586,2.44720592890606,-0.0505618857551675,0.0302802140191871,12652744.99,33206611.41,72781201.59,114156527.5,1994276.589,24049.42085,466404601.8,1291944589,39527.428684,16729415.64,8365,7951,12681,16086,11,9,0,13277,23051,424,11,2197,51973,4472,8541,1755910,0,0,0,0,0,0,31,-0.0111148784750989,0.381030898750171
"2022-11-01",0.0366594077280677,1282156165,24871604.36,0.620517729223401,1.60208719578915,0.00249875286754234,-0.13714731378581,21663837.43,35464059.37,23224714.86,50199301.72,893659.4319,1879.979673,464390892.1,1282156165,34098.56182483,12378904.8,3567,3651,8914,13008,10,9,0,8017,18876,303,11,1811,43328,5933,8377,1763746,0,0,0,0,0,0,30,0.00428228141529807,0.610867391236267
"2022-11-02",0.0299653654346151,1091417221,18808625.94,0.660143685342376,1.51250353826861,0.107842185259952,0.103847350217739,46810513.06,70509081.61,151145318.8,239491340.6,2399784.03,59393.01544,336156524.4,1091417221,32891.831344,23184313.9,10982,10957,16100,20178,28,15,0,17938,29995,560,30,3309,68998,6738,10428,1776998,0,0,0,0,0,0,30,-0.0391184165954712,0.663893387789653
"2022-11-03",0.0271624773272272,1039840830,58245700.47,0.590489511768546,1.53599765666165,-0.358615003413324,-0.218982113834539,41359631.84,53648284.26,31972804.46,104509393,1542871.233,8745.121446,329414965.6,1039840830,28972.80518312,22389072.95,10111,9706,15396,18604,34,11,0,16558,26638,507,40,3294,64127,6970,10120,1787107,0,0,0,0,0,0,30,0.00789481235869882,0.770940439391416
"2022-11-04",0.0375247497393403,1071711049,28996857.48,0.599647252955624,1.64688486343049,0.221007488206843,0.161195470284132,35478329.89,70946661.29,12376025.62,76129891.47,4099339.971,593408.2307,343652858.2,1071711049,32808.25227616,35987488.75,4216,4283,8640,12070,114,22,0,10337,20489,516,139,2295,50268,6447,10045,1793076,0,0,0,0,0,0,30,0.0717730944866988,0.500070464838078
"2022-11-05",0.0349632087147769,1044855344,22155255.97,0.376454141531411,1.6214607399507,0.119528277340608,0.0282505838472638,33215844.21,44327173.86,42400168.15,70674674.23,1968157.795,167051.7517,323082032,1044855344,29999.48076606,44722708.2,3888,4586,9015,13330,58,16,0,8688,19555,507,64,1882,43182,4786,7700,1800038,0,0,0,0,0,0,38,-0.0109656119443198,0.749333677687342
"2022-11-06",0.0370138448262451,1034027684,19921006.65,0.392008293301309,1.571508037204,-0.123446298020228,-0.07737587189181,30985416.01,39201964.04,19638651.45,36052811.7,1260317.776,1333.228998,326985344.3,1034027684,28928.56141731,14852703.57,3580,7615,11974,16004,16,11,0,7514,21965,493,16,1826,44676,5037,7825,1809822,0,0,0,1,0,0,40,-0.0351576111926466,0.790404684275099
"2022-11-07",0.0367907409875979,1062420094,47041921.41,0.684914769820907,2.42241115999383,-0.426890810216417,-0.330807137641974,51189353.46,77051942.42,19871150.21,50133525.23,3041053.078,30866.93222,345883360.4,1062420094,33111.08538797,11150112.61,3228,4303,8072,12506,47,16,0,8284,19016,647,47,1788,45061,6413,8866,1816380,1,0,0,0,0,0,33,-0.00209659046411836,0.664348643944283
