"Date","volETH","totalValueLockedUSD","bridgeVolume","dailyBorrowUSD","dailyDepositUSD","dailyRepayUSD","dailyWithdrawUSD","dailyFlashloanUSD","dailyLiquidateUSD","totalBorrowBalanceUSD","totalDepositBalanceUSD","dailyTotalRevenueUSD","dailyTransferUSD","dailyActiveBorrowers","dailyActiveDepositors","dailyActiveUsers","dailyActiveTxSigners","dailyActiveLiquidatees","dailyActiveLiquidators","dailyActivePositions","dailyBorrowCount","dailyDepositCount","dailyFlashloanCount","dailyLiquidateCount","dailyRepayCount","dailyTransactionCount","dailyTransferCount","dailyWithdrawCount","openPositionCount","weightedAverageGasPrice","weightedAverageTxFee","weightedAverageEthAPY","weightedAverageStablecoinAPY","bridgeHack","lendingHack","tokenization","marketCollapse","bridgeIntegrations","mainnet","FGI","ETHreturn","CER"
"2022-10-17",0.015205933900958,21330220583,25091983.4155,269257319.108,437452563.66,121022610.334,498240593.77,1466177.73219,1097.3319615,10179314550.9,21330220583,335995.96216299,16692277.271,1770,3137,6168,10702,14,9,0,3869,14651,298,15,1503,32461,4876,7368,1905274,0.366019206977698,0.300176921298546,0.814584372077592,1.49308343277263,0,0,0,0,0,0,20,0.0190899478429625,0.615512038277307
"2022-10-18",0.016440377524022,21358765495,190481726.16,309302287.9,414150222.4,82856293.15,243687071.02,1863489.9799,7404.91378879,10283125948.5,21358765495,311674.578155652,29526283.861,2364,7317,10081,14478,28,14,0,6713,20253,398,29,1945,41623,4530,7852,1909489,0.0536872229185698,0.0618424114777707,0.82419478312127,1.47873283812818,0,0,0,0,1,0,22,-0.0153754263827945,0.746835981658041
"2022-10-19",0.018038580717203,20950757224,151891631.341,138910964.983,208320195.36,259061047.4,425857763.12,2101061.2509,17621.2037376,10039530053.8,20950757224,311928.78776541,51972106.012,7072,8570,11561,15381,14,12,0,9773,21478,259,14,2206,45605,4748,7274,1917326,0.100553906693995,0.0444689337173862,0.824025414137439,1.46369783382199,0,0,0,0,1,0,23,-0.019637552159919,0.666814682767298
"2022-10-20",0.0179361571357163,20742585346,61438088.85,94941820.58,154957794.95,116572028.983,266912432.58,1056991.03396,3580.6375703,9953394870.5,20742585346,296399.69603758,19867608.543,1551,2483,5687,9171,13,12,0,3635,12683,254,13,1122,28299,4291,6447,1919871,0.0627515289051208,0.074058826971365,0.845042026323394,1.47210340375934,0,0,0,0,0,0,23,-0.00190795910211427,0.612694705746392
"2022-10-21",0.0184812617697314,20656165570,74487089.101,151234188.469,285173179.78,110260256.718,430102412.54,2494328.4072,17599.0766874,9914752737.1,20656165570,316257.091679849,39439957.914,1549,2650,5861,9809,45,18,0,3934,13739,325,66,1855,31487,4159,7511,1922706,-0.0123077110452416,0.0249277439518487,0.847447987805897,1.49066663732456,0,0,0,0,0,0,23,0.0130798765590709,0.530324024810718
"2022-10-22",0.0170065768180759,20743096484,44623682.0032,89608904.696,130759548.397,34207712.847,126581356.548,1545087.55444,1796.0309653,9950297262.5,20743096484,292287.408510192,23353133.823,1889,9070,12250,16831,14,9,0,4689,23318,269,15,1599,39345,3219,6304,1927819,-0.386281640510518,-0.289479368301735,0.812928164689265,1.52877263269128,0,0,0,0,0,0,20,0.0106222778829714,0.685295305731232
"2022-10-23",0.0200639356977468,21042196285,17829168.829,190239188.103,290221341.242,39798869.462,176901688.736,14934340.1158,1484607.773299,10077943353,21042196285,342378.22075416,13301453.724,2148,5433,8880,16058,51,25,0,6122,24255,286,64,1568,44788,4868,7738,1932738,-0.199084600010538,-0.213869722421501,0.822849222483677,1.53750847155011,0,0,0,0,0,0,23,0.037560996752509,0.655496895193416
"2022-10-24",0.0205203858839807,21061134527,32795155.7658,145892348.337,260928533.21,59170155.553,215692678.38,2902511.6312,14713.5974115,10115792878.8,21061134527,364838.785815739,12796251.837,1975,4808,8700,14796,53,10,0,6983,23274,284,56,1387,44155,4958,7327,1937364,0.238105627187452,0.196147705688955,0.824625994066367,1.56388362776986,0,0,0,0,0,0,22,-0.0148019542743727,0.559127614531843
"2022-10-25",0.0352956548297818,21636205418,62890470.898,357099277.39,559771731.92,292285020.551,679226454.48,5849973.123,2487339.7868,10102749308.9,21636205418,336629.92878496,41392209.416,2184,8105,12518,17243,87,44,0,7005,23880,529,136,1788,49471,6500,9831,1941749,0.0940500849624725,0.150806777364366,0.796298626961453,1.53085980952249,0,0,0,0,0,0,20,0.0826014731796896,0.637937318065634
"2022-10-26",0.0368027799419273,22433480306,140352287.499,512089614.28,719581332.69,150144766.369,467360827.11,4621880.362,1413857.025,10398077979.4,22433480306,351998.37414319,68415944.937,2395,4297,9629,13751,55,33,0,7763,20682,562,117,1870,47093,6216,10105,1945718,-0.0744630414498699,-0.0589666183608396,0.797395993639466,1.53029289454267,0,0,0,0,0,0,33,0.070464337905995,0.711649386964588
