"Date","volETH","totalValueLockedUSD","bridgeVolume","weightedAverageEthAPY","weightedAverageStablecoinAPY","weightedAverageGasPrice","weightedAverageTxFee","dailyBorrowUSD","dailyDepositUSD","dailyRepayUSD","dailyWithdrawUSD","dailyFlashloanUSD","dailyLiquidateUSD","totalBorrowBalanceUSD","totalDepositBalanceUSD","dailyTotalRevenueUSD","dailyTransferUSD","dailyActiveBorrowers","dailyActiveDepositors","dailyActiveUsers","dailyActiveTxSigners","dailyActiveLiquidatees","dailyActiveLiquidators","dailyActivePositions","dailyBorrowCount","dailyDepositCount","dailyFlashloanCount","dailyLiquidateCount","dailyRepayCount","dailyTransactionCount","dailyTransferCount","dailyWithdrawCount","openPositionCount","bridgeHack","lendingHack","tokenization","marketCollapse","bridgeIntegrations","mainnet","FGI","ETHreturn","CER"
"2022-10-17",0.015205933900958,1402921802,11743686.8,1.77955,2.64630962622249,0.0227754231212973,0.0232835771174269,4459127.908,11314290.06,5567265.674,11593240.81,95081.41629,192.2433367,613376487.2,1402921802,49085.34837414,3258321.184,150,207,708,859,4,4,0,291,1336,70,4,237,3630,767,925,86522,0,0,0,0,0,0,20,0.0190899478429625,0.394114688977666
"2022-10-18",0.016440377524022,1361818522,13153692.98,1.7547,2.54964058916179,0.0299164312167868,-0.015890872779317,14651994.35,29491256.6,33030703.73,50881051.42,561772.4558,218.1351576,579694896.3,1361818522,48580.229037152,3012790.491,152,200,593,694,5,2,0,340,1164,134,5,316,3487,619,909,86541,0,0,0,0,1,0,22,-0.0153754263827945,0.496825026777597
"2022-10-19",0.018038580717203,1306881726,3890110.001,1.99534,2.52090546807049,-0.052033922710061,-0.0122724382544002,8311602.673,19071014.46,47987493.58,57756702.06,124216.6648,233.5677386,530430962,1306881726,45021.7754123,2244709.426,165,216,692,772,5,5,0,299,1164,94,5,346,3583,692,983,86555,0,0,0,0,1,0,23,-0.019637552159919,0.435823835718491
"2022-10-20",0.0179361571357163,1297472528,11513657.52,2.32342,2.58564000827142,-0.0178047672065418,-0.023981002726245,13085620.96,18115782.81,11827647.22,17895230.54,207336.563,184.3380163,524255348.1,1297472528,43068.05621163,2264553.97,151,192,695,844,5,4,0,325,1374,74,5,251,3985,932,1024,86570,0,0,0,0,0,0,23,-0.00190795910211427,0.722332625492544
"2022-10-21",0.0184812617697314,1289174978,3989191.321,2.16566,2.65123725673286,0.109165178638408,0.0679930061506191,5554254.803,13630033.48,7764259.465,19052204.18,283670.7973,15665.81835,513529421.4,1289174978,41273.440984639,4922456.89,141,191,705,852,21,9,0,339,1561,84,42,338,4755,1081,1310,86562,0,0,0,0,0,0,23,0.0130798765590709,0.407501185609707
"2022-10-22",0.0170065768180759,1289250436,720210.1332,1.75576,2.78279355501344,-0.0490213936961919,-0.0205251030916989,4056283.436,6146342.327,2580381.767,7459691.868,75319.12604,134.325382,515124356.9,1289250436,42096.2308918,1154245.23,138,178,631,733,5,3,0,304,1086,55,6,210,2825,485,679,86582,0,0,0,0,0,0,20,0.0106222778829714,0.65995078376636
"2022-10-23",0.0200639356977468,1282179610,3797250.613,1.72888,2.63115023099414,-0.0181638847406127,-0.0820270100380203,6003245.193,8853174.442,4600051.652,9795547.286,194934.9736,451445.6831,501814867.6,1282179610,41173.80063854,1621096.577,131,195,675,770,13,6,0,304,1147,60,24,234,3083,577,737,86621,0,0,0,0,0,0,23,0.037560996752509,0.678089563503938
"2022-10-24",0.0205203858839807,1274815266,954593.7658,1.73449,2.80815158864826,-0.0891284724310371,-0.0441120848302665,4070894.107,12345238.36,5320047.133,12092707.38,1976654.321,219.1959533,498631425.6,1274815266,41226.062827349,1762401.782,161,901,1498,1602,42,3,0,301,2077,91,44,287,4453,716,937,86801,0,0,0,0,0,0,22,-0.0148019542743727,0.329754192530633
"2022-10-25",0.0352956548297818,1288021929,6478503.188,1.69283,2.84907497568087,0.0868931580049086,-0.00942943364454329,12379320.54,24361309.42,8367336.592,28978562.97,1355988.394,1904576.769,502679677.7,1288021929,42334.31277956,5707393.346,224,5127,5854,6061,22,17,0,547,7084,148,62,421,11204,1209,1733,88237,0,0,0,0,0,0,20,0.0826014731796896,0.508154973387305
"2022-10-26",0.0368027799419273,1315146973,7746979.719,1.53944,2.72952540379433,0.0169483375438997,-0.00225838076393536,32613305.38,51392471.19,11284629.3,38702678.35,1248409.153,762860.9102,525717289.4,1315146973,41980.96243665,4753838.997,224,1741,2636,2887,15,12,0,476,3872,136,41,387,8305,1467,1926,88778,0,0,0,0,0,0,33,0.070464337905995,0.634593056625499
"2022-10-27",0.042651071072082,1291348819,8700229.604,1.53999,2.8979106165664,-0.0909305838303318,0.00700481436295952,5222082.846,13568866.39,9424630.704,29067200.08,1475711.686,78.86163726,519228384.8,1291348819,42926.969008423,5748897.308,195,1092,1986,2191,4,3,0,371,3139,139,4,307,6965,1385,1620,89177,0,0,0,0,0,0,32,-0.033746120968293,0.384857709988844
"2022-10-28",0.0423951127309851,1296399349,10751691.61,1.58448,2.78908127355833,0.031246397955611,0.00165793066300867,9706206.034,20662618.53,19392413.23,33290900.62,534733.2842,5761.288402,513272668.6,1296399349,42214.3473778,10023646.26,184,868,1871,2029,7,5,0,392,2832,106,7,351,6125,1039,1398,89522,0,0,0,0,0,0,30,0.0262540090026828,0.469747143611425
