"Date","volETH","totalValueLockedUSD","bridgeVolume","weightedAverageGasPrice","weightedAverageTxFee","weightedAverageEthAPY","weightedAverageStablecoinAPY","dailyBorrowUSD","dailyDepositUSD","dailyRepayUSD","dailyWithdrawUSD","dailyFlashloanUSD","dailyLiquidateUSD","totalBorrowBalanceUSD","totalDepositBalanceUSD","dailyTotalRevenueUSD","dailyTransferUSD","dailyActiveBorrowers","dailyActiveDepositors","dailyActiveUsers","dailyActiveTxSigners","dailyActiveLiquidatees","dailyActiveLiquidators","dailyActivePositions","dailyBorrowCount","dailyDepositCount","dailyFlashloanCount","dailyLiquidateCount","dailyRepayCount","dailyTransactionCount","dailyTransferCount","dailyWithdrawCount","openPositionCount","bridgeHack","lendingHack","tokenization","marketCollapse","bridgeIntegrations","mainnet","FGI","ETHreturn","CER"
"2022-10-17",0.015205933900958,18517487452,12545991.71,0.439070826,0.3480665694,0.686419539,1.303469305,153329886.8,316217440.9,100511865.6,435305499.7,277486.1559,111.3601673,8942930451,18517487452,224647.61385,6258588.659,222,214,573,590,1,1,0,366,592,12,1,113,1543,141,437,135954,0,0,0,0,0,0,20,0.0190899478429625,0.484887507670675
"2022-10-18",0.016440377524022,18446600702,95240863.08,0.05523207101,0.0722536397,0.6957697989,1.292498659,86063544.65,160095706.2,40787213.9,164910216.3,173198.5031,56.82682819,8936812460,18446600702,205528.9220307,15172235.7,189,194,542,547,1,1,0,331,580,7,1,99,1488,121,446,136042,0,0,0,0,1,0,22,-0.0153754263827945,0.537575595828191
"2022-10-19",0.018038580717203,18133952057,75945815.67,0.1256899377,0.04968342015,0.6792662422,1.284834472,85990930.53,126142291.2,197365648.5,317557576.1,328361.8961,15148.28537,8779689292,18133952057,209140.628982,42385889.71,175,178,541,563,2,2,0,293,475,9,2,141,1368,119,476,136094,0,0,0,0,1,0,23,-0.019637552159919,0.681697864466886
"2022-10-20",0.0179361571357163,17938963599,30719044.42,0.06535997161,0.08786135579,0.6763045507,1.285302827,66391456.56,106670879.8,102863483.3,227734423.1,98447.43706,2208.262047,8700934944,17938963599,197555.72087,11784800.42,163,140,443,507,2,2,0,286,426,6,2,142,1181,66,399,136136,0,0,0,0,0,0,23,-0.00190795910211427,0.62239532180178
"2022-10-21",0.0184812617697314,17858136448,37243544.55,-0.02943932435,0.01851904777,0.6879974276,1.295643143,139048513.8,251483805.6,96674725.09,390565970.4,225546.4379,1319.848553,8675477007,17858136448,218872.081264,24914256.87,166,166,511,530,4,3,0,273,488,9,4,125,1320,91,432,136199,0,0,0,0,0,0,23,0.0130798765590709,0.552912397155167
"2022-10-22",0.0170065768180759,17930077285,22311841,-0.4495685076,-0.3314390528,0.6861248162,1.321357165,58189919.93,90944642.92,26020526.9,97489012.04,152487.4744,657.6275813,8688776057,17930077285,192149.271716272,13849294.7,176,173,476,462,1,1,0,256,459,9,1,92,1173,79,345,136324,0,0,0,0,0,0,20,0.0106222778829714,0.639838896076453
"2022-10-23",0.0200639356977468,18151325669,8914584.415,-0.2221163571,-0.2408716546,0.6914761705,1.34263466,99224976.89,174872832.4,24995567,129412925.9,154348.7822,982.951199,8757258998,18151325669,217691.252731,5029549.882,252,256,647,653,3,3,0,380,588,7,3,138,1550,99,448,136548,0,0,0,0,0,0,23,0.037560996752509,0.567412190494148
"2022-10-24",0.0205203858839807,18165916840,16397577.88,0.2943217169,0.2376716519,0.6891863379,1.348739261,119458520.7,207468152.4,48318065.08,178506065.3,273374.4187,896.2332582,8787112670,18165916840,258564.969243,3480076.044,235,213,605,646,1,1,0,374,582,15,1,115,1494,93,428,136709,0,0,0,0,0,0,22,-0.0148019542743727,0.575792088174011
"2022-10-25",0.0352956548297818,18712446892,29583745.79,0.08986797184,0.1731988748,0.656270227,1.30345045,315179076.4,478871212.7,277957968.6,586903714,1885455.663,124475.3865,8770855776,18712446892,226602.189904,20029711.75,347,294,808,840,10,7,0,654,965,34,11,204,2509,168,671,136899,0,0,0,0,0,0,20,0.0826014731796896,0.658170856884336
"2022-10-26",0.0368027799419273,19254211841,67783005,-0.09425759965,-0.06976328755,0.6584406907,1.300300352,238813865.5,400802665,130611318.5,382663255.4,1055327.81,208566.392,8834563803,19254211841,232319.915297,44377421.9,399,343,955,981,5,4,0,675,1027,27,5,221,2784,239,812,137091,0,0,0,0,0,0,33,0.070464337905995,0.595839015940675
