APY,APY_BASE,APY_REWARD,TVL,DATE
2.0951,2.0951,,555913795,2022-02-11T00:00:00.000Z
1.90504,1.90504,,692331118,2022-02-12T00:00:00.000Z
1.80437,1.80437,,756235814,2022-02-13T00:00:00.000Z
1.79514,1.79514,,764925574,2022-02-14T00:00:00.000Z
1.8259,1.8259,,748318195,2022-02-15T00:00:00.000Z
1.85813,1.85813,,653158132,2022-02-16T00:00:00.000Z
1.83212,1.83212,,672005921,2022-02-17T00:00:00.000Z
1.83845,1.83845,,741444995,2022-02-18T00:00:00.000Z
1.79466,1.79466,,795021121,2022-02-19T00:00:00.000Z
1.80138,1.80138,,797955859,2022-02-20T00:00:00.000Z
1.75536,1.75536,,851883418,2022-02-21T00:00:00.000Z
1.49495,1.49495,,813751535,2022-02-22T00:00:00.000Z
1.46311,1.46311,,805888153,2022-02-23T00:00:00.000Z
1.42756,1.42756,,820736585,2022-02-24T00:00:00.000Z
1.36672,1.36672,,846535596,2022-02-25T00:00:00.000Z
1.41604,1.41604,,765780174,2022-02-26T00:00:00.000Z
1.40991,1.40991,,768022664,2022-02-27T00:00:00.000Z
1.34227,1.34227,,789988447,2022-02-28T00:00:00.000Z
1.42952,1.42952,,653287682,2022-03-01T00:00:00.000Z
1.47828,1.47828,,625664620,2022-03-02T00:00:00.000Z
1.49437,1.49437,,582411354,2022-03-03T00:00:00.000Z
1.57971,1.57971,,576898381,2022-03-04T00:00:00.000Z
1.55881,1.55881,,633293361,2022-03-05T00:00:00.000Z
1.57428,1.57428,,612383617,2022-03-06T00:00:00.000Z
1.57601,1.57601,,632706685,2022-03-07T00:00:00.000Z
1.59346,1.59346,,634390583,2022-03-08T00:00:00.000Z
1.62819,1.62819,,607057708,2022-03-09T00:00:00.000Z
1.66526,1.66526,,554099317,2022-03-10T00:00:00.000Z
1.62009,1.62009,,590805673,2022-03-11T00:00:00.000Z
1.99981,1.99981,,438151955,2022-03-12T00:00:00.000Z
1.87175,1.87175,,483454480,2022-03-13T00:00:00.000Z
1.84899,1.84899,,506625997,2022-03-14T00:00:00.000Z
1.87318,1.87318,,479040761,2022-03-15T00:00:00.000Z
1.86479,1.86479,,476820027,2022-03-16T00:00:00.000Z
1.85141,1.85141,,465893824,2022-03-17T00:00:00.000Z
1.79695,1.79695,,475384469,2022-03-18T00:00:00.000Z
1.82254,1.82254,,442599031,2022-03-19T00:00:00.000Z
1.69111,1.69111,,481877482,2022-03-20T00:00:00.000Z
1.71391,1.71391,,483063253,2022-03-21T00:00:00.000Z
1.89973,1.89973,,459327049,2022-03-22T00:00:00.000Z
1.96449,1.96449,,458177972,2022-03-23T00:00:00.000Z
2.02252,2.02252,,435480078,2022-03-24T00:00:00.000Z
2.1692,2.1692,,382826010,2022-03-25T00:00:00.000Z
2.36717,2.36717,,335499710,2022-03-26T00:00:00.000Z
2.37239,2.37239,,336220936,2022-03-27T00:00:00.000Z
2.50665,2.50665,,285945991,2022-03-28T00:00:00.000Z
2.5743,2.5743,,289724913,2022-03-29T00:00:00.000Z
2.38566,2.38566,,343778161,2022-03-30T00:00:00.000Z
2.52335,2.52335,,305982842,2022-03-31T00:00:00.000Z
2.61136,2.61136,,304716395,2022-04-01T00:00:00.000Z
2.63113,2.63113,,284336833,2022-04-02T00:00:00.000Z
2.63734,2.63734,,283397285,2022-04-03T00:00:00.000Z
2.62868,2.62868,,279083357,2022-04-04T00:00:00.000Z
2.67326,2.67326,,271043297,2022-04-05T00:00:00.000Z
2.38583,2.38583,,378086517,2022-04-06T00:00:00.000Z
2.41217,2.41217,,404332040,2022-04-07T00:00:00.000Z
2.35994,2.35994,,415621200,2022-04-08T00:00:00.000Z
2.55471,2.55471,,362716747,2022-04-09T00:00:00.000Z
2.57195,2.57195,,350505160,2022-04-10T00:00:00.000Z
2.51271,2.51271,,372867740,2022-04-11T00:00:00.000Z
2.51471,2.51471,,401978019,2022-04-12T00:00:00.000Z
2.38108,2.38108,,448605323,2022-04-13T00:00:00.000Z
2.3734,2.3734,,439199687,2022-04-14T00:00:00.000Z
2.45145,2.45145,,430187146,2022-04-15T00:00:00.000Z
2.48787,2.48787,,417586562,2022-04-16T00:00:00.000Z
2.4703,2.4703,,419520067,2022-04-17T00:00:00.000Z
2.4579,2.4579,,432832852,2022-04-18T00:00:00.000Z
2.4885,2.4885,,418666701,2022-04-19T00:00:00.000Z
2.52052,2.52052,,399743308,2022-04-20T00:00:00.000Z
2.53516,2.53516,,398222409,2022-04-21T00:00:00.000Z
2.52473,2.52473,,415617705,2022-04-22T00:00:00.000Z
2.45518,2.45518,,432547995,2022-04-23T00:00:00.000Z
2.43935,2.43935,,439348670,2022-04-24T00:00:00.000Z
2.27894,2.27894,,503594025,2022-04-25T00:00:00.000Z
2.20748,2.20748,,511150976,2022-04-26T00:00:00.000Z
2.11626,2.11626,,580865406,2022-04-27T00:00:00.000Z
2.05342,2.05342,,589006974,2022-04-28T00:00:00.000Z
2.0636,2.0636,,573730222,2022-04-29T00:00:00.000Z
2.02876,2.02876,,598651827,2022-04-30T00:00:00.000Z
1.96274,1.96274,,643788392,2022-05-01T00:00:00.000Z
1.90863,1.90863,,629017181,2022-05-02T00:00:00.000Z
1.79897,1.79897,,682624611,2022-05-03T00:00:00.000Z
1.77871,1.77871,,709275625,2022-05-04T00:00:00.000Z
1.80674,1.80674,,665259201,2022-05-05T00:00:00.000Z
1.81612,1.81612,,704045449,2022-05-06T00:00:00.000Z
1.81033,1.81033,,720092609,2022-05-07T00:00:00.000Z
1.80089,1.80089,,742176290,2022-05-08T00:00:00.000Z
1.51066,1.51066,,802456261,2022-05-09T00:00:00.000Z
1.36516,1.36516,,863136608,2022-05-10T00:00:00.000Z
1.50638,1.50638,,735355036,2022-05-11T00:00:00.000Z
1.47731,1.47731,,873339957,2022-05-12T00:00:00.000Z
2.42828,2.42828,,400046365,2022-05-13T00:00:00.000Z
2.26204,2.26204,,447650900,2022-05-14T00:00:00.000Z
2.17893,2.17893,,468706860,2022-05-15T00:00:00.000Z
2.23399,2.23399,,435768098,2022-05-16T00:00:00.000Z
2.14811,2.14811,,490839858,2022-05-17T00:00:00.000Z
1.72,1.72,,602816047,2022-05-18T00:00:00.000Z
1.57905,1.57905,,726169794,2022-05-19T00:00:00.000Z
1.46901,1.46901,,740588364,2022-05-20T00:00:00.000Z
1.4757,1.4757,,739317968,2022-05-21T00:00:00.000Z
1.40322,1.40322,,770666910,2022-05-22T00:00:00.000Z
1.07015,1.07015,,1009805051,2022-05-23T00:00:00.000Z
0.92818,0.92818,,1208899785,2022-05-24T00:00:00.000Z
0.937,0.937,,1208981160,2022-05-25T00:00:00.000Z
0.90468,0.90468,,1212337490,2022-05-26T00:00:00.000Z
0.95482,0.95482,,1287961574,2022-05-27T00:00:00.000Z
0.94392,0.94392,,1344230075,2022-05-28T00:00:00.000Z
0.93331,0.93331,,1309391526,2022-05-29T00:00:00.000Z
0.99429,0.99429,,1209836765,2022-05-30T00:00:00.000Z
1.00031,1.00031,,1086973458,2022-05-31T00:00:00.000Z
0.96556,0.96556,,1131549799,2022-06-01T00:00:00.000Z
1.07106,1.07106,,1135060694,2022-06-02T00:00:00.000Z
1.08025,1.08025,,1126336711,2022-06-03T00:00:00.000Z
1.03712,1.03712,,1191191064,2022-06-04T00:00:00.000Z
1.04596,1.04596,,1169012590,2022-06-05T00:00:00.000Z
1.03017,1.03017,,1186972094,2022-06-06T00:00:00.000Z
1.05167,1.05167,,1122073271,2022-06-07T00:00:00.000Z
1.03498,1.03498,,1187747882,2022-06-08T00:00:00.000Z
1.07133,1.07133,,1158296097,2022-06-09T00:00:00.000Z
1.04921,1.04921,,1187611950,2022-06-10T00:00:00.000Z
1.07326,1.07326,,1233412039,2022-06-11T00:00:00.000Z
0.97944,0.97944,,1420163355,2022-06-12T00:00:00.000Z
0.67794,0.67794,,1734495172,2022-06-13T00:00:00.000Z
1.32463,1.32463,,928570565,2022-06-14T00:00:00.000Z
0.96367,0.96367,,1111918466,2022-06-15T00:00:00.000Z
0.92663,0.92663,,1121748670,2022-06-16T00:00:00.000Z
0.91126,0.91126,,1337838983,2022-06-17T00:00:00.000Z
0.90791,0.90791,,1321315259,2022-06-18T00:00:00.000Z
0.83531,0.83531,,1385458734,2022-06-19T00:00:00.000Z
0.81872,0.81872,,1213147083,2022-06-20T00:00:00.000Z
0.83868,0.83868,,1215846375,2022-06-21T00:00:00.000Z
0.7428,0.7428,,1288639473,2022-06-22T00:00:00.000Z
0.64427,0.64427,,1535905928,2022-06-23T00:00:00.000Z
0.64237,0.64237,,1428643311,2022-06-24T00:00:00.000Z
0.65587,0.65587,,1319701325,2022-06-25T00:00:00.000Z
0.59218,0.59218,,1452963904,2022-06-26T00:00:00.000Z
0.59122,0.59122,,1515235653,2022-06-27T00:00:00.000Z
