APY,APY_BASE,APY_REWARD,TVL,DATE
2.05082,2.05082,,185993424,2022-02-11T00:00:00.000Z
2.01914,2.01914,,203634401,2022-02-12T00:00:00.000Z
1.99941,1.99941,,206292721,2022-02-13T00:00:00.000Z
1.98619,1.98619,,207815361,2022-02-14T00:00:00.000Z
1.94523,1.94523,,209291377,2022-02-15T00:00:00.000Z
2.05328,2.05328,,178253009,2022-02-16T00:00:00.000Z
1.95418,1.95418,,190698804,2022-02-17T00:00:00.000Z
1.81329,1.81329,,233561457,2022-02-18T00:00:00.000Z
1.8179,1.8179,,240764643,2022-02-19T00:00:00.000Z
1.85435,1.85435,,236928350,2022-02-20T00:00:00.000Z
1.9344,1.9344,,230882955,2022-02-21T00:00:00.000Z
1.95308,1.95308,,234977595,2022-02-22T00:00:00.000Z
1.92033,1.92033,,229162502,2022-02-23T00:00:00.000Z
1.96204,1.96204,,229976861,2022-02-24T00:00:00.000Z
1.84975,1.84975,,248040074,2022-02-25T00:00:00.000Z
1.84337,1.84337,,234244545,2022-02-26T00:00:00.000Z
1.86022,1.86022,,229415363,2022-02-27T00:00:00.000Z
1.83048,1.83048,,249735949,2022-02-28T00:00:00.000Z
2.41451,2.41451,,154096871,2022-03-01T00:00:00.000Z
2.41416,2.41416,,151091163,2022-03-02T00:00:00.000Z
2.34808,2.34808,,162102700,2022-03-03T00:00:00.000Z
3.09529,3.09529,,89767504,2022-03-04T00:00:00.000Z
3.01538,3.01538,,107850936,2022-03-05T00:00:00.000Z
3.00613,3.00613,,106730701,2022-03-06T00:00:00.000Z
2.99205,2.99205,,111528313,2022-03-07T00:00:00.000Z
2.95013,2.95013,,119287166,2022-03-08T00:00:00.000Z
2.86353,2.86353,,124193782,2022-03-09T00:00:00.000Z
2.82106,2.82106,,122495975,2022-03-10T00:00:00.000Z
2.69094,2.69094,,145740821,2022-03-11T00:00:00.000Z
2.65251,2.65251,,154645912,2022-03-12T00:00:00.000Z
2.6399,2.6399,,154453617,2022-03-13T00:00:00.000Z
2.60646,2.60646,,163485837,2022-03-14T00:00:00.000Z
2.58568,2.58568,,160412711,2022-03-15T00:00:00.000Z
2.71743,2.71743,,138755469,2022-03-16T00:00:00.000Z
2.7151,2.7151,,133468531,2022-03-17T00:00:00.000Z
2.70606,2.70606,,133096722,2022-03-18T00:00:00.000Z
2.8229,2.8229,,114038845,2022-03-19T00:00:00.000Z
3.12217,3.12217,,81481884,2022-03-20T00:00:00.000Z
3.09753,3.09753,,85826139,2022-03-21T00:00:00.000Z
3.28567,3.28567,,67242814,2022-03-22T00:00:00.000Z
3.2512,3.2512,,69006401,2022-03-23T00:00:00.000Z
3.27215,3.27215,,66305155,2022-03-24T00:00:00.000Z
3.16452,3.16452,,73010973,2022-03-25T00:00:00.000Z
5.43903,5.43903,,57460717,2022-03-26T00:00:00.000Z
3.23972,3.23972,,65711168,2022-03-27T00:00:00.000Z
3.25263,3.25263,,62113556,2022-03-28T00:00:00.000Z
7.37425,7.37425,,51749381,2022-03-29T00:00:00.000Z
3.2684,3.2684,,57992679,2022-03-30T00:00:00.000Z
4.46645,4.46645,,54620913,2022-03-31T00:00:00.000Z
3.24464,3.24464,,62126120,2022-04-01T00:00:00.000Z
3.16735,3.16735,,65286582,2022-04-02T00:00:00.000Z
3.23433,3.23433,,59562169,2022-04-03T00:00:00.000Z
3.24613,3.24613,,57876493,2022-04-04T00:00:00.000Z
4.30283,4.30283,,52832947,2022-04-05T00:00:00.000Z
3.09147,3.09147,,75544765,2022-04-06T00:00:00.000Z
3.08753,3.08753,,82052029,2022-04-07T00:00:00.000Z
2.94024,2.94024,,95528558,2022-04-08T00:00:00.000Z
2.72036,2.72036,,121153468,2022-04-09T00:00:00.000Z
2.73096,2.73096,,117715234,2022-04-10T00:00:00.000Z
2.7179,2.7179,,120596203,2022-04-11T00:00:00.000Z
2.66228,2.66228,,135304042,2022-04-12T00:00:00.000Z
2.77618,2.77618,,122341925,2022-04-13T00:00:00.000Z
2.72941,2.72941,,123988985,2022-04-14T00:00:00.000Z
2.7205,2.7205,,128721512,2022-04-15T00:00:00.000Z
2.69557,2.69557,,131768407,2022-04-16T00:00:00.000Z
2.70016,2.70016,,129908207,2022-04-17T00:00:00.000Z
2.70197,2.70197,,132560779,2022-04-18T00:00:00.000Z
2.70519,2.70519,,129976049,2022-04-19T00:00:00.000Z
2.79695,2.79695,,117128659,2022-04-20T00:00:00.000Z
2.73426,2.73426,,125036991,2022-04-21T00:00:00.000Z
2.65442,2.65442,,138912366,2022-04-22T00:00:00.000Z
2.41023,2.41023,,172074205,2022-04-23T00:00:00.000Z
2.55413,2.55413,,150782597,2022-04-24T00:00:00.000Z
1.86709,1.86709,,272390600,2022-04-25T00:00:00.000Z
1.84539,1.84539,,271813811,2022-04-26T00:00:00.000Z
1.89826,1.89826,,281034592,2022-04-27T00:00:00.000Z
1.90689,1.90689,,272572330,2022-04-28T00:00:00.000Z
1.91186,1.91186,,266382280,2022-04-29T00:00:00.000Z
1.922,1.922,,274826976,2022-04-30T00:00:00.000Z
1.91033,1.91033,,282025699,2022-05-01T00:00:00.000Z
1.92129,1.92129,,272354137,2022-05-02T00:00:00.000Z
1.83101,1.83101,,290725446,2022-05-03T00:00:00.000Z
1.83742,1.83742,,298661275,2022-05-04T00:00:00.000Z
2.18702,2.18702,,210339582,2022-05-05T00:00:00.000Z
1.98398,1.98398,,256257970,2022-05-06T00:00:00.000Z
