APY,APY_BASE,APY_REWARD,TVL,DATE
0.01075,0.01075,,2462156335,2022-02-11T00:00:00.000Z
0.01014,0.01014,,2464204161,2022-02-12T00:00:00.000Z
0.00996,0.00996,,2491600400,2022-02-13T00:00:00.000Z
0.00979,0.00979,,2491904233,2022-02-14T00:00:00.000Z
0.00977,0.00977,,2496526630,2022-02-15T00:00:00.000Z
0.00975,0.00975,,2493932879,2022-02-16T00:00:00.000Z
0.01117,0.01117,,2478321726,2022-02-17T00:00:00.000Z
0.0178,0.0178,,2506149103,2022-02-18T00:00:00.000Z
0.01774,0.01774,,2510586743,2022-02-19T00:00:00.000Z
0.01756,0.01756,,2524344435,2022-02-20T00:00:00.000Z
0.01804,0.01804,,2520379399,2022-02-21T00:00:00.000Z
0.01855,0.01855,,2521819790,2022-02-22T00:00:00.000Z
0.01858,0.01858,,2512896168,2022-02-23T00:00:00.000Z
0.01845,0.01845,,2513558719,2022-02-24T00:00:00.000Z
0.01716,0.01716,,2556035301,2022-02-25T00:00:00.000Z
0.01677,0.01677,,2556283994,2022-02-26T00:00:00.000Z
0.0146,0.0146,,2559612889,2022-02-27T00:00:00.000Z
0.01478,0.01478,,2543621207,2022-02-28T00:00:00.000Z
0.02084,0.02084,,2528765547,2022-03-01T00:00:00.000Z
0.02043,0.02043,,2505293187,2022-03-02T00:00:00.000Z
0.02067,0.02067,,2501452983,2022-03-03T00:00:00.000Z
0.01798,0.01798,,2528758155,2022-03-04T00:00:00.000Z
0.02179,0.02179,,2517069569,2022-03-05T00:00:00.000Z
0.02199,0.02199,,2519887170,2022-03-06T00:00:00.000Z
0.02553,0.02553,,2505585736,2022-03-07T00:00:00.000Z
0.02801,0.02801,,2494184630,2022-03-08T00:00:00.000Z
0.03088,0.03088,,2489877427,2022-03-09T00:00:00.000Z
0.03263,0.03263,,2478147575,2022-03-10T00:00:00.000Z
0.03551,0.03551,,2465332810,2022-03-11T00:00:00.000Z
0.03782,0.03782,,2460806791,2022-03-12T00:00:00.000Z
0.04,0.04,,2449832646,2022-03-13T00:00:00.000Z
0.04127,0.04127,,2431491593,2022-03-14T00:00:00.000Z
0.05135,0.05135,,2410621298,2022-03-15T00:00:00.000Z
0.27334,0.27334,,2179131978,2022-03-16T00:00:00.000Z
0.36269,0.36269,,2137655007,2022-03-17T00:00:00.000Z
0.37246,0.37246,,2127201644,2022-03-18T00:00:00.000Z
0.36717,0.36717,,2152404152,2022-03-19T00:00:00.000Z
0.36185,0.36185,,2165679581,2022-03-20T00:00:00.000Z
0.36276,0.36276,,2166737445,2022-03-21T00:00:00.000Z
0.3638,0.3638,,2174747999,2022-03-22T00:00:00.000Z
0.3895,0.3895,,2084865008,2022-03-23T00:00:00.000Z
0.38685,0.38685,,2086756998,2022-03-24T00:00:00.000Z
0.39056,0.39056,,2096851102,2022-03-25T00:00:00.000Z
0.39089,0.39089,,2101332050,2022-03-26T00:00:00.000Z
0.39255,0.39255,,2112347789,2022-03-27T00:00:00.000Z
0.38682,0.38682,,2130220315,2022-03-28T00:00:00.000Z
0.38463,0.38463,,2137912343,2022-03-29T00:00:00.000Z
0.38956,0.38956,,2134489317,2022-03-30T00:00:00.000Z
0.14269,0.14269,,2123432290,2022-03-31T00:00:00.000Z
0.15066,0.15066,,2119536790,2022-04-01T00:00:00.000Z
0.16101,0.16101,,2102295320,2022-04-02T00:00:00.000Z
0.16745,0.16745,,2102743866,2022-04-03T00:00:00.000Z
0.1872,0.1872,,2072360717,2022-04-04T00:00:00.000Z
0.19289,0.19289,,2063528100,2022-04-05T00:00:00.000Z
0.18886,0.18886,,2075451003,2022-04-06T00:00:00.000Z
0.19629,0.19629,,2072783676,2022-04-07T00:00:00.000Z
0.20203,0.20203,,2072463515,2022-04-08T00:00:00.000Z
0.22998,0.22998,,2013035402,2022-04-09T00:00:00.000Z
0.23768,0.23768,,2005980974,2022-04-10T00:00:00.000Z
0.25367,0.25367,,1977450690,2022-04-11T00:00:00.000Z
0.25929,0.25929,,1987022794,2022-04-12T00:00:00.000Z
