APY,APY_BASE,APY_REWARD,TVL,DATE
0.22451,0.22451,,560180650,2022-02-11T00:00:00.000Z
0.21917,0.21917,,537846447,2022-02-12T00:00:00.000Z
0.12165,0.12165,,508550871,2022-02-13T00:00:00.000Z
0.07191,0.07191,,491027876,2022-02-14T00:00:00.000Z
0.01384,0.01384,,477015673,2022-02-15T00:00:00.000Z
0.01151,0.01151,,446692228,2022-02-16T00:00:00.000Z
0.01177,0.01177,,374100342,2022-02-17T00:00:00.000Z
0.01044,0.01044,,368628792,2022-02-18T00:00:00.000Z
0.01279,0.01279,,364305171,2022-02-19T00:00:00.000Z
0.01332,0.01332,,359940101,2022-02-20T00:00:00.000Z
0.01281,0.01281,,355978793,2022-02-21T00:00:00.000Z
0.01471,0.01471,,346657466,2022-02-22T00:00:00.000Z
0.0137,0.0137,,342467083,2022-02-23T00:00:00.000Z
0.01236,0.01236,,339291422,2022-02-24T00:00:00.000Z
0.01128,0.01128,,335439452,2022-02-25T00:00:00.000Z
0.01245,0.01245,,331044951,2022-02-26T00:00:00.000Z
0.01209,0.01209,,329422534,2022-02-27T00:00:00.000Z
0.0144,0.0144,,326110722,2022-02-28T00:00:00.000Z
0.01363,0.01363,,323899011,2022-03-01T00:00:00.000Z
0.01169,0.01169,,323727437,2022-03-02T00:00:00.000Z
0.01115,0.01115,,321170194,2022-03-03T00:00:00.000Z
0.01197,0.01197,,321148996,2022-03-04T00:00:00.000Z
0.01099,0.01099,,322159489,2022-03-05T00:00:00.000Z
0.01143,0.01143,,322131402,2022-03-06T00:00:00.000Z
0.01217,0.01217,,320501790,2022-03-07T00:00:00.000Z
0.01303,0.01303,,312306645,2022-03-08T00:00:00.000Z
0.01261,0.01261,,307741032,2022-03-09T00:00:00.000Z
0.01269,0.01269,,307680727,2022-03-10T00:00:00.000Z
0.01302,0.01302,,305640900,2022-03-11T00:00:00.000Z
0.01367,0.01367,,304812380,2022-03-12T00:00:00.000Z
0.01363,0.01363,,304733659,2022-03-13T00:00:00.000Z
0.01214,0.01214,,304279131,2022-03-14T00:00:00.000Z
0.01159,0.01159,,310180140,2022-03-15T00:00:00.000Z
0.01182,0.01182,,309596930,2022-03-16T00:00:00.000Z
0.01248,0.01248,,307403985,2022-03-17T00:00:00.000Z
0.01137,0.01137,,300153785,2022-03-18T00:00:00.000Z
0.01129,0.01129,,302058940,2022-03-19T00:00:00.000Z
0.01173,0.01173,,299277127,2022-03-20T00:00:00.000Z
0.01133,0.01133,,298332172,2022-03-21T00:00:00.000Z
0.01212,0.01212,,284500721,2022-03-22T00:00:00.000Z
