APY,APY_BASE,APY_REWARD,TVL,DATE
2.28066,2.28066,,17196,2023-06-28T23:00:59.543Z
31.2552,31.2552,,4751,2023-06-29T23:00:57.990Z
1.07207,1.07207,,162898,2023-06-30T23:01:15.891Z
2.75205,2.75205,,50436,2023-07-01T23:01:17.288Z
7.4136,7.4136,,55747,2023-07-02T23:01:22.704Z
1.8745,1.8745,,174738,2023-07-03T23:01:11.924Z
8.29998,8.29998,,77713,2023-07-04T23:01:22.072Z
2.51762,2.51762,,153268,2023-07-05T23:01:15.758Z
2.2442,2.2442,,321829,2023-07-06T23:01:11.858Z
2.39289,2.39289,,372785,2023-07-07T23:01:21.938Z
3.29804,3.29804,,207791,2023-07-08T23:02:05.028Z
2.77595,2.77595,,245686,2023-07-09T23:01:18.376Z
18.90635,18.90635,,163716,2023-07-10T23:01:14.505Z
6.46775,6.46775,,235506,2023-07-11T23:01:02.859Z
2.74009,2.74009,,300697,2023-07-12T23:01:13.091Z
1.25061,1.25061,,1661950,2023-07-13T23:00:57.728Z
1.60793,1.60793,,1380635,2023-07-14T23:01:17.877Z
2.00761,2.00761,,1003632,2023-07-15T23:01:11.721Z
2.21222,2.21222,,887814,2023-07-16T23:01:14.033Z
2.69445,2.69445,,491644,2023-07-17T23:01:11.858Z
6.43721,6.43721,,383473,2023-07-18T23:01:04.644Z
2.53496,2.53496,,659866,2023-07-19T23:01:22.772Z
2.78177,2.78177,,470456,2023-07-20T23:01:12.236Z
2.66106,2.66106,,594354,2023-07-21T23:01:06.905Z
2.52658,2.52658,,715952,2023-07-22T23:00:56.381Z
2.81465,2.81465,,506936,2023-07-23T23:00:59.816Z
2.7781,2.7781,,535164,2023-07-24T23:00:58.717Z
2.53146,2.53146,,750125,2023-07-25T23:01:16.770Z
7.83638,7.83638,,454035,2023-07-26T23:01:00.566Z
2.39526,2.39526,,979645,2023-07-27T23:01:10.588Z
3.73959,3.73959,,530104,2023-07-28T23:01:00.533Z
3.98568,3.98568,,532323,2023-07-29T23:00:58.006Z
8.35267,8.35267,,494693,2023-07-30T23:01:01.211Z
14.4818,14.4818,,404970,2023-07-31T23:00:58.702Z
6.00914,6.00914,,541759,2023-08-01T23:00:57.268Z
3.25851,3.25851,,552133,2023-08-02T23:00:59.989Z
7.60609,7.60609,,499199,2023-08-03T23:01:15.732Z
2.82639,2.82639,,549287,2023-08-04T23:01:10.404Z
2.79885,2.79885,,591530,2023-08-05T23:01:10.048Z
7.92012,7.92012,,498015,2023-08-06T23:01:04.198Z
2.82534,2.82534,,569655,2023-08-07T23:01:00.430Z
2.73559,2.73559,,699176,2023-08-08T23:00:59.735Z
4.48774,4.48774,,602383,2023-08-09T23:01:15.082Z
6.52152,6.52152,,583901,2023-08-10T23:01:03.129Z
11.74926,11.74926,,529288,2023-08-11T23:01:01.079Z
3.92646,3.92646,,628167,2023-08-12T23:00:59.958Z
2.82612,2.82612,,655518,2023-08-13T23:01:02.000Z
8.02828,8.02828,,591179,2023-08-14T23:01:09.016Z
3.29233,3.29233,,637711,2023-08-15T23:01:30.658Z
2.81942,2.81942,,658550,2023-08-16T23:01:11.391Z
6.01072,6.01072,,623021,2023-08-17T23:01:03.842Z
2.80796,2.80796,,683667,2023-08-18T23:01:16.163Z
6.18041,6.18041,,578125,2023-08-19T23:01:02.721Z
2.76788,2.76788,,680638,2023-08-20T23:01:20.506Z
1.82637,1.82637,,2092677,2023-08-21T23:01:04.641Z
1.84665,1.84665,,2188666,2023-08-22T23:01:29.465Z
2.74401,2.74401,,674890,2023-08-23T23:01:08.646Z
2.47019,2.47019,,1120309,2023-08-24T23:01:19.839Z
2.74151,2.74151,,780693,2023-08-25T23:01:30.237Z
2.7058,2.7058,,835986,2023-08-26T23:01:02.653Z
2.8168,2.8168,,715692,2023-08-27T23:01:04.299Z
2.60611,2.60611,,1002935,2023-08-28T23:01:01.596Z
3.6898,3.6898,,758799,2023-08-29T23:01:05.962Z
4.72402,4.72402,,762215,2023-08-30T23:01:10.232Z
3.5375,3.5375,,808365,2023-08-31T23:01:06.803Z
5.66434,5.66434,,806176,2023-09-01T23:01:01.578Z
2.65278,2.65278,,1143197,2023-09-02T23:00:59.589Z
2.804,2.804,,921061,2023-09-03T23:01:03.413Z
2.73004,2.73004,,1057787,2023-09-04T23:01:02.609Z
6.04215,6.04215,,803861,2023-09-05T23:01:07.363Z
2.79408,2.79408,,932053,2023-09-06T23:01:04.316Z
5.67442,5.67442,,897751,2023-09-07T23:01:12.395Z
3.11626,3.11626,,866564,2023-09-08T23:01:07.742Z
5.89755,5.89755,,843435,2023-09-09T23:01:04.063Z
1.03616,1.03616,,7217807,2023-09-10T23:01:10.377Z
1.17967,1.17967,,6668998,2023-09-11T23:01:00.982Z
2.796,2.796,,962990,2023-09-12T23:01:00.253Z
1.56011,1.56011,,4533647,2023-09-13T23:01:01.425Z
8.92746,8.92746,,867799,2023-09-14T23:01:06.239Z
2.77692,2.77692,,1076968,2023-09-15T23:01:02.913Z
2.75558,2.75558,,1117079,2023-09-16T23:01:13.495Z
2.72382,2.72382,,1167572,2023-09-17T23:01:01.212Z
2.73621,2.73621,,1141591,2023-09-18T23:01:14.149Z
2.75315,2.75315,,1122899,2023-09-19T23:01:03.445Z
2.69903,2.69903,,1216340,2023-09-20T23:01:05.362Z
2.79306,2.79306,,1042248,2023-09-21T23:01:09.395Z
2.80728,2.80728,,1028274,2023-09-22T23:01:01.631Z
3.79733,3.79733,,989622,2023-09-23T23:01:06.519Z
2.73911,2.73911,,1187127,2023-09-24T23:01:00.519Z
2.79748,2.79748,,1083370,2023-09-25T23:01:04.180Z
2.44055,2.44055,,1812484,2023-09-26T23:01:03.908Z
3.89387,3.89387,,985147,2023-09-27T23:00:59.654Z
2.38859,2.38859,,1864932,2023-09-28T23:01:03.137Z
2.5974,2.5974,,1473974,2023-09-29T23:01:04.785Z
2.70791,2.70791,,1229010,2023-09-30T23:01:00.194Z
3.82393,3.82393,,1154627,2023-10-01T23:01:03.783Z
2.83004,2.83004,,1064734,2023-10-02T23:01:06.471Z
2.67699,2.67699,,1377941,2023-10-03T23:01:25.187Z
2.82834,2.82834,,1096766,2023-10-04T23:00:56.945Z
5.2278,5.2278,,1029772,2023-10-05T23:01:01.799Z
2.63246,2.63246,,1519169,2023-10-06T23:01:16.870Z
2.48904,2.48904,,1911381,2023-10-07T23:01:01.804Z
2.39198,2.39198,,2196799,2023-10-08T23:00:59.316Z
2.57913,2.57913,,1823292,2023-10-09T23:01:00.529Z
2.76646,2.76646,,1432164,2023-10-10T23:01:01.644Z
2.771,2.771,,1426989,2023-10-11T23:00:57.445Z
2.6652,2.6652,,1725232,2023-10-12T23:00:58.345Z
20.26213,20.26213,,850511,2023-10-13T23:01:06.401Z
4.01765,4.01765,,1293920,2023-10-14T23:00:55.793Z
3.85867,3.85867,,1303088,2023-10-15T23:01:01.357Z
2.81964,2.81964,,1386176,2023-10-16T23:01:04.897Z
5.31321,5.31321,,1304302,2023-10-17T23:01:10.135Z
8.07599,8.07599,,1225007,2023-10-18T23:01:00.764Z
3.83539,3.83539,,1362463,2023-10-19T23:01:10.606Z
5.47916,5.47916,,1374712,2023-10-20T23:00:59.965Z
2.76878,2.76878,,1635012,2023-10-21T23:00:56.472Z
2.54432,2.54432,,2273164,2023-10-22T23:00:56.670Z
14.14962,14.14962,,1135375,2023-10-23T23:01:12.923Z
8.52351,8.52351,,1380000,2023-10-24T23:01:19.539Z
2.8261,2.8261,,1556373,2023-10-25T23:00:56.805Z
3.373,3.373,,1531815,2023-10-26T23:00:57.611Z
6.85761,6.85761,,1422242,2023-10-27T23:00:59.244Z
5.64474,5.64474,,1463036,2023-10-28T23:01:01.466Z
6.24945,6.24945,,1441936,2023-10-29T23:01:01.349Z
2.82718,2.82718,,1623667,2023-10-30T23:01:36.390Z
