APY,APY_BASE,APY_REWARD,TVL,DATE
2.06074,2.06074,0,691350,2022-08-08T00:00:00.000Z
1.79628,1.79628,0,784444,2022-08-09T00:00:00.000Z
1.82467,1.82467,0,770037,2022-08-10T00:00:00.000Z
1.44976,1.44976,0,981170,2022-08-11T00:00:00.000Z
1.44642,1.44642,0,982258,2022-08-12T00:00:00.000Z
1.5054,1.5054,0,939559,2022-08-13T00:00:00.000Z
2.44611,2.44611,0,583748,2022-08-14T00:00:00.000Z
2.12332,2.12332,0,623794,2022-08-15T00:00:00.000Z
2.12693,2.12693,0,620809,2022-08-16T00:00:00.000Z
2.22353,2.22353,0,593281,2022-08-17T00:00:00.000Z
2.23735,2.23735,0,409894,2022-08-18T00:00:00.000Z
0.60839,0.60839,0,1960076,2022-08-19T00:00:00.000Z
0.61894,0.61894,0,1929929,2022-08-20T00:00:00.000Z
0.65948,0.65948,0,1874680,2022-08-21T00:00:00.000Z
0.62235,0.62235,0,1921642,2022-08-22T00:00:00.000Z
0.61994,0.61994,0,1919905,2022-08-23T00:00:00.000Z
0.59115,0.59115,0,1941846,2022-08-24T00:00:00.000Z
0.46265,0.46265,0,1933125,2022-08-25T00:00:00.000Z
0.47208,0.47208,0,1922036,2022-08-26T00:00:00.000Z
0.5119,0.5119,0,1877236,2022-08-27T00:00:00.000Z
0.52631,0.52631,0,1776992,2022-08-28T00:00:00.000Z
0.58228,0.58228,0,1717017,2022-08-29T00:00:00.000Z
0.62354,0.62354,0,1668227,2022-08-30T00:00:00.000Z
0.62354,0.62354,0,1734275,2022-08-31T00:00:00.000Z
0.67938,0.67938,0,1608933,2022-09-01T00:00:00.000Z
0.60092,0.60092,0,1653019,2022-09-02T00:00:00.000Z
0.71194,0.71194,0,1432906,2022-09-03T00:00:00.000Z
0.71032,0.71032,0,1437275,2022-09-04T00:00:00.000Z
0.97475,0.97475,0,1247095,2022-09-05T23:00:11.400Z
0.81384,0.81384,0,1354792,2022-09-06T23:01:00.267Z
0.63997,0.63997,0,1506080,2022-09-07T23:00:58.851Z
0.64405,0.64405,0,1503609,2022-09-08T23:00:57.297Z
0.75034,0.75034,0,1394351,2022-09-09T23:00:57.732Z
0.86841,0.86841,0,1316115,2022-09-10T23:01:01.863Z
0.6323,0.6323,0,1500796,2022-09-11T23:00:56.399Z
3.4036,3.4036,0,88928,2022-09-12T23:01:01.187Z
3.36287,3.36287,0,92011,2022-09-13T23:01:08.221Z
2.48605,2.48605,0,211942,2022-09-14T23:01:03.937Z
2.7252,2.7252,0,162123,2022-09-15T23:00:59.680Z
