APY,APY_BASE,APY_REWARD,TVL,DATE
0.40897,0.40897,0,3890725,2022-08-08T00:00:00.000Z
0.45381,0.45381,0,3734851,2022-08-09T00:00:00.000Z
0.53529,0.53529,0,3681712,2022-08-10T00:00:00.000Z
0.66006,0.66006,0,3457053,2022-08-11T00:00:00.000Z
0.83848,0.83848,0,3341755,2022-08-12T00:00:00.000Z
0.85327,0.85327,0,3374556,2022-08-13T00:00:00.000Z
1.13328,1.13328,0,2772649,2022-08-14T00:00:00.000Z
1.13199,1.13199,0,2731761,2022-08-15T00:00:00.000Z
1.24085,1.24085,0,2661069,2022-08-16T00:00:00.000Z
1.3579,1.3579,0,2549911,2022-08-17T00:00:00.000Z
1.3284,1.3284,0,2589852,2022-08-18T00:00:00.000Z
1.54994,1.54994,0,2296755,2022-08-19T00:00:00.000Z
1.07455,1.07455,0,2927927,2022-08-20T00:00:00.000Z
1.02557,1.02557,0,3049366,2022-08-21T00:00:00.000Z
1.02678,1.02678,0,3027895,2022-08-22T00:00:00.000Z
0.95478,0.95478,0,3142290,2022-08-23T00:00:00.000Z
0.94231,0.94231,0,3194482,2022-08-24T00:00:00.000Z
1.01201,1.01201,0,3163638,2022-08-25T00:00:00.000Z
1.07498,1.07498,0,2986523,2022-08-26T00:00:00.000Z
1.13402,1.13402,0,2870221,2022-08-27T00:00:00.000Z
0.56638,0.56638,0,3214412,2022-08-28T00:00:00.000Z
0.51209,0.51209,0,3317845,2022-08-29T00:00:00.000Z
0.50025,0.50025,0,3312060,2022-08-30T00:00:00.000Z
0.50025,0.50025,0,3468397,2022-08-31T00:00:00.000Z
0.52182,0.52182,0,3394494,2022-09-01T00:00:00.000Z
0.49014,0.49014,0,3537461,2022-09-02T00:00:00.000Z
0.52271,0.52271,0,3494922,2022-09-03T00:00:00.000Z
0.56329,0.56329,0,3518912,2022-09-04T00:00:00.000Z
0.37497,0.37497,0,4636116,2022-09-05T23:00:11.400Z
0.29446,0.29446,0,4755779,2022-09-06T23:01:00.267Z
0.28046,0.28046,0,4970916,2022-09-07T23:00:58.851Z
0.28268,0.28268,0,4955822,2022-09-08T23:00:57.297Z
0.24877,0.24877,0,5618975,2022-09-09T23:00:57.732Z
0.27508,0.27508,0,5676663,2022-09-10T23:01:01.863Z
0.26341,0.26341,0,5793906,2022-09-11T23:00:56.399Z
0.25734,0.25734,0,5981727,2022-09-12T23:01:01.187Z
0.25542,0.25542,0,5467285,2022-09-13T23:01:08.221Z
0.22399,0.22399,0,6072099,2022-09-14T23:01:03.937Z
0.23096,0.23096,0,5821661,2022-09-15T23:00:59.680Z
0.25277,0.25277,0,5603600,2022-09-16T23:00:57.645Z
0.26228,0.26228,0,5665542,2022-09-17T23:01:11.711Z
0.46305,0.46305,0,5037372,2022-09-18T23:01:02.006Z
0.44646,0.44646,0,5155459,2022-09-19T23:01:06.390Z
0.48811,0.48811,0,4753854,2022-09-20T23:01:04.415Z
0.51302,0.51302,0,4505467,2022-09-21T23:01:04.851Z
0.53666,0.53666,0,4767399,2022-09-22T23:00:55.667Z
0.54864,0.54864,0,4729618,2022-09-23T23:01:09.349Z
0.56653,0.56653,0,4664266,2022-09-24T23:00:55.544Z
0.57286,0.57286,0,4656400,2022-09-25T23:01:06.506Z
0.56363,0.56363,0,4707882,2022-09-26T23:01:13.539Z
