APY,APY_BASE,APY_REWARD,TVL,DATE
0.09058,0.09058,0,14872154,2022-08-08T00:00:00.000Z
0.09829,0.09829,0,14266319,2022-08-09T00:00:00.000Z
0.10014,0.10014,0,15636694,2022-08-10T00:00:00.000Z
0.10686,0.10686,0,14987605,2022-08-11T00:00:00.000Z
0.10236,0.10236,0,15380259,2022-08-12T00:00:00.000Z
0.19553,0.19553,0,15176160,2022-08-13T00:00:00.000Z
0.18658,0.18658,0,15039006,2022-08-14T00:00:00.000Z
0.17885,0.17885,0,14682387,2022-08-15T00:00:00.000Z
0.17788,0.17788,0,14465467,2022-08-16T00:00:00.000Z
0.17104,0.17104,0,14397195,2022-08-17T00:00:00.000Z
0.18881,0.18881,0,14309441,2022-08-18T00:00:00.000Z
0.27755,0.27755,0,12404513,2022-08-19T00:00:00.000Z
0.34703,0.34703,0,11632112,2022-08-20T00:00:00.000Z
0.28157,0.28157,0,12188584,2022-08-21T00:00:00.000Z
0.25285,0.25285,0,12150160,2022-08-22T00:00:00.000Z
0.12099,0.12099,0,13509984,2022-08-23T00:00:00.000Z
0.12501,0.12501,0,14214349,2022-08-24T00:00:00.000Z
0.12424,0.12424,0,14526307,2022-08-25T00:00:00.000Z
0.1524,0.1524,0,13171031,2022-08-26T00:00:00.000Z
0.16916,0.16916,0,12465419,2022-08-27T00:00:00.000Z
0.17253,0.17253,0,12371933,2022-08-28T00:00:00.000Z
0.17965,0.17965,0,13175572,2022-08-29T00:00:00.000Z
0.17963,0.17963,0,13232117,2022-08-30T00:00:00.000Z
0.17963,0.17963,0,13461910,2022-08-31T00:00:00.000Z
0.20276,0.20276,0,13507612,2022-09-01T00:00:00.000Z
0.21028,0.21028,0,13344111,2022-09-02T00:00:00.000Z
0.22916,0.22916,0,13200717,2022-09-03T00:00:00.000Z
0.26493,0.26493,0,13199814,2022-09-04T00:00:00.000Z
0.27696,0.27696,0,13144141,2022-09-05T23:00:11.400Z
0.38948,0.38948,0,12096729,2022-09-06T23:01:00.267Z
0.43227,0.43227,0,12478737,2022-09-07T23:00:58.851Z
0.96176,0.96176,0,10881907,2022-09-08T23:00:57.297Z
0.7964,0.7964,0,12081008,2022-09-09T23:00:57.732Z
0.75156,0.75156,0,13022362,2022-09-10T23:01:01.863Z
0.97133,0.97133,0,11050737,2022-09-11T23:00:56.399Z
1.05952,1.05952,0,10364226,2022-09-12T23:01:01.187Z
1.21843,1.21843,0,9115245,2022-09-13T23:01:08.221Z
1.76621,1.76621,0,8522009,2022-09-14T23:01:03.937Z
1.03309,1.03309,0,8299513,2022-09-15T23:00:59.680Z
0.82311,0.82311,0,8846793,2022-09-16T23:00:57.645Z
0.84311,0.84311,0,9397630,2022-09-17T23:01:11.711Z
1.46308,1.46308,0,7777684,2022-09-18T23:01:02.006Z
0.72403,0.72403,0,9555134,2022-09-19T23:01:06.390Z
0.76967,0.76967,0,9021645,2022-09-20T23:01:04.415Z
0.61507,0.61507,0,9045404,2022-09-21T23:01:04.851Z
0.67266,0.67266,0,9312072,2022-09-22T23:00:55.667Z
0.64579,0.64579,0,9431694,2022-09-23T23:01:09.349Z
0.70694,0.70694,0,9013149,2022-09-24T23:00:55.544Z
0.95033,0.95033,0,8708822,2022-09-25T23:01:06.506Z
0.75674,0.75674,0,9397024,2022-09-26T23:01:13.539Z
0.72133,0.72133,0,9446265,2022-09-27T23:01:02.028Z
0.69156,0.69156,0,9674425,2022-09-28T23:00:55.503Z
0.70418,0.70418,0,9911770,2022-09-29T23:01:05.057Z
0.4888,0.4888,0,10551806,2022-09-30T23:01:02.407Z
0.60029,0.60029,0,9800772,2022-10-01T23:01:01.648Z
0.51092,0.51092,0,10019586,2022-10-02T23:01:05.740Z
0.51607,0.51607,0,10155619,2022-10-03T23:01:08.986Z
0.50757,0.50757,0,10697601,2022-10-04T23:01:20.319Z
0.40289,0.40289,0,11189077,2022-10-05T23:00:54.963Z
0.46118,0.46118,0,10874857,2022-10-06T23:01:19.325Z
0.48259,0.48259,0,10694557,2022-10-07T23:00:57.594Z
0.59386,0.59386,0,10228853,2022-10-08T23:01:01.780Z
0.50269,0.50269,0,10546390,2022-10-09T23:01:12.652Z
0.43282,0.43282,0,10453055,2022-10-10T23:01:06.974Z
0.57512,0.57512,0,10158508,2022-10-11T23:01:07.778Z
0.63069,0.63069,0,10303497,2022-10-12T23:01:03.063Z
0.67712,0.67712,0,10111059,2022-10-13T23:01:08.339Z
0.6472,0.6472,0,10313796,2022-10-14T23:01:13.321Z
0.67192,0.67192,0,10227862,2022-10-15T23:01:06.527Z
0.67906,0.67906,0,10440690,2022-10-16T23:01:12.266Z
0.66981,0.66981,0,10705901,2022-10-17T23:00:57.835Z
0.6522,0.6522,0,10735353,2022-10-18T23:01:04.487Z
0.66705,0.66705,0,10385636,2022-10-19T23:01:00.156Z
0.74176,0.74176,0,10178631,2022-10-20T23:01:04.184Z
0.68298,0.68298,0,10565168,2022-10-21T23:01:02.834Z
0.64575,0.64575,0,11335828,2022-10-22T23:01:02.885Z
0.62064,0.62064,0,11879937,2022-10-23T23:01:02.562Z
0.92268,0.92268,0,10927092,2022-10-24T23:01:11.025Z
0.8225,0.8225,0,12323260,2022-10-25T23:01:12.568Z
0.71085,0.71085,0,13202025,2022-10-26T23:01:00.084Z
0.79129,0.79129,0,12052035,2022-10-27T23:00:56.317Z
0.77941,0.77941,0,12631199,2022-10-28T23:00:59.324Z
0.75119,0.75119,0,13277401,2022-10-29T23:01:00.144Z
0.83691,0.83691,0,12687976,2022-10-30T23:00:56.383Z
1.07822,1.07822,0,12462794,2022-10-31T23:01:01.170Z
0.77886,0.77886,0,13401351,2022-11-01T23:00:58.039Z
1.23812,1.23812,,11919365,2022-11-02T23:01:14.775Z
