APY,APY_BASE,APY_REWARD,TVL,DATE
0.00001,0.00001,,12635470,2024-09-23T23:01:00.965Z
0.00001,0.00001,,15563337,2024-09-24T23:01:24.543Z
0.00001,0.00001,,25291223,2024-09-25T23:01:08.204Z
0.00001,0.00001,,25936368,2024-09-26T23:17:09.447Z
0.00042,0.00042,,26102981,2024-09-27T23:01:04.595Z
0.00037,0.00037,,26110701,2024-09-28T23:01:04.638Z
0.00015,0.00015,,26237444,2024-09-29T23:01:18.138Z
0.00013,0.00013,,25984402,2024-09-30T23:02:01.444Z
0.00004,0.00004,,48585440,2024-10-01T23:01:33.000Z
0.00005,0.00005,,48571226,2024-10-02T23:01:09.951Z
0.00014,0.00014,,48392421,2024-10-03T23:01:09.720Z
0.0001,0.0001,,49585163,2024-10-04T23:17:12.107Z
0.00014,0.00014,,49369167,2024-10-05T23:01:37.874Z
0.00017,0.00017,,50906125,2024-10-06T23:01:00.132Z
0.00012,0.00012,,52648887,2024-10-07T19:01:07.026Z
0.00081,0.00081,,20538414,2024-10-08T12:02:21.989Z
0.00091,0.00091,,20307234,2024-10-09T23:02:08.464Z
0.00212,0.00212,,19958267,2024-10-10T23:02:09.714Z
0.00295,0.00295,,20759180,2024-10-11T18:02:10.824Z
0.01568,0.01568,,6996897,2024-10-12T23:02:04.305Z
0.05203,0.05203,,6686555,2024-10-13T23:02:01.741Z
0.01454,0.01454,,8429982,2024-10-14T23:01:55.741Z
0.00951,0.00951,,8478301,2024-10-15T23:02:03.704Z
0.00823,0.00823,,9874665,2024-10-16T23:01:56.189Z
0.07446,0.07446,,9063481,2024-10-17T23:02:12.222Z
0.08801,0.08801,,9308975,2024-10-18T23:02:02.878Z
0.34594,0.34594,,8327780,2024-10-19T23:02:04.427Z
0.34698,0.34698,,8531066,2024-10-20T23:02:16.629Z
0.29765,0.29765,,8946292,2024-10-21T23:02:03.685Z
0.2725,0.2725,,9411197,2024-10-22T23:01:56.502Z
0.2407,0.2407,,9998258,2024-10-23T23:01:55.425Z
0.31709,0.31709,,10007520,2024-10-24T23:01:55.378Z
0.22808,0.22808,,10602507,2024-10-25T23:03:05.579Z
0.22026,0.22026,,11281746,2024-10-26T23:01:54.898Z
0.2099,0.2099,,11676330,2024-10-27T23:01:55.823Z
0.20916,0.20916,,12512994,2024-10-28T23:02:11.456Z
0.19008,0.19008,,13666728,2024-10-29T23:02:01.158Z
0.2455,0.2455,,14767606,2024-10-30T23:02:58.977Z
0.17873,0.17873,,15495738,2024-10-31T23:01:59.076Z
0.15706,0.15706,,16024162,2024-11-01T23:01:58.288Z
0.16397,0.16397,,16753816,2024-11-02T23:02:00.726Z
0.33258,0.33258,,15792076,2024-11-03T23:01:58.501Z
0.30829,0.30829,,16615836,2024-11-04T23:01:59.662Z
0.35212,0.35212,,17535099,2024-11-05T23:01:59.696Z
0.33262,0.33262,,20115040,2024-11-06T23:02:28.119Z
0.19979,0.19979,,22518786,2024-11-07T23:01:55.433Z
0.18294,0.18294,,22614452,2024-11-08T23:01:59.265Z
0.17858,0.17858,,23852670,2024-11-09T23:02:12.503Z
0.07919,0.07919,,27990589,2024-11-10T23:01:56.418Z
0.21707,0.21707,,32413567,2024-11-11T23:01:59.436Z
