APY,APY_BASE,APY_REWARD,TVL,DATE
13.42682,13.42682,,641020,2024-03-10T23:01:20.944Z
11.6648,11.6648,,666932,2024-03-11T23:01:20.711Z
9.59911,9.59911,,713120,2024-03-12T23:01:24.197Z
3.77523,3.77523,,2230538,2024-03-13T23:02:02.434Z
9.17626,9.17626,,1002295,2024-03-14T23:01:10.934Z
4.56541,4.56541,,1471707,2024-03-15T23:01:11.985Z
6.00882,6.00882,,1124181,2024-03-16T23:01:10.241Z
19.42185,19.42185,,827598,2024-03-17T23:01:06.577Z
4.80018,4.80018,,1299815,2024-03-18T23:01:08.164Z
8.58217,8.58217,,1172544,2024-03-19T23:01:07.499Z
20.09168,20.09168,,902074,2024-03-20T23:01:12.201Z
4.79023,4.79023,,1419907,2024-03-21T23:01:22.869Z
4.76348,4.76348,,1482880,2024-03-22T23:01:17.277Z
4.92716,4.92716,,1341038,2024-03-23T23:01:11.287Z
8.13681,8.13681,,1193365,2024-03-24T21:01:13.306Z
7.63665,7.63665,,1340931,2024-03-25T23:01:18.920Z
19.5143,19.5143,,1065437,2024-03-26T07:01:10.149Z
4.35124,4.35124,,2412518,2024-03-27T23:01:06.926Z
3.99549,3.99549,,3304767,2024-03-28T23:01:10.432Z
4.31251,4.31251,,2722310,2024-03-29T23:01:15.591Z
4.56593,4.56593,,2249465,2024-03-30T23:01:10.736Z
8.769,8.769,,1620595,2024-03-31T23:01:07.437Z
7.2535,7.2535,,1678345,2024-04-01T23:01:19.262Z
6.12245,6.12245,,1740865,2024-04-02T23:01:13.089Z
4.53926,4.53926,,2483374,2024-04-03T23:01:14.714Z
4.50882,4.50882,,2651931,2024-04-04T23:01:20.567Z
4.18999,4.18999,,3302498,2024-04-05T23:01:15.712Z
4.48464,4.48464,,2662820,2024-04-06T23:01:14.012Z
4.57095,4.57095,,2497328,2024-04-07T23:01:17.452Z
4.19473,4.19473,,3466263,2024-04-08T23:01:12.753Z
4.18171,4.18171,,3584242,2024-04-09T23:01:12.866Z
8.7556,8.7556,,3173079,2024-04-10T23:01:15.633Z
8.02053,8.02053,,4029089,2024-04-11T23:01:15.673Z
6.62564,6.62564,,6353099,2024-04-12T23:01:14.244Z
6.00112,6.00112,,7659813,2024-04-13T23:01:13.107Z
8.10829,8.10829,,4070284,2024-04-14T23:01:13.582Z
7.85409,7.85409,,4545315,2024-04-15T23:01:10.778Z
7.05805,7.05805,,5650426,2024-04-16T23:33:37.339Z
6.55627,6.55627,,6526096,2024-04-17T23:01:17.856Z
5.62492,5.62492,,8381717,2024-04-18T23:17:13.218Z
5.02907,5.02907,,9741125,2024-04-19T23:01:09.938Z
4.92285,4.92285,,9974865,2024-04-20T23:01:14.527Z
5.28978,5.28978,,8960269,2024-04-21T23:01:15.040Z
5.6601,5.6601,,8607110,2024-04-22T23:01:24.689Z
5.98937,5.98937,,7898851,2024-04-23T23:01:30.076Z
5.86778,5.86778,,8138628,2024-04-24T23:01:35.471Z
5.60021,5.60021,,8744478,2024-04-25T23:01:28.064Z
6.48628,6.48628,,7116173,2024-04-26T23:01:27.334Z
5.91337,5.91337,,8224093,2024-04-27T23:01:30.231Z
5.43478,5.43478,,9270405,2024-04-28T23:01:50.649Z
5.75381,5.75381,,8642008,2024-04-29T23:01:31.464Z
5.1398,5.1398,,10284134,2024-04-30T23:01:33.510Z
5.73293,5.73293,,8751505,2024-05-01T23:01:24.215Z
6.16992,6.16992,,7802512,2024-05-02T23:01:31.832Z
5.11357,5.11357,,10785580,2024-05-03T23:01:35.622Z
4.87199,4.87199,,11599020,2024-05-04T23:01:30.345Z
3.82444,3.82444,,10955840,2024-05-05T23:01:45.953Z
3.47201,3.47201,,12668977,2024-05-06T17:01:29.654Z
3.29877,3.29877,,13693157,2024-05-07T23:01:27.362Z
3.5224,3.5224,,12719850,2024-05-08T23:01:28.606Z
4.84938,4.84938,,8035277,2024-05-09T23:01:29.378Z
5.11886,5.11886,,6974238,2024-05-10T23:01:35.324Z
5.34306,5.34306,,6537896,2024-05-11T23:03:19.463Z
5.0728,5.0728,,6965124,2024-05-12T23:01:59.332Z
5.61443,5.61443,,5353077,2024-05-13T23:01:21.947Z
5.29204,5.29204,,6166522,2024-05-14T23:01:29.495Z
3.98084,3.98084,,10333118,2024-05-15T23:02:21.688Z
4.04935,4.04935,,9953981,2024-05-16T23:01:26.736Z
4.10317,4.10317,,9632890,2024-05-17T23:01:22.366Z
3.97905,3.97905,,9986512,2024-05-18T23:01:37.609Z
4.03977,4.03977,,9789546,2024-05-19T23:01:36.178Z
