APY,APY_BASE,APY_REWARD,TVL,DATE
0.80844,0.80844,,9056684,2024-03-10T23:01:20.944Z
0.76192,0.76192,,9888458,2024-03-11T23:01:20.711Z
0.768,0.768,,9732625,2024-03-12T23:01:24.197Z
0.74964,0.74964,,10715448,2024-03-13T23:02:02.434Z
0.71049,0.71049,,11358688,2024-03-14T23:01:10.934Z
0.75956,0.75956,,10968640,2024-03-15T23:01:11.985Z
0.71072,0.71072,,10673722,2024-03-16T23:01:10.241Z
0.59871,0.59871,,12946650,2024-03-17T23:01:06.577Z
0.65055,0.65055,,12156152,2024-03-18T23:01:08.164Z
0.57618,0.57618,,12394936,2024-03-19T23:01:07.499Z
0.4438,0.4438,,15849573,2024-03-20T23:01:12.201Z
0.41152,0.41152,,15802381,2024-03-21T23:01:22.869Z
0.49023,0.49023,,14444463,2024-03-22T23:01:17.277Z
0.46645,0.46645,,15050070,2024-03-23T23:01:11.287Z
0.04158,0.04158,,20731568,2024-03-24T23:01:10.978Z
0.36114,0.36114,,18560078,2024-03-25T23:01:18.920Z
0.3287,0.3287,,20398576,2024-03-26T07:01:10.149Z
0.41838,0.41838,,18731935,2024-03-27T23:01:06.926Z
0.67823,0.67823,,17309471,2024-03-28T23:01:10.432Z
0.67661,0.67661,,17184853,2024-03-29T23:01:15.591Z
0.66727,0.66727,,17357340,2024-03-30T23:01:10.736Z
0.67478,0.67478,,18584108,2024-03-31T23:01:07.437Z
0.70236,0.70236,,17814723,2024-04-01T23:01:19.262Z
0.71476,0.71476,,17080468,2024-04-02T23:01:13.089Z
0.77554,0.77554,,16928928,2024-04-03T23:01:14.714Z
1.06373,1.06373,,14793471,2024-04-04T23:01:20.567Z
0.99133,0.99133,,15206125,2024-04-05T23:01:15.712Z
0.69977,0.69977,,17909076,2024-04-06T23:01:14.012Z
0.64547,0.64547,,18834529,2024-04-07T23:01:17.452Z
0.6404,0.6404,,20905512,2024-04-08T23:01:12.753Z
0.61209,0.61209,,20645166,2024-04-09T23:01:12.866Z
0.61058,0.61058,,21508032,2024-04-10T23:01:15.633Z
0.68615,0.68615,,20096550,2024-04-11T23:01:15.673Z
0.81239,0.81239,,17516560,2024-04-12T23:01:14.244Z
0.32981,0.32981,,24043930,2024-04-13T23:01:13.107Z
0.49496,0.49496,,24075861,2024-04-14T23:01:13.582Z
0.50396,0.50396,,23733962,2024-04-15T23:01:10.778Z
0.51791,0.51791,,23076480,2024-04-16T23:33:37.339Z
0.60346,0.60346,,21503340,2024-04-17T23:01:17.856Z
0.72295,0.72295,,20758961,2024-04-18T23:17:13.218Z
0.80036,0.80036,,19789377,2024-04-19T23:01:09.938Z
0.78232,0.78232,,20498669,2024-04-20T23:01:14.527Z
0.73827,0.73827,,20952647,2024-04-21T23:01:15.040Z
0.73031,0.73031,,21561238,2024-04-22T23:01:24.689Z
0.7022,0.7022,,22145483,2024-04-23T23:01:30.076Z
0.72091,0.72091,,21135133,2024-04-24T23:01:35.471Z
0.76127,0.76127,,20543491,2024-04-25T23:01:28.064Z
0.69277,0.69277,,21612701,2024-04-26T23:01:27.334Z
0.69104,0.69104,,22208163,2024-04-27T23:01:30.231Z
0.73857,0.73857,,21695300,2024-04-28T23:01:50.649Z
0.70509,0.70509,,22294793,2024-04-29T23:01:31.464Z
0.62093,0.62093,,22214698,2024-04-30T23:01:33.510Z
0.66842,0.66842,,22058338,2024-05-01T23:01:24.215Z
0.57933,0.57933,,23573891,2024-05-02T23:01:31.832Z
0.68442,0.68442,,23021598,2024-05-03T23:01:35.622Z
0.69442,0.69442,,22742750,2024-05-04T23:01:30.345Z
0.62704,0.62704,,23995502,2024-05-05T23:01:45.953Z
0.60746,0.60746,,24168535,2024-05-06T17:01:29.654Z
0.66696,0.66696,,23035334,2024-05-07T23:01:27.362Z
0.68942,0.68942,,22671275,2024-05-08T23:01:28.606Z
0.82413,0.82413,,22377739,2024-05-09T23:01:29.378Z
0.87108,0.87108,,20594475,2024-05-10T23:01:35.324Z
0.84437,0.84437,,21536201,2024-05-11T23:03:19.463Z
0.87719,0.87719,,20592304,2024-05-12T23:01:59.332Z
0.88651,0.88651,,19690110,2024-05-13T23:01:21.947Z
0.66822,0.66822,,21741180,2024-05-14T23:01:29.495Z
0.71351,0.71351,,22210176,2024-05-15T23:02:21.688Z
0.61611,0.61611,,22815961,2024-05-16T23:01:26.736Z
0.59929,0.59929,,24111550,2024-05-17T23:01:22.366Z
0.64362,0.64362,,23089324,2024-05-18T23:01:37.609Z
0.64451,0.64451,,22747113,2024-05-19T23:01:36.178Z
0.45348,0.45348,,31295704,2024-05-20T23:01:49.000Z
0.35785,0.35785,,36022121,2024-05-21T23:01:20.059Z
0.32342,0.32342,,37775990,2024-05-22T23:01:32.269Z
0.30301,0.30301,,38908452,2024-05-23T23:01:34.678Z
0.32495,0.32495,,36928748,2024-05-24T23:01:39.784Z
0.33265,0.33265,,37724238,2024-05-25T23:01:26.703Z
0.4202,0.4202,,36161968,2024-05-26T23:01:58.521Z
0.30686,0.30686,,38765850,2024-05-27T23:01:20.465Z
0.30637,0.30637,,40131129,2024-05-28T23:01:19.821Z
0.34001,0.34001,,37601117,2024-05-29T23:01:46.895Z
0.37369,0.37369,,34659458,2024-05-30T23:01:21.991Z
0.32423,0.32423,,37618484,2024-05-31T23:01:36.859Z
0.39705,0.39705,,36839191,2024-06-01T23:01:20.784Z
0.40833,0.40833,,35909161,2024-06-02T23:01:22.840Z
