APY,APY_BASE,APY_REWARD,TVL,DATE
0.24518,0.24518,,8477700,2024-06-10T23:02:11.390Z
0.36509,0.36509,,6722391,2024-06-11T23:01:00.618Z
0.3584,0.3584,,7062059,2024-06-12T23:01:19.543Z
0.35952,0.35952,,6924451,2024-06-13T23:01:07.485Z
0.50086,0.50086,,6291111,2024-06-14T23:00:57.123Z
0.50791,0.50791,,6457632,2024-06-15T23:01:19.634Z
0.54467,0.54467,,6240711,2024-06-16T23:01:18.682Z
0.568,0.568,,5981291,2024-06-17T23:01:06.872Z
0.56106,0.56106,,5919815,2024-06-18T23:00:58.384Z
0.56786,0.56786,,5873457,2024-06-19T23:01:06.333Z
0.60774,0.60774,,5646605,2024-06-20T23:01:14.144Z
0.60562,0.60562,,5669577,2024-06-21T23:01:37.156Z
0.57534,0.57534,,5914475,2024-06-22T23:02:11.146Z
0.4756,0.4756,,5722580,2024-06-23T23:01:15.899Z
0.45162,0.45162,,5687791,2024-06-24T23:01:00.479Z
0.44739,0.44739,,5798794,2024-06-25T23:01:15.036Z
0.44531,0.44531,,5794981,2024-06-26T23:01:37.015Z
0.66906,0.66906,,5110863,2024-06-27T23:01:04.022Z
0.71238,0.71238,,4737698,2024-06-28T23:01:07.187Z
0.71049,0.71049,,4761580,2024-06-29T23:01:05.582Z
0.75077,0.75077,,4594972,2024-06-30T23:01:11.926Z
0.70879,0.70879,,4729131,2024-07-01T23:00:59.686Z
0.61699,0.61699,,5039867,2024-07-02T23:02:00.746Z
0.57209,0.57209,,4969762,2024-07-03T23:01:57.510Z
0.58792,0.58792,,4674769,2024-07-04T23:02:15.639Z
0.53957,0.53957,,4762935,2024-07-05T23:02:01.013Z
0.57461,0.57461,,4794889,2024-07-06T23:01:56.347Z
0.57417,0.57417,,4610572,2024-07-07T23:01:57.643Z
0.58307,0.58307,,4704372,2024-07-08T23:01:56.839Z
0.43765,0.43765,,5295629,2024-07-09T23:01:55.937Z
0.49847,0.49847,,5143487,2024-07-10T23:01:59.205Z
0.47425,0.47425,,5206300,2024-07-11T23:01:56.951Z
0.48024,0.48024,,5183354,2024-07-12T23:01:59.724Z
0.48227,0.48227,,5270938,2024-07-13T23:02:00.676Z
0.48319,0.48319,,5358720,2024-07-14T23:01:59.456Z
0.51293,0.51293,,5430146,2024-07-15T23:02:39.168Z
0.50692,0.50692,,5381576,2024-07-16T23:02:03.129Z
0.50799,0.50799,,5313122,2024-07-17T23:02:13.381Z
0.52058,0.52058,,5273809,2024-07-18T23:02:30.450Z
0.52005,0.52005,,5400431,2024-07-19T23:02:33.043Z
0.51046,0.51046,,5498720,2024-07-20T23:02:04.847Z
0.49129,0.49129,,5712955,2024-07-21T23:02:47.387Z
0.48555,0.48555,,5610879,2024-07-22T23:02:04.995Z
0.46278,0.46278,,5757663,2024-07-23T23:02:05.297Z
0.45886,0.45886,,5732609,2024-07-24T23:02:30.644Z
0.42851,0.42851,,5841124,2024-07-25T23:02:38.721Z
0.41311,0.41311,,6390377,2024-07-26T23:02:05.839Z
0.42021,0.42021,,6281085,2024-07-27T23:18:22.735Z
0.43439,0.43439,,6159918,2024-07-28T23:02:38.484Z
0.43755,0.43755,,6306861,2024-07-29T23:01:56.852Z
0.44067,0.44067,,6252110,2024-07-30T23:03:01.214Z
0.43828,0.43828,,6200255,2024-07-31T23:01:58.304Z
0.42131,0.42131,,6238706,2024-08-01T23:02:28.780Z
0.43716,0.43716,,5667381,2024-08-02T23:01:59.249Z
0.42796,0.42796,,5584288,2024-08-03T23:01:59.323Z
0.34875,0.34875,,5816031,2024-08-04T23:02:01.476Z
0.62438,0.62438,,3201202,2024-08-05T23:01:58.765Z
0.61032,0.61032,,3293585,2024-08-06T23:01:57.505Z
0.5812,0.5812,,3257250,2024-08-07T23:01:59.460Z
0.27263,0.27263,,4497982,2024-08-08T23:01:57.749Z
0.36354,0.36354,,4220030,2024-08-09T23:02:06.113Z
0.38287,0.38287,,4205876,2024-08-10T23:01:59.180Z
0.44059,0.44059,,3956028,2024-08-11T23:01:59.505Z
0.46386,0.46386,,4111300,2024-08-12T23:01:56.049Z
0.45844,0.45844,,4228596,2024-08-13T23:02:09.124Z
0.44996,0.44996,,4213702,2024-08-14T23:02:20.164Z
0.4252,0.4252,,4160891,2024-08-15T23:01:59.652Z
0.44856,0.44856,,4011500,2024-08-16T23:01:59.517Z
0.45233,0.45233,,3999550,2024-08-17T23:01:01.048Z
0.49616,0.49616,,3934304,2024-08-18T23:01:26.817Z
0.54895,0.54895,,3759682,2024-08-19T23:01:21.589Z
0.54345,0.54345,,3755590,2024-08-20T23:01:15.117Z
0.55624,0.55624,,3790336,2024-08-21T23:01:10.577Z
0.50606,0.50606,,3942239,2024-08-22T23:01:16.083Z
0.46348,0.46348,,4192731,2024-08-23T23:00:59.158Z
0.44885,0.44885,,4248911,2024-08-24T23:01:12.454Z
0.43186,0.43186,,4343368,2024-08-25T23:01:11.998Z
0.57782,0.57782,,3662478,2024-08-26T23:01:09.156Z
0.59957,0.59957,,3245985,2024-08-27T23:01:02.744Z
0.59834,0.59834,,3361343,2024-08-28T23:01:00.680Z
0.57956,0.57956,,3434959,2024-08-29T23:01:05.533Z
0.59273,0.59273,,3397292,2024-08-30T23:00:58.859Z
0.5918,0.5918,,3391724,2024-08-31T23:01:04.042Z
0.60383,0.60383,,3204374,2024-09-01T23:16:54.773Z
0.60474,0.60474,,3402019,2024-09-02T23:01:17.121Z
0.62699,0.62699,,3179429,2024-09-03T23:01:05.514Z
0.49131,0.49131,,3508002,2024-09-04T23:01:26.948Z
0.48364,0.48364,,3400977,2024-09-05T23:01:08.995Z
0.46359,0.46359,,3254046,2024-09-06T23:00:58.467Z
0.47782,0.47782,,3287384,2024-09-07T23:00:59.597Z
0.47581,0.47581,,3345287,2024-09-08T23:00:58.769Z
0.47671,0.47671,,3438201,2024-09-09T23:00:58.258Z
0.48124,0.48124,,3461692,2024-09-10T23:00:57.434Z
0.48787,0.48787,,3366935,2024-09-11T23:01:08.589Z
0.48068,0.48068,,3417616,2024-09-12T23:00:57.499Z
0.48963,0.48963,,3543779,2024-09-13T23:01:17.267Z
0.52036,0.52036,,3420255,2024-09-14T23:01:25.393Z
0.51494,0.51494,,3373138,2024-09-15T23:01:13.036Z
0.30876,0.30876,,3978818,2024-09-16T23:00:58.370Z
0.30974,0.30974,,4077051,2024-09-17T23:01:09.989Z
0.31305,0.31305,,4051610,2024-09-18T23:00:59.246Z
0.32404,0.32404,,4221655,2024-09-19T23:00:59.984Z
0.58635,0.58635,,3565368,2024-09-20T23:01:01.679Z
0.57084,0.57084,,3631643,2024-09-21T23:01:07.956Z
0.57893,0.57893,,3646732,2024-09-22T23:01:23.906Z
0.38944,0.38944,,4348309,2024-09-23T23:01:00.965Z
0.36398,0.36398,,4675921,2024-09-24T23:01:24.543Z
0.42493,0.42493,,4368139,2024-09-25T23:01:08.204Z
0.44892,0.44892,,4316457,2024-09-26T23:17:09.447Z
0.51391,0.51391,,4118054,2024-09-27T23:01:04.595Z
0.60262,0.60262,,3853079,2024-09-28T23:01:04.638Z
0.62924,0.62924,,3754568,2024-09-29T23:01:18.138Z
0.65656,0.65656,,3582084,2024-09-30T23:02:01.444Z
0.86845,0.86845,,2881098,2024-10-01T23:01:33.000Z
0.82796,0.82796,,2896419,2024-10-02T23:01:09.951Z
0.77814,0.77814,,2939354,2024-10-03T23:01:09.720Z
0.78315,0.78315,,2998891,2024-10-04T23:17:12.107Z
0.86124,0.86124,,2827991,2024-10-05T23:01:37.874Z
0.90528,0.90528,,2766117,2024-10-06T23:01:00.132Z
0.87825,0.87825,,2843563,2024-10-07T23:01:08.839Z
0.84199,0.84199,,2949337,2024-10-08T12:02:21.989Z
0.30232,0.30232,,5564937,2024-10-09T23:02:08.464Z
0.27355,0.27355,,5884230,2024-10-10T23:02:09.714Z
1.02901,1.02901,,2669250,2024-10-11T23:02:06.867Z
0.99516,0.99516,,2790603,2024-10-12T23:02:04.305Z
0.95732,0.95732,,2843643,2024-10-13T23:02:01.741Z
0.80721,0.80721,,3397108,2024-10-14T23:01:55.741Z
0.85299,0.85299,,3231131,2024-10-15T23:02:03.704Z
0.85899,0.85899,,3195872,2024-10-16T23:01:56.189Z
0.91995,0.91995,,2967170,2024-10-17T23:02:12.222Z
0.84045,0.84045,,3155259,2024-10-18T23:02:02.878Z
0.8432,0.8432,,3153561,2024-10-19T23:02:04.427Z
0.7427,0.7427,,3494184,2024-10-20T23:02:16.629Z
0.72867,0.72867,,3457223,2024-10-21T23:02:03.685Z
0.71034,0.71034,,3461845,2024-10-22T23:01:56.502Z
0.67594,0.67594,,3389189,2024-10-23T23:01:55.425Z
0.69466,0.69466,,3324324,2024-10-24T23:01:55.378Z
0.93026,0.93026,,2656528,2024-10-25T23:03:05.579Z
0.93328,0.93328,,2721825,2024-10-26T23:01:54.898Z
0.95196,0.95196,,2719947,2024-10-27T23:01:55.823Z
0.95462,0.95462,,2766797,2024-10-28T23:02:11.456Z
0.89855,0.89855,,3006345,2024-10-29T23:02:01.158Z
0.89477,0.89477,,3052786,2024-10-30T23:02:58.977Z
0.93712,0.93712,,2762326,2024-10-31T23:01:59.076Z
1.02682,1.02682,,2596476,2024-11-01T23:01:58.288Z
1.04136,1.04136,,2563400,2024-11-02T23:02:00.726Z
1.16946,1.16946,,2113612,2024-11-03T23:01:58.501Z
1.17136,1.17136,,2053116,2024-11-04T23:01:59.662Z
1.04721,1.04721,,2435649,2024-11-05T23:01:59.696Z
