APY,APY_BASE,APY_REWARD,TVL,DATE
5.80438,5.80438,,585910,2024-06-10T23:02:11.390Z
7.27292,7.27292,,279318,2024-06-11T23:01:00.618Z
12.09875,12.09875,,248973,2024-06-12T23:01:19.543Z
3.35034,3.35034,,1607712,2024-06-13T23:01:07.485Z
5.068,5.068,,913269,2024-06-14T23:00:57.123Z
7.16282,7.16282,,306344,2024-06-15T23:01:19.634Z
7.0865,7.0865,,318702,2024-06-16T23:01:18.682Z
6.80816,6.80816,,371293,2024-06-17T23:01:06.872Z
6.58384,6.58384,,412510,2024-06-18T23:00:58.384Z
6.83965,6.83965,,352520,2024-06-19T23:01:06.333Z
5.95387,5.95387,,551789,2024-06-20T23:01:14.144Z
5.92966,5.92966,,558514,2024-06-21T23:01:37.156Z
5.81807,5.81807,,585393,2024-06-22T23:02:11.146Z
5.70583,5.70583,,608160,2024-06-23T23:01:15.899Z
5.81174,5.81174,,585360,2024-06-24T23:01:00.479Z
6.05563,6.05563,,513335,2024-06-25T23:01:15.036Z
6.61983,6.61983,,406340,2024-06-26T23:01:37.015Z
6.16162,6.16162,,492477,2024-06-27T23:01:04.022Z
6.70784,6.70784,,393321,2024-06-28T23:01:07.187Z
7.08753,7.08753,,328441,2024-06-29T23:01:05.582Z
6.85495,6.85495,,373923,2024-06-30T23:01:11.926Z
19.26482,19.26482,,206065,2024-07-01T23:00:59.686Z
6.71345,6.71345,,371616,2024-07-02T23:02:00.746Z
6.92039,6.92039,,335594,2024-07-03T23:01:57.510Z
6.3123,6.3123,,453905,2024-07-04T23:02:15.639Z
5.33531,5.33531,,681518,2024-07-05T23:02:01.013Z
4.24669,4.24669,,1041207,2024-07-06T23:01:56.347Z
3.12123,3.12123,,1592947,2024-07-07T23:01:57.643Z
4.83512,4.83512,,838314,2024-07-08T23:01:56.839Z
5.10553,5.10553,,764333,2024-07-09T23:01:55.937Z
3.81651,3.81651,,1251744,2024-07-10T23:01:59.205Z
5.29428,5.29428,,714330,2024-07-11T23:01:56.951Z
5.44008,5.44008,,692634,2024-07-12T23:01:59.724Z
5.09111,5.09111,,811677,2024-07-13T23:02:00.676Z
5.05834,5.05834,,816177,2024-07-14T23:01:59.456Z
5.29107,5.29107,,761576,2024-07-15T23:02:39.168Z
5.04705,5.04705,,839166,2024-07-16T23:02:03.129Z
5.06211,5.06211,,836813,2024-07-17T23:02:13.381Z
5.3965,5.3965,,740315,2024-07-18T23:02:30.450Z
5.36728,5.36728,,745219,2024-07-19T23:02:33.043Z
5.38606,5.38606,,742801,2024-07-20T23:02:04.847Z
5.16792,5.16792,,799994,2024-07-21T23:02:47.387Z
5.33472,5.33472,,781579,2024-07-22T23:02:04.995Z
5.96477,5.96477,,609854,2024-07-23T23:02:05.297Z
4.58769,4.58769,,524450,2024-07-24T23:02:30.644Z
5.21913,5.21913,,321395,2024-07-25T23:02:38.721Z
4.90952,4.90952,,398232,2024-07-26T23:02:05.839Z
4.4543,4.4543,,525156,2024-07-27T23:18:22.735Z
4.39692,4.39692,,545070,2024-07-28T23:02:38.484Z
4.55815,4.55815,,498684,2024-07-29T23:01:56.852Z
4.69229,4.69229,,461313,2024-07-30T23:03:01.214Z
4.90459,4.90459,,406583,2024-07-31T23:01:58.304Z
18.18134,18.18134,,215014,2024-08-01T23:02:28.780Z
6.27269,6.27269,,282623,2024-08-02T23:01:59.249Z
5.2316,5.2316,,303739,2024-08-03T23:01:59.323Z
16.19488,16.19488,,209761,2024-08-04T23:02:01.476Z
3.66053,3.66053,,638900,2024-08-05T23:01:58.765Z
3.86759,3.86759,,577380,2024-08-06T23:01:57.505Z
2.72646,2.72646,,1167867,2024-08-07T23:01:59.460Z
3.87046,3.87046,,625803,2024-08-08T23:01:57.749Z
3.98712,3.98712,,595471,2024-08-09T23:02:06.113Z
3.4207,3.4207,,819044,2024-08-10T23:01:59.180Z
4.08646,4.08646,,613043,2024-08-11T23:01:59.505Z
4.02516,4.02516,,645051,2024-08-12T23:01:56.049Z
4.06706,4.06706,,629066,2024-08-13T23:02:09.124Z
3.83889,3.83889,,711908,2024-08-14T23:02:20.164Z
4.67215,4.67215,,484336,2024-08-15T23:01:59.652Z
4.53463,4.53463,,524195,2024-08-16T23:01:59.517Z
4.36858,4.36858,,587057,2024-08-17T23:01:01.048Z
4.31226,4.31226,,607215,2024-08-18T23:01:26.817Z
4.40877,4.40877,,573176,2024-08-19T23:01:21.589Z
4.41203,4.41203,,575370,2024-08-20T23:01:15.117Z
4.52891,4.52891,,538100,2024-08-21T23:01:10.577Z
4.5533,4.5533,,529969,2024-08-22T23:01:16.083Z
4.0607,4.0607,,696004,2024-08-23T23:00:59.158Z
3.77251,3.77251,,826510,2024-08-24T23:01:12.454Z
4.08811,4.08811,,702255,2024-08-25T23:01:11.998Z
5.08052,5.08052,,367485,2024-08-26T23:01:09.156Z
5.14616,5.14616,,355339,2024-08-27T23:01:02.744Z
4.7492,4.7492,,489952,2024-08-28T23:01:00.680Z
4.51136,4.51136,,581082,2024-08-29T23:01:05.533Z
4.62628,4.62628,,541947,2024-08-30T23:00:58.859Z
4.44523,4.44523,,618611,2024-08-31T23:01:04.042Z
4.33713,4.33713,,656645,2024-09-01T23:16:54.773Z
4.74766,4.74766,,504345,2024-09-02T23:01:17.121Z
4.93028,4.93028,,449377,2024-09-03T23:01:05.514Z
4.50084,4.50084,,591344,2024-09-04T23:01:26.948Z
4.24956,4.24956,,686356,2024-09-05T23:01:08.995Z
4.37666,4.37666,,625749,2024-09-06T23:00:58.467Z
4.38439,4.38439,,626868,2024-09-07T23:00:59.597Z
4.32138,4.32138,,652440,2024-09-08T23:00:58.769Z
4.32026,4.32026,,654816,2024-09-09T23:00:58.258Z
3.59274,3.59274,,684306,2024-09-10T23:00:57.434Z
3.56567,3.56567,,703588,2024-09-11T23:01:08.589Z
3.57287,3.57287,,696195,2024-09-12T23:00:57.499Z
