APY,APY_BASE,APY_REWARD,TVL,DATE
7.13093,7.13093,,1032623,2024-06-10T23:02:11.390Z
6.64165,6.64165,,1358269,2024-06-11T23:01:00.618Z
7.27037,7.27037,,939452,2024-06-12T23:01:19.543Z
5.89724,5.89724,,1968818,2024-06-13T23:01:07.485Z
5.78894,5.78894,,2129167,2024-06-14T23:00:57.123Z
7.23875,7.23875,,980886,2024-06-15T23:01:19.634Z
6.8282,6.8282,,1233946,2024-06-16T23:01:18.682Z
6.49831,6.49831,,1497986,2024-06-17T23:01:06.872Z
6.23478,6.23478,,1701331,2024-06-18T23:00:58.384Z
5.45049,5.45049,,2383350,2024-06-19T23:01:06.333Z
6.38708,6.38708,,1573433,2024-06-20T23:01:14.144Z
6.04949,6.04949,,1850364,2024-06-21T23:01:37.156Z
5.86347,5.86347,,2013928,2024-06-22T23:02:11.146Z
5.60887,5.60887,,2235837,2024-06-23T23:01:15.899Z
5.44952,5.44952,,2365880,2024-06-24T23:01:00.479Z
6.10363,6.10363,,1859896,2024-06-25T23:01:15.036Z
6.72357,6.72357,,1340480,2024-06-26T23:01:37.015Z
5.60189,5.60189,,2324288,2024-06-27T23:01:04.022Z
5.38886,5.38886,,2526874,2024-06-28T23:01:07.187Z
5.37034,5.37034,,2554112,2024-06-29T23:01:05.582Z
5.60618,5.60618,,2344286,2024-06-30T23:01:11.926Z
5.75612,5.75612,,2211773,2024-07-01T23:00:59.686Z
6.24729,6.24729,,1807274,2024-07-02T23:02:00.746Z
6.38387,6.38387,,1664818,2024-07-03T23:01:57.510Z
5.73886,5.73886,,2076559,2024-07-04T23:02:15.639Z
5.69704,5.69704,,2041156,2024-07-05T23:02:01.013Z
6.46076,6.46076,,1482289,2024-07-06T23:01:56.347Z
6.25153,6.25153,,1623673,2024-07-07T23:01:57.643Z
5.60386,5.60386,,2078629,2024-07-08T23:01:56.839Z
6.42425,6.42425,,1433929,2024-07-09T23:01:55.937Z
6.836,6.836,,1182096,2024-07-10T23:01:59.205Z
6.71442,6.71442,,1256717,2024-07-11T23:01:56.951Z
6.90433,6.90433,,1140367,2024-07-12T23:01:59.724Z
6.94571,6.94571,,1122496,2024-07-13T23:02:00.676Z
6.50472,6.50472,,1372149,2024-07-14T23:01:59.456Z
7.00221,7.00221,,1067833,2024-07-15T23:02:39.168Z
6.17067,6.17067,,1685200,2024-07-16T23:02:03.129Z
5.99148,5.99148,,1794849,2024-07-17T23:02:13.381Z
5.98537,5.98537,,1761191,2024-07-18T23:02:30.450Z
5.87433,5.87433,,1834938,2024-07-19T23:02:33.043Z
5.82175,5.82175,,1877709,2024-07-20T23:02:04.847Z
5.7646,5.7646,,1982853,2024-07-21T23:02:47.387Z
5.62995,5.62995,,2098236,2024-07-22T23:02:04.995Z
5.88941,5.88941,,1902641,2024-07-23T23:02:05.297Z
4.29888,4.29888,,1850776,2024-07-24T23:02:30.644Z
4.7762,4.7762,,1346290,2024-07-25T23:02:38.721Z
5.22012,5.22012,,996753,2024-07-26T23:02:05.839Z
4.97983,4.97983,,1209967,2024-07-27T23:18:22.735Z
5.07169,5.07169,,1133524,2024-07-28T23:02:38.484Z
4.89992,4.89992,,1298279,2024-07-29T23:01:56.852Z
5.1167,5.1167,,1098494,2024-07-30T23:03:01.214Z
5.25603,5.25603,,969051,2024-07-31T23:01:58.304Z
7.06564,7.06564,,941596,2024-08-01T23:02:28.780Z
5.07342,5.07342,,1142114,2024-08-02T23:01:59.249Z
5.09382,5.09382,,1134394,2024-08-03T23:01:59.323Z
4.95771,4.95771,,1258483,2024-08-04T23:02:01.476Z
4.21812,4.21812,,1859089,2024-08-05T23:01:58.765Z
4.71254,4.71254,,1342797,2024-08-06T23:01:57.505Z
4.80955,4.80955,,1271194,2024-08-07T23:01:59.460Z
4.7027,4.7027,,1410659,2024-08-08T23:01:57.749Z
4.42372,4.42372,,1725285,2024-08-09T23:02:06.113Z
4.37441,4.37441,,1786412,2024-08-10T23:01:59.180Z
4.06587,4.06587,,2106060,2024-08-11T23:01:59.505Z
4.17708,4.17708,,1976631,2024-08-12T23:01:56.049Z
4.45327,4.45327,,1724824,2024-08-13T23:02:09.124Z
4.58345,4.58345,,1602706,2024-08-14T23:02:20.164Z
4.55139,4.55139,,1653986,2024-08-15T23:01:59.652Z
4.5717,4.5717,,1638105,2024-08-16T23:01:59.517Z
4.61208,4.61208,,1587655,2024-08-17T23:01:01.048Z
4.60389,4.60389,,1606454,2024-08-18T23:01:26.817Z
4.45221,4.45221,,1758126,2024-08-19T23:01:21.589Z
4.44439,4.44439,,1768121,2024-08-20T23:01:15.117Z
4.53112,4.53112,,1684389,2024-08-21T23:01:10.577Z
4.42004,4.42004,,1818362,2024-08-22T23:01:16.083Z
4.4417,4.4417,,1836180,2024-08-23T23:00:59.158Z
4.49575,4.49575,,1788109,2024-08-24T23:01:12.454Z
4.70957,4.70957,,1575248,2024-08-25T23:01:11.998Z
5.2237,5.2237,,1094521,2024-08-26T23:01:09.156Z
4.72477,4.72477,,1630367,2024-08-27T23:01:02.744Z
4.67223,4.67223,,1671394,2024-08-28T23:01:00.680Z
4.73281,4.73281,,1599834,2024-08-29T23:01:05.533Z
4.34755,4.34755,,2084400,2024-08-30T23:00:58.859Z
4.15818,4.15818,,2266568,2024-08-31T23:01:04.042Z
4.19817,4.19817,,2205877,2024-09-01T23:16:54.773Z
4.2776,4.2776,,2118119,2024-09-02T23:01:17.121Z
4.39506,4.39506,,1978156,2024-09-03T23:01:05.514Z
4.3482,4.3482,,2013685,2024-09-04T23:01:26.948Z
