APY,APY_BASE,APY_REWARD,TVL,DATE
1.96369,1.96369,,3678640,2024-06-10T23:02:11.390Z
1.35348,1.35348,,4280280,2024-06-11T23:01:00.618Z
1.13039,1.13039,,4554037,2024-06-12T23:01:19.543Z
1.30247,1.30247,,4294281,2024-06-13T23:01:07.485Z
1.57793,1.57793,,4066558,2024-06-14T23:00:57.123Z
1.58065,1.58065,,4114826,2024-06-15T23:01:19.634Z
1.59586,1.59586,,4136065,2024-06-16T23:01:18.682Z
1.5875,1.5875,,4057127,2024-06-17T23:01:06.872Z
1.57012,1.57012,,3935363,2024-06-18T23:00:58.384Z
1.19236,1.19236,,4917574,2024-06-19T23:01:06.333Z
0.86429,0.86429,,4704859,2024-06-20T23:01:14.144Z
0.75625,0.75625,,4757219,2024-06-21T23:01:37.156Z
0.733,0.733,,4866335,2024-06-22T23:02:11.146Z
0.75516,0.75516,,4728715,2024-06-23T23:01:15.899Z
0.62906,0.62906,,4692699,2024-06-24T23:01:00.479Z
0.54945,0.54945,,4910897,2024-06-25T23:01:15.036Z
0.53906,0.53906,,4920828,2024-06-26T23:01:37.015Z
0.52804,0.52804,,4996710,2024-06-27T23:01:04.022Z
0.31384,0.31384,,5162230,2024-06-28T23:01:07.187Z
0.31453,0.31453,,5188779,2024-06-29T23:01:05.582Z
0.31539,0.31539,,5304349,2024-06-30T23:01:11.926Z
0.31894,0.31894,,5238777,2024-07-01T23:00:59.686Z
0.30287,0.30287,,5394788,2024-07-02T23:02:00.746Z
0.29126,0.29126,,5258344,2024-07-03T23:01:57.510Z
0.27663,0.27663,,5077841,2024-07-04T23:02:15.639Z
0.27082,0.27082,,4821418,2024-07-05T23:02:01.013Z
0.26643,0.26643,,5138934,2024-07-06T23:01:56.347Z
0.26419,0.26419,,4825544,2024-07-07T23:01:57.643Z
0.26392,0.26392,,4988865,2024-07-08T23:01:56.839Z
0.25919,0.25919,,5108179,2024-07-09T23:01:55.937Z
0.2574,0.2574,,5262417,2024-07-10T23:01:59.205Z
0.25088,0.25088,,5305153,2024-07-11T23:01:56.951Z
0.24323,0.24323,,5486040,2024-07-12T23:01:59.724Z
0.20897,0.20897,,5640024,2024-07-13T23:02:00.676Z
0.20525,0.20525,,5819576,2024-07-14T23:01:59.456Z
0.2055,0.2055,,6213465,2024-07-15T23:02:39.168Z
0.20696,0.20696,,6124692,2024-07-16T23:02:03.129Z
0.20548,0.20548,,6103951,2024-07-17T23:02:13.381Z
0.20501,0.20501,,6154108,2024-07-18T23:02:30.450Z
0.20674,0.20674,,6341915,2024-07-19T23:02:33.043Z
0.20632,0.20632,,6355359,2024-07-20T23:02:04.847Z
0.22013,0.22013,,6197880,2024-07-21T23:02:47.387Z
0.22139,0.22139,,6080057,2024-07-22T23:02:04.995Z
0.21207,0.21207,,6120635,2024-07-23T23:02:05.297Z
0.22949,0.22949,,5786818,2024-07-24T23:02:30.644Z
0.22871,0.22871,,5784092,2024-07-25T23:02:38.721Z
0.22433,0.22433,,5970526,2024-07-26T23:02:05.839Z
0.22179,0.22179,,5972441,2024-07-27T23:18:22.735Z
0.21334,0.21334,,6097157,2024-07-28T23:02:38.484Z
0.2079,0.2079,,6082295,2024-07-29T23:01:56.852Z
0.2011,0.2011,,6199236,2024-07-30T23:03:01.214Z
0.23337,0.23337,,6053124,2024-07-31T23:01:58.304Z
0.23717,0.23717,,5968062,2024-08-01T23:02:28.780Z
0.23718,0.23718,,5601796,2024-08-02T23:01:59.249Z
0.24959,0.24959,,5316025,2024-08-03T23:01:59.323Z
0.26445,0.26445,,4903164,2024-08-04T23:02:01.476Z
0.21961,0.21961,,4972621,2024-08-05T23:01:58.765Z
0.22344,0.22344,,5172478,2024-08-06T23:01:57.505Z
1.80551,1.80551,,3617827,2024-08-07T23:01:59.460Z
1.81931,1.81931,,3882808,2024-08-08T23:01:57.749Z
1.49106,1.49106,,4540079,2024-08-09T23:02:06.113Z
1.38184,1.38184,,4937115,2024-08-10T23:01:59.180Z
1.02788,1.02788,,5220560,2024-08-11T23:01:59.505Z
1.05418,1.05418,,5213873,2024-08-12T23:01:56.049Z
1.08238,1.08238,,5287628,2024-08-13T23:02:09.124Z
1.12144,1.12144,,5417499,2024-08-14T23:02:20.164Z
1.44795,1.44795,,4850076,2024-08-15T23:01:59.652Z
1.41139,1.41139,,4932327,2024-08-16T23:01:59.517Z
1.21264,1.21264,,5364778,2024-08-17T23:01:01.048Z
1.1571,1.1571,,5516581,2024-08-18T23:01:26.817Z
1.1636,1.1636,,5719508,2024-08-19T23:01:21.589Z
1.11091,1.11091,,6095367,2024-08-20T23:01:15.117Z
1.17742,1.17742,,5907306,2024-08-21T23:01:10.577Z
5.08472,5.08472,,4331515,2024-08-22T23:01:16.083Z
8.56208,8.56208,,4045860,2024-08-23T23:00:59.158Z
6.64522,6.64522,,4073194,2024-08-24T23:01:12.454Z
5.62032,5.62032,,4129584,2024-08-25T23:01:11.998Z
1.79545,1.79545,,4983121,2024-08-26T23:01:09.156Z
1.72363,1.72363,,4877041,2024-08-27T23:01:02.744Z
1.73061,1.73061,,4909880,2024-08-28T23:01:00.680Z
1.82827,1.82827,,4860647,2024-08-29T23:01:05.533Z
1.7996,1.7996,,4887537,2024-08-30T23:00:58.859Z
1.49007,1.49007,,5568714,2024-08-31T23:01:04.042Z
1.49912,1.49912,,5296970,2024-09-01T23:16:54.773Z
1.48435,1.48435,,5515974,2024-09-02T23:01:17.121Z
1.37655,1.37655,,5685348,2024-09-03T23:01:05.514Z
1.29897,1.29897,,6040469,2024-09-04T23:01:26.948Z
1.27386,1.27386,,6065086,2024-09-05T23:01:08.995Z
1.22662,1.22662,,6075209,2024-09-06T23:00:58.467Z
1.20859,1.20859,,6221064,2024-09-07T23:00:59.597Z
1.24335,1.24335,,6237104,2024-09-08T23:00:58.769Z
1.2159,1.2159,,6578500,2024-09-09T23:00:58.258Z
1.14975,1.14975,,6863085,2024-09-10T23:00:57.434Z
1.09843,1.09843,,7191582,2024-09-11T23:01:08.589Z
1.10664,1.10664,,7311346,2024-09-12T23:00:57.499Z
1.08317,1.08317,,7695487,2024-09-13T23:01:17.267Z
1.09599,1.09599,,7511432,2024-09-14T23:01:25.393Z
1.66011,1.66011,,6508040,2024-09-15T23:01:13.036Z
7.44099,7.44099,,4596188,2024-09-16T23:00:58.370Z
11.15233,11.15233,,4527999,2024-09-17T23:01:09.989Z
8.91638,8.91638,,4655124,2024-09-18T23:00:59.246Z
2.26451,2.26451,,6828827,2024-09-19T23:00:59.984Z
0.77918,0.77918,,9568833,2024-09-20T23:01:01.679Z
0.80784,0.80784,,9792778,2024-09-21T23:01:07.956Z
0.9726,0.9726,,9365369,2024-09-22T23:01:23.906Z
3.82855,3.82855,,6861453,2024-09-23T23:01:00.965Z
6.13317,6.13317,,6657834,2024-09-24T23:01:24.543Z
5.1522,5.1522,,6424904,2024-09-25T23:01:08.204Z
1.05079,1.05079,,9617047,2024-09-26T23:17:09.447Z
0.8217,0.8217,,10480767,2024-09-27T23:01:04.595Z
0.77969,0.77969,,10553085,2024-09-28T23:01:04.638Z
0.76869,0.76869,,10483129,2024-09-29T23:01:18.138Z
0.68398,0.68398,,10550616,2024-09-30T23:02:01.444Z
0.65972,0.65972,,10383379,2024-10-01T23:01:33.000Z
0.69618,0.69618,,10336426,2024-10-02T23:01:09.951Z
0.69438,0.69438,,10364814,2024-10-03T23:01:09.720Z
0.63977,0.63977,,11163899,2024-10-04T23:17:12.107Z
0.64163,0.64163,,11274873,2024-10-05T23:01:37.874Z
0.62652,0.62652,,11504396,2024-10-06T23:01:00.132Z
