APY,APY_BASE,APY_REWARD,TVL,DATE
0.88169,0.88169,,2913868,2023-02-06T23:01:24.670Z
1.10647,1.10647,,2908100,2023-02-07T23:01:03.756Z
1.18777,1.18777,,2817612,2023-02-08T23:01:03.305Z
1.29016,1.29016,,2532437,2023-02-09T23:01:04.532Z
1.26266,1.26266,,2644956,2023-02-10T23:01:01.360Z
1.53511,1.53511,,2332188,2023-02-11T23:01:01.414Z
1.57848,1.57848,,2285489,2023-02-12T23:01:01.888Z
1.60992,1.60992,,2252099,2023-02-13T23:01:01.424Z
1.70631,1.70631,,2157826,2023-02-14T23:01:08.738Z
1.58351,1.58351,,2418233,2023-02-15T23:01:10.417Z
1.6378,1.6378,,2374819,2023-02-16T23:00:59.897Z
1.41107,1.41107,,3113592,2023-02-17T23:00:58.921Z
1.50697,1.50697,,3003999,2023-02-18T23:01:02.363Z
1.37958,1.37958,,3408346,2023-02-19T23:01:17.187Z
1.26775,1.26775,,3887698,2023-02-20T23:01:03.038Z
1.88866,1.88866,,2921632,2023-02-21T23:01:11.643Z
1.89684,1.89684,,2970680,2023-02-22T23:00:59.701Z
1.91517,1.91517,,2954354,2023-02-23T23:01:03.904Z
1.92921,1.92921,,2899520,2023-02-24T23:01:10.642Z
1.17124,1.17124,,5284731,2023-02-25T23:01:03.050Z
1.6603,1.6603,,4240785,2023-02-26T23:00:58.782Z
1.66742,1.66742,,4258723,2023-02-27T23:01:04.341Z
1.67851,1.67851,,4217548,2023-02-28T23:01:11.840Z
1.72127,1.72127,,4137199,2023-03-01T23:01:13.690Z
1.72434,1.72434,,4144227,2023-03-02T23:01:15.224Z
2.29684,2.29684,,3227744,2023-03-03T23:01:10.951Z
2.19135,2.19135,,3496626,2023-03-04T23:01:01.391Z
2.17341,2.17341,,3503888,2023-03-05T23:01:15.810Z
2.17865,2.17865,,3490085,2023-03-06T23:01:06.478Z
2.10665,2.10665,,3717974,2023-03-07T23:01:02.881Z
2.09878,2.09878,,3801079,2023-03-08T23:01:11.147Z
0.94418,0.94418,,10124792,2023-03-09T23:01:09.054Z
1.89406,1.89406,,4732517,2023-03-10T23:01:04.936Z
0.45642,0.45642,,13657083,2023-03-11T23:01:00.449Z
0.23736,0.23736,,21662691,2023-03-12T23:01:15.883Z
0.47646,0.47646,,13798241,2023-03-13T23:01:06.739Z
0.44184,0.44184,,12609920,2023-03-14T23:01:06.754Z
0.62921,0.62921,,10980205,2023-03-15T23:01:08.011Z
0.70537,0.70537,,10529821,2023-03-16T23:01:18.698Z
0.83477,0.83477,,9232823,2023-03-17T23:01:18.338Z
