APY,APY_BASE,APY_REWARD,TVL,DATE
0.02393,0.02393,,2554626,2023-02-06T23:01:24.670Z
0.04701,0.04701,,3407026,2023-02-07T23:01:03.756Z
0.01951,0.01951,,3976636,2023-02-08T23:01:03.305Z
0.55951,0.55951,,3512611,2023-02-09T23:01:04.532Z
0.39745,0.39745,,4831367,2023-02-10T23:01:01.360Z
0.26478,0.26478,,6620133,2023-02-11T23:01:01.414Z
0.0937,0.0937,,7646224,2023-02-12T23:01:01.888Z
0.09073,0.09073,,7914958,2023-02-13T23:01:01.424Z
0.03611,0.03611,,15116956,2023-02-14T23:01:08.738Z
0.02807,0.02807,,18633392,2023-02-15T23:01:10.417Z
0.025,0.025,,21978745,2023-02-16T23:00:59.897Z
0.02406,0.02406,,23113382,2023-02-17T23:00:58.921Z
0.02308,0.02308,,23594601,2023-02-18T23:01:02.363Z
0.02371,0.02371,,23747505,2023-02-19T23:01:17.187Z
0.02266,0.02266,,24616854,2023-02-20T23:01:03.038Z
0.02906,0.02906,,24850633,2023-02-21T23:01:11.643Z
0.02871,0.02871,,24713033,2023-02-22T23:00:59.701Z
0.02677,0.02677,,24630217,2023-02-23T23:01:03.904Z
0.03084,0.03084,,23955634,2023-02-24T23:01:10.642Z
0.02948,0.02948,,24189196,2023-02-25T23:01:03.050Z
0.03546,0.03546,,24605056,2023-02-26T23:00:58.782Z
0.02985,0.02985,,24859214,2023-02-27T23:01:04.341Z
0.06182,0.06182,,25781031,2023-02-28T23:01:11.840Z
0.06492,0.06492,,27215811,2023-03-01T23:01:13.690Z
0.05224,0.05224,,28988316,2023-03-02T23:01:15.224Z
0.0582,0.0582,,24732636,2023-03-03T23:01:10.951Z
0.05835,0.05835,,24801854,2023-03-04T23:01:01.391Z
0.06286,0.06286,,24525926,2023-03-05T23:01:15.810Z
0.06215,0.06215,,24677081,2023-03-06T23:01:06.478Z
0.05889,0.05889,,25189356,2023-03-07T23:01:02.881Z
0.06419,0.06419,,25029078,2023-03-08T23:01:11.147Z
0.06831,0.06831,,23277362,2023-03-09T23:01:09.054Z
0.05562,0.05562,,24521080,2023-03-10T23:01:04.936Z
0.815,0.815,,11453443,2023-03-11T23:01:00.449Z
0.74586,0.74586,,19506775,2023-03-12T23:01:15.883Z
0.09037,0.09037,,31088694,2023-03-13T23:01:06.739Z
0.0325,0.0325,,59752654,2023-03-14T23:01:06.754Z
0.04713,0.04713,,58212200,2023-03-15T23:01:08.011Z
0.04113,0.04113,,61397479,2023-03-16T23:01:18.698Z
0.03056,0.03056,,72095095,2023-03-17T23:01:18.338Z
0.03206,0.03206,,70222718,2023-03-18T23:01:03.829Z
0.03355,0.03355,,72718935,2023-03-19T23:01:10.279Z
0.03734,0.03734,,71675138,2023-03-20T23:01:09.786Z
0.03525,0.03525,,72709853,2023-03-21T23:01:28.710Z
0.03557,0.03557,,71016255,2023-03-22T23:01:12.364Z
0.03665,0.03665,,73114064,2023-03-23T23:01:12.994Z
0.05568,0.05568,,59273146,2023-03-24T23:01:04.570Z
0.05548,0.05548,,59755474,2023-03-25T23:01:08.138Z
0.05485,0.05485,,61091927,2023-03-26T23:01:32.408Z
0.05387,0.05387,,59292898,2023-03-27T23:01:22.114Z
0.05403,0.05403,,59590488,2023-03-28T23:01:05.673Z
0.05397,0.05397,,62554387,2023-03-29T23:01:04.808Z
0.05016,0.05016,,63193468,2023-03-30T23:01:18.141Z
0.04774,0.04774,,65070088,2023-03-31T23:01:12.152Z
0.04624,0.04624,,66192364,2023-04-01T23:01:09.128Z
0.04777,0.04777,,64555666,2023-04-02T23:01:08.023Z
0.04717,0.04717,,64543428,2023-04-03T23:01:07.822Z
0.47095,0.47095,,56352071,2023-04-04T23:01:27.925Z
0.42638,0.42638,,59027900,2023-04-05T23:01:18.786Z
0.34233,0.34233,,65706046,2023-04-06T23:01:06.086Z
0.24131,0.24131,,80573394,2023-04-07T23:01:06.266Z
0.07873,0.07873,,86835189,2023-04-08T23:01:17.999Z
0.07912,0.07912,,88032462,2023-04-09T23:01:07.320Z
0.10979,0.10979,,76967423,2023-04-10T23:01:20.154Z
0.12226,0.12226,,75150935,2023-04-11T23:01:28.463Z
0.12222,0.12222,,80928292,2023-04-12T23:01:22.625Z
0.15945,0.15945,,81173424,2023-04-13T23:01:13.700Z
0.03811,0.03811,,88246497,2023-04-14T23:01:06.941Z
0.0471,0.0471,,86483662,2023-04-15T23:01:10.998Z
0.04988,0.04988,,86348557,2023-04-16T23:01:32.691Z
0.05154,0.05154,,87195319,2023-04-17T23:01:06.139Z
0.06806,0.06806,,87622558,2023-04-18T23:01:16.484Z
0.06807,0.06807,,83930352,2023-04-19T23:01:12.118Z
0.15875,0.15875,,77976846,2023-04-20T23:01:35.251Z
0.15827,0.15827,,75044526,2023-04-21T23:01:13.494Z
0.15637,0.15637,,76296071,2023-04-22T23:01:07.039Z
0.15141,0.15141,,76989114,2023-04-23T23:01:14.062Z
0.15402,0.15402,,76097276,2023-04-24T23:01:16.874Z
0.16066,0.16066,,79600425,2023-04-25T23:01:21.281Z
0.14622,0.14622,,81607054,2023-04-26T23:01:30.412Z
0.14822,0.14822,,85348777,2023-04-27T23:01:06.929Z
0.14049,0.14049,,87570777,2023-04-28T23:00:59.050Z
0.13826,0.13826,,87740861,2023-04-29T23:01:07.777Z
0.21428,0.21428,,86099948,2023-04-30T23:01:09.569Z
0.25298,0.25298,,79604672,2023-05-01T23:00:59.459Z
0.24515,0.24515,,83442009,2023-05-02T23:01:02.663Z
0.22957,0.22957,,89165191,2023-05-03T23:00:59.772Z
0.21914,0.21914,,90650290,2023-05-04T23:01:12.845Z
0.29561,0.29561,,91424724,2023-05-05T23:01:07.334Z
0.21731,0.21731,,91281433,2023-05-06T23:01:02.646Z
0.21458,0.21458,,91367789,2023-05-07T23:00:58.760Z
0.21379,0.21379,,87969176,2023-05-08T23:00:58.809Z
0.21091,0.21091,,88653879,2023-05-09T23:01:03.910Z
0.20925,0.20925,,87922276,2023-05-10T23:00:59.532Z
0.18021,0.18021,,86480263,2023-05-11T23:01:06.144Z
0.16071,0.16071,,91662287,2023-05-12T23:01:08.822Z
0.15673,0.15673,,93423574,2023-05-13T23:01:04.152Z
0.15759,0.15759,,93506085,2023-05-14T23:01:27.495Z
0.15799,0.15799,,94492820,2023-05-15T23:01:10.572Z
0.13447,0.13447,,94756004,2023-05-16T23:01:21.552Z
0.33932,0.33932,,89394167,2023-05-17T23:01:02.373Z
0.13328,0.13328,,94782685,2023-05-18T23:01:13.651Z
0.13979,0.13979,,94507657,2023-05-19T23:01:10.000Z
0.14072,0.14072,,95158605,2023-05-20T23:01:11.453Z
0.14519,0.14519,,93890588,2023-05-21T23:01:09.823Z
0.1539,0.1539,,93887385,2023-05-22T23:00:58.728Z
0.08788,0.08788,,95118288,2023-05-23T23:01:05.613Z
0.09597,0.09597,,91848343,2023-05-24T23:00:59.973Z
0.09816,0.09816,,92756902,2023-05-25T23:01:10.637Z
0.41105,0.41105,,81378824,2023-05-26T23:01:02.791Z
0.40022,0.40022,,83361168,2023-05-27T23:01:05.308Z
0.40032,0.40032,,87925156,2023-05-28T23:01:10.579Z
0.36945,0.36945,,88014511,2023-05-29T23:01:16.863Z
0.35123,0.35123,,90256069,2023-05-30T23:02:09.520Z
0.52292,0.52292,,82451292,2023-05-31T23:00:58.112Z
0.52309,0.52309,,81718292,2023-06-01T23:01:18.508Z
0.95046,0.95046,,72345652,2023-06-02T23:01:10.697Z
0.90984,0.90984,,74352630,2023-06-03T23:00:58.744Z
0.76807,0.76807,,85606701,2023-06-04T23:00:59.113Z
0.7608,0.7608,,81225810,2023-06-05T23:01:09.906Z
0.77351,0.77351,,85416686,2023-06-06T23:01:09.292Z
0.6316,0.6316,,96291006,2023-06-07T23:01:01.929Z
0.62305,0.62305,,98214998,2023-06-08T23:01:20.028Z
0.59792,0.59792,,100534394,2023-06-09T23:01:31.403Z
