APY,APY_BASE,APY_REWARD,TVL,DATE
3.55276,3.55276,,245061,2024-01-25T23:01:07.060Z
3.52415,3.52415,,248159,2024-01-26T23:01:10.587Z
3.51505,3.51505,,249462,2024-01-27T23:01:05.973Z
3.50169,3.50169,,251302,2024-01-28T23:02:16.375Z
3.32344,3.32344,,278641,2024-01-29T23:01:10.680Z
3.3296,3.3296,,277247,2024-01-30T23:02:00.267Z
3.38455,3.38455,,271034,2024-01-31T23:01:21.398Z
3.39668,3.39668,,269886,2024-02-01T23:01:20.851Z
3.42778,3.42778,,265428,2024-02-02T23:01:20.947Z
3.361,3.361,,275544,2024-02-03T23:00:59.952Z
3.14688,3.14688,,302803,2024-02-04T23:01:20.864Z
3.45291,3.45291,,254952,2024-02-05T23:01:08.710Z
3.48891,3.48891,,249599,2024-02-06T23:01:20.747Z
3.48552,3.48552,,250270,2024-02-07T23:01:20.849Z
3.50442,3.50442,,248460,2024-02-08T23:01:20.643Z
3.48854,3.48854,,250053,2024-02-09T23:00:57.908Z
3.50073,3.50073,,248970,2024-02-10T23:01:21.653Z
3.45659,3.45659,,254078,2024-02-11T23:01:20.640Z
2.52619,2.52619,,444435,2024-02-12T23:01:08.938Z
2.64716,2.64716,,423556,2024-02-13T23:01:28.768Z
2.72048,2.72048,,409454,2024-02-14T23:01:20.807Z
2.83862,2.83862,,391353,2024-02-15T23:01:20.846Z
3.93367,3.93367,,195659,2024-02-16T23:00:59.907Z
2.70192,2.70192,,372947,2024-02-17T23:01:49.604Z
2.7422,2.7422,,367502,2024-02-18T23:02:00.120Z
3.27296,3.27296,,271029,2024-02-19T23:01:21.049Z
3.27303,3.27303,,270885,2024-02-20T23:01:32.464Z
3.31365,3.31365,,266824,2024-02-21T23:12:06.825Z
3.37521,3.37521,,260267,2024-02-22T23:01:20.761Z
3.3733,3.3733,,259437,2024-02-23T23:01:20.788Z
3.4517,3.4517,,250673,2024-02-24T23:01:59.970Z
3.40039,3.40039,,257052,2024-02-25T23:01:23.882Z
3.36196,3.36196,,261909,2024-02-26T23:02:00.532Z
3.31482,3.31482,,267464,2024-02-27T23:01:43.123Z
4.07152,4.07152,,184487,2024-02-28T23:01:21.084Z
4.68512,4.68512,,120640,2024-02-29T23:01:20.253Z
4.69228,4.69228,,119839,2024-03-01T23:01:59.713Z
4.67213,4.67213,,122278,2024-03-02T23:01:20.760Z
4.63105,4.63105,,126389,2024-03-03T23:01:21.177Z
4.67428,4.67428,,121998,2024-03-04T16:01:20.702Z
0.80273,0.80273,,1629728,2024-03-05T23:01:20.547Z
0.84911,0.84911,,1593435,2024-03-06T23:01:21.042Z
0.5518,0.5518,,1772204,2024-03-07T23:02:19.036Z
0.58175,0.58175,,1728099,2024-03-08T23:01:20.583Z
0.72,0.72,,1663034,2024-03-09T23:01:20.932Z
0.80228,0.80228,,1600721,2024-03-10T23:01:20.944Z
2.21349,2.21349,,996059,2024-03-11T23:01:20.711Z
4.82677,4.82677,,261950,2024-03-12T23:01:24.197Z
1.529,1.529,,2274804,2024-03-13T23:02:02.434Z
2.40951,2.40951,,1671893,2024-03-14T23:01:10.934Z
4.39857,4.39857,,678509,2024-03-15T23:01:11.985Z
4.52051,4.52051,,621818,2024-03-16T23:01:10.241Z
4.56428,4.56428,,594968,2024-03-17T23:01:06.577Z
4.80041,4.80041,,486448,2024-03-18T23:01:08.164Z
3.93408,3.93408,,1043782,2024-03-19T23:01:07.499Z
4.27871,4.27871,,850362,2024-03-20T23:01:12.201Z
9.07571,9.07571,,510515,2024-03-21T23:01:22.869Z
4.81801,4.81801,,568242,2024-03-22T23:01:17.277Z
4.854,4.854,,546117,2024-03-23T23:01:11.287Z
9.03973,9.03973,,522416,2024-03-24T23:01:10.978Z
8.47999,8.47999,,518492,2024-03-25T23:01:18.920Z
8.46249,8.46249,,519590,2024-03-26T07:01:10.149Z
8.53067,8.53067,,522145,2024-03-27T23:01:06.926Z
8.22616,8.22616,,523425,2024-03-28T23:01:10.432Z
6.97275,6.97275,,532985,2024-03-29T23:01:15.591Z
4.6929,4.6929,,640562,2024-03-30T23:01:10.736Z
4.69293,4.69293,,649354,2024-03-31T23:01:07.437Z
4.64288,4.64288,,666304,2024-04-01T23:01:19.262Z
4.45689,4.45689,,765828,2024-04-02T23:01:13.089Z
4.44505,4.44505,,767381,2024-04-03T23:01:14.714Z
4.83429,4.83429,,568158,2024-04-04T23:01:20.567Z
4.84325,4.84325,,561760,2024-04-05T23:01:15.712Z
