APY,APY_BASE,APY_REWARD,TVL,DATE
0.00846,0.00846,,910879,2024-08-07T23:01:59.460Z
0.08089,0.08089,,852177,2024-08-08T23:01:57.749Z
0.1707,0.1707,,813091,2024-08-09T23:02:06.113Z
0.18741,0.18741,,806888,2024-08-10T23:01:59.180Z
0.22602,0.22602,,792742,2024-08-11T23:01:59.505Z
0.23627,0.23627,,790976,2024-08-12T23:01:56.049Z
0.39294,0.39294,,745946,2024-08-13T23:02:09.124Z
0.68798,0.68798,,682315,2024-08-14T23:02:20.164Z
0.39196,0.39196,,1187466,2024-08-15T23:01:59.652Z
0.4112,0.4112,,1178039,2024-08-16T23:01:59.517Z
0.46038,0.46038,,1160100,2024-08-17T23:01:01.048Z
0.46621,0.46621,,1157803,2024-08-18T23:01:26.817Z
1.11892,1.11892,,972542,2024-08-19T23:01:21.589Z
1.17354,1.17354,,957882,2024-08-20T23:01:15.117Z
1.51325,1.51325,,884267,2024-08-21T23:01:10.577Z
1.35937,1.35937,,916674,2024-08-22T23:01:16.083Z
1.42329,1.42329,,900479,2024-08-23T23:00:59.158Z
1.3234,1.3234,,923972,2024-08-24T23:01:12.454Z
1.32361,1.32361,,924503,2024-08-25T23:01:11.998Z
1.22396,1.22396,,946478,2024-08-26T23:01:09.156Z
1.32153,1.32153,,924078,2024-08-27T23:01:02.744Z
1.31362,1.31362,,929565,2024-08-28T23:01:00.680Z
1.43076,1.43076,,901824,2024-08-29T23:01:05.533Z
1.33816,1.33816,,921537,2024-08-30T23:00:58.859Z
1.35717,1.35717,,921146,2024-08-31T23:01:04.042Z
1.35629,1.35629,,917502,2024-09-01T23:16:54.773Z
1.35456,1.35456,,919036,2024-09-02T23:01:17.121Z
1.35931,1.35931,,916383,2024-09-03T23:01:05.514Z
1.35981,1.35981,,916379,2024-09-04T23:01:26.948Z
1.26053,1.26053,,938589,2024-09-05T23:01:08.995Z
1.65638,1.65638,,857535,2024-09-06T23:00:58.467Z
1.62139,1.62139,,863556,2024-09-07T23:00:59.597Z
1.55207,1.55207,,879111,2024-09-08T23:00:58.769Z
3.35348,3.35348,,598040,2024-09-09T23:00:58.258Z
3.35348,3.35348,,598040,2024-09-10T00:01:02.434Z
2.45272,2.45272,,752194,2024-09-12T23:00:57.499Z
2.71784,2.71784,,711822,2024-09-13T23:01:17.267Z
2.29284,2.29284,,777324,2024-09-14T23:01:25.393Z
1.97896,1.97896,,835131,2024-09-15T23:01:13.036Z
2.24662,2.24662,,751342,2024-09-16T23:00:58.370Z
2.24524,2.24524,,752458,2024-09-17T23:01:09.989Z
2.01702,2.01702,,790891,2024-09-18T23:00:59.246Z
2.06833,2.06833,,792898,2024-09-19T23:00:59.984Z
2.06389,2.06389,,785132,2024-09-20T23:01:01.679Z
2.06389,2.06389,,782783,2024-09-21T23:01:07.956Z
2.06501,2.06501,,782681,2024-09-22T23:01:23.906Z
2.0762,2.0762,,781571,2024-09-23T23:01:00.965Z
2.07978,2.07978,,780216,2024-09-24T23:01:24.543Z
2.00937,2.00937,,792444,2024-09-25T23:01:08.204Z
1.97071,1.97071,,799491,2024-09-26T23:17:09.447Z
