APY,APY_BASE,APY_REWARD,TVL,DATE
0.78101,0.78101,,2705958,2024-01-25T23:01:07.060Z
0.72805,0.72805,,2884695,2024-01-26T23:01:10.587Z
0.71848,0.71848,,2930817,2024-01-27T23:01:05.973Z
0.72322,0.72322,,2877739,2024-01-28T23:02:16.375Z
0.7125,0.7125,,2999873,2024-01-29T23:01:10.680Z
0.69195,0.69195,,3156243,2024-01-30T23:02:00.267Z
0.70053,0.70053,,2993828,2024-01-31T23:01:21.398Z
0.70047,0.70047,,3030308,2024-02-01T23:01:20.851Z
1.17475,1.17475,,2310726,2024-02-02T23:01:20.947Z
1.17476,1.17476,,2303392,2024-02-03T23:00:59.952Z
1.17304,1.17304,,2289363,2024-02-04T23:01:20.864Z
1.17203,1.17203,,2304590,2024-02-05T23:01:08.710Z
1.16896,1.16896,,2399198,2024-02-06T23:01:20.747Z
1.17357,1.17357,,2431491,2024-02-07T23:01:20.849Z
1.16232,1.16232,,2465972,2024-02-08T23:01:20.643Z
1.11411,1.11411,,2664442,2024-02-09T23:00:57.908Z
1.11732,1.11732,,2666032,2024-02-10T23:01:21.653Z
1.11432,1.11432,,2660903,2024-02-11T23:01:20.640Z
1.07757,1.07757,,2942035,2024-02-12T23:01:08.938Z
1.08858,1.08858,,2887093,2024-02-13T23:01:28.768Z
1.06497,1.06497,,3091503,2024-02-14T23:01:20.807Z
1.01981,1.01981,,3300847,2024-02-15T23:01:20.846Z
1.14021,1.14021,,2884965,2024-02-16T23:00:59.907Z
0.78602,0.78602,,3583149,2024-02-17T23:01:49.604Z
0.7566,0.7566,,3830598,2024-02-18T23:02:00.120Z
0.69779,0.69779,,4257334,2024-02-19T23:01:21.049Z
0.76725,0.76725,,3941578,2024-02-20T23:01:32.464Z
0.72376,0.72376,,4041727,2024-02-21T23:12:06.825Z
0.72732,0.72732,,4021779,2024-02-22T23:01:20.761Z
0.765,0.765,,3799134,2024-02-23T23:01:20.788Z
0.75892,0.75892,,3880603,2024-02-24T23:01:59.970Z
0.73787,0.73787,,4129469,2024-02-25T23:01:23.882Z
0.70977,0.70977,,4379203,2024-02-26T23:02:00.532Z
0.78574,0.78574,,4072683,2024-02-27T23:01:43.123Z
0.72303,0.72303,,4520160,2024-02-28T23:01:21.084Z
0.7207,0.7207,,4556543,2024-02-29T23:01:20.253Z
0.71012,0.71012,,4723410,2024-03-01T23:01:59.713Z
0.69973,0.69973,,4751336,2024-03-02T23:01:20.760Z
0.70022,0.70022,,4848732,2024-03-03T23:01:21.177Z
0.68331,0.68331,,5118405,2024-03-04T16:01:20.702Z
0.73441,0.73441,,4662305,2024-03-05T23:01:20.547Z
0.78257,0.78257,,4853673,2024-03-06T23:01:21.042Z
0.74482,0.74482,,5144409,2024-03-07T23:02:19.036Z
0.72516,0.72516,,5277042,2024-03-08T23:01:20.583Z
0.77829,0.77829,,4971240,2024-03-09T23:01:20.932Z
0.76157,0.76157,,4953392,2024-03-10T23:01:20.944Z
0.66791,0.66791,,5940480,2024-03-11T23:01:20.711Z
0.6806,0.6806,,5683863,2024-03-12T23:01:24.197Z
0.67916,0.67916,,5847131,2024-03-13T23:02:02.434Z
0.9502,0.9502,,4760387,2024-03-14T23:01:10.934Z
0.97948,0.97948,,4461611,2024-03-15T23:01:11.985Z
1.09181,1.09181,,4015980,2024-03-16T23:01:10.241Z
1.07405,1.07405,,4191040,2024-03-17T23:01:06.577Z
1.06843,1.06843,,4133165,2024-03-18T23:01:08.164Z
0.9664,0.9664,,3986668,2024-03-19T23:01:07.499Z
0.78714,0.78714,,5136909,2024-03-20T23:01:12.201Z
0.76678,0.76678,,5248598,2024-03-21T23:01:22.869Z
1.99744,1.99744,,2155734,2024-03-22T23:01:17.277Z
1.91109,1.91109,,2421767,2024-03-23T23:01:11.287Z
0.8158,0.8158,,4873568,2024-03-24T23:01:10.978Z
0.75394,0.75394,,5510355,2024-03-25T23:01:18.920Z
0.75403,0.75403,,5559841,2024-03-26T07:01:10.149Z
0.09647,0.09647,,8248403,2024-03-27T23:01:06.926Z
0.98302,0.98302,,4735968,2024-03-28T23:01:10.432Z
1.01553,1.01553,,4570704,2024-03-29T23:01:15.591Z
1.07749,1.07749,,4271269,2024-03-30T23:01:10.736Z
0.94087,0.94087,,4890911,2024-03-31T23:01:07.437Z
0.98323,0.98323,,4536993,2024-04-01T23:01:19.262Z
1.12305,1.12305,,3687967,2024-04-02T23:01:13.089Z
1.09659,1.09659,,3786696,2024-04-03T23:01:14.714Z
1.1923,1.1923,,3597318,2024-04-04T23:01:20.567Z
1.1895,1.1895,,3623969,2024-04-05T23:01:15.712Z
1.16933,1.16933,,3753638,2024-04-06T23:01:14.012Z
1.25688,1.25688,,3631293,2024-04-07T23:01:17.452Z
1.08758,1.08758,,4448290,2024-04-08T23:01:12.753Z
0.20455,0.20455,,7223868,2024-04-09T23:01:12.866Z
0.20028,0.20028,,7320650,2024-04-10T23:01:15.633Z
0.2091,0.2091,,7126265,2024-04-11T23:01:15.673Z
0.23721,0.23721,,6098765,2024-04-12T23:01:14.244Z
