APY,APY_BASE,APY_REWARD,TVL,DATE
5.41372,2.82903,2.58469,2379400,2022-08-08T00:00:00.000Z
11.01766,8.70835,2.30931,2099036,2022-08-09T00:00:00.000Z
6.1254,3.83168,2.29372,2273469,2022-08-10T00:00:00.000Z
5.19744,3.02383,2.17361,2256253,2022-08-11T00:00:00.000Z
5.32442,3.13184,2.19258,2275042,2022-08-12T00:00:00.000Z
6.57583,4.41237,2.16346,2228866,2022-08-13T00:00:00.000Z
4.91018,2.9182,1.99198,2288877,2022-08-14T00:00:00.000Z
5.00635,2.90967,2.09668,2278725,2022-08-15T00:00:00.000Z
4.87615,2.87984,1.99631,2283665,2022-08-16T00:00:00.000Z
4.73087,2.8712,1.85968,2250019,2022-08-17T00:00:00.000Z
7.89562,6.17156,1.72407,1889833,2022-08-18T00:00:00.000Z
8.41211,7.1399,1.27221,2493776,2022-08-19T00:00:00.000Z
3.79632,2.83209,0.96423,3438121,2022-08-20T00:00:00.000Z
3.80219,2.78091,1.02127,3537537,2022-08-21T00:00:00.000Z
4.63053,3.65955,0.97098,3256918,2022-08-22T00:00:00.000Z
5.51221,4.35727,1.15494,3205433,2022-08-23T00:00:00.000Z
6.72294,5.6232,1.09974,3042473,2022-08-24T00:00:00.000Z
3.90445,2.82219,1.08226,3192943,2022-08-25T00:00:00.000Z
5.85751,4.85903,0.99848,2859263,2022-08-26T00:00:00.000Z
4.15137,3.06129,1.09009,2647708,2022-08-27T00:00:00.000Z
4.2324,3.11843,1.11397,2666916,2022-08-28T00:00:00.000Z
4.83538,3.58767,1.24771,2605309,2022-08-29T00:00:00.000Z
4.03343,2.86079,1.17264,2696195,2022-08-30T00:00:00.000Z
7.28053,6.11414,1.16639,2613046,2022-08-31T00:00:00.000Z
4.05753,2.86278,1.19475,2813452,2022-09-01T00:00:00.000Z
5.48591,4.24123,1.24467,2758407,2022-09-02T00:00:00.000Z
6.76522,5.55779,1.20743,2685125,2022-09-03T00:00:00.000Z
5.52828,4.32638,1.2019,2668129,2022-09-04T00:00:00.000Z
4.1349,2.94973,1.18517,2822915,2022-09-05T23:00:11.400Z
4.52542,3.45572,1.0697,2941211,2022-09-06T23:01:00.267Z
3.29028,2.1966,1.09367,4575889,2022-09-07T23:00:58.851Z
