APY,APY_BASE,APY_REWARD,TVL,DATE
1.23786,1.23786,,10215,2023-11-28T23:00:58.293Z
2.6747,2.6747,,6375,2023-11-29T23:01:16.912Z
1.02684,1.02684,,59084,2023-11-30T23:01:01.986Z
2.71109,2.71109,,15569,2023-12-01T23:01:01.407Z
4.81035,4.81035,,18148,2023-12-02T23:01:01.995Z
10.0757,10.0757,,20547,2023-12-03T23:00:59.087Z
7.40684,7.40684,,40355,2023-12-04T23:01:16.426Z
5.02898,5.02898,,47367,2023-12-05T22:01:06.514Z
2.8103,2.8103,,62041,2023-12-06T23:01:03.562Z
3.37616,3.37616,,66274,2023-12-07T23:01:05.851Z
2.77539,2.77539,,104637,2023-12-08T23:01:17.289Z
2.44785,2.44785,,178830,2023-12-09T23:01:01.948Z
2.54547,2.54547,,136311,2023-12-10T23:01:00.864Z
2.68972,2.68972,,117132,2023-12-11T23:01:00.566Z
11.40592,11.40592,,97862,2023-12-12T23:00:57.490Z
15.93326,15.93326,,108283,2023-12-13T23:01:00.216Z
4.35857,4.35857,,144305,2023-12-14T23:01:07.560Z
14.05401,14.05401,,132185,2023-12-15T23:01:02.558Z
4.77267,4.77267,,156783,2023-12-16T23:01:04.908Z
2.72047,2.72047,,197697,2023-12-17T10:00:58.848Z
12.39596,12.39596,,132409,2023-12-18T23:01:05.844Z
13.49043,13.49043,,127163,2023-12-19T23:01:06.991Z
2.83126,2.83126,,173459,2023-12-20T22:01:03.008Z
9.17676,9.17676,,194234,2023-12-21T23:00:59.045Z
22.16139,22.16139,,151646,2023-12-22T23:01:04.553Z
7.51719,7.51719,,242778,2023-12-23T23:00:59.203Z
12.75536,12.75536,,209723,2023-12-24T23:01:05.465Z
11.04183,11.04183,,230150,2023-12-25T23:01:46.394Z
4.02922,4.02922,,294983,2023-12-26T23:01:20.775Z
8.48379,8.48379,,284354,2023-12-27T23:01:01.470Z
13.93332,13.93332,,262568,2023-12-28T23:01:03.340Z
3.74532,3.74532,,453131,2023-12-29T23:01:02.210Z
4.02196,4.02196,,347610,2023-12-30T23:01:02.967Z
12.43069,12.43069,,281434,2023-12-31T23:01:04.886Z
9.84786,9.84786,,299245,2024-01-01T23:02:38.998Z
10.96822,10.96822,,304934,2024-01-02T23:02:13.125Z
3.92851,3.92851,,424057,2024-01-03T23:01:04.055Z
14.22816,14.22816,,279918,2024-01-04T23:01:02.567Z
5.46396,5.46396,,347051,2024-01-05T23:00:57.384Z
7.00373,7.00373,,330103,2024-01-06T23:00:57.245Z
6.67256,6.67256,,336916,2024-01-07T23:01:05.642Z
4.02649,4.02649,,369579,2024-01-08T23:01:08.660Z
3.6053,3.6053,,617705,2024-01-09T23:01:03.126Z
3.99918,3.99918,,420846,2024-01-10T23:01:07.923Z
4.03719,4.03719,,452505,2024-01-11T23:00:56.713Z
