APY,APY_BASE,APY_REWARD,TVL,DATE
4.92072,2.42757,2.49315,30960350,2022-08-08T00:00:00.000Z
4.84279,2.56659,2.2762,27277113,2022-08-09T00:00:00.000Z
4.76557,2.52689,2.23868,28424629,2022-08-10T00:00:00.000Z
4.60303,2.60348,1.99955,27821733,2022-08-11T00:00:00.000Z
4.66222,2.61024,2.05198,27472848,2022-08-12T00:00:00.000Z
4.75895,2.68307,2.07588,25241794,2022-08-13T00:00:00.000Z
4.60644,2.66418,1.94225,25305247,2022-08-14T00:00:00.000Z
4.72305,2.68832,2.03472,24802872,2022-08-15T00:00:00.000Z
4.66928,2.71183,1.95745,24097188,2022-08-16T00:00:00.000Z
4.40163,2.64519,1.75644,25853310,2022-08-17T00:00:00.000Z
4.25308,2.63757,1.6155,26205745,2022-08-18T00:00:00.000Z
4.22001,2.58856,1.63144,26772985,2022-08-19T00:00:00.000Z
4.33636,2.73544,1.60092,22544708,2022-08-20T00:00:00.000Z
4.533,2.83945,1.69355,20423596,2022-08-21T00:00:00.000Z
4.4944,2.60732,1.88709,21292896,2022-08-22T00:00:00.000Z
4.85119,2.60829,2.24289,21227764,2022-08-23T00:00:00.000Z
4.73443,2.67791,2.05652,20232434,2022-08-24T00:00:00.000Z
4.54207,2.70604,1.83603,20878521,2022-08-25T00:00:00.000Z
4.32084,2.63634,1.6845,21505272,2022-08-26T00:00:00.000Z
4.27296,2.62683,1.64614,21688003,2022-08-27T00:00:00.000Z
4.32171,2.6223,1.69941,21726484,2022-08-28T00:00:00.000Z
4.51115,2.61568,1.89547,21614102,2022-08-29T00:00:00.000Z
4.41968,2.59539,1.82429,21625682,2022-08-30T00:00:00.000Z
4.44187,2.54794,1.89393,22429597,2022-08-31T00:00:00.000Z
4.53759,2.56358,1.974,21818107,2022-09-01T00:00:00.000Z
4.63232,2.58903,2.04329,21895449,2022-09-02T00:00:00.000Z
4.6628,2.6647,1.9981,20374891,2022-09-03T00:00:00.000Z
4.59348,2.66077,1.93271,20428925,2022-09-04T00:00:00.000Z
4.74244,2.70192,2.04052,19011934,2022-09-05T23:00:11.400Z
4.71322,2.65061,2.06261,18638201,2022-09-06T23:01:00.267Z
4.82004,2.62834,2.1917,18661294,2022-09-07T23:00:58.851Z
5.112,2.37471,2.73729,18261415,2022-09-08T23:00:57.297Z
5.58129,2.37302,3.20827,18507512,2022-09-09T23:00:57.732Z
5.70966,2.48254,3.22712,16992490,2022-09-10T23:01:01.863Z
5.33974,2.29308,3.04666,20304830,2022-09-11T23:00:56.399Z
4.9947,2.22113,2.77357,21706625,2022-09-12T23:01:01.187Z
4.70335,2.1743,2.52905,22625629,2022-09-13T23:01:08.221Z
5.10043,2.39329,2.70714,18685543,2022-09-14T23:01:03.937Z
4.5557,2.29647,2.25922,22170663,2022-09-15T23:00:59.680Z
4.8611,2.67975,2.18135,17047760,2022-09-16T23:00:57.645Z
5.01001,2.78733,2.22268,15505963,2022-09-17T23:01:11.711Z
4.64043,2.79789,1.84254,15405401,2022-09-18T23:01:02.006Z
4.4649,2.65888,1.80602,18006432,2022-09-19T23:01:06.390Z
4.18855,2.44704,1.74151,21211842,2022-09-20T23:01:04.415Z
3.98451,2.34474,1.63977,23152041,2022-09-21T23:01:04.851Z
4.12971,2.37158,1.75813,22599310,2022-09-22T23:00:55.667Z
4.15511,2.3629,1.7922,22694062,2022-09-23T23:01:09.349Z
4.08203,2.35645,1.72558,22899957,2022-09-24T23:00:55.544Z
4.61941,2.77416,1.84525,15187519,2022-09-25T23:01:06.506Z
4.61889,2.74257,1.87632,15556611,2022-09-26T23:01:13.539Z
4.59948,2.73545,1.86403,15667578,2022-09-27T23:01:02.028Z
4.47614,2.63886,1.83728,17295742,2022-09-28T23:00:55.503Z
4.4146,2.67474,1.73986,17330438,2022-09-29T23:01:05.057Z
4.19832,2.48931,1.709,20687850,2022-09-30T23:01:02.407Z
4.16825,2.47693,1.69133,20812302,2022-10-01T23:01:01.648Z
