APY,APY_BASE,APY_REWARD,TVL,DATE
3.28074,0.60588,2.67486,173772616,2022-08-08T00:00:00.000Z
3.21885,0.69694,2.52191,161684608,2022-08-09T00:00:00.000Z
2.98342,0.68091,2.30251,176624006,2022-08-10T00:00:00.000Z
2.76797,0.66795,2.10002,180304680,2022-08-11T00:00:00.000Z
2.74986,0.665,2.08486,185225712,2022-08-12T00:00:00.000Z
2.85293,0.6793,2.17363,175833453,2022-08-13T00:00:00.000Z
2.69174,0.56969,2.12205,170292661,2022-08-14T00:00:00.000Z
2.83317,0.55524,2.27793,166820761,2022-08-15T00:00:00.000Z
2.78007,0.56553,2.21454,163333108,2022-08-16T00:00:00.000Z
2.75041,0.58007,2.17035,151280790,2022-08-17T00:00:00.000Z
3.459,0.92021,2.53879,110866176,2022-08-18T00:00:00.000Z
3.98557,0.98728,2.99829,91956630,2022-08-19T00:00:00.000Z
3.9001,0.98321,2.91689,88339189,2022-08-20T00:00:00.000Z
3.92602,0.96596,2.96005,91964569,2022-08-21T00:00:00.000Z
3.82571,1.06428,2.76143,91952680,2022-08-22T00:00:00.000Z
4.16585,1.07244,3.09341,97197403,2022-08-23T00:00:00.000Z
3.94642,1.13048,2.81594,97796989,2022-08-24T00:00:00.000Z
3.29307,0.85755,2.43552,112154831,2022-08-25T00:00:00.000Z
3.22842,0.85405,2.37437,102624831,2022-08-26T00:00:00.000Z
3.29414,0.86794,2.42619,97957360,2022-08-27T00:00:00.000Z
3.42805,0.87595,2.5521,95808749,2022-08-28T00:00:00.000Z
3.63434,0.90713,2.72721,98371734,2022-08-29T00:00:00.000Z
3.46954,0.72625,2.74329,95982217,2022-08-30T00:00:00.000Z
3.56229,0.72979,2.8325,96358181,2022-08-31T00:00:00.000Z
3.59844,0.75059,2.84785,97949239,2022-09-01T00:00:00.000Z
3.78948,0.75423,3.03525,97329477,2022-09-02T00:00:00.000Z
3.73627,0.76114,2.97512,95960723,2022-09-03T00:00:00.000Z
3.61582,0.65087,2.96495,95210846,2022-09-04T00:00:00.000Z
4.0387,0.88306,3.15563,86876588,2022-09-05T23:00:11.400Z
4.45863,1.24075,3.21788,75837680,2022-09-06T23:01:00.267Z
4.84441,1.50052,3.34389,73015820,2022-09-07T23:00:58.851Z
7.6852,3.54606,4.13914,48371746,2022-09-08T23:00:57.297Z
8.39368,3.83111,4.56257,51947147,2022-09-09T23:00:57.732Z
7.37087,3.00587,4.365,54656479,2022-09-10T23:01:01.863Z
8.37139,3.88536,4.48602,52057576,2022-09-11T23:00:56.399Z
8.17459,3.91622,4.25837,50851737,2022-09-12T23:01:01.187Z
8.99973,4.80813,4.1916,47292937,2022-09-13T23:01:08.221Z
10.75342,6.4731,4.28032,46879789,2022-09-14T23:01:03.937Z
5.57856,1.83947,3.73909,59247956,2022-09-15T23:00:59.680Z
5.29052,1.69585,3.59467,62461494,2022-09-16T23:00:57.645Z
5.23607,1.70598,3.53009,64647475,2022-09-17T23:01:11.711Z
4.84102,1.69167,3.14935,60391017,2022-09-18T23:01:02.006Z
4.32975,1.17797,3.15179,66662930,2022-09-19T23:01:06.390Z
4.32233,1.17258,3.14975,64303363,2022-09-20T23:01:04.415Z
4.26379,1.07366,3.19012,61713408,2022-09-21T23:01:04.851Z
4.20174,1.05099,3.15075,66908268,2022-09-22T23:00:55.667Z
4.35891,1.34089,3.01802,67592976,2022-09-23T23:01:09.349Z
4.26021,1.33454,2.92568,67509271,2022-09-24T23:00:55.544Z
4.24455,1.32435,2.9202,66797125,2022-09-25T23:01:06.506Z
4.08116,1.26826,2.8129,70953036,2022-09-26T23:01:13.539Z
3.86796,1.15127,2.71669,74477030,2022-09-27T23:01:02.028Z
3.64315,1.06462,2.57852,79895056,2022-09-28T23:00:55.503Z
3.5811,1.03444,2.54666,79506731,2022-09-29T23:01:05.057Z
3.55319,1.00634,2.54685,80891701,2022-09-30T23:01:02.407Z
3.55852,1.01344,2.54508,79745952,2022-10-01T23:01:01.648Z
3.47478,1.04431,2.43047,79902502,2022-10-02T23:01:05.740Z
3.25423,0.94092,2.31332,86315836,2022-10-03T23:01:08.986Z
3.16603,0.9288,2.23723,89821474,2022-10-04T23:01:20.319Z
3.17474,0.95586,2.21888,88291834,2022-10-05T23:00:54.963Z
3.22152,0.93853,2.28299,85635223,2022-10-06T23:01:19.325Z
3.09449,0.71362,2.38086,85701277,2022-10-07T23:00:57.594Z
3.08519,0.71488,2.37031,84252847,2022-10-08T23:01:01.780Z
3.12276,0.81295,2.30981,85772461,2022-10-09T23:01:12.652Z
2.99084,0.83166,2.15918,84280939,2022-10-10T23:01:06.974Z
2.91603,0.83087,2.08516,83569492,2022-10-11T23:01:07.778Z
2.85805,0.80714,2.05091,86295370,2022-10-12T23:01:03.063Z
2.91946,0.83165,2.08781,83381206,2022-10-13T23:01:08.339Z
2.84172,0.84041,2.00131,83751220,2022-10-14T23:01:13.321Z
2.74819,0.7442,2.00399,81938974,2022-10-15T23:01:06.527Z
2.74517,0.66522,2.07996,82102487,2022-10-16T23:01:12.266Z
2.87835,0.67616,2.20219,82730755,2022-10-17T23:00:57.835Z
2.87154,0.6754,2.19614,81867810,2022-10-18T23:01:04.487Z
2.78295,0.67797,2.10498,80028753,2022-10-19T23:01:00.156Z
2.6921,0.67143,2.02066,80016223,2022-10-20T23:01:04.184Z
2.84507,0.684,2.16107,82060065,2022-10-21T23:01:02.834Z
2.83527,0.68228,2.153,83230655,2022-10-22T23:01:02.885Z
3.07213,0.72493,2.3472,86416495,2022-10-23T23:01:02.562Z
3.12695,0.7259,2.40105,85153652,2022-10-24T23:01:11.025Z
3.34043,0.88964,2.45079,92772126,2022-10-25T23:01:12.568Z
