APY,APY_BASE,APY_REWARD,TVL,DATE
0.85173,0.85173,0,2045063,2022-08-08T00:00:00.000Z
0.85393,0.85393,0,2040371,2022-08-09T00:00:00.000Z
0.90513,0.90513,0,2008555,2022-08-10T00:00:00.000Z
1.0318,1.0318,0,1782882,2022-08-11T00:00:00.000Z
1.02385,1.02385,0,1797032,2022-08-12T00:00:00.000Z
1.03018,1.03018,0,1783699,2022-08-13T00:00:00.000Z
1.11043,1.11043,0,1676283,2022-08-14T00:00:00.000Z
1.01128,1.01128,0,1810691,2022-08-15T00:00:00.000Z
1.01452,1.01452,0,1844070,2022-08-16T00:00:00.000Z
0.95302,0.95302,0,1938751,2022-08-17T00:00:00.000Z
0.89327,0.89327,0,1910125,2022-08-18T00:00:00.000Z
0.91065,0.91065,0,1854714,2022-08-19T00:00:00.000Z
0.91301,0.91301,0,1839740,2022-08-20T00:00:00.000Z
0.83843,0.83843,0,1940580,2022-08-21T00:00:00.000Z
0.83694,0.83694,0,1945189,2022-08-22T00:00:00.000Z
0.81215,0.81215,0,1983769,2022-08-23T00:00:00.000Z
0.84318,0.84318,0,1917593,2022-08-24T00:00:00.000Z
0.82293,0.82293,0,1976342,2022-08-25T00:00:00.000Z
0.93722,0.93722,0,2046405,2022-08-26T00:00:00.000Z
0.86705,0.86705,0,2089976,2022-08-27T00:00:00.000Z
0.88796,0.88796,0,2042701,2022-08-28T00:00:00.000Z
0.84459,0.84459,0,2124380,2022-08-29T00:00:00.000Z
0.8522,0.8522,0,2102990,2022-08-30T00:00:00.000Z
0.84995,0.84995,0,2114296,2022-08-31T00:00:00.000Z
0.84757,0.84757,0,2120784,2022-09-01T00:00:00.000Z
0.84635,0.84635,0,2124696,2022-09-02T00:00:00.000Z
0.83437,0.83437,0,2153389,2022-09-03T00:00:00.000Z
0.81145,0.81145,0,2207874,2022-09-04T00:00:00.000Z
0.86872,0.86872,0,2131850,2022-09-05T23:00:11.400Z
0.8713,0.8713,0,2167256,2022-09-06T23:01:00.267Z
0.83949,0.83949,0,2205590,2022-09-07T23:00:58.851Z
0.84234,0.84234,0,2199641,2022-09-08T23:00:57.297Z
0.88142,0.88142,0,2111311,2022-09-09T23:00:57.732Z
0.91413,0.91413,0,2071444,2022-09-10T23:01:01.863Z
0.94092,0.94092,0,2042083,2022-09-11T23:00:56.399Z
0.8971,0.8971,0,2091280,2022-09-12T23:01:01.187Z
0.87982,0.87982,0,2079183,2022-09-13T23:01:08.221Z
0.9735,0.9735,0,1860216,2022-09-14T23:01:03.937Z
0.9686,0.9686,0,1854324,2022-09-15T23:00:59.680Z
0.92674,0.92674,0,1921737,2022-09-16T23:00:57.645Z
0.96832,0.96832,0,1881301,2022-09-17T23:01:11.711Z
0.90892,0.90892,0,1939379,2022-09-18T23:01:02.006Z
0.8059,0.8059,0,2116191,2022-09-19T23:01:06.390Z
0.80063,0.80063,0,2123976,2022-09-20T23:01:04.415Z
0.72062,0.72062,0,2321624,2022-09-21T23:01:04.851Z
0.84748,0.84748,0,2097242,2022-09-22T23:00:55.667Z
0.8151,0.8151,0,2114941,2022-09-23T23:01:09.349Z
0.83047,0.83047,0,2106193,2022-09-24T23:00:55.544Z
0.80348,0.80348,0,2205727,2022-09-25T23:01:06.506Z
0.85617,0.85617,0,2162826,2022-09-26T23:01:13.539Z
0.87212,0.87212,0,2199215,2022-09-27T23:01:02.028Z
0.86977,0.86977,0,2262263,2022-09-28T23:00:55.503Z
0.85865,0.85865,0,2284776,2022-09-29T23:01:05.057Z
0.86449,0.86449,0,2280562,2022-09-30T23:01:02.407Z
0.90975,0.90975,0,2163602,2022-10-01T23:01:01.648Z
0.84365,0.84365,0,2351395,2022-10-02T23:01:05.740Z
0.85499,0.85499,0,2316489,2022-10-03T23:01:08.986Z
1.04076,1.04076,0,1985881,2022-10-04T23:01:20.319Z
1.20988,1.20988,0,1723945,2022-10-05T23:00:54.963Z
1.15435,1.15435,0,1835255,2022-10-06T23:01:19.325Z
1.33287,1.33287,0,1616902,2022-10-07T23:00:57.594Z
1.25226,1.25226,0,1673017,2022-10-08T23:01:01.780Z
1.24858,1.24858,0,1691475,2022-10-09T23:01:12.652Z
1.36689,1.36689,0,1616522,2022-10-10T23:01:06.974Z
1.09886,1.09886,0,1851250,2022-10-11T23:01:07.778Z
1.29368,1.29368,0,1647050,2022-10-12T23:01:03.063Z
1.22459,1.22459,0,1754471,2022-10-13T23:01:08.339Z
1.29677,1.29677,0,1666719,2022-10-14T23:01:13.321Z
1.19627,1.19627,0,1778626,2022-10-15T23:01:06.527Z
1.16716,1.16716,0,1818015,2022-10-16T23:01:12.266Z
1.2072,1.2072,0,1776461,2022-10-17T23:00:57.835Z
