APY,APY_BASE,APY_REWARD,TVL,DATE
3.72641,3.72641,,96818,2023-12-21T23:00:59.045Z
4.02785,4.02785,,106957,2023-12-22T23:01:04.553Z
3.64858,3.64858,,180211,2023-12-23T23:00:59.203Z
15.56077,15.56077,,95828,2023-12-24T23:01:05.465Z
7.82053,7.82053,,118618,2023-12-25T23:01:46.394Z
2.19108,2.19108,,698878,2023-12-26T23:01:20.775Z
3.96324,3.96324,,263571,2023-12-27T23:01:01.470Z
3.84753,3.84753,,334351,2023-12-28T23:01:03.340Z
15.58335,15.58335,,195751,2023-12-29T23:01:02.210Z
13.38224,13.38224,,221425,2023-12-30T23:01:02.967Z
12.21126,12.21126,,233886,2023-12-31T23:01:04.886Z
6.14037,6.14037,,290998,2024-01-01T23:02:38.998Z
7.88704,7.88704,,328101,2024-01-02T23:02:13.125Z
8.84835,8.84835,,322708,2024-01-03T23:01:04.055Z
3.69827,3.69827,,556272,2024-01-04T23:01:02.567Z
3.94041,3.94041,,450952,2024-01-05T23:00:57.384Z
4.03256,4.03256,,452299,2024-01-06T23:00:57.245Z
14.35054,14.35054,,347012,2024-01-07T23:01:05.642Z
3.91398,3.91398,,551904,2024-01-08T23:01:08.660Z
9.386,9.386,,403584,2024-01-09T23:01:03.126Z
7.56139,7.56139,,435220,2024-01-10T23:01:07.923Z
3.76299,3.76299,,730447,2024-01-11T23:00:56.713Z
9.47075,9.47075,,497998,2024-01-12T23:01:11.039Z
13.72267,13.72267,,479174,2024-01-13T23:01:10.082Z
7.89974,7.89974,,555338,2024-01-14T23:01:07.245Z
14.0288,14.0288,,499003,2024-01-15T23:01:07.658Z
12.52489,12.52489,,568059,2024-01-16T23:01:00.291Z
9.0074,9.0074,,626031,2024-01-17T23:01:51.288Z
4.81896,4.81896,,714806,2024-01-18T23:01:29.433Z
10.68751,10.68751,,615543,2024-01-19T23:01:26.296Z
8.18541,8.18541,,677178,2024-01-20T23:01:08.178Z
5.06955,5.06955,,721339,2024-01-21T23:00:59.923Z
5.05985,5.05985,,706968,2024-01-22T23:00:59.098Z
4.75596,4.75596,,773709,2024-01-23T23:01:43.232Z
5.69123,5.69123,,681130,2024-01-24T23:01:13.393Z
6.64333,6.64333,,680141,2024-01-25T23:01:07.060Z
5.89549,5.89549,,696353,2024-01-26T23:01:10.587Z
9.38831,9.38831,,646621,2024-01-27T23:01:05.973Z
4.76603,4.76603,,786972,2024-01-28T23:02:16.375Z
9.15555,9.15555,,650636,2024-01-29T23:01:10.680Z
4.76437,4.76437,,797157,2024-01-30T23:02:00.267Z
4.85422,4.85422,,745713,2024-01-31T23:01:21.398Z
8.05107,8.05107,,687074,2024-02-01T23:01:20.851Z
4.7844,4.7844,,788857,2024-02-02T23:01:20.947Z
5.36721,5.36721,,721411,2024-02-03T23:00:59.952Z
4.72101,4.72101,,841332,2024-02-04T23:01:20.864Z
10.54529,10.54529,,644815,2024-02-05T23:01:08.710Z
4.69622,4.69622,,866445,2024-02-06T23:01:20.747Z
7.22129,7.22129,,734786,2024-02-07T23:01:20.849Z
6.50154,6.50154,,766099,2024-02-08T23:01:20.643Z
12.15546,12.15546,,700036,2024-02-09T23:00:57.908Z
4.82931,4.82931,,891155,2024-02-10T23:01:21.653Z
6.98228,6.98228,,830085,2024-02-11T23:01:20.640Z
4.54667,4.54667,,1185708,2024-02-12T23:01:08.938Z
13.54695,13.54695,,770120,2024-02-13T23:01:28.768Z
14.70211,14.70211,,784040,2024-02-14T23:01:20.807Z
4.84791,4.84791,,1060365,2024-02-15T23:01:20.846Z
13.86386,13.86386,,901247,2024-02-16T23:00:59.907Z
12.35634,12.35634,,940246,2024-02-17T23:01:49.604Z
4.80221,4.80221,,1206003,2024-02-18T23:02:00.120Z
9.55369,9.55369,,1041811,2024-02-19T23:01:21.049Z
14.00046,14.00046,,946047,2024-02-20T23:01:32.464Z
9.13147,9.13147,,1088564,2024-02-21T23:12:06.825Z
9.81876,9.81876,,1072706,2024-02-22T23:01:20.761Z
5.53915,5.53915,,1219925,2024-02-23T23:01:20.788Z
9.67492,9.67492,,1100216,2024-02-24T23:01:59.970Z
4.66141,4.66141,,1507703,2024-02-25T23:01:23.882Z
4.77641,4.77641,,1451590,2024-02-26T23:02:00.532Z
8.87965,8.87965,,1406386,2024-02-27T23:01:43.123Z
16.88729,16.88729,,1528889,2024-02-28T23:01:21.084Z
18.43361,18.43361,,1739320,2024-02-29T23:01:20.253Z
18.87792,18.87792,,1871633,2024-03-01T23:01:59.713Z
18.08014,18.08014,,2062698,2024-03-02T23:01:20.760Z
26.19772,26.19772,,1698674,2024-03-03T23:01:21.177Z
20.97496,20.97496,,1841398,2024-03-04T16:01:20.702Z
10.32036,10.32036,,2226043,2024-03-05T23:01:20.547Z
10.66586,10.66586,,2268152,2024-03-06T23:01:21.042Z
9.85781,9.85781,,2292186,2024-03-07T23:02:19.036Z
7.22313,7.22313,,2683016,2024-03-08T23:01:20.583Z
7.83553,7.83553,,2682011,2024-03-09T23:01:20.932Z
14.03524,14.03524,,2325313,2024-03-10T23:01:20.944Z
18.21987,18.21987,,2158722,2024-03-11T23:01:20.711Z
10.90057,10.90057,,2561096,2024-03-12T23:01:24.197Z
15.32208,15.32208,,2393331,2024-03-13T23:02:02.434Z
19.38239,19.38239,,2185809,2024-03-14T23:01:10.934Z
11.07335,11.07335,,2636367,2024-03-15T23:01:11.985Z
