APY,APY_BASE,APY_REWARD,TVL,DATE
2.63472,2.63472,0,2304702,2022-08-08T00:00:00.000Z
2.51822,2.51822,0,2435021,2022-08-09T00:00:00.000Z
2.4714,2.4714,0,2482259,2022-08-10T00:00:00.000Z
2.66292,2.66292,0,2272211,2022-08-11T00:00:00.000Z
2.67416,2.67416,0,2257449,2022-08-12T00:00:00.000Z
3.03545,3.03545,0,1851157,2022-08-13T00:00:00.000Z
3.08978,3.08978,0,1812138,2022-08-14T00:00:00.000Z
3.05738,3.05738,0,1839311,2022-08-15T00:00:00.000Z
2.97341,2.97341,0,1907678,2022-08-16T00:00:00.000Z
2.73396,2.73396,0,2098728,2022-08-17T00:00:00.000Z
2.7722,2.7722,0,1060096,2022-08-18T00:00:00.000Z
2.35645,2.35645,0,1346550,2022-08-19T00:00:00.000Z
2.48957,2.48957,0,1244780,2022-08-20T00:00:00.000Z
3.0945,3.0945,0,709210,2022-08-21T00:00:00.000Z
3.04356,3.04356,0,746625,2022-08-22T00:00:00.000Z
3.05173,3.05173,0,733944,2022-08-23T00:00:00.000Z
2.35407,2.35407,0,1252386,2022-08-24T00:00:00.000Z
2.53437,2.53437,0,1076879,2022-08-25T00:00:00.000Z
2.52479,2.52479,0,1087365,2022-08-26T00:00:00.000Z
2.25357,2.25357,0,1363418,2022-08-27T00:00:00.000Z
2.26595,2.26595,0,1346775,2022-08-28T00:00:00.000Z
2.26509,2.26509,0,1368367,2022-08-29T00:00:00.000Z
2.3746,2.3746,0,1283860,2022-08-30T00:00:00.000Z
2.39272,2.39272,0,1264319,2022-08-31T00:00:00.000Z
2.07126,2.07126,0,1657937,2022-09-01T00:00:00.000Z
1.92809,1.92809,0,1851321,2022-09-02T00:00:00.000Z
1.8867,1.8867,0,1910984,2022-09-03T00:00:00.000Z
2.24007,2.24007,0,1432424,2022-09-04T00:00:00.000Z
2.1491,2.1491,0,1528334,2022-09-05T23:00:11.400Z
2.14435,2.14435,0,1532290,2022-09-06T23:01:00.267Z
2.077,2.077,0,1616045,2022-09-07T23:00:58.851Z
2.00037,2.00037,0,1729347,2022-09-08T23:00:57.297Z
2.03586,2.03586,0,1653330,2022-09-09T23:00:57.732Z
1.67116,1.67116,0,1798573,2022-09-10T23:01:01.863Z
1.74052,1.74052,0,1717085,2022-09-11T23:00:56.399Z
1.88385,1.88385,0,1517187,2022-09-12T23:01:01.187Z
1.92345,1.92345,0,1472706,2022-09-13T23:01:08.221Z
2.07671,2.07671,0,1310764,2022-09-14T23:01:03.937Z
2.11567,2.11567,0,1264429,2022-09-15T23:00:59.680Z
2.14047,2.14047,0,1247940,2022-09-16T23:00:57.645Z
2.22708,2.22708,0,1183623,2022-09-17T23:01:11.711Z
2.16904,2.16904,0,1254410,2022-09-18T23:01:02.006Z
2.19733,2.19733,0,1233291,2022-09-19T23:01:06.390Z
2.26087,2.26087,0,1175073,2022-09-20T23:01:04.415Z
2.34059,2.34059,0,1096883,2022-09-21T23:01:04.851Z
2.32182,2.32182,0,1114270,2022-09-22T23:00:55.667Z
2.24759,2.24759,0,1166082,2022-09-23T23:01:09.349Z
2.26607,2.26607,0,1159370,2022-09-24T23:00:55.544Z
2.31487,2.31487,0,1123790,2022-09-25T23:01:06.506Z
2.19169,2.19169,0,1221982,2022-09-26T23:01:13.539Z
2.17019,2.17019,0,1238968,2022-09-27T23:01:02.028Z
2.32341,2.32341,0,1086654,2022-09-28T23:00:55.503Z
2.33458,2.33458,0,1078373,2022-09-29T23:01:05.057Z
2.2935,2.2935,0,1110385,2022-09-30T23:01:02.407Z
2.29268,2.29268,0,1108321,2022-10-01T23:01:01.648Z
2.31545,2.31545,0,1088580,2022-10-02T23:01:05.740Z
2.31624,2.31624,0,1090850,2022-10-03T23:01:08.986Z
1.48894,1.48894,0,2243504,2022-10-04T23:01:20.319Z
1.52342,1.52342,0,2182991,2022-10-05T23:00:54.963Z
1.50244,1.50244,0,2241418,2022-10-06T23:01:19.325Z
1.54393,1.54393,0,2173166,2022-10-07T23:00:57.594Z
1.57894,1.57894,0,2131593,2022-10-08T23:01:01.780Z
1.52905,1.52905,0,2194360,2022-10-09T23:01:12.652Z
1.60482,1.60482,0,2097884,2022-10-10T23:01:06.974Z
1.54071,1.54071,0,2177812,2022-10-11T23:01:07.778Z
1.60426,1.60426,0,2100520,2022-10-12T23:01:03.063Z
1.83585,1.83585,0,1792857,2022-10-13T23:01:08.339Z
1.88132,1.88132,0,1724061,2022-10-14T23:01:13.321Z
1.93445,1.93445,0,1672868,2022-10-15T23:01:06.527Z
1.70418,1.70418,0,1903856,2022-10-16T23:01:12.266Z
1.7039,1.7039,0,1898532,2022-10-17T23:00:57.835Z
1.68238,1.68238,0,1928338,2022-10-18T23:01:04.487Z
1.72804,1.72804,0,1832696,2022-10-19T23:01:00.156Z
1.82535,1.82535,0,1718125,2022-10-20T23:01:04.184Z
1.76431,1.76431,0,1774981,2022-10-21T23:01:02.834Z
1.75266,1.75266,0,1785006,2022-10-22T23:01:02.885Z
1.84058,1.84058,0,1698011,2022-10-23T23:01:02.562Z
1.83955,1.83955,0,1687571,2022-10-24T23:01:11.025Z
1.69393,1.69393,0,1860065,2022-10-25T23:01:12.568Z
1.78074,1.78074,0,1741380,2022-10-26T23:01:00.084Z
1.6726,1.6726,0,1864197,2022-10-27T23:00:56.317Z
1.66542,1.66542,0,1870692,2022-10-28T23:00:59.324Z
1.71025,1.71025,0,1820745,2022-10-29T23:01:00.144Z
1.74987,1.74987,0,1776613,2022-10-30T23:00:56.383Z
1.75603,1.75603,0,1766768,2022-10-31T23:01:01.170Z
1.73738,1.73738,0,1789306,2022-11-01T23:00:58.039Z
1.9566,1.9566,,1576569,2022-11-02T23:01:14.775Z
1.45082,1.45082,,2298861,2022-11-03T23:01:01.451Z
1.54491,1.54491,,2180379,2022-11-04T23:01:15.127Z
1.66228,1.66228,,2035647,2022-11-05T23:01:10.313Z
1.69245,1.69245,,1977533,2022-11-06T23:10:20.034Z
1.72309,1.72309,,1940128,2022-11-07T23:01:13.990Z
1.98378,1.98378,,1601901,2022-11-08T23:00:56.507Z
1.57588,1.57588,,2124696,2022-11-09T23:01:03.355Z
2.66127,2.66127,,1361621,2022-11-10T23:01:09.844Z
2.83626,2.83626,,1206741,2022-11-11T23:00:59.949Z
3.38171,3.38171,,803055,2022-11-12T23:00:56.491Z
3.21363,3.21363,,956395,2022-11-13T23:00:56.999Z
3.25579,3.25579,,888033,2022-11-14T23:01:07.697Z
3.18005,3.18005,,929159,2022-11-15T23:01:01.627Z
2.90836,2.90836,,1232645,2022-11-16T23:01:01.198Z
2.86795,2.86795,,1255466,2022-11-17T23:00:59.920Z
3.18248,3.18248,,927075,2022-11-18T23:00:56.922Z
3.09669,3.09669,,973940,2022-11-19T23:00:55.973Z
3.13392,3.13392,,970547,2022-11-20T23:00:57.326Z
3.04483,3.04483,,1143632,2022-11-21T23:00:53.517Z
3.01032,3.01032,,1177208,2022-11-22T23:01:04.001Z
3.19356,3.19356,,978125,2022-11-23T23:00:56.144Z
3.60103,3.60103,,627317,2022-11-24T23:00:57.180Z
3.48082,3.48082,,723155,2022-11-25T23:01:12.518Z
3.08862,3.08862,,1092877,2022-11-26T23:00:56.999Z
2.96881,2.96881,,1248155,2022-11-27T23:00:55.789Z
2.83282,2.83282,,1267149,2022-11-28T23:00:59.995Z
2.76329,2.76329,,1357068,2022-11-29T23:00:57.800Z
2.6882,2.6882,,1420848,2022-11-30T23:00:58.387Z
2.94258,2.94258,,1194182,2022-12-01T23:01:16.539Z
2.9196,2.9196,,1190047,2022-12-02T23:01:00.182Z
3.17801,3.17801,,933755,2022-12-03T23:00:57.543Z
3.07797,3.07797,,1045610,2022-12-04T23:00:59.927Z
2.88653,2.88653,,1279828,2022-12-05T23:01:00.528Z
2.98188,2.98188,,1174851,2022-12-06T23:01:06.976Z
2.59261,2.59261,,1651071,2022-12-07T23:01:12.511Z
2.69554,2.69554,,1493439,2022-12-08T23:00:58.286Z
2.84183,2.84183,,1292281,2022-12-09T23:01:12.696Z
2.88809,2.88809,,1244537,2022-12-10T23:01:00.938Z
3.00868,3.00868,,1100035,2022-12-11T23:00:59.884Z
2.97811,2.97811,,1138803,2022-12-12T23:01:12.915Z
2.68908,2.68908,,1513794,2022-12-13T23:01:03.050Z
2.18056,2.18056,,2329738,2022-12-14T23:00:57.940Z
2.26113,2.26113,,2192465,2022-12-15T23:01:14.386Z
2.41606,2.41606,,1920535,2022-12-16T23:01:02.627Z
2.36435,2.36435,,2014994,2022-12-17T23:01:09.275Z
2.22318,2.22318,,2272988,2022-12-18T23:01:03.491Z
2.24669,2.24669,,2238014,2022-12-19T23:01:01.447Z
2.10807,2.10807,,2501768,2022-12-20T23:01:03.527Z
2.11854,2.11854,,2478092,2022-12-21T23:01:02.055Z
2.15163,2.15163,,2438546,2022-12-22T23:01:10.351Z
2.05915,2.05915,,2619774,2022-12-23T23:00:56.427Z
1.96708,1.96708,,2755185,2022-12-24T23:00:56.716Z
2.01925,2.01925,,2625223,2022-12-25T23:01:01.532Z
1.98116,1.98116,,2711294,2022-12-26T23:01:07.569Z
2.24988,2.24988,,2174240,2022-12-27T23:01:08.270Z
2.29943,2.29943,,2084756,2022-12-28T23:01:06.913Z
2.19316,2.19316,,2284743,2022-12-29T23:00:55.871Z
2.10249,2.10249,,2438706,2022-12-30T23:00:55.974Z
2.13528,2.13528,,2362885,2022-12-31T23:00:55.879Z
2.23327,2.23327,,2174335,2023-01-01T23:00:57.849Z
2.22868,2.22868,,2160074,2023-01-02T23:01:07.591Z
2.12228,2.12228,,2327699,2023-01-03T23:00:57.458Z
2.06114,2.06114,,2444768,2023-01-04T23:00:57.820Z
2.11597,2.11597,,2352581,2023-01-05T23:01:03.660Z
2.11921,2.11921,,2333612,2023-01-06T23:01:23.044Z
2.16214,2.16214,,2279320,2023-01-07T23:01:09.109Z
1.84367,1.84367,,2900057,2023-01-08T23:01:26.265Z
1.94738,1.94738,,2616600,2023-01-09T23:01:14.766Z
1.92363,1.92363,,2654339,2023-01-10T23:01:08.728Z
1.93496,1.93496,,2629684,2023-01-11T23:01:10.140Z
1.96281,1.96281,,2580068,2023-01-12T23:01:06.747Z
2.0736,2.0736,,2381274,2023-01-13T23:01:42.879Z
1.97234,1.97234,,2627346,2023-01-14T23:00:57.190Z
2.11651,2.11651,,2361067,2023-01-15T23:00:56.618Z
2.10058,2.10058,,2388947,2023-01-16T23:01:01.042Z
2.10392,2.10392,,2391627,2023-01-17T23:01:13.721Z
2.09455,2.09455,,2418788,2023-01-18T23:01:09.658Z
2.21398,2.21398,,2169632,2023-01-19T23:01:10.809Z
2.1995,2.1995,,2199350,2023-01-20T23:01:10.486Z
2.15124,2.15124,,2258915,2023-01-21T23:01:05.629Z
2.20159,2.20159,,2177581,2023-01-22T23:01:09.871Z
2.16833,2.16833,,2245133,2023-01-23T23:01:10.171Z
2.18682,2.18682,,2213499,2023-01-24T23:01:10.444Z
2.0322,2.0322,,2448202,2023-01-25T23:01:02.733Z
2.03607,2.03607,,2428260,2023-01-26T23:01:09.816Z
2.15599,2.15599,,2182265,2023-01-27T23:01:02.354Z
2.26112,2.26112,,2016944,2023-01-28T23:01:04.573Z
2.17615,2.17615,,2141048,2023-01-29T23:01:02.944Z
2.17043,2.17043,,2140869,2023-01-30T23:01:07.362Z
1.99795,1.99795,,2227720,2023-01-31T23:01:22.954Z
2.01454,2.01454,,2289238,2023-02-01T23:01:25.522Z
2.18732,2.18732,,2041630,2023-02-02T23:01:16.930Z
2.1894,2.1894,,2036070,2023-02-03T23:01:03.508Z
2.24334,2.24334,,1946525,2023-02-04T23:01:01.130Z
2.41691,2.41691,,1718564,2023-02-05T23:01:00.065Z
2.44817,2.44817,,1681086,2023-02-06T23:01:24.670Z
2.64241,2.64241,,1459418,2023-02-07T23:01:03.756Z
2.504,2.504,,1620064,2023-02-08T23:01:03.305Z
3.25214,3.25214,,840786,2023-02-09T23:01:04.532Z
