APY,APY_BASE,APY_REWARD,TVL,DATE
5.46909,3.33942,2.12966,24235506,2022-08-10T00:00:00.000Z
5.3779,3.24979,2.12811,24318044,2022-08-11T00:00:00.000Z
5.33825,3.1719,2.16636,24916940,2022-08-12T00:00:00.000Z
5.35688,3.19093,2.16594,24531605,2022-08-13T00:00:00.000Z
5.20902,3.06053,2.14849,24710021,2022-08-14T00:00:00.000Z
5.19602,3.04626,2.14976,24392553,2022-08-15T00:00:00.000Z
5.34863,3.20469,2.14394,23627954,2022-08-16T00:00:00.000Z
5.28976,3.1685,2.12126,22512749,2022-08-17T00:00:00.000Z
5.27471,3.15083,2.12388,22188766,2022-08-18T00:00:00.000Z
5.16812,3.08997,2.07814,20128279,2022-08-19T00:00:00.000Z
4.93661,2.82327,2.11334,20657357,2022-08-20T00:00:00.000Z
5.0326,2.94393,2.08866,20930616,2022-08-21T00:00:00.000Z
5.37016,3.27557,2.09458,19061425,2022-08-22T00:00:00.000Z
5.32416,3.25159,2.07257,20029298,2022-08-23T00:00:00.000Z
5.26575,3.17309,2.09266,20084103,2022-08-24T00:00:00.000Z
5.11578,3.01831,2.09748,20654725,2022-08-25T00:00:00.000Z
5.13623,3.05181,2.08442,18694100,2022-08-26T00:00:00.000Z
5.11617,3.0279,2.08827,17963240,2022-08-27T00:00:00.000Z
5.70523,3.58802,2.1172,15073021,2022-08-28T00:00:00.000Z
6.37985,4.26856,2.11129,13504667,2022-08-29T00:00:00.000Z
6.17885,4.042,2.13684,13964118,2022-08-30T00:00:00.000Z
5.73254,3.61476,2.11778,15104388,2022-08-31T00:00:00.000Z
5.88589,3.77867,2.10722,14718899,2022-09-01T00:00:00.000Z
5.87414,3.73055,2.14359,14439970,2022-09-02T00:00:00.000Z
6.13089,3.99561,2.13527,13693409,2022-09-03T00:00:00.000Z
6.12077,3.97146,2.14931,13795746,2022-09-04T00:00:00.000Z
6.26964,4.13961,2.13003,13302993,2022-09-05T23:00:23.740Z
5.89092,3.8291,2.06181,14088818,2022-09-06T23:01:02.847Z
4.90106,3.37211,1.52896,17097031,2022-09-07T23:01:26.826Z
5.10166,3.52028,1.58139,16328547,2022-09-08T23:01:23.862Z
5.04725,3.4855,1.56175,17663487,2022-09-09T23:01:57.533Z
5.16315,3.57098,1.59217,17547576,2022-09-10T23:00:58.750Z
5.10387,3.51398,1.58989,17698852,2022-09-11T23:01:24.126Z
5.24683,3.68208,1.56474,17462392,2022-09-12T23:01:30.720Z
5.71961,4.06436,1.65525,13884721,2022-09-13T23:01:24.894Z
5.10426,3.40801,1.69625,15608243,2022-09-14T23:01:59.044Z
5.01452,3.36199,1.65254,15426527,2022-09-15T23:01:17.162Z
4.81565,3.16959,1.64606,15919440,2022-09-16T23:01:19.228Z
5.06294,3.38942,1.67352,15593413,2022-09-17T23:01:06.807Z
5.46911,3.77787,1.69124,12989172,2022-09-18T23:01:13.625Z
6.73255,5.11422,1.61833,10674851,2022-09-19T23:01:53.717Z
7.31528,5.7082,1.60707,9215981,2022-09-20T23:01:13.368Z
7.19791,5.63169,1.56622,9399679,2022-09-21T23:01:01.864Z
6.99302,5.46536,1.52766,10581317,2022-09-22T23:01:38.415Z
6.92419,5.40994,1.51425,10884299,2022-09-23T23:01:08.245Z
6.6538,5.13314,1.52066,11310076,2022-09-24T23:01:16.956Z
6.56833,5.04479,1.52353,11398704,2022-09-25T23:01:04.404Z
6.51169,4.99397,1.51773,11458916,2022-09-26T23:01:04.125Z
6.47269,4.97475,1.49794,11542159,2022-09-27T23:01:22.235Z
6.43343,4.95371,1.47972,11570882,2022-09-28T23:01:11.247Z
6.26261,4.80617,1.45644,12005495,2022-09-29T23:00:58.596Z
6.02881,4.56112,1.4677,12578053,2022-09-30T23:01:26.851Z
6.44133,4.94011,1.50122,11385640,2022-10-01T23:01:07.961Z
6.4363,4.93934,1.49695,11270516,2022-10-02T23:01:21.243Z
7.00792,5.4748,1.53311,9947817,2022-10-03T23:01:11.839Z
7.0004,5.48344,1.51696,10211298,2022-10-04T23:01:25.776Z
5.97025,4.98814,0.9821,11853644,2022-10-05T23:01:03.926Z
6.12779,5.14342,0.98438,11260797,2022-10-06T23:01:13.235Z
6.40013,5.40928,0.99085,10455702,2022-10-07T23:01:15.614Z
6.43925,5.45151,0.98774,10310446,2022-10-08T23:01:10.254Z
6.28918,5.30277,0.98641,10765047,2022-10-09T23:01:23.877Z
6.01962,5.02753,0.99209,10977787,2022-10-10T23:01:09.487Z
5.47951,4.50493,0.97458,12035761,2022-10-11T23:01:15.118Z
5.509,4.54484,0.96416,12041412,2022-10-12T23:01:18.512Z
5.43763,4.48254,0.95509,11837495,2022-10-13T23:01:32.268Z
3.58796,2.5994,0.98856,16988249,2022-10-14T23:01:04.715Z
3.91229,2.76849,1.1438,16093280,2022-10-15T23:01:16.731Z
3.74261,2.73088,1.01174,16447993,2022-10-16T23:01:21.897Z
3.56035,2.5683,0.99204,17297825,2022-10-17T23:01:14.406Z
3.45244,2.43243,1.02001,17414656,2022-10-18T23:01:15.132Z
3.65281,2.63882,1.01399,16036292,2022-10-19T23:01:08.382Z
3.59154,2.58635,1.00519,16189986,2022-10-20T23:01:14.774Z
3.55652,2.55307,1.00345,16654692,2022-10-21T23:01:50.817Z
3.53707,2.52305,1.01401,16869403,2022-10-22T23:01:28.338Z
3.56952,2.56774,1.00178,17233359,2022-10-23T23:01:14.797Z
3.56839,2.56362,1.00478,16737667,2022-10-24T23:01:04.958Z
3.53722,2.51631,1.02091,17232828,2022-10-25T23:01:23.709Z
3.53487,2.51322,1.02165,17633976,2022-10-26T23:01:14.008Z
3.49801,2.47509,1.02292,17704895,2022-10-27T23:01:43.896Z
3.30989,2.29998,1.00991,19485579,2022-10-28T23:01:24.287Z
3.08764,2.07844,1.0092,20291825,2022-10-29T23:01:12.249Z
3.06977,2.05495,1.01482,20148072,2022-10-30T23:01:22.628Z
2.64753,1.65152,0.99601,22980474,2022-10-31T23:01:22.321Z
2.31166,1.31127,1.00039,23984368,2022-11-01T23:01:56.460Z
1.95211,1.2723,0.67981,23058516,2022-11-02T23:01:19.691Z
1.90497,1.21989,0.68508,23831891,2022-11-03T23:01:09.881Z
1.90942,1.22278,0.68663,25274722,2022-11-04T23:00:56.145Z
1.91354,1.2303,0.68324,25503065,2022-11-05T23:01:12.875Z
2.40711,1.64973,0.75738,20451971,2022-11-06T23:01:08.195Z
2.28997,1.53796,0.75201,20147698,2022-11-07T23:00:59.958Z
2.61178,1.78037,0.8314,15272611,2022-11-08T23:01:29.762Z
2.82882,1.99587,0.83296,11742071,2022-11-09T23:01:08.764Z
3.7914,2.80286,0.98854,10326227,2022-11-10T23:01:03.797Z
4.00912,2.90881,1.10031,8268332,2022-11-11T23:01:08.809Z
3.95713,2.83134,1.12579,7946192,2022-11-12T23:01:05.924Z
4.88461,3.67276,1.21185,6277790,2022-11-13T23:01:05.108Z
4.99545,3.78712,1.20833,6185491,2022-11-14T23:01:21.584Z
4.61711,3.42297,1.19414,6831860,2022-11-15T23:01:15.815Z
4.86022,3.62002,1.2402,6180013,2022-11-16T23:01:11.508Z
5.26416,4.01672,1.24744,5771205,2022-11-17T23:01:07.731Z
5.14189,3.90608,1.23581,5872328,2022-11-18T23:01:20.380Z
4.6445,3.36527,1.27923,6326975,2022-11-19T23:01:11.676Z
3.75404,2.53191,1.22213,7418926,2022-11-20T23:01:14.624Z
3.93229,2.63884,1.29345,7275485,2022-11-21T23:01:11.647Z
4.05463,2.79531,1.25932,7481200,2022-11-22T23:01:07.277Z
4.16859,2.71086,1.45772,8114255,2022-11-23T23:01:26.941Z
4.06874,2.70652,1.36222,8192597,2022-11-24T23:01:07.418Z
4.0138,2.70299,1.31081,8203113,2022-11-25T23:01:33.074Z
3.8964,2.60292,1.29348,8195228,2022-11-26T23:01:08.402Z
3.6398,2.40421,1.23559,8970629,2022-11-27T23:01:08.339Z
3.27493,2.05838,1.21655,9222891,2022-11-28T23:01:05.446Z
2.30908,1.32521,0.98388,12862267,2022-11-29T23:01:09.554Z
2.04202,1.11297,0.92905,14740195,2022-11-30T23:01:09.704Z
3.09285,1.98964,1.10321,9520975,2022-12-01T23:01:04.158Z
3.00183,1.90712,1.09471,10141653,2022-12-02T23:01:04.416Z
3.04999,1.93623,1.11376,10071863,2022-12-03T23:01:54.395Z
2.97276,1.86801,1.10476,10532073,2022-12-04T23:01:26.855Z
2.95717,1.86032,1.09685,10309341,2022-12-05T23:01:00.382Z
2.97791,1.89057,1.08734,10274695,2022-12-06T23:01:20.175Z
2.91363,1.83987,1.07376,10091371,2022-12-07T23:01:10.863Z
2.82395,1.75223,1.07171,10550626,2022-12-08T23:01:21.647Z
2.90172,1.80385,1.09787,10125148,2022-12-09T23:01:17.461Z
2.59412,1.51323,1.08089,10894721,2022-12-10T23:01:12.835Z
2.64963,1.56174,1.08789,10526724,2022-12-11T23:01:02.879Z
2.60471,1.52533,1.07938,10501624,2022-12-12T23:01:14.306Z
2.45821,1.45232,1.00589,11438808,2022-12-13T23:01:08.395Z
2.613,1.59717,1.01583,11157897,2022-12-14T23:01:07.945Z
2.73839,1.73284,1.00555,10379283,2022-12-15T23:01:17.813Z
