APY,APY_BASE,APY_REWARD,TVL,DATE
4.71195,1.20904,3.50291,11397238,2022-08-10T00:00:00.000Z
4.65354,1.20875,3.4448,11503460,2022-08-11T00:00:00.000Z
4.67636,1.199,3.47736,11577535,2022-08-12T00:00:00.000Z
4.63246,1.18915,3.4433,11658328,2022-08-13T00:00:00.000Z
4.48762,1.02075,3.46686,11730477,2022-08-14T00:00:00.000Z
4.47181,1.03109,3.44072,11541162,2022-08-15T00:00:00.000Z
4.46595,1.02619,3.43976,11449059,2022-08-16T00:00:00.000Z
4.23382,0.9491,3.28472,11503960,2022-08-17T00:00:00.000Z
4.20561,0.95306,3.25255,11396572,2022-08-18T00:00:00.000Z
4.25165,0.98207,3.26958,10015076,2022-08-19T00:00:00.000Z
5.62774,1.48662,4.14112,6923125,2022-08-20T00:00:00.000Z
5.6379,1.45987,4.17804,7120942,2022-08-21T00:00:00.000Z
5.61792,1.47959,4.13833,6956787,2022-08-22T00:00:00.000Z
5.92838,1.62627,4.30212,6765948,2022-08-23T00:00:00.000Z
5.86166,1.61594,4.24571,6803258,2022-08-24T00:00:00.000Z
6.2323,2.03185,4.20045,6290535,2022-08-25T00:00:00.000Z
5.37612,1.48284,3.89328,6949098,2022-08-26T00:00:00.000Z
5.04576,1.3115,3.73426,7200384,2022-08-27T00:00:00.000Z
4.80259,1.28904,3.51355,7202550,2022-08-28T00:00:00.000Z
4.20547,0.89855,3.30692,8586440,2022-08-29T00:00:00.000Z
2.98041,0.27171,2.7087,12642760,2022-08-30T00:00:00.000Z
4.92454,0.81793,4.10661,7052504,2022-08-31T00:00:00.000Z
4.19687,0.38065,3.81621,8560671,2022-09-01T00:00:00.000Z
4.02552,0.70132,3.3242,8796012,2022-09-02T00:00:00.000Z
3.90465,0.66961,3.23505,9102216,2022-09-03T00:00:00.000Z
3.52185,0.58229,2.93955,10306513,2022-09-04T00:00:00.000Z
3.40856,0.55684,2.85172,10614731,2022-09-05T23:00:23.740Z
3.37982,0.5446,2.83522,10432977,2022-09-06T23:01:02.847Z
4.03979,0.56168,3.4781,10321348,2022-09-07T23:01:26.826Z
4.05269,0.57058,3.48212,10331877,2022-09-08T23:01:23.862Z
4.33957,0.72475,3.61482,10225652,2022-09-09T23:01:57.533Z
4.27654,0.7129,3.56364,10584651,2022-09-10T23:00:58.750Z
4.17936,0.67794,3.50142,10897265,2022-09-11T23:01:24.126Z
3.99507,0.64484,3.35023,11757675,2022-09-12T23:01:30.720Z
3.99406,0.6678,3.32625,10519998,2022-09-13T23:01:24.894Z
3.611,0.57588,3.03512,11879213,2022-09-14T23:01:59.044Z
3.54177,0.57922,2.96255,11628367,2022-09-15T23:01:17.162Z
3.56411,0.5721,2.99201,11462388,2022-09-16T23:01:19.228Z
3.62865,0.60075,3.0279,11476644,2022-09-17T23:01:06.807Z
3.38688,0.57396,2.81292,11305022,2022-09-18T23:01:13.625Z
3.4828,0.57624,2.90656,11238872,2022-09-19T23:01:53.717Z
3.15375,0.50362,2.65012,12248581,2022-09-20T23:01:13.368Z
3.18296,0.50161,2.68135,11850235,2022-09-21T23:01:01.864Z
3.23817,0.51454,2.72363,12520579,2022-09-22T23:01:38.415Z
3.25155,0.49212,2.75943,12575228,2022-09-23T23:01:08.245Z
3.21858,0.48486,2.73371,12515685,2022-09-24T23:01:16.956Z
3.19173,0.48448,2.70724,12535405,2022-09-25T23:01:04.404Z
2.98054,0.45062,2.52992,13420399,2022-09-26T23:01:04.125Z
2.89725,0.21238,2.68486,13696025,2022-09-27T23:01:22.235Z
4.27633,0.67053,3.6058,8758587,2022-09-28T23:01:11.247Z
4.35422,0.6234,3.73082,8538364,2022-09-29T23:00:58.596Z
4.35916,0.62647,3.73269,8514370,2022-09-30T23:01:26.851Z
