APY,APY_BASE,APY_REWARD,TVL,DATE
4.37501,0.2526,4.12241,68016401,2022-08-10T00:00:00.000Z
4.30973,0.25057,4.05916,68016544,2022-08-11T00:00:00.000Z
4.27278,0.17637,4.09641,71509927,2022-08-12T00:00:00.000Z
4.22972,0.17681,4.05291,71209960,2022-08-13T00:00:00.000Z
4.22423,0.1968,4.02743,69437293,2022-08-14T00:00:00.000Z
4.2765,0.1996,4.0769,67642958,2022-08-15T00:00:00.000Z
4.32625,0.15479,4.17146,67047516,2022-08-16T00:00:00.000Z
4.33553,0.15606,4.17947,62555690,2022-08-17T00:00:00.000Z
4.34538,0.15629,4.18909,61411614,2022-08-18T00:00:00.000Z
4.21262,0.15253,4.06009,55509346,2022-08-19T00:00:00.000Z
4.49615,0.16231,4.33384,51568125,2022-08-20T00:00:00.000Z
4.45182,0.16807,4.28376,53201818,2022-08-21T00:00:00.000Z
4.23194,0.18521,4.04672,54288294,2022-08-22T00:00:00.000Z
4.15703,0.18877,3.96826,57087290,2022-08-23T00:00:00.000Z
4.23487,0.18985,4.04502,55971186,2022-08-24T00:00:00.000Z
4.23791,0.19113,4.04679,56005886,2022-08-25T00:00:00.000Z
4.24178,0.20124,4.04054,50534600,2022-08-26T00:00:00.000Z
4.25935,0.25727,4.00208,47928680,2022-08-27T00:00:00.000Z
4.29321,0.24756,4.04564,44996979,2022-08-28T00:00:00.000Z
4.11765,0.23608,3.88157,47838289,2022-08-29T00:00:00.000Z
4.1612,0.25554,3.90566,47092867,2022-08-30T00:00:00.000Z
4.22887,0.25667,3.9722,45767132,2022-08-31T00:00:00.000Z
4.2652,0.20507,4.06013,45675346,2022-09-01T00:00:00.000Z
4.26808,0.31187,3.95621,44693247,2022-09-02T00:00:00.000Z
4.17995,0.3144,3.86555,45320535,2022-09-03T00:00:00.000Z
4.21685,0.32005,3.89679,45347779,2022-09-04T00:00:00.000Z
4.15765,0.31096,3.84669,45424536,2022-09-05T23:00:23.740Z
4.18941,0.31743,3.87198,43501652,2022-09-06T23:01:02.847Z
3.82221,0.31735,3.50486,45318593,2022-09-07T23:01:26.826Z
3.88477,0.20806,3.67671,45627771,2022-09-08T23:01:23.862Z
3.87563,0.19886,3.67677,48523482,2022-09-09T23:01:57.533Z
