APY,APY_BASE,APY_REWARD,TVL,DATE
3.28501,2.50395,0.78105,49916965,2022-08-10T00:00:00.000Z
3.17743,2.41532,0.76212,51214537,2022-08-11T00:00:00.000Z
3.37228,2.51958,0.85271,46262340,2022-08-12T00:00:00.000Z
3.35803,2.5115,0.84654,46017197,2022-08-13T00:00:00.000Z
3.55724,2.70307,0.85417,42947683,2022-08-14T00:00:00.000Z
3.43964,2.60236,0.83727,44061083,2022-08-15T00:00:00.000Z
3.5606,2.737,0.8236,43491887,2022-08-16T00:00:00.000Z
3.64185,2.86201,0.77984,41975463,2022-08-17T00:00:00.000Z
3.58438,2.81082,0.77356,42042168,2022-08-18T00:00:00.000Z
2.903,2.16595,0.73705,43659065,2022-08-19T00:00:00.000Z
3.0322,2.31087,0.72133,43176913,2022-08-20T00:00:00.000Z
2.9648,2.23229,0.73251,44136862,2022-08-21T00:00:00.000Z
2.92256,2.2263,0.69627,45120250,2022-08-22T00:00:00.000Z
2.93325,2.20533,0.72792,44776015,2022-08-23T00:00:00.000Z
2.86949,2.14448,0.72501,45444986,2022-08-24T00:00:00.000Z
2.93685,2.2161,0.72075,45164472,2022-08-25T00:00:00.000Z
2.94911,2.29665,0.65245,44448841,2022-08-26T00:00:00.000Z
2.90794,2.24774,0.66021,42513734,2022-08-27T00:00:00.000Z
2.68416,2.06376,0.6204,44288283,2022-08-28T00:00:00.000Z
2.26545,1.6648,0.60065,50221284,2022-08-29T00:00:00.000Z
2.34625,1.7291,0.61715,48180497,2022-08-30T00:00:00.000Z
2.42312,1.80612,0.61699,46948064,2022-08-31T00:00:00.000Z
2.37917,1.76325,0.61593,47461701,2022-09-01T00:00:00.000Z
2.31439,1.71514,0.59925,48740276,2022-09-02T00:00:00.000Z
2.37253,1.77405,0.59848,47862434,2022-09-03T00:00:00.000Z
2.44546,1.84278,0.60268,47377212,2022-09-04T00:00:00.000Z
2.32548,1.73904,0.58644,48996290,2022-09-05T23:00:23.740Z
2.3332,1.75675,0.57645,48012078,2022-09-06T23:01:02.847Z
2.26343,1.81527,0.44816,42650908,2022-09-07T23:01:26.826Z
1.88,1.37193,0.50807,41828120,2022-09-08T23:01:23.862Z
2.07599,1.50675,0.56924,38437464,2022-09-09T23:01:57.533Z
1.95611,1.3955,0.56061,41230962,2022-09-10T23:00:58.750Z
1.9642,1.40522,0.55898,41016867,2022-09-11T23:01:24.126Z
1.8682,1.35757,0.51062,45058713,2022-09-12T23:01:30.720Z
1.93695,1.45035,0.4866,41994172,2022-09-13T23:01:24.894Z
2.14574,1.60545,0.54029,37466429,2022-09-14T23:01:59.044Z
2.1827,1.65788,0.52482,36492990,2022-09-15T23:01:17.162Z
2.29803,1.76007,0.53795,34597887,2022-09-16T23:01:19.228Z
2.30379,1.75211,0.55168,35249874,2022-09-17T23:01:06.807Z
2.02208,1.55386,0.46822,38992508,2022-09-18T23:01:13.625Z
1.77893,1.33155,0.44739,43964774,2022-09-19T23:01:53.717Z
1.74369,1.31152,0.43217,44767008,2022-09-20T23:01:13.368Z
1.85176,1.41504,0.43673,42522648,2022-09-21T23:01:01.864Z
1.87936,1.41674,0.46263,42183733,2022-09-22T23:01:38.415Z
1.9155,1.44505,0.47045,41509407,2022-09-23T23:01:08.245Z
1.94594,1.4814,0.46454,40953853,2022-09-24T23:01:16.956Z
1.96139,1.49888,0.46251,40588084,2022-09-25T23:01:04.404Z
1.92798,1.47193,0.45606,41028803,2022-09-26T23:01:04.125Z
1.80437,1.33628,0.46809,40524954,2022-09-27T23:01:22.235Z
1.71116,1.26325,0.44791,42381201,2022-09-28T23:01:11.247Z
1.72191,1.27595,0.44596,42005839,2022-09-29T23:00:58.596Z
1.75951,1.30538,0.45413,41255307,2022-09-30T23:01:26.851Z
1.91892,1.42804,0.49089,37320772,2022-10-01T23:01:07.961Z
1.92516,1.44095,0.48421,37151300,2022-10-02T23:01:21.243Z
1.84242,1.35603,0.48639,38112223,2022-10-03T23:01:11.839Z
1.86466,1.36985,0.49481,37976270,2022-10-04T23:01:25.776Z
1.42092,1.00417,0.41675,39563475,2022-10-05T23:01:03.926Z
1.32985,0.91484,0.41501,39879110,2022-10-06T23:01:13.235Z
1.48271,1.06406,0.41865,37913035,2022-10-07T23:01:15.614Z
1.50093,1.0855,0.41542,37698250,2022-10-08T23:01:10.254Z
1.52145,1.1,0.42145,37366957,2022-10-09T23:01:23.877Z
1.51628,1.10545,0.41083,37073654,2022-10-10T23:01:09.487Z
1.53685,1.13412,0.40273,36193552,2022-10-11T23:01:15.118Z
1.52922,1.12164,0.40759,35679161,2022-10-12T23:01:18.512Z
1.59064,1.1881,0.40254,34256575,2022-10-13T23:01:32.268Z
1.54103,1.12215,0.41888,34991947,2022-10-14T23:01:04.715Z
1.59325,1.10697,0.48628,35381028,2022-10-15T23:01:16.731Z
1.5339,1.11148,0.42242,35273446,2022-10-16T23:01:21.897Z
1.46932,1.0434,0.42592,35299170,2022-10-17T23:01:14.406Z
1.47208,1.03939,0.43268,35393019,2022-10-18T23:01:15.132Z
1.4808,1.06377,0.41703,34668667,2022-10-19T23:01:08.382Z
1.49986,1.08329,0.41656,34137985,2022-10-20T23:01:14.774Z
1.57814,1.15112,0.42702,33428171,2022-10-21T23:01:50.817Z
1.59787,1.15815,0.43972,33134789,2022-10-22T23:01:28.338Z
1.60242,1.15676,0.44567,33057403,2022-10-23T23:01:14.797Z
1.59171,1.15742,0.43429,33061912,2022-10-24T23:01:04.958Z
1.76718,1.28719,0.47999,30037383,2022-10-25T23:01:23.709Z
1.79867,1.30529,0.49337,29702114,2022-10-26T23:01:14.008Z
1.87014,1.36103,0.50911,28393936,2022-10-27T23:01:43.896Z
1.86753,1.3337,0.53382,28512414,2022-10-28T23:01:24.287Z
1.8851,1.34854,0.53656,28215619,2022-10-29T23:01:12.249Z
1.90266,1.36351,0.53914,27857615,2022-10-30T23:01:22.628Z
2.19907,1.59519,0.60388,24460590,2022-10-31T23:01:22.321Z
2.48043,1.83677,0.64366,21487394,2022-11-01T23:01:56.460Z
2.05368,1.37796,0.67572,21779021,2022-11-02T23:01:19.691Z
2.10601,1.39872,0.70729,21409958,2022-11-03T23:01:09.881Z
2.16479,1.41417,0.75062,21348509,2022-11-04T23:00:56.145Z
2.17319,1.41087,0.76232,21087853,2022-11-05T23:01:12.875Z
1.7946,1.13246,0.66214,24887888,2022-11-06T23:01:08.195Z
1.97981,1.29171,0.6881,22125290,2022-11-07T23:00:59.958Z
1.88259,1.24805,0.63454,21104256,2022-11-08T23:01:29.762Z
1.64218,1.00884,0.63334,17835061,2022-11-09T23:01:08.764Z
1.6542,0.91418,0.74002,18419489,2022-11-10T23:01:03.797Z
2.25471,1.38245,0.87227,12835230,2022-11-11T23:01:08.809Z
1.97001,1.18083,0.78918,14441748,2022-11-12T23:01:05.924Z
2.17582,1.3338,0.84203,12796574,2022-11-13T23:01:05.108Z
2.43197,1.59959,0.83238,12293678,2022-11-14T23:01:21.584Z
2.43105,1.58726,0.84379,12418361,2022-11-15T23:01:15.815Z
2.38677,1.57292,0.81385,12516967,2022-11-16T23:01:11.508Z
2.21268,1.4175,0.79519,13307736,2022-11-17T23:01:07.731Z
2.21654,1.42912,0.78742,13237513,2022-11-18T23:01:20.380Z
2.32471,1.49823,0.82648,12700217,2022-11-19T23:01:11.676Z
2.27637,1.46227,0.8141,12889083,2022-11-20T23:01:14.624Z
2.29988,1.4117,0.88819,13038694,2022-11-21T23:01:11.647Z
2.26212,1.35416,0.90796,13250656,2022-11-22T23:01:07.277Z
2.48246,1.32667,1.15579,13648580,2022-11-23T23:01:26.941Z
2.55077,1.59483,0.95593,14502606,2022-11-24T23:01:07.418Z
2.47841,1.60634,0.87206,15075214,2022-11-25T23:01:33.074Z
2.47143,1.62182,0.84962,14878424,2022-11-26T23:01:08.402Z
2.48234,1.62573,0.85662,14794482,2022-11-27T23:01:08.339Z
2.45329,1.63172,0.82157,14724595,2022-11-28T23:01:05.446Z
2.42349,1.61688,0.80661,14855817,2022-11-29T23:01:09.554Z
2.47389,1.62066,0.85323,14506368,2022-11-30T23:01:09.704Z
2.28984,1.55858,0.73126,15013064,2022-12-01T23:01:04.158Z
2.14385,1.34802,0.79584,14969485,2022-12-02T23:01:04.416Z
2.29957,1.48595,0.81362,14562917,2022-12-03T23:01:54.395Z
2.28961,1.45689,0.83273,14701965,2022-12-04T23:01:26.855Z
2.28535,1.48069,0.80466,14631565,2022-12-05T23:01:00.382Z
2.33571,1.52488,0.81083,14263743,2022-12-06T23:01:20.175Z
2.31347,1.52822,0.78525,14080246,2022-12-07T23:01:10.863Z
2.21142,1.39071,0.82071,14287367,2022-12-08T23:01:21.647Z
2.21771,1.40426,0.81345,14284951,2022-12-09T23:01:17.461Z
2.25997,1.43526,0.82471,13972223,2022-12-10T23:01:12.835Z
2.2193,1.41517,0.80413,14148671,2022-12-11T23:01:02.879Z
2.20842,1.41607,0.79236,14104855,2022-12-12T23:01:14.306Z
2.18697,1.41227,0.7747,14183918,2022-12-13T23:01:08.395Z
2.28092,1.46625,0.81467,13561991,2022-12-14T23:01:07.945Z
2.26311,1.49059,0.77252,13380950,2022-12-15T23:01:17.813Z
2.16535,1.44951,0.71585,13336541,2022-12-16T23:01:06.768Z
2.27095,1.55409,0.71686,13051663,2022-12-17T23:01:22.620Z
2.22311,1.49945,0.72367,13345143,2022-12-18T23:01:22.077Z
2.18414,1.4983,0.68585,13373428,2022-12-19T23:01:15.810Z
2.08454,1.32658,0.75796,13160911,2022-12-20T23:01:22.302Z
2.08466,1.33428,0.75038,13098665,2022-12-21T23:01:08.000Z
2.06511,1.31063,0.75448,13079275,2022-12-22T23:01:17.634Z
2.03405,1.27702,0.75704,13229127,2022-12-23T23:01:10.066Z
2.11237,1.36023,0.75214,13011721,2022-12-24T23:01:20.465Z
2.36492,1.60208,0.76285,12097631,2022-12-25T23:01:10.092Z
2.22414,1.46655,0.7576,12413096,2022-12-26T23:01:18.314Z
2.17449,1.42321,0.75128,12620386,2022-12-27T23:01:23.501Z
2.08677,1.36034,0.72644,12827120,2022-12-28T23:01:50.741Z
2.112,1.39537,0.71664,12629861,2022-12-29T23:01:28.768Z
2.16932,1.4477,0.72162,12314220,2022-12-30T23:01:12.720Z
3.10614,2.05908,1.04705,7743078,2022-12-31T23:01:19.421Z
2.2176,1.58035,0.63726,13751540,2023-01-01T23:01:14.921Z
2.25621,1.59491,0.66131,13484533,2023-01-02T23:02:00.132Z
2.29651,1.6212,0.67531,13247997,2023-01-03T23:01:16.155Z
2.34634,1.64673,0.69961,13071161,2023-01-04T23:01:18.565Z
2.34093,1.6444,0.69654,13084746,2023-01-05T23:01:18.366Z
2.18106,1.5327,0.64836,13332789,2023-01-06T23:01:09.591Z
2.17137,1.52095,0.65042,13390794,2023-01-07T23:01:26.386Z
2.30388,1.63169,0.67219,13376465,2023-01-08T23:01:34.188Z
2.31217,1.63584,0.67634,13350663,2023-01-09T23:01:16.217Z
2.13136,1.41439,0.71698,13235555,2023-01-10T23:01:14.429Z
2.26429,1.45749,0.8068,13032841,2023-01-11T23:01:17.622Z
2.26086,1.48103,0.77983,13139230,2023-01-12T23:01:28.749Z
2.28717,1.48154,0.80563,13222203,2023-01-13T23:01:31.434Z
2.47314,1.60505,0.86809,12371385,2023-01-14T23:01:58.365Z
2.68592,1.85435,0.83157,12338915,2023-01-15T23:01:18.187Z
2.38431,1.4693,0.915,12482474,2023-01-16T23:01:07.077Z
2.42235,1.51253,0.90982,12389761,2023-01-17T23:01:10.185Z
2.30815,1.46776,0.84039,12501851,2023-01-18T23:01:51.510Z
2.35551,1.50717,0.84834,12433338,2023-01-19T23:01:18.563Z
2.42066,1.51626,0.9044,12422628,2023-01-20T23:02:18.539Z
2.3951,1.49367,0.90142,12539600,2023-01-21T23:01:18.442Z
2.37475,1.48495,0.8898,12578769,2023-01-22T23:01:19.859Z
2.60207,1.65565,0.94642,12112106,2023-01-23T23:01:23.178Z
2.58279,1.6653,0.91749,11897095,2023-01-24T23:01:22.492Z
2.60833,1.66895,0.93938,11776036,2023-01-25T23:01:07.281Z
2.51983,1.60247,0.91737,12350129,2023-01-26T23:01:21.546Z
2.50193,1.55076,0.95117,12715355,2023-01-27T23:01:22.030Z
2.51694,1.55498,0.96196,12664409,2023-01-28T23:01:10.274Z
2.6468,1.64085,1.00595,12364041,2023-01-29T23:01:28.025Z
2.68184,1.71881,0.96303,12112282,2023-01-30T23:02:26.134Z
2.77872,1.77397,1.00475,11722747,2023-01-31T23:01:20.559Z
2.89981,1.8632,1.03662,11558248,2023-02-01T23:01:33.092Z
2.71418,1.71211,1.00207,12668513,2023-02-02T23:01:11.211Z
3.05315,2.04246,1.01069,11809880,2023-02-03T23:01:34.462Z
4.06307,2.91451,1.14857,8914747,2023-02-04T23:01:03.794Z
3.28167,2.30884,0.97284,11231362,2023-02-05T23:01:12.970Z
3.39044,2.35703,1.03341,11041380,2023-02-06T23:01:24.607Z
3.44018,2.35237,1.08781,11058638,2023-02-07T23:01:19.364Z
3.53463,2.45789,1.07674,10449885,2023-02-08T23:01:34.517Z
3.43257,2.32762,1.10495,10864164,2023-02-09T23:01:37.521Z
3.47828,2.39585,1.08243,10488859,2023-02-10T23:01:13.181Z
3.5512,2.43324,1.11797,10397034,2023-02-11T23:01:15.287Z
3.39599,2.3369,1.05909,11242270,2023-02-12T23:01:23.028Z
3.35916,2.36215,0.99701,10950587,2023-02-13T23:01:06.355Z
3.34316,2.32339,1.01977,11236526,2023-02-14T23:01:06.567Z
3.4953,2.39845,1.09685,11112760,2023-02-15T23:01:22.412Z
3.52495,2.46221,1.06274,10867930,2023-02-16T23:01:16.036Z
4.55729,3.38404,1.17325,8685487,2023-02-17T23:01:08.625Z
5.27444,3.89123,1.38322,6928888,2023-02-18T23:01:11.183Z
4.10575,2.92475,1.181,9864845,2023-02-19T23:01:17.380Z
4.34653,3.10583,1.2407,9427453,2023-02-20T23:01:10.682Z
4.20156,2.94965,1.25191,9484118,2023-02-21T23:00:59.615Z
4.16982,2.97146,1.19836,9609864,2023-02-22T23:01:55.876Z
4.02492,2.82542,1.1995,10122201,2023-02-23T23:01:13.706Z
4.34411,3.27196,1.07215,9550141,2023-02-24T23:01:15.667Z
4.48372,3.43229,1.05143,9307558,2023-02-25T23:01:27.047Z
4.23143,3.18603,1.0454,10105630,2023-02-26T23:01:10.710Z
4.27095,3.31251,0.95844,9690352,2023-02-27T23:01:26.774Z
4.06715,3.1715,0.89565,10050593,2023-02-28T23:01:11.119Z
3.82115,2.90981,0.91134,10574895,2023-03-01T23:01:25.230Z
2.87199,2.11628,0.75571,14587787,2023-03-02T23:01:32.134Z
2.37835,1.60285,0.77551,14383338,2023-03-03T23:01:23.011Z
2.52105,1.7366,0.78445,13433595,2023-03-04T23:01:27.279Z
2.49331,1.70648,0.78683,13582952,2023-03-05T23:01:34.946Z
2.46333,1.68611,0.77722,13745099,2023-03-06T23:01:26.203Z
2.6654,1.87226,0.79314,12529788,2023-03-07T23:01:24.328Z
2.57247,1.82038,0.7521,12758594,2023-03-08T23:01:13.712Z
2.48818,1.79606,0.69212,13068538,2023-03-09T23:01:10.515Z
2.69016,1.93761,0.75255,11822821,2023-03-10T23:01:15.894Z
2.65685,1.49346,1.16339,8112634,2023-03-11T23:01:30.794Z
3.78344,2.41451,1.36892,6330241,2023-03-12T23:01:38.218Z
4.42762,2.95676,1.47087,5581711,2023-03-13T23:01:34.758Z
5.16765,3.63442,1.53323,4877137,2023-03-14T23:01:09.065Z
6.47218,5.00622,1.46597,3622716,2023-03-15T23:01:15.120Z
5.81969,4.31108,1.50861,4146894,2023-03-16T23:01:39.980Z
6.00915,4.37603,1.63312,4087232,2023-03-17T23:01:16.519Z
4.38835,3.05273,1.33562,6387139,2023-03-18T23:01:21.152Z
4.03042,2.80044,1.22999,7508076,2023-03-19T23:01:16.458Z
3.81924,2.6449,1.17434,7717616,2023-03-20T23:01:17.289Z
3.92012,2.75064,1.16948,7646295,2023-03-21T23:01:27.829Z
3.55517,2.54521,1.00995,8785934,2023-03-22T23:01:24.847Z
3.98386,2.90151,1.08235,7952075,2023-03-23T23:01:13.637Z
3.95109,2.91196,1.03913,7976426,2023-03-24T23:01:03.846Z
3.65389,2.66913,0.98476,8739084,2023-03-25T23:01:31.123Z
3.6409,2.63771,1.00318,8809094,2023-03-26T23:01:40.528Z
3.60416,2.63776,0.9664,8890697,2023-03-27T23:01:30.216Z
3.53833,2.53396,1.00437,8730495,2023-03-28T23:01:19.446Z
3.94462,2.84312,1.1015,7803970,2023-03-29T23:01:17.375Z
3.85367,2.7926,1.06107,8077456,2023-03-30T23:01:23.621Z
3.52088,2.49337,1.02751,9043681,2023-03-31T23:01:19.526Z
3.44698,2.43258,1.01441,9318663,2023-04-01T23:01:21.384Z
3.26279,2.31005,0.95274,9897703,2023-04-02T23:04:05.612Z
3.73164,2.69815,1.03349,8483015,2023-04-03T23:01:23.715Z
3.54965,2.52943,1.02022,9141768,2023-04-04T23:01:27.883Z
4.63433,3.534,1.10033,7151027,2023-04-05T23:01:09.721Z
3.85084,2.7479,1.10294,8416487,2023-04-06T23:01:32.366Z
3.87513,2.78937,1.08576,8284029,2023-04-07T23:01:22.172Z
4.06476,2.93293,1.13183,7793228,2023-04-08T23:01:04.152Z
3.97961,2.81367,1.16594,8177042,2023-04-09T23:01:36.612Z
