APY,APY_BASE,APY_REWARD,TVL,DATE
3.79095,2.93927,0.85168,32652519,2022-08-10T00:00:00.000Z
3.68248,2.8304,0.85208,32748266,2022-08-11T00:00:00.000Z
3.61932,2.73825,0.88107,33455529,2022-08-12T00:00:00.000Z
3.79362,2.90057,0.89305,31400073,2022-08-13T00:00:00.000Z
3.56254,2.59317,0.96937,30086824,2022-08-14T00:00:00.000Z
4.57284,3.59129,0.98155,24007322,2022-08-15T00:00:00.000Z
4.67122,3.6881,0.98312,23442058,2022-08-16T00:00:00.000Z
4.45468,3.53468,0.91999,24145353,2022-08-17T00:00:00.000Z
4.46574,3.55591,0.90983,23935987,2022-08-18T00:00:00.000Z
4.19709,3.26394,0.93314,21593204,2022-08-19T00:00:00.000Z
4.00582,3.09673,0.90909,22900797,2022-08-20T00:00:00.000Z
4.02802,3.09949,0.92853,22847026,2022-08-21T00:00:00.000Z
3.87167,2.8738,0.99787,21595769,2022-08-22T00:00:00.000Z
3.94716,2.97724,0.96992,22390828,2022-08-23T00:00:00.000Z
4.09108,3.19436,0.89672,23230117,2022-08-24T00:00:00.000Z
4.08533,3.1887,0.89663,23294926,2022-08-25T00:00:00.000Z
3.92226,3.12187,0.8004,23897982,2022-08-26T00:00:00.000Z
3.39654,2.53188,0.86466,23917255,2022-08-27T00:00:00.000Z
3.35921,2.53693,0.82228,23828989,2022-08-28T00:00:00.000Z
6.65272,4.59167,2.06105,6358232,2022-08-29T00:00:00.000Z
4.47511,3.27066,1.20445,14185426,2022-08-30T00:00:00.000Z
4.24012,3.16315,1.07698,16011818,2022-08-31T00:00:00.000Z
4.35718,3.22014,1.13704,15023393,2022-09-01T00:00:00.000Z
4.48943,3.40712,1.0823,15083528,2022-09-02T00:00:00.000Z
4.15603,3.11869,1.03734,16510372,2022-09-03T00:00:00.000Z
4.09776,3.05935,1.03841,16895609,2022-09-04T00:00:00.000Z
4.46936,3.38675,1.08261,14931127,2022-09-05T23:00:23.740Z
4.57537,3.5251,1.05027,14421270,2022-09-06T23:01:02.847Z
3.59303,2.62668,0.96635,14813543,2022-09-07T23:01:26.826Z
3.82926,2.81282,1.01644,13843915,2022-09-08T23:01:23.862Z
3.79178,2.72369,1.06809,14162458,2022-09-09T23:01:57.533Z
4.6014,3.49423,1.10716,12113197,2022-09-10T23:00:58.750Z
4.50402,3.43124,1.07278,12568723,2022-09-11T23:01:24.126Z
5.23758,3.99921,1.23837,9599497,2022-09-12T23:01:30.720Z
5.03655,3.93229,1.10426,9895382,2022-09-13T23:01:24.894Z
5.82108,4.59316,1.22791,7909922,2022-09-14T23:01:59.044Z
5.26343,4.13901,1.12442,9110879,2022-09-15T23:01:17.162Z
4.42799,3.51012,0.91787,12583660,2022-09-16T23:01:19.228Z
4.38006,3.43511,0.94495,12983700,2022-09-17T23:01:06.807Z
3.34323,2.51444,0.82879,16061742,2022-09-18T23:01:13.625Z
4.14118,3.04319,1.09799,11269766,2022-09-19T23:01:53.717Z
4.08204,3.04904,1.033,11725734,2022-09-20T23:01:13.368Z
4.104,3.24437,0.85964,13264561,2022-09-21T23:01:01.864Z
4.12572,3.22538,0.90033,13321459,2022-09-22T23:01:38.415Z
3.98277,3.08392,0.89886,13806788,2022-09-23T23:01:08.245Z
3.96803,3.11035,0.85768,14116960,2022-09-24T23:01:16.956Z
3.61813,2.69286,0.92527,14091319,2022-09-25T23:01:04.404Z
3.64924,2.7269,0.92233,13922207,2022-09-26T23:01:04.125Z
3.85288,2.98961,0.86327,13887972,2022-09-27T23:01:22.235Z
4.0125,3.14511,0.86739,13204235,2022-09-28T23:01:11.247Z
4.0635,3.20911,0.85439,13081485,2022-09-29T23:00:58.596Z
4.007,3.14396,0.86304,13217524,2022-09-30T23:01:26.851Z
4.13777,3.25615,0.88162,12702242,2022-10-01T23:01:07.961Z
4.15414,3.28493,0.86921,12597234,2022-10-02T23:01:21.243Z
4.23999,3.35121,0.88878,12319627,2022-10-03T23:01:11.839Z
4.38067,3.47892,0.90175,12017538,2022-10-04T23:01:25.776Z
3.44221,2.81664,0.62557,12310531,2022-10-05T23:01:03.926Z
3.47388,2.7662,0.70768,10834704,2022-10-06T23:01:13.235Z
3.25451,2.57596,0.67856,11633418,2022-10-07T23:01:15.614Z
3.39146,2.69434,0.69712,10959724,2022-10-08T23:01:10.254Z
3.0838,2.32785,0.75596,10964582,2022-10-09T23:01:23.877Z
3.08614,2.35953,0.72661,10992044,2022-10-10T23:01:09.487Z
3.36185,2.67024,0.69161,10413862,2022-10-11T23:01:15.118Z
3.33498,2.64008,0.69489,10348776,2022-10-12T23:01:18.512Z
3.23093,2.53474,0.69618,10140726,2022-10-13T23:01:32.268Z
3.1224,2.32761,0.7948,9798928,2022-10-14T23:01:04.715Z
3.20426,2.3092,0.89505,10528438,2022-10-15T23:01:16.731Z
3.08156,2.32671,0.75485,10458274,2022-10-16T23:01:21.897Z
3.06516,2.30324,0.76192,10293930,2022-10-17T23:01:14.406Z
3.08382,2.30358,0.78023,10307056,2022-10-18T23:01:15.132Z
3.01613,2.28167,0.73446,10416108,2022-10-19T23:01:08.382Z
3.02685,2.30055,0.72631,10333571,2022-10-20T23:01:14.774Z
3.06875,2.32687,0.74188,10231192,2022-10-21T23:01:50.817Z
3.07227,2.30194,0.77033,10161526,2022-10-22T23:01:28.338Z
3.06737,2.2941,0.77327,10189198,2022-10-23T23:01:14.797Z
3.02457,2.25047,0.77411,10021852,2022-10-24T23:01:04.958Z
3.06934,2.26991,0.79943,9934776,2022-10-25T23:01:23.709Z
3.07706,2.27423,0.80283,10056012,2022-10-26T23:01:14.008Z
3.10288,2.29923,0.80365,9970133,2022-10-27T23:01:43.896Z
3.57681,2.65359,0.92323,8450363,2022-10-28T23:01:24.287Z
3.5138,2.60293,0.91087,8622200,2022-10-29T23:01:12.249Z
3.47094,2.57546,0.89547,8782014,2022-10-30T23:01:22.628Z
3.46748,2.55552,0.91196,8860731,2022-10-31T23:01:22.321Z
3.54145,2.64103,0.90042,8669724,2022-11-01T23:01:56.460Z
3.21353,2.33017,0.88336,8506467,2022-11-02T23:01:19.691Z
3.28383,2.36291,0.92092,8400885,2022-11-03T23:01:09.881Z
3.31724,2.34647,0.97078,8471297,2022-11-04T23:00:56.145Z
3.18439,2.24312,0.94127,8907878,2022-11-05T23:01:12.875Z
3.13258,2.20949,0.92309,8894097,2022-11-06T23:01:08.195Z
3.21983,2.3145,0.90533,8464255,2022-11-07T23:00:59.958Z
2.80819,1.97834,0.82984,8574157,2022-11-08T23:01:29.762Z
2.49875,1.74977,0.74898,7977347,2022-11-09T23:01:08.764Z
2.44602,1.39933,1.04669,7186055,2022-11-10T23:01:03.797Z
2.34883,1.39053,0.9583,7154866,2022-11-11T23:01:08.809Z
2.27335,1.33705,0.9363,7289105,2022-11-12T23:01:05.924Z
1.95978,1.12828,0.83151,8351870,2022-11-13T23:01:05.108Z
2.42315,1.62065,0.8025,7811038,2022-11-14T23:01:21.584Z
2.38907,1.58547,0.8036,7993377,2022-11-15T23:01:15.815Z
2.41664,1.63349,0.78316,7885136,2022-11-16T23:01:11.508Z
2.47034,1.67065,0.79969,7736802,2022-11-17T23:01:07.731Z
2.47221,1.66996,0.80225,7600760,2022-11-18T23:01:20.380Z
2.44132,1.62076,0.82057,7707540,2022-11-19T23:01:11.676Z
2.591,1.76842,0.82258,7511905,2022-11-20T23:01:14.624Z
2.62674,1.71679,0.90995,7714947,2022-11-21T23:01:11.647Z
2.65264,1.72481,0.92782,7736814,2022-11-22T23:01:07.277Z
2.96798,1.6843,1.28368,7687771,2022-11-23T23:01:26.941Z
2.94291,1.81461,1.1283,7789459,2022-11-24T23:01:07.418Z
2.23843,1.40472,0.83371,10749166,2022-11-25T23:01:33.074Z
2.1182,1.31735,0.80085,10948750,2022-11-26T23:01:08.402Z
2.14361,1.3397,0.80391,10815459,2022-11-27T23:01:08.339Z
2.09898,1.32764,0.77134,10823469,2022-11-28T23:01:05.446Z
2.09199,1.32769,0.7643,10758217,2022-11-29T23:01:09.554Z
3.01852,2.0088,1.00972,7322992,2022-11-30T23:01:09.704Z
2.93842,1.967,0.97142,7460472,2022-12-01T23:01:04.158Z
2.98122,1.95679,1.02443,7371522,2022-12-02T23:01:04.416Z
2.99843,1.9455,1.05293,7368891,2022-12-03T23:01:54.395Z
3.0316,1.94855,1.08304,7361077,2022-12-04T23:01:26.855Z
2.94915,1.9114,1.03775,7464935,2022-12-05T23:01:00.382Z
2.95493,1.92041,1.03452,7400338,2022-12-06T23:01:20.175Z
2.90397,1.91795,0.98601,7417162,2022-12-07T23:01:10.863Z
3.3239,2.21577,1.10813,6442295,2022-12-08T23:01:21.647Z
3.27076,2.17482,1.09593,6529406,2022-12-09T23:01:17.461Z
3.31227,2.22835,1.08392,6502593,2022-12-10T23:01:12.835Z
3.16958,2.125,1.04457,6773991,2022-12-11T23:01:02.879Z
3.18069,2.15025,1.03044,6711871,2022-12-12T23:01:14.306Z
3.17519,2.16562,1.00958,6659134,2022-12-13T23:01:08.395Z
3.5699,2.46267,1.10723,5842289,2022-12-14T23:01:07.945Z
3.4963,2.45667,1.03963,5846112,2022-12-15T23:01:17.813Z
