APY,APY_BASE,APY_REWARD,TVL,DATE
3.19,,,2962167281,2022-02-11T00:00:00.000Z
3.19,,,2961131576,2022-02-12T00:00:00.000Z
3.18,,,2964886563,2022-02-13T00:00:00.000Z
3.16,,,2970979024,2022-02-14T00:00:00.000Z
3.15,,,2983799614,2022-02-15T00:00:00.000Z
3.15,,,2998464712,2022-02-16T00:00:00.000Z
3.14,,,2982220680,2022-02-17T00:00:00.000Z
3.03,,,2954279545,2022-02-18T00:00:00.000Z
3.06,,,2932261629,2022-02-19T00:00:00.000Z
3.04,,,2960066785,2022-02-20T00:00:00.000Z
3.02,,,2970157841,2022-02-21T00:00:00.000Z
3.02,,,2955074776,2022-02-22T00:00:00.000Z
3.05,,,2956936727,2022-02-23T00:00:00.000Z
2.99,,,2512315257,2022-02-24T00:00:00.000Z
3.31,,,2052705483,2022-02-25T00:00:00.000Z
3.3,,,2057594239,2022-02-26T00:00:00.000Z
3.33,,,2039793707,2022-02-27T00:00:00.000Z
3.35,,,2024741976,2022-02-28T00:00:00.000Z
3.45,,,2020092977,2022-03-01T00:00:00.000Z
3.47,,,1980972303,2022-03-02T00:00:00.000Z
3.46,,,1986044834,2022-03-03T00:00:00.000Z
3.4,,,1966770827,2022-03-04T00:00:00.000Z
3.4,,,1972991128,2022-03-05T00:00:00.000Z
3.36,,,1973794204,2022-03-06T00:00:00.000Z
3.36,,,2043757117,2022-03-07T00:00:00.000Z
3.38,,,2072369093,2022-03-08T00:00:00.000Z
3.43,,,2065672099,2022-03-09T00:00:00.000Z
3.35,,,2075861631,2022-03-10T00:00:00.000Z
3.36,,,2077298584,2022-03-11T00:00:00.000Z
3.37,,,2046169894,2022-03-12T00:00:00.000Z
3.34,,,2044424794,2022-03-13T00:00:00.000Z
3.34,,,2043211183,2022-03-14T00:00:00.000Z
3.34,,,2010500601,2022-03-15T00:00:00.000Z
3.42,,,1985470638,2022-03-16T00:00:00.000Z
3.47,,,1966544381,2022-03-17T00:00:00.000Z
3.49,,,1966770413,2022-03-18T00:00:00.000Z
3.55,,,1924056909,2022-03-19T00:00:00.000Z
3.64,,,2065016309,2022-03-20T00:00:00.000Z
3.63,,,2096293227,2022-03-21T00:00:00.000Z
3.62,,,2169973772,2022-03-22T00:00:00.000Z
3.63,,,2109777936,2022-03-23T00:00:00.000Z
3.65,,,2150644633,2022-03-24T00:00:00.000Z
3.74,,,2162378447,2022-03-25T00:00:00.000Z
3.86,,,2092596214,2022-03-26T00:00:00.000Z
3.89725,,,2092846345,2022-03-27T00:00:00.000Z
3.89094,,,2102237007,2022-03-28T00:00:00.000Z
3.46968,,,1976972019,2022-03-29T00:00:00.000Z
3.6023,,,1951625401,2022-03-30T00:00:00.000Z
3.53472,,,1961733229,2022-03-31T00:00:00.000Z
3.56269,,,1953684518,2022-04-01T00:00:00.000Z
3.59168,,,1941489432,2022-04-02T00:00:00.000Z
3.66353,,,1943077140,2022-04-03T00:00:00.000Z
3.64554,,,1933044359,2022-04-04T00:00:00.000Z
3.61478,,,1937863641,2022-04-05T00:00:00.000Z
3.49216,,,1953972456,2022-04-06T00:00:00.000Z
3.37313,,,1691801377,2022-04-07T00:00:00.000Z
3.34523,,,1693220383,2022-04-08T00:00:00.000Z
3.36527,,,1687933997,2022-04-09T00:00:00.000Z
3.35025,,,1684382882,2022-04-10T00:00:00.000Z
3.28197,,,1676555358,2022-04-11T00:00:00.000Z
3.31669,,,1673806287,2022-04-12T00:00:00.000Z
3.44887,,,1669122980,2022-04-13T00:00:00.000Z
3.39319,,,1679511020,2022-04-14T00:00:00.000Z
3.40433,,,1680876480,2022-04-15T00:00:00.000Z
3.4012,,,1677172875,2022-04-16T00:00:00.000Z
3.42245,,,1675680377,2022-04-17T00:00:00.000Z
3.45133,,,1643559767,2022-04-18T00:00:00.000Z
3.48241,,,1639189512,2022-04-19T00:00:00.000Z
3.68409,,,1594452706,2022-04-20T00:00:00.000Z
3.65805,,,1588533776,2022-04-21T00:00:00.000Z
3.65497,,,1590799978,2022-04-22T00:00:00.000Z
3.64017,,,1593359564,2022-04-23T00:00:00.000Z
3.48018,,,1648373913,2022-04-24T00:00:00.000Z
3.38386,,,1666311718,2022-04-25T00:00:00.000Z
3.4163,,,1635103449,2022-04-26T00:00:00.000Z
3.41323,,,1635739956,2022-04-27T00:00:00.000Z
3.08864,,,1383532408,2022-04-28T00:00:00.000Z
3.03316,,,1386742413,2022-04-29T00:00:00.000Z
3.00749,,,1390026342,2022-04-30T00:00:00.000Z
2.9753,,,1390631208,2022-05-01T00:00:00.000Z
2.95202,,,1394649505,2022-05-02T00:00:00.000Z
2.91098,,,1406239755,2022-05-03T00:00:00.000Z
2.70308,,,1138549852,2022-05-04T00:00:00.000Z
2.44985,,,997946911,2022-05-05T00:00:00.000Z
2.50491,,,1065498789,2022-05-06T00:00:00.000Z
2.43968,,,1071721091,2022-05-07T00:00:00.000Z
2.56333,,,1070320480,2022-05-08T00:00:00.000Z
2.58616,,,1046871261,2022-05-09T00:00:00.000Z
2.56342,,,1037825431,2022-05-10T00:00:00.000Z
2.57721,,,1027775836,2022-05-11T00:00:00.000Z
2.34638,,,884228273,2022-05-12T00:00:00.000Z
2.45766,,,881205872,2022-05-13T00:00:00.000Z
2.43907,,,877548897,2022-05-14T00:00:00.000Z
2.49114,,,869149800,2022-05-15T00:00:00.000Z
2.44479,,,856403868,2022-05-16T00:00:00.000Z
2.35101,,,884009466,2022-05-17T00:00:00.000Z
2.30791,,,879179716,2022-05-18T00:00:00.000Z
2.16521,,,831317284,2022-05-19T00:00:00.000Z
2.29322,,,801585730,2022-05-20T00:00:00.000Z
2.19054,,,823893887,2022-05-21T00:00:00.000Z
2.23372,,,820955708,2022-05-22T00:00:00.000Z
2.20061,,,826110360,2022-05-23T00:00:00.000Z
2.21335,,,821963899,2022-05-24T00:00:00.000Z
2.17927,,,822806412,2022-05-25T00:00:00.000Z
2.04122,,,808709662,2022-05-26T00:00:00.000Z
1.91134,,,821196523,2022-05-27T00:00:00.000Z
1.86154,,,763337732,2022-05-28T00:00:00.000Z
1.85155,,,766884725,2022-05-29T00:00:00.000Z
1.89873,,,769395448,2022-05-30T00:00:00.000Z
1.91212,,,771044064,2022-05-31T00:00:00.000Z
1.84894,,,769252631,2022-06-01T00:00:00.000Z
1.84309,,,770944566,2022-06-02T00:00:00.000Z
1.83295,,,773215042,2022-06-03T00:00:00.000Z
1.83406,,,776611038,2022-06-04T00:00:00.000Z
1.83617,,,779364988,2022-06-05T00:00:00.000Z
1.84196,,,782394356,2022-06-06T00:00:00.000Z
1.83343,,,715757080,2022-06-07T00:00:00.000Z
1.71155,,,729592863,2022-06-08T00:00:00.000Z
1.70288,,,739283583,2022-06-09T00:00:00.000Z
1.66488,,,737474384,2022-06-10T00:00:00.000Z
1.57241,,,719340250,2022-06-11T00:00:00.000Z
1.58284,,,720217301,2022-06-12T00:00:00.000Z
1.50328,,,689217825,2022-06-13T00:00:00.000Z
1.5198,,,663964056,2022-06-14T00:00:00.000Z
1.61381,,,647774875,2022-06-15T00:00:00.000Z
1.5221,,,667140647,2022-06-16T00:00:00.000Z
2.23719,,,629079580,2022-06-17T00:00:00.000Z
1.83693,,,664311304,2022-06-18T00:00:00.000Z
1.80518,,,658383410,2022-06-19T00:00:00.000Z
1.73301,,,650734181,2022-06-20T00:00:00.000Z
1.80465,,,655747037,2022-06-21T00:00:00.000Z
1.79963,,,654549739,2022-06-22T00:00:00.000Z
1.84794,,,654469680,2022-06-23T00:00:00.000Z
1.87506,,,655592800,2022-06-24T00:00:00.000Z
1.9489,,,656131992,2022-06-25T00:00:00.000Z
1.87382,,,667611717,2022-06-26T00:00:00.000Z
1.90519,,,625589445,2022-06-27T00:00:00.000Z
1.87589,,,625590429,2022-06-28T00:00:00.000Z
2.08599,,,594869619,2022-06-29T00:00:00.000Z
1.94851,,,605315573,2022-06-30T00:00:00.000Z
1.7504,,,616960217,2022-07-01T00:00:00.000Z
1.71054,,,619609932,2022-07-02T00:00:00.000Z
1.75207,,,616780591,2022-07-03T00:00:00.000Z
1.45247,,,620289735,2022-07-04T00:00:00.000Z
1.39137,,,634116878,2022-07-05T00:00:00.000Z
1.42853,,,625396343,2022-07-06T00:00:00.000Z
1.4512,,,622903781,2022-07-07T00:00:00.000Z
1.43084,,,619955456,2022-07-08T00:00:00.000Z
1.54858,,,617499758,2022-07-09T00:00:00.000Z
1.5658,,,629586523,2022-07-10T00:00:00.000Z
1.27903,,,629468737,2022-07-11T00:00:00.000Z
1.19855,,,715347133,2022-07-12T00:00:00.000Z
0.96084,,,719735949,2022-07-13T00:00:00.000Z
1.04808,,,721718201,2022-07-14T00:00:00.000Z
1.07971,,,742579219,2022-07-15T00:00:00.000Z
1.09421,,,753821462,2022-07-16T00:00:00.000Z
1.09444,,,757099005,2022-07-17T00:00:00.000Z
1.14654,,,749999736,2022-07-18T00:00:00.000Z
1.24723,,,769230502,2022-07-19T00:00:00.000Z
1.2283,,,768835652,2022-07-20T00:00:00.000Z
1.27957,,,752722322,2022-07-21T00:00:00.000Z
1.28552,,,760296062,2022-07-22T00:00:00.000Z
1.26781,,,759781119,2022-07-23T00:00:00.000Z
1.26444,,,770427446,2022-07-24T00:00:00.000Z
1.23218,,,766558107,2022-07-25T00:00:00.000Z
1.10234,,,799870175,2022-07-26T00:00:00.000Z
1.18049,,,802628396,2022-07-27T00:00:00.000Z
1.22543,,,803366198,2022-07-28T00:00:00.000Z
1.21157,,,807065086,2022-07-29T00:00:00.000Z
1.22051,,,806709799,2022-07-30T00:00:00.000Z
1.20566,,,830744612,2022-07-31T00:00:00.000Z
1.22525,,,825509052,2022-08-01T00:00:00.000Z
1.20562,,,823220778,2022-08-02T00:00:00.000Z
1.19821,,,826390305,2022-08-03T00:00:00.000Z
1.19443,,,818265305,2022-08-04T00:00:00.000Z
1.23725,,,815566722,2022-08-05T00:00:00.000Z
1.29189,0.61124,0.68064,815313659,2022-08-06T00:00:00.000Z
1.28615,0.63328,0.65287,825021920,2022-08-07T00:00:00.000Z
1.29026,0.66493,0.62533,847008888,2022-08-08T00:00:00.000Z
1.25282,0.66046,0.59236,851045307,2022-08-09T00:00:00.000Z
1.32924,0.67131,0.65793,844004097,2022-08-10T00:00:00.000Z
1.31005,0.66893,0.64113,846428664,2022-08-11T00:00:00.000Z
1.308,0.66256,0.64545,848252682,2022-08-12T00:00:00.000Z
1.37176,0.73586,0.6359,873989553,2022-08-13T00:00:00.000Z
1.33853,0.72697,0.61157,869441906,2022-08-14T00:00:00.000Z
1.3168,0.71944,0.59736,875732251,2022-08-15T00:00:00.000Z
1.30589,0.71051,0.59538,868449010,2022-08-16T00:00:00.000Z
1.28082,0.70915,0.57167,870266632,2022-08-17T00:00:00.000Z
1.28375,0.71055,0.5732,869930278,2022-08-18T00:00:00.000Z
1.20251,0.71144,0.49107,874432288,2022-08-19T00:00:00.000Z
1.19062,0.70935,0.48127,870409573,2022-08-20T00:00:00.000Z
1.20962,0.70967,0.49995,867873190,2022-08-21T00:00:00.000Z
1.19822,0.70728,0.49094,867930540,2022-08-22T00:00:00.000Z
1.20623,0.70967,0.49655,867391229,2022-08-23T00:00:00.000Z
1.22559,0.72138,0.50421,861903247,2022-08-24T00:00:00.000Z
