APY,APY_BASE,APY_REWARD,TVL,DATE
2.63,,,2724157943,2022-02-11T00:00:00.000Z
2.37,,,2813166087,2022-02-12T00:00:00.000Z
2.45,,,2811647094,2022-02-13T00:00:00.000Z
2.42,,,2794824101,2022-02-14T00:00:00.000Z
2.47,,,2792831965,2022-02-15T00:00:00.000Z
2.49,,,2662143526,2022-02-16T00:00:00.000Z
2.42,,,2665478133,2022-02-17T00:00:00.000Z
2.35,,,2628337962,2022-02-18T00:00:00.000Z
2.34,,,2624965857,2022-02-19T00:00:00.000Z
2.23,,,2593725508,2022-02-20T00:00:00.000Z
2.22,,,2600526049,2022-02-21T00:00:00.000Z
2.12,,,2574569099,2022-02-22T00:00:00.000Z
2.15,,,2569816870,2022-02-23T00:00:00.000Z
2.02,,,2546624486,2022-02-24T00:00:00.000Z
2.12,,,2868531282,2022-02-25T00:00:00.000Z
2.14,,,2850748267,2022-02-26T00:00:00.000Z
2.2,,,2852480904,2022-02-27T00:00:00.000Z
2.27,,,2820447858,2022-02-28T00:00:00.000Z
2.35,,,2847438605,2022-03-01T00:00:00.000Z
2.36,,,2809254623,2022-03-02T00:00:00.000Z
2.34,,,2822693861,2022-03-03T00:00:00.000Z
2.41,,,2872179596,2022-03-04T00:00:00.000Z
2.77,,,2602926175,2022-03-05T00:00:00.000Z
2.71,,,2621328592,2022-03-06T00:00:00.000Z
2.65,,,2635922948,2022-03-07T00:00:00.000Z
2.64,,,2614315041,2022-03-08T00:00:00.000Z
2.72,,,2594968805,2022-03-09T00:00:00.000Z
2.67,,,2606375250,2022-03-10T00:00:00.000Z
2.59,,,2604938286,2022-03-11T00:00:00.000Z
2.61,,,2596694151,2022-03-12T00:00:00.000Z
2.6,,,2595696112,2022-03-13T00:00:00.000Z
2.61,,,2545256337,2022-03-14T00:00:00.000Z
2.63,,,2529937300,2022-03-15T00:00:00.000Z
2.7,,,2483388361,2022-03-16T00:00:00.000Z
2.73,,,2488328062,2022-03-17T00:00:00.000Z
2.72,,,2508260175,2022-03-18T00:00:00.000Z
2.62,,,2470897059,2022-03-19T00:00:00.000Z
2.6,,,2456039046,2022-03-20T00:00:00.000Z
2.6,,,2499333410,2022-03-21T00:00:00.000Z
2.63,,,2595526020,2022-03-22T00:00:00.000Z
2.66,,,2528494743,2022-03-23T00:00:00.000Z
2.68,,,2602771528,2022-03-24T00:00:00.000Z
2.69,,,2656913087,2022-03-25T00:00:00.000Z
2.79,,,2481992105,2022-03-26T00:00:00.000Z
2.89719,,,2470089093,2022-03-27T00:00:00.000Z
2.95817,,,2285769551,2022-03-28T00:00:00.000Z
2.89295,,,1989375770,2022-03-29T00:00:00.000Z
