APY,APY_BASE,APY_REWARD,TVL,DATE
0.36,,,1245689079,2022-02-11T00:00:00.000Z
0.37,,,1260143574,2022-02-12T00:00:00.000Z
0.35,,,1296979863,2022-02-13T00:00:00.000Z
0.35,,,1299497916,2022-02-14T00:00:00.000Z
0.36,,,1337331820,2022-02-15T00:00:00.000Z
0.38,,,1347774649,2022-02-16T00:00:00.000Z
0.38,,,1321919655,2022-02-17T00:00:00.000Z
0.38,,,1228606768,2022-02-18T00:00:00.000Z
0.38,,,1216996028,2022-02-19T00:00:00.000Z
0.38,,,1171941763,2022-02-20T00:00:00.000Z
0.39,,,1166735712,2022-02-21T00:00:00.000Z
0.38,,,1157873288,2022-02-22T00:00:00.000Z
0.38,,,1182790913,2022-02-23T00:00:00.000Z
0.35,,,1144130495,2022-02-24T00:00:00.000Z
0.35,,,1253953872,2022-02-25T00:00:00.000Z
0.37,,,1211780557,2022-02-26T00:00:00.000Z
0.38,,,1225904482,2022-02-27T00:00:00.000Z
0.35,,,1275956991,2022-02-28T00:00:00.000Z
0.35,,,1350469285,2022-03-01T00:00:00.000Z
0.34,,,1380112101,2022-03-02T00:00:00.000Z
0.35,,,1348309085,2022-03-03T00:00:00.000Z
0.32,,,1385115999,2022-03-04T00:00:00.000Z
0.33,,,1303272474,2022-03-05T00:00:00.000Z
0.32,,,1278206576,2022-03-06T00:00:00.000Z
0.32,,,1281149978,2022-03-07T00:00:00.000Z
0.32,,,1321977610,2022-03-08T00:00:00.000Z
0.31,,,1424934086,2022-03-09T00:00:00.000Z
0.31,,,1336385347,2022-03-10T00:00:00.000Z
0.32,,,1334712588,2022-03-11T00:00:00.000Z
0.32,,,1338803822,2022-03-12T00:00:00.000Z
0.31,,,1323445298,2022-03-13T00:00:00.000Z
0.31,,,1338507961,2022-03-14T00:00:00.000Z
0.31,,,1322366301,2022-03-15T00:00:00.000Z
0.31,,,1387850448,2022-03-16T00:00:00.000Z
0.31,,,1451608011,2022-03-17T00:00:00.000Z
0.31,,,1445343630,2022-03-18T00:00:00.000Z
0.32,,,1467764662,2022-03-19T00:00:00.000Z
0.36,,,1444168625,2022-03-20T00:00:00.000Z
