APY,APY_BASE,APY_REWARD,TVL,DATE
4.13176,1.48791,2.64385,12803495,2023-01-25T23:01:17.444Z
4.3805,1.52238,2.85812,12453123,2023-01-26T23:01:18.395Z
4.54108,1.50841,3.03268,12614001,2023-01-27T23:01:25.532Z
4.48508,1.52777,2.95731,12232963,2023-01-28T23:01:18.911Z
3.26535,1.14239,2.12296,22147861,2023-01-29T23:01:34.149Z
3.55924,1.27079,2.28845,17483921,2023-01-30T23:01:20.096Z
3.31547,1.18871,2.12676,20083868,2023-01-31T23:01:19.217Z
3.55026,1.25098,2.29928,19091868,2023-02-01T23:01:49.159Z
3.39357,1.22261,2.17096,19652119,2023-02-02T23:01:23.807Z
4.07333,1.87426,2.19907,11804661,2023-02-03T23:01:20.827Z
4.05969,1.88633,2.17336,11781742,2023-02-04T23:01:25.733Z
3.69723,1.85948,1.83776,13828172,2023-02-05T23:01:24.743Z
3.96375,2.09255,1.8712,10342970,2023-02-06T23:01:35.598Z
4.08682,2.13206,1.95476,10352478,2023-02-07T23:01:23.642Z
4.00622,2.11601,1.89022,10614705,2023-02-08T23:01:24.947Z
3.82719,2.06191,1.76528,10669882,2023-02-09T23:01:18.810Z
3.94251,1.94339,1.99912,11042576,2023-02-10T23:01:27.773Z
3.84544,1.89475,1.95069,12091139,2023-02-11T23:01:26.683Z
3.8411,1.91736,1.92374,11611633,2023-02-12T23:01:19.087Z
4.33544,2.16161,2.17383,7407696,2023-02-13T23:01:24.934Z
4.3166,2.17294,2.14366,7544925,2023-02-14T23:01:16.506Z
4.42494,2.25835,2.16659,6891919,2023-02-15T23:01:12.763Z
4.25349,2.21742,2.03608,7491581,2023-02-16T23:01:26.496Z
4.1726,2.14135,2.03125,8919614,2023-02-17T23:01:14.194Z
4.28356,2.14156,2.142,8881766,2023-02-18T23:01:20.881Z
4.36771,2.13446,2.23326,8988329,2023-02-19T23:01:26.901Z
4.48487,2.24948,2.23538,7529729,2023-02-20T23:01:14.435Z
4.68765,2.53277,2.15488,3986051,2023-02-21T23:01:07.812Z
4.62322,2.53716,2.08607,3888912,2023-02-22T23:01:10.217Z
4.53442,2.54786,1.98656,3845368,2023-02-23T23:01:21.245Z
4.31995,2.49287,1.82708,4706490,2023-02-24T23:01:27.972Z
4.29704,2.46748,1.82955,5049796,2023-02-25T23:01:30.991Z
3.93877,2.27119,1.66757,8669810,2023-02-26T23:01:12.147Z
4.0192,2.3922,1.62701,6903302,2023-02-27T23:01:24.558Z
4.11416,2.52356,1.59059,4820387,2023-02-28T23:01:16.696Z
4.04124,2.45595,1.5853,6178408,2023-03-01T23:01:30.162Z
3.75179,2.30792,1.44386,9119563,2023-03-02T23:01:09.293Z
3.76628,2.32167,1.44461,8433763,2023-03-03T23:01:40.129Z
3.74094,2.33312,1.40782,8300636,2023-03-04T23:01:32.288Z
3.68006,2.30396,1.3761,8899932,2023-03-05T23:02:03.388Z
3.95328,2.47225,1.48102,5707787,2023-03-06T23:01:37.354Z
