APY,APY_BASE,APY_REWARD,TVL,DATE
4.81796,3.39347,1.42449,9923735,2024-10-03T23:01:24.049Z
4.87833,3.39717,1.48116,9898216,2024-10-04T23:17:18.759Z
4.79539,3.34684,1.44855,11058877,2024-10-05T23:17:46.600Z
4.92687,3.44602,1.48085,8839084,2024-10-06T23:02:11.271Z
4.9102,3.44361,1.46659,9047828,2024-10-07T21:01:43.076Z
21.48476,20.04728,1.43747,4216226,2024-10-08T23:03:28.900Z
20.71555,19.34639,1.36916,4460662,2024-10-09T23:02:13.479Z
7.68571,6.35827,1.32744,7622759,2024-10-10T23:02:28.395Z
4.55467,3.31007,1.2446,13388345,2024-10-11T23:02:27.080Z
9.0007,7.61033,1.39037,7313859,2024-10-12T23:02:17.129Z
4.64655,3.35799,1.28856,12028345,2024-10-13T23:02:13.502Z
4.72935,3.45043,1.27892,10455701,2024-10-14T23:02:05.328Z
15.65765,14.19401,1.46364,5432107,2024-10-15T23:02:23.792Z
11.65125,10.20114,1.45011,6396910,2024-10-16T23:02:10.388Z
7.1204,5.68762,1.43278,7382457,2024-10-17T23:03:00.188Z
4.85639,3.38843,1.46796,10471026,2024-10-18T23:02:17.330Z
5.0511,3.50939,1.54171,7542705,2024-10-19T23:03:18.770Z
5.02386,3.42797,1.59589,8982875,2024-10-20T23:02:27.931Z
8.00425,6.3873,1.61695,6642442,2024-10-21T23:02:11.343Z
4.97091,3.45019,1.52072,8697451,2024-10-22T23:02:05.940Z
15.79809,14.34353,1.45456,5305915,2024-10-23T23:02:27.574Z
9.09743,7.65763,1.43981,6878536,2024-10-24T23:02:27.191Z
5.55197,4.10584,1.44613,7589754,2024-10-25T23:02:23.290Z
4.50827,3.23524,1.27302,14370230,2024-10-26T23:03:28.676Z
4.72114,3.44294,1.2782,9954395,2024-10-27T23:02:37.348Z
4.49191,3.2702,1.22172,14497938,2024-10-28T23:02:19.657Z
16.32288,14.94417,1.37871,5645628,2024-10-29T23:03:34.859Z
8.77745,7.3627,1.41475,7211338,2024-10-30T23:02:04.357Z
4.89087,3.48292,1.40795,8396105,2024-10-31T23:02:10.664Z
4.80501,3.47111,1.3339,8928621,2024-11-01T23:02:10.962Z
4.80954,3.50172,1.30783,8305942,2024-11-02T23:01:59.350Z
8.95533,7.67315,1.28219,7154143,2024-11-03T23:02:59.131Z
4.76769,3.5023,1.26539,8430886,2024-11-04T23:02:14.604Z
4.92956,3.6709,1.25866,8227795,2024-11-05T23:02:25.303Z
7.87576,6.52573,1.35003,7541752,2024-11-06T23:02:06.348Z
