APY,APY_BASE,APY_REWARD,TVL,DATE
2.49818,1.42689,1.0713,1764331,2024-12-10T23:02:04.320Z
2.57159,1.47288,1.09871,1481069,2024-12-11T23:02:22.133Z
3.88207,2.67621,1.20586,1209330,2024-12-12T23:02:14.455Z
2.79294,1.56768,1.22526,1298040,2024-12-13T23:18:12.406Z
4.79234,3.58764,1.2047,1058340,2024-12-14T23:01:57.904Z
2.68881,1.46806,1.22075,1395145,2024-12-15T23:02:10.694Z
2.67029,1.48239,1.1879,1325883,2024-12-16T23:02:07.909Z
5.09815,3.90224,1.19591,976267,2024-12-17T23:03:37.877Z
2.63588,1.38258,1.2533,1732830,2024-12-18T23:02:26.170Z
1.76397,0.90642,0.85756,6297575,2024-12-19T23:03:20.303Z
1.65881,0.85472,0.80409,7346927,2024-12-20T23:02:03.954Z
1.53294,0.90604,0.62689,8404859,2024-12-21T23:03:09.579Z
1.45995,0.87181,0.58814,9307703,2024-12-22T23:02:16.603Z
1.50664,0.92699,0.57965,9464113,2024-12-23T23:02:26.516Z
1.60567,1.02545,0.58022,8303508,2024-12-24T23:03:45.902Z
1.58221,1.02314,0.55907,8499714,2024-12-25T23:02:30.743Z
1.57055,1.03074,0.53981,8072917,2024-12-26T23:02:12.030Z
1.56755,1.03373,0.53383,8015797,2024-12-27T23:02:14.310Z
1.68096,1.10784,0.57311,6836219,2024-12-28T23:02:05.635Z
1.67977,1.13448,0.54528,6409611,2024-12-29T23:02:16.690Z
1.57308,1.0768,0.49628,7768119,2024-12-30T23:02:15.404Z
1.59734,1.11918,0.47817,7159941,2024-12-31T23:02:10.683Z
1.79758,1.23007,0.5675,5095900,2025-01-01T23:03:35.990Z
1.7595,1.20694,0.55256,5580251,2025-01-02T23:03:06.656Z
1.78311,1.22265,0.56045,5743019,2025-01-03T23:02:24.310Z
1.75129,1.20816,0.54313,6091254,2025-01-04T23:02:08.100Z
1.70993,1.17728,0.53265,6666346,2025-01-05T23:02:17.109Z
1.71031,1.17975,0.53056,6707084,2025-01-06T15:02:13.916Z
