APY,APY_BASE,APY_REWARD,TVL,DATE
0.01,,,1168263,2022-12-04T23:01:38.938Z
0.01,,,1168263,2022-12-05T23:01:27.933Z
0.01,,,1167221,2022-12-06T23:01:53.326Z
0.01,,,1167221,2022-12-07T23:01:29.362Z
0.01,,,1167096,2022-12-08T23:01:32.324Z
0.01,,,1167096,2022-12-09T23:01:14.042Z
0.01,,,1167096,2022-12-10T23:01:32.008Z
0.01,,,1167096,2022-12-11T23:01:32.395Z
0.01,,,1167147,2022-12-12T23:01:27.510Z
1,,,1550047,2022-12-13T23:01:38.118Z
1,,,1730329,2022-12-14T23:01:34.543Z
1,,,1830508,2022-12-15T23:01:33.253Z
1,,,1850621,2022-12-16T23:01:38.272Z
1,,,1850621,2022-12-17T23:01:32.718Z
1,,,1850621,2022-12-18T23:01:30.914Z
1,,,1850795,2022-12-19T23:01:32.294Z
1,,,1854722,2022-12-20T23:01:49.261Z
1,,,2021018,2022-12-21T23:01:34.250Z
1,,,2021018,2022-12-22T23:01:34.402Z
1,,,2021018,2022-12-23T23:01:32.653Z
1,,,2021223,2022-12-24T23:01:32.476Z
1,,,2717024,2022-12-25T23:01:39.509Z
1,,,2017096,2022-12-26T23:01:33.603Z
1,,,2024350,2022-12-27T23:01:39.953Z
1,,,2024350,2022-12-28T23:01:26.335Z
1,,,2024350,2022-12-29T23:01:39.369Z
1,,,2024350,2022-12-30T23:01:30.527Z
1,,,2012554,2022-12-31T23:01:42.770Z
1,,,2012554,2023-01-01T23:01:39.478Z
1,,,2012554,2023-01-02T23:01:36.972Z
1,,,2189804,2023-01-03T23:01:45.377Z
1,,,32944001,2023-01-04T23:01:28.993Z
1,,,32944001,2023-01-05T23:01:46.756Z
1,,,33645796,2023-01-06T23:01:38.599Z
1,,,33645796,2023-01-07T23:01:53.587Z
1,,,33655448,2023-01-08T23:01:52.052Z
1,,,33654315,2023-01-09T23:01:39.653Z
1,,,33672911,2023-01-10T23:01:35.953Z
1,,,33640924,2023-01-11T23:01:32.299Z
1,,,33642746,2023-01-12T23:01:29.788Z
1,,,33642746,2023-01-13T23:01:54.698Z
1,,,33642746,2023-01-14T23:01:37.582Z
1,,,34231662,2023-01-15T23:01:43.360Z
1,,,34262783,2023-01-16T23:02:18.633Z
1,,,36122596,2023-01-17T23:01:36.443Z
1,,,36123249,2023-01-18T23:01:37.514Z
1,,,36124436,2023-01-19T23:02:05.210Z
1,,,36124436,2023-01-20T23:01:45.180Z
1,,,36124436,2023-01-21T23:01:39.697Z
1,,,36124436,2023-01-22T23:01:41.166Z
1,,,35835639,2023-01-23T23:01:59.516Z
1,,,35815531,2023-01-24T23:01:40.559Z
1,,,35815531,2023-01-25T23:01:36.772Z
1,,,35815531,2023-01-26T23:01:39.711Z
1,,,35818080,2023-01-27T23:01:48.089Z
1,,,35818080,2023-01-28T23:01:39.734Z
1,,,35818080,2023-01-29T23:01:38.528Z
1,,,35818080,2023-01-30T23:01:48.722Z
1,,,35821965,2023-01-31T23:01:39.309Z
1,,,35821965,2023-02-01T23:02:03.042Z
1,,,35821965,2023-02-02T23:01:38.440Z
1,,,35824762,2023-02-03T23:01:50.424Z
1,,,35775628,2023-02-04T23:01:32.230Z
