APY,APY_BASE,APY_REWARD,TVL,DATE
2.91585,2.91585,,953804,2022-07-17T00:00:00.000Z
2.90068,2.90068,,977812,2022-07-18T00:00:00.000Z
2.98478,2.98478,,945466,2022-07-19T00:00:00.000Z
2.9655,2.9655,,939017,2022-07-20T00:00:00.000Z
3.00177,3.00177,,918986,2022-07-21T00:00:00.000Z
2.99591,2.99591,,917580,2022-07-22T00:00:00.000Z
3.00224,3.00224,,917699,2022-07-23T00:00:00.000Z
3.01434,3.01434,,907127,2022-07-24T00:00:00.000Z
2.89887,2.89887,,957966,2022-07-25T00:00:00.000Z
2.95249,2.95249,,945401,2022-07-26T00:00:00.000Z
2.97674,2.97674,,956916,2022-07-27T00:00:00.000Z
3.13292,3.13292,,1018967,2022-07-28T00:00:00.000Z
3.42234,3.42234,,976204,2022-07-29T00:00:00.000Z
3.2205,3.2205,,990224,2022-07-30T00:00:00.000Z
3.02644,3.02644,,1004152,2022-07-31T00:00:00.000Z
3.10946,3.10946,,971076,2022-08-01T00:00:00.000Z
2.82855,2.82855,,958994,2022-08-02T00:00:00.000Z
2.512,2.512,,962621,2022-08-03T00:00:00.000Z
2.54,2.54,,936021,2022-08-04T00:00:00.000Z
2.717,2.717,,811256,2022-08-05T00:00:00.000Z
2.395,2.395,,1030346,2022-08-06T00:00:00.000Z
2.329,2.329,,1099221,2022-08-07T00:00:00.000Z
2.43,2.43,,1025281,2022-08-08T00:00:00.000Z
2.479,2.479,,997461,2022-08-09T00:00:00.000Z
2.577,2.577,,923329,2022-08-10T00:00:00.000Z
2.584,2.584,,928766,2022-08-11T00:00:00.000Z
2.574,2.574,,926647,2022-08-12T00:00:00.000Z
2.563,2.563,,932166,2022-08-13T00:00:00.000Z
2.55,2.55,,938459,2022-08-14T00:00:00.000Z
2.607,2.607,,899962,2022-08-15T00:00:00.000Z
2.617,2.617,,892267,2022-08-16T00:00:00.000Z
2.55,2.55,,945019,2022-08-17T00:00:00.000Z
2.516,2.516,,959973,2022-08-18T00:00:00.000Z
2.403,2.403,,1036708,2022-08-19T00:00:00.000Z
2.408,2.408,,1043716,2022-08-20T00:00:00.000Z
2.408,2.408,,1038656,2022-08-21T00:00:00.000Z
2.446,2.446,,1020922,2022-08-22T00:00:00.000Z
2.449,2.449,,1020056,2022-08-23T00:00:00.000Z
2.45,2.45,,1019620,2022-08-24T00:00:00.000Z
9.575,9.575,,610153,2022-08-25T00:00:00.000Z
15.068,15.068,,532785,2022-08-26T00:00:00.000Z
15.424,15.424,,527185,2022-08-27T00:00:00.000Z
12.999,12.999,,559760,2022-08-28T00:00:00.000Z
8.447,8.447,,623639,2022-08-29T00:00:00.000Z
2.87,2.87,,717568,2022-08-30T00:00:00.000Z
2.845,2.845,,739078,2022-08-31T00:00:00.000Z
6.92,6.92,,652275,2022-09-01T00:00:00.000Z
14.336,14.336,,537350,2022-09-02T00:00:00.000Z
12.539,12.539,,570488,2022-09-03T00:00:00.000Z
11.024,11.024,,590738,2022-09-04T00:00:00.000Z
10.926,10.926,,588251,2022-09-05T23:00:28.784Z
11.862,11.862,,580962,2022-09-06T23:01:25.783Z
