APY,APY_BASE,APY_REWARD,TVL,DATE
7.81389,2.84321,4.97068,1164909,2023-09-06T23:02:01.683Z
7.02362,2.24121,4.78242,1230738,2023-09-07T23:02:02.344Z
6.44543,1.72297,4.72245,2182987,2023-09-08T23:02:03.823Z
6.82762,1.87886,4.94876,1963269,2023-09-09T23:02:02.846Z
6.7522,1.82313,4.92906,2028494,2023-09-10T23:01:49.328Z
6.73727,2.17021,4.56706,1544956,2023-09-11T23:02:03.370Z
6.69432,1.79027,4.90406,1945812,2023-09-12T23:02:27.038Z
6.86255,1.93619,4.92636,1707719,2023-09-13T23:02:08.059Z
6.75791,2.57082,4.18709,1578011,2023-09-14T23:01:53.171Z
8.87398,5.23493,3.63905,1490312,2023-09-15T23:02:02.898Z
7.1944,3.23898,3.95542,1533748,2023-09-16T23:01:53.188Z
7.42581,3.63007,3.79574,1504860,2023-09-17T23:02:10.156Z
5.60594,2.05743,3.54851,1940991,2023-09-18T23:01:29.431Z
5.54762,2.0882,3.45942,1887179,2023-09-19T23:01:53.488Z
5.88626,2.24795,3.63831,1596981,2023-09-20T23:01:41.380Z
5.78404,2.27374,3.51031,1543679,2023-09-21T23:02:17.798Z
9.20331,5.75336,3.44995,1457365,2023-09-22T23:01:42.085Z
5.41137,1.97817,3.4332,1916098,2023-09-23T23:01:58.281Z
5.42029,1.97035,3.44994,1933506,2023-09-24T23:02:07.484Z
5.56219,1.92588,3.63631,1997961,2023-09-25T23:01:59.054Z
5.40947,1.65267,3.7568,2236485,2023-09-26T23:01:58.472Z
5.85063,1.80324,4.04739,1947368,2023-09-27T23:01:56.496Z
5.6635,1.85337,3.81013,1973859,2023-09-28T23:02:19.334Z
5.70075,1.81342,3.88732,1989566,2023-09-29T23:02:10.077Z
5.74187,1.84777,3.8941,1941849,2023-09-30T23:02:27.352Z
5.16644,1.58619,3.58025,2526676,2023-10-01T23:02:58.915Z
5.22841,1.61765,3.61076,2384347,2023-10-02T23:02:14.305Z
5.23696,1.5498,3.68717,2463693,2023-10-03T23:01:55.488Z
5.02969,1.57495,3.45475,2519745,2023-10-04T23:01:50.519Z
5.33193,1.74143,3.5905,2192565,2023-10-05T23:02:00.509Z
6.13128,1.73541,4.39586,2247961,2023-10-06T23:01:45.529Z
6.03976,1.74144,4.29833,2246553,2023-10-07T23:02:00.579Z
6.15992,1.80579,4.35413,2151527,2023-10-08T23:01:49.887Z
5.95151,1.86423,4.08728,2020490,2023-10-09T23:01:34.938Z
5.80632,1.80796,3.99837,2131542,2023-10-10T23:02:00.612Z
5.99068,2.01158,3.9791,1885550,2023-10-11T23:01:52.893Z
5.81705,1.97148,3.84556,1948677,2023-10-12T23:01:51.863Z
6.00819,2.05377,3.95442,1824751,2023-10-13T23:02:20.229Z
5.73898,2.00382,3.73515,1934258,2023-10-14T23:02:03.054Z
5.54709,1.82456,3.72253,2175211,2023-10-15T23:03:26.180Z
5.53742,1.78576,3.75165,2292979,2023-10-16T23:02:16.429Z
5.38347,1.72799,3.65548,2408312,2023-10-17T23:01:56.806Z
5.11674,1.49374,3.623,2790195,2023-10-18T23:02:03.060Z
4.97476,1.43564,3.53911,2983571,2023-10-19T23:01:55.579Z
4.69915,1.23408,3.46507,3432908,2023-10-20T23:02:09.293Z
4.6926,1.20747,3.48513,3317791,2023-10-21T13:02:09.414Z
1.19265,1.19265,,3678681,2023-10-25T23:01:19.731Z
4.62397,1.16606,3.45792,3788955,2023-10-26T23:01:17.645Z
4.52784,0.94365,3.58419,4123538,2023-10-27T23:01:10.129Z
4.1081,0.81925,3.28884,4818227,2023-10-28T23:01:19.065Z
3.85522,0.75183,3.10339,5302301,2023-10-29T23:01:19.010Z
4.20091,0.80928,3.39163,4760287,2023-10-30T23:01:24.956Z
4.1282,0.80632,3.32188,4787289,2023-10-31T23:01:25.937Z
4.93631,0.91275,4.02356,4275040,2023-11-01T23:01:48.218Z
5.27571,1.0679,4.2078,3627271,2023-11-02T23:02:00.416Z
5.30187,1.07803,4.22383,3689585,2023-11-03T23:01:33.265Z
5.30258,1.06781,4.23477,3778475,2023-11-04T23:01:30.141Z
5.35937,1.00546,4.35391,4115833,2023-11-05T23:01:23.974Z
5.41536,1.01556,4.3998,4106088,2023-11-06T23:01:29.906Z
5.55882,1.11527,4.44355,3813216,2023-11-07T23:01:31.047Z
5.12298,1.78908,3.3339,3544866,2023-11-08T23:01:22.329Z
4.94625,1.84626,3.09999,3787236,2023-11-09T23:01:24.090Z
5.12383,1.86839,3.25544,3632973,2023-11-10T23:01:40.046Z
5.37594,1.85065,3.52529,3593351,2023-11-11T23:01:33.123Z
5.26248,1.83695,3.42554,3740201,2023-11-12T23:01:24.246Z
4.60676,1.61277,2.994,4425983,2023-11-13T23:01:31.004Z
4.70302,1.69314,3.00988,3920483,2023-11-14T23:01:24.314Z
4.7228,1.60481,3.11799,4254351,2023-11-15T23:06:38.434Z
4.82285,1.71023,3.11262,3795503,2023-11-16T23:01:27.472Z
4.79015,1.7167,3.07345,3712757,2023-11-17T23:01:19.335Z
4.9371,1.74391,3.1932,3606805,2023-11-18T23:01:24.958Z
4.94302,1.72724,3.21578,3750189,2023-11-19T23:01:15.543Z
4.82112,1.74572,3.0754,3868088,2023-11-20T23:01:20.682Z
4.71872,1.73297,2.98575,3754755,2023-11-21T23:01:23.812Z
5.21908,1.80298,3.4161,3805088,2023-11-22T23:01:33.135Z
5.65009,1.87795,3.77214,3526193,2023-11-23T23:01:26.276Z
5.8557,1.88559,3.97011,3456770,2023-11-24T23:01:21.145Z
5.67618,1.89661,3.77957,3494882,2023-11-25T23:01:30.137Z
5.36834,1.83684,3.5315,3758342,2023-11-26T23:01:23.199Z
5.32873,1.84064,3.48809,3732986,2023-11-27T23:01:19.334Z
5.04645,1.83586,3.21059,3782328,2023-11-28T23:01:26.352Z
6.29772,1.79166,4.50606,3920352,2023-11-29T23:01:15.870Z
6.46873,1.89686,4.57186,3663713,2023-11-30T23:01:16.364Z
6.66406,1.93319,4.73087,3639272,2023-12-01T23:01:21.251Z
6.47865,1.89469,4.58396,3960930,2023-12-02T23:01:56.373Z
6.52013,1.87749,4.64263,4082689,2023-12-03T23:01:31.167Z
6.5493,1.90499,4.64431,4099597,2023-12-04T23:01:19.013Z
6.40237,1.90849,4.49389,4207144,2023-12-05T23:01:26.596Z
6.17762,1.95291,4.22471,4008971,2023-12-06T23:01:15.238Z
5.92118,1.9204,4.00078,4375645,2023-12-07T23:01:43.582Z
6.10037,1.95444,4.14594,4255858,2023-12-08T23:01:17.928Z
6.45618,2.03346,4.42272,4008488,2023-12-09T23:01:18.651Z
6.56044,2.0294,4.53105,4095542,2023-12-10T23:01:25.672Z
6.30592,2.03151,4.27442,3947763,2023-12-11T23:01:18.441Z
6.3361,2.12086,4.21524,3758634,2023-12-12T23:01:24.474Z
6.04155,1.9708,4.07075,4545560,2023-12-13T23:01:25.965Z
6.08637,2.08025,4.00612,4215441,2023-12-14T23:01:20.920Z
5.93827,2.04417,3.8941,4230798,2023-12-15T23:01:33.982Z
6.22887,2.06686,4.16201,4143399,2023-12-16T23:01:29.219Z
6.33892,2.18098,4.15794,3659189,2023-12-17T11:01:24.722Z
6.25353,2.19066,4.06287,3568961,2023-12-18T23:01:18.919Z
6.12301,2.20795,3.91506,3502140,2023-12-19T23:01:31.702Z
6.10324,2.1906,3.91264,3573930,2023-12-20T23:01:35.921Z
6.11469,2.17788,3.93682,3734824,2023-12-21T23:01:18.766Z
5.92481,1.9733,3.95151,4488420,2023-12-22T23:01:25.552Z
6.38108,2.01727,4.36381,4288017,2023-12-23T23:01:23.909Z
7.48886,2.10331,5.38555,3904260,2023-12-24T23:01:25.091Z
7.28112,2.08389,5.19723,4052397,2023-12-25T23:01:25.743Z
6.70602,1.95585,4.75017,4529414,2023-12-26T23:01:38.507Z
6.5247,2.01854,4.50616,4534491,2023-12-27T23:01:26.534Z
6.19435,1.87343,4.32092,4932449,2023-12-28T23:01:35.922Z
6.50163,1.91443,4.58721,4566198,2023-12-29T23:01:19.878Z
6.43486,1.92039,4.51447,4543116,2023-12-30T23:01:20.027Z
6.5962,1.97111,4.62509,4299081,2023-12-31T23:01:30.459Z
6.70572,1.97662,4.72911,4388391,2024-01-01T23:01:26.411Z
6.88484,1.94342,4.94142,4577728,2024-01-02T23:01:34.415Z
6.98922,1.95372,5.0355,4241729,2024-01-03T23:01:30.005Z
6.72706,1.92458,4.80248,4506930,2024-01-04T23:01:27.811Z
6.39633,1.91176,4.48457,4498985,2024-01-05T23:01:21.477Z
6.38035,1.93298,4.44737,4408945,2024-01-06T23:01:24.253Z
6.3022,1.95296,4.34923,4324639,2024-01-07T23:01:17.043Z
6.19004,1.9863,4.20374,4445579,2024-01-08T23:01:29.121Z
