APY,APY_BASE,APY_REWARD,TVL,DATE
6.59907,1.86843,4.73064,939604,2023-09-15T23:02:02.898Z
6.92657,1.91944,5.00713,933114,2023-09-16T23:01:53.188Z
6.08785,2.10269,3.98516,1007999,2023-09-17T23:02:10.156Z
6.41404,1.71784,4.6962,1044445,2023-09-18T23:01:29.431Z
6.24841,1.7152,4.53321,1058587,2023-09-19T23:01:53.488Z
5.90176,1.37623,4.52553,1244794,2023-09-20T23:01:41.380Z
5.99223,1.38183,4.6104,1201410,2023-09-21T23:02:17.798Z
4.56117,1.21975,3.34142,1705572,2023-09-22T23:01:42.085Z
6.08834,1.30475,4.7836,1144803,2023-09-23T23:01:58.281Z
6.21796,1.34649,4.87147,1112065,2023-09-24T23:02:07.484Z
5.50959,1.14329,4.3663,1439231,2023-09-25T23:01:59.054Z
5.36744,1.12504,4.24239,1468258,2023-09-26T23:01:58.472Z
5.7779,1.51492,4.26298,1246077,2023-09-27T23:01:56.496Z
5.70445,1.51262,4.19183,1250092,2023-09-28T23:02:19.334Z
5.69959,1.58559,4.114,1232831,2023-09-29T23:02:10.077Z
5.52484,1.41881,4.10603,1233670,2023-09-30T23:02:27.352Z
5.54465,1.47011,4.07454,1243596,2023-10-01T23:02:58.915Z
5.4125,1.46887,3.94363,1245990,2023-10-02T23:02:14.305Z
6.28076,1.82416,4.4566,914095,2023-10-03T23:01:55.488Z
6.10118,1.79884,4.30234,933615,2023-10-04T23:01:50.519Z
4.96243,1.24591,3.71653,1468651,2023-10-05T23:02:00.509Z
5.21765,1.20343,4.01422,1519400,2023-10-06T23:01:45.529Z
4.65218,1.63522,3.01696,1567304,2023-10-07T23:02:00.579Z
4.69284,1.48426,3.20858,1616613,2023-10-08T23:01:49.887Z
4.42764,1.47353,2.95411,1615133,2023-10-09T23:01:34.938Z
6.22222,1.46707,4.75515,1003078,2023-10-10T23:02:00.612Z
4.26807,1.81986,2.44821,1596811,2023-10-11T23:01:52.893Z
4.57548,1.84831,2.72717,1371107,2023-10-12T23:01:51.863Z
4.6627,1.88608,2.77662,1349722,2023-10-13T23:02:20.229Z
4.58303,1.89071,2.69232,1332862,2023-10-14T23:02:03.054Z
4.55633,1.88346,2.67287,1348747,2023-10-15T23:03:26.180Z
4.84083,2.07278,2.76805,1206691,2023-10-16T23:02:16.429Z
4.84767,2.0969,2.75077,1174053,2023-10-17T23:01:56.806Z
4.8521,2.09755,2.75455,1175675,2023-10-18T23:02:03.060Z
4.8146,1.96509,2.84951,1251573,2023-10-19T23:01:55.579Z
4.72942,1.87806,2.85136,1332807,2023-10-20T23:02:09.293Z
4.685,1.87794,2.80706,1343798,2023-10-21T13:02:09.414Z
1.66471,1.66471,,1637044,2023-10-25T23:01:19.731Z
4.7464,1.7727,2.97371,1494959,2023-10-26T23:01:17.645Z
4.78127,1.80405,2.97722,1459591,2023-10-27T23:01:10.129Z
4.81647,1.82272,2.99376,1436456,2023-10-28T23:01:19.065Z
4.82771,1.82871,2.999,1429337,2023-10-29T23:01:19.010Z
9.89632,6.69995,3.19637,726063,2023-10-30T23:01:24.956Z
9.0131,5.74641,3.26669,816426,2023-10-31T23:01:25.937Z
9.21389,5.44451,3.76938,813850,2023-11-01T23:01:48.218Z
6.01277,2.42695,3.58581,882954,2023-11-02T23:02:00.416Z
12.87728,9.25234,3.62494,815262,2023-11-03T23:01:33.265Z
11.74657,7.99142,3.75515,811600,2023-11-04T23:01:30.141Z
6.42108,2.43797,3.98311,893646,2023-11-05T23:01:23.974Z
6.40292,2.46536,3.93756,918451,2023-11-06T23:01:29.906Z
5.95063,2.24413,3.70651,1114551,2023-11-07T23:01:31.047Z
5.99077,2.28315,3.70762,1138583,2023-11-08T23:01:22.329Z
5.98494,2.3459,3.63904,1144621,2023-11-09T23:01:24.090Z
5.55993,2.14965,3.41028,1435098,2023-11-10T23:01:40.046Z
5.9412,2.29406,3.64714,1283697,2023-11-11T23:01:33.123Z
5.94532,2.30274,3.64258,1279712,2023-11-12T23:01:24.246Z
6.31508,2.4396,3.87548,1019600,2023-11-13T23:01:31.004Z
16.40716,12.61105,3.79612,872206,2023-11-14T23:01:24.314Z
8.05176,3.93778,4.11398,916913,2023-11-15T23:06:38.434Z
25.35388,18.49659,6.85729,469739,2023-11-16T23:01:27.472Z
12.79776,6.41162,6.38614,535035,2023-11-17T23:01:19.335Z
8.11507,2.40812,5.70696,670809,2023-11-18T23:01:24.958Z
8.06855,2.43375,5.6348,690179,2023-11-19T23:01:15.543Z
9.7123,4.05582,5.65647,726193,2023-11-20T23:01:20.682Z
11.75675,6.4687,5.28806,655964,2023-11-21T23:01:23.812Z
7.61223,2.23588,5.37635,1001850,2023-11-22T23:01:33.135Z
8.09864,2.38726,5.71138,909790,2023-11-23T23:01:26.276Z
7.79542,2.47163,5.32378,948297,2023-11-24T23:01:21.145Z
9.19751,4.12762,5.06988,947913,2023-11-25T23:01:30.137Z
7.7394,2.96352,4.77588,979326,2023-11-26T23:01:23.199Z
8.99253,4.07247,4.92005,926525,2023-11-27T23:01:19.334Z
9.52813,4.89018,4.63795,907532,2023-11-28T23:01:26.352Z
12.05587,5.41143,6.64444,887001,2023-11-29T23:01:15.870Z
7.73134,2.47246,5.25888,1180196,2023-11-30T23:01:16.364Z
7.2771,2.41757,4.85952,1406166,2023-12-01T23:01:21.251Z
7.41333,2.4741,4.93923,1358249,2023-12-02T23:01:56.373Z
10.92645,5.93439,4.99206,1377390,2023-12-03T23:01:31.167Z
9.40982,4.21628,5.19354,1340686,2023-12-04T23:01:19.013Z
