APY,APY_BASE,APY_REWARD,TVL,DATE
0.46835,0.46835,,2252823,2024-02-05T23:01:59.795Z
0.46844,0.46844,,2337754,2024-02-06T23:04:01.766Z
0.4684,0.4684,,2379082,2024-02-07T23:03:21.226Z
0.46558,0.46558,,2396819,2024-02-08T23:02:46.709Z
0.47296,0.47296,,2452909,2024-02-09T23:02:21.781Z
0.47298,0.47298,,2461822,2024-02-10T23:03:05.239Z
0.4721,0.4721,,2453213,2024-02-11T23:02:39.307Z
0.46487,0.46487,,2644824,2024-02-12T23:01:39.199Z
0.46559,0.46559,,2621139,2024-02-13T23:02:45.404Z
0.48987,0.48987,,2719782,2024-02-14T23:03:33.660Z
0.48799,0.48799,,2770972,2024-02-15T23:03:25.617Z
0.48797,0.48797,,2740176,2024-02-16T23:01:53.902Z
0.49105,0.49105,,2735515,2024-02-17T23:03:26.235Z
0.49303,0.49303,,2811907,2024-02-18T23:04:01.605Z
0.49318,0.49318,,2902497,2024-02-19T23:02:44.407Z
0.49005,0.49005,,2944760,2024-02-20T23:02:04.975Z
0.48313,0.48313,,2894793,2024-02-21T23:02:42.655Z
0.48589,0.48589,,2952212,2024-02-22T23:02:05.785Z
0.48589,0.48589,,2910839,2024-02-23T23:02:36.305Z
0.48668,0.48668,,2958166,2024-02-24T23:02:40.973Z
0.47905,0.47905,,3094827,2024-02-25T23:03:17.869Z
0.47725,0.47725,,3178699,2024-02-26T23:02:41.932Z
0.47901,0.47901,,3238791,2024-02-27T23:02:20.566Z
0.47529,0.47529,,3347236,2024-02-28T23:02:52.489Z
0.48176,0.48176,,3326596,2024-02-29T23:01:51.966Z
0.48366,0.48366,,3389305,2024-03-01T23:04:19.079Z
0.48109,0.48109,,3378725,2024-03-02T23:03:24.725Z
0.48118,0.48118,,3448095,2024-03-03T23:02:44.291Z
0.46423,0.46423,,3665889,2024-03-04T16:03:23.396Z
0.46964,0.46964,,3541988,2024-03-05T23:02:40.136Z
0.46811,0.46811,,3921133,2024-03-06T23:04:03.394Z
0.4683,0.4683,,3976397,2024-03-07T23:04:40.183Z
0.46854,0.46854,,3973080,2024-03-08T23:03:17.936Z
0.47956,0.47956,,3941411,2024-03-09T23:02:29.886Z
0.6211,0.6211,,3517900,2024-03-10T23:01:52.691Z
0.6153,0.6153,,3775001,2024-03-11T23:04:10.791Z
0.61643,0.61643,,3661088,2024-03-12T23:02:00.086Z
0.61907,0.61907,,3683078,2024-03-13T23:03:29.661Z
0.52419,0.52419,,3811950,2024-03-14T23:02:15.298Z
0.52449,0.52449,,3663877,2024-03-15T23:01:49.463Z
0.52602,0.52602,,3485715,2024-03-16T23:01:46.510Z
0.52262,0.52262,,3593405,2024-03-17T23:01:54.017Z
0.52284,0.52284,,3472798,2024-03-18T23:01:23.878Z
0.49847,0.49847,,3287318,2024-03-19T23:02:29.290Z
0.49734,0.49734,,3608364,2024-03-20T23:01:22.748Z
0.51289,0.51289,,3486282,2024-03-21T23:01:54.046Z
0.5132,0.5132,,3281311,2024-03-22T23:01:25.817Z
0.51353,0.51353,,3377275,2024-03-23T23:01:24.512Z
0.51327,0.51327,,3432192,2024-03-24T23:01:38.586Z
0.51328,0.51328,,3599926,2024-03-25T23:01:39.067Z
0.51631,0.51631,,3573531,2024-03-26T23:01:40.878Z
0.45186,0.45186,,3655595,2024-03-27T23:01:56.503Z
0.0997,0.0997,,4889412,2024-03-28T23:01:40.077Z
0.00617,0.00617,,5602460,2024-03-29T20:01:49.567Z
0.00618,0.00618,,5617266,2024-03-30T23:02:30.164Z
0.00625,0.00625,,5784809,2024-03-31T23:01:38.482Z
0.00621,0.00621,,5545703,2024-04-01T20:01:20.344Z
0.06994,0.06994,,4715508,2024-04-02T23:01:30.709Z
0.07002,0.07002,,4746837,2024-04-03T23:01:55.719Z
0.1026,0.1026,,4560318,2024-04-04T23:01:56.248Z
0.10307,0.10307,,4571774,2024-04-05T23:01:26.762Z
