APY,APY_BASE,APY_REWARD,TVL,DATE
3.64995,3.64995,,1300707,2024-02-05T23:01:59.795Z
3.68921,3.68921,,1256115,2024-02-06T23:04:01.766Z
3.81235,3.81235,,1114908,2024-02-07T23:03:21.226Z
3.95925,3.95925,,966951,2024-02-08T23:02:46.709Z
3.95993,3.95993,,967251,2024-02-09T23:02:21.781Z
3.96096,3.96096,,967203,2024-02-10T23:03:05.239Z
3.96222,3.96222,,969981,2024-02-11T23:02:39.307Z
3.98547,3.98547,,942856,2024-02-12T23:01:39.199Z
3.97727,3.97727,,957243,2024-02-13T23:02:45.404Z
4.00795,4.00795,,921924,2024-02-14T23:03:33.660Z
4.0199,4.0199,,906914,2024-02-15T23:03:25.617Z
4.02861,4.02861,,897669,2024-02-16T23:01:53.902Z
4.00776,4.00776,,920171,2024-02-17T23:03:26.235Z
4.00494,4.00494,,923601,2024-02-18T23:04:01.605Z
3.99435,3.99435,,933518,2024-02-19T23:02:44.407Z
4.00497,4.00497,,921970,2024-02-20T23:02:04.975Z
4.01809,4.01809,,909769,2024-02-21T23:02:42.655Z
4.02041,4.02041,,911463,2024-02-22T23:02:05.785Z
4.02089,4.02089,,904367,2024-02-23T23:02:36.305Z
4.01934,4.01934,,907374,2024-02-24T23:02:40.973Z
4.04169,4.04169,,880519,2024-02-25T23:03:17.869Z
4.0434,4.0434,,880623,2024-02-26T23:02:41.932Z
4.12736,4.12736,,793386,2024-02-27T23:02:20.566Z
4.07938,4.07938,,846605,2024-02-28T23:02:52.489Z
4.06351,4.06351,,866874,2024-02-29T23:01:51.966Z
4.07134,4.07134,,853284,2024-03-01T23:04:19.079Z
4.08059,4.08059,,846739,2024-03-02T23:03:24.725Z
4.10109,4.10109,,826073,2024-03-03T23:02:44.291Z
4.22836,4.22836,,674359,2024-03-04T16:03:23.396Z
4.20753,4.20753,,701496,2024-03-05T23:02:40.136Z
4.21415,4.21415,,697484,2024-03-06T23:04:03.394Z
4.2317,4.2317,,677902,2024-03-07T23:04:40.183Z
4.25328,4.25328,,649347,2024-03-08T23:03:17.936Z
4.26871,4.26871,,636489,2024-03-09T23:02:29.886Z
4.24507,4.24507,,659871,2024-03-10T23:01:52.691Z
4.31905,4.31905,,586367,2024-03-11T23:04:10.791Z
5.07341,5.07341,,503816,2024-03-12T23:02:00.086Z
4.32064,4.32064,,584884,2024-03-13T23:03:29.661Z
4.33827,4.33827,,561467,2024-03-14T23:02:15.298Z
4.31089,4.31089,,591086,2024-03-15T23:01:49.463Z
4.25162,4.25162,,651006,2024-03-16T23:01:46.510Z
4.27822,4.27822,,620211,2024-03-17T23:01:54.017Z
4.23992,4.23992,,666953,2024-03-18T23:01:23.878Z
7.39665,7.39665,,471850,2024-03-19T23:02:29.290Z
4.39091,4.39091,,507226,2024-03-20T23:01:22.748Z
8.13165,8.13165,,464116,2024-03-21T23:01:54.046Z
9.8251,9.8251,,446537,2024-03-22T23:01:25.817Z
14.33135,14.33135,,396213,2024-03-23T23:01:24.512Z
13.08593,13.08593,,414740,2024-03-24T23:01:38.586Z
6.63362,6.63362,,484728,2024-03-25T23:01:39.067Z
4.36468,4.36468,,534903,2024-03-26T23:01:40.878Z
4.5574,4.5574,,511688,2024-03-27T23:01:56.503Z
7.22494,7.22494,,480992,2024-03-28T23:01:40.077Z
13.586,13.586,,408777,2024-03-29T20:01:49.567Z
8.64241,8.64241,,464300,2024-03-30T23:02:30.164Z
7.19843,7.19843,,479062,2024-03-31T23:01:38.482Z
8.11179,8.11179,,471633,2024-04-01T23:01:29.746Z
12.02439,12.02439,,428239,2024-04-02T23:01:30.709Z
5.95451,5.95451,,492510,2024-04-03T23:01:55.719Z
9.54474,9.54474,,455710,2024-04-04T23:01:56.248Z
7.52239,7.52239,,476733,2024-04-05T23:01:26.762Z
7.61148,7.61148,,477385,2024-04-06T23:17:33.910Z
6.4114,6.4114,,488322,2024-04-07T23:01:34.588Z
7.49188,7.49188,,476240,2024-04-08T23:01:46.413Z
7.29279,7.29279,,477244,2024-04-09T23:01:38.791Z
8.20527,8.20527,,466734,2024-04-10T23:01:45.223Z
5.91732,5.91732,,500126,2024-04-11T23:01:45.916Z
7.45041,7.45041,,479454,2024-04-12T23:01:47.184Z
4.36645,4.36645,,536292,2024-04-13T23:17:45.946Z
4.86038,4.86038,,508607,2024-04-14T23:01:55.268Z
4.51176,4.51176,,510443,2024-04-15T23:01:37.316Z
