APY,APY_BASE,APY_REWARD,TVL,DATE
1.04518,,,193960869,2022-07-06T00:00:00.000Z
0.9366,,,222979301,2022-07-07T00:00:00.000Z
0.9275,,,224556481,2022-07-08T00:00:00.000Z
0.92764,,,224423431,2022-07-09T00:00:00.000Z
1.00312,,,199257131,2022-07-10T00:00:00.000Z
0.99943,,,190976623,2022-07-11T00:00:00.000Z
1.02254,,,182867316,2022-07-12T00:00:00.000Z
1.05735,,,184226613,2022-07-13T00:00:00.000Z
1.04931,,,191532230,2022-07-14T00:00:00.000Z
1.04855,,,194182396,2022-07-15T00:00:00.000Z
1.06665,,,193936463,2022-07-16T00:00:00.000Z
0.94782,,,213253588,2022-07-17T00:00:00.000Z
0.9427,,,222503938,2022-07-18T00:00:00.000Z
0.92256,,,241641716,2022-07-19T00:00:00.000Z
0.91579,,,237365750,2022-07-20T00:00:00.000Z
0.92864,,,233072318,2022-07-21T00:00:00.000Z
0.94154,,,229380079,2022-07-22T00:00:00.000Z
1.04545,,,208882922,2022-07-23T00:00:00.000Z
1.05324,,,209162956,2022-07-24T00:00:00.000Z
1.05037,,,201317481,2022-07-25T00:00:00.000Z
1.04325,,,195326899,2022-07-26T00:00:00.000Z
1.00783,,,212468058,2022-07-27T00:00:00.000Z
0.9082,,,240906509,2022-07-28T00:00:00.000Z
1.09605,,,239107660,2022-07-29T00:00:00.000Z
1.02527,,,236635851,2022-07-30T00:00:00.000Z
1.01063,,,236063727,2022-07-31T00:00:00.000Z
1.01548,,,231985728,2022-08-01T00:00:00.000Z
1.0411,,,230413022,2022-08-02T00:00:00.000Z
1.024,,,230508406,2022-08-03T00:00:00.000Z
1.01556,,,228703749,2022-08-04T00:00:00.000Z
1.00687,,,238066489,2022-08-05T00:00:00.000Z
1.0278,,,237644988,2022-08-06T00:00:00.000Z
1.07222,,,235647211,2022-08-07T00:00:00.000Z
1.0336,,,244489688,2022-08-08T00:00:00.000Z
1.03237,,,234424724,2022-08-09T00:00:00.000Z
1.19094,,,212696201,2022-08-10T00:00:00.000Z
1.08534,,,226927373,2022-08-11T00:00:00.000Z
1.08045,,,228326365,2022-08-12T00:00:00.000Z
1.08588,,,230382955,2022-08-13T00:00:00.000Z
1.03021,0.43351,0.5967,234172671,2022-08-14T00:00:00.000Z
