APY,APY_BASE,APY_REWARD,TVL,DATE
1.7849,,,57499376,2022-07-06T00:00:00.000Z
1.78805,,,58826139,2022-07-07T00:00:00.000Z
1.82769,,,56723540,2022-07-08T00:00:00.000Z
1.68364,,,59480065,2022-07-09T00:00:00.000Z
1.67349,,,59433456,2022-07-10T00:00:00.000Z
1.64937,,,56673707,2022-07-11T00:00:00.000Z
1.63819,,,54931401,2022-07-12T00:00:00.000Z
1.65786,,,57313538,2022-07-13T00:00:00.000Z
1.55393,,,63440791,2022-07-14T00:00:00.000Z
1.71292,,,60908252,2022-07-15T00:00:00.000Z
1.52222,,,69272640,2022-07-16T00:00:00.000Z
1.67771,,,64975162,2022-07-17T00:00:00.000Z
1.4888,,,76599705,2022-07-18T00:00:00.000Z
1.34774,,,82179762,2022-07-19T00:00:00.000Z
1.36132,,,79168141,2022-07-20T00:00:00.000Z
1.32306,,,81866305,2022-07-21T00:00:00.000Z
1.32325,,,80259223,2022-07-22T00:00:00.000Z
1.40202,,,78683509,2022-07-23T00:00:00.000Z
1.35765,,,82599609,2022-07-24T00:00:00.000Z
1.38891,,,76913512,2022-07-25T00:00:00.000Z
1.35311,,,74975911,2022-07-26T00:00:00.000Z
1.31592,,,85820224,2022-07-27T00:00:00.000Z
1.25687,,,94904375,2022-07-28T00:00:00.000Z
1.38584,,,97487770,2022-07-29T00:00:00.000Z
1.31292,,,94342945,2022-07-30T00:00:00.000Z
1.35764,,,90148611,2022-07-31T00:00:00.000Z
1.3826,,,86765476,2022-08-01T00:00:00.000Z
1.32556,,,92186949,2022-08-02T00:00:00.000Z
1.27759,,,91450239,2022-08-03T00:00:00.000Z
1.29113,,,89757963,2022-08-04T00:00:00.000Z
1.29803,,,94115334,2022-08-05T00:00:00.000Z
1.326,,,93634971,2022-08-06T00:00:00.000Z
1.40273,,,90790159,2022-08-07T00:00:00.000Z
1.37765,,,94521987,2022-08-08T00:00:00.000Z
1.34245,,,90921565,2022-08-09T00:00:00.000Z
1.16975,,,108004766,2022-08-10T00:00:00.000Z
1.15744,,,109306421,2022-08-11T00:00:00.000Z
1.11865,,,112979661,2022-08-12T00:00:00.000Z
1.08525,,,118371632,2022-08-13T00:00:00.000Z
1.06876,0.47833,0.59043,116773017,2022-08-14T00:00:00.000Z
1.07843,0.48568,0.59275,114166253,2022-08-15T00:00:00.000Z
1.08833,0.51044,0.57789,109194375,2022-08-16T00:00:00.000Z
1.20627,0.5813,0.62497,100307949,2022-08-17T00:00:00.000Z
1.07933,0.48336,0.59596,115947190,2022-08-18T00:00:00.000Z
1.13174,0.4978,0.63395,98246014,2022-08-19T00:00:00.000Z
1.33211,0.60778,0.72433,84057453,2022-08-20T00:00:00.000Z
1.35335,0.64797,0.70538,86253066,2022-08-21T00:00:00.000Z
1.35264,0.66353,0.68911,83457236,2022-08-22T00:00:00.000Z
1.37173,0.69022,0.68151,86019510,2022-08-23T00:00:00.000Z
1.3258,0.65706,0.66874,88162472,2022-08-24T00:00:00.000Z
1.27922,0.6373,0.64192,90447237,2022-08-25T00:00:00.000Z
1.27689,0.61999,0.6569,82758809,2022-08-26T00:00:00.000Z
1.32903,0.68468,0.64434,77129239,2022-08-27T00:00:00.000Z
1.33035,0.67253,0.65781,76244626,2022-08-28T00:00:00.000Z
1.31067,0.6679,0.64278,80357336,2022-08-29T00:00:00.000Z
1.4078,0.78879,0.61902,78191714,2022-08-30T00:00:00.000Z
1.54997,0.91986,0.6301,74798802,2022-08-31T00:00:00.000Z
1.49301,0.86289,0.63012,75603205,2022-09-01T00:00:00.000Z
1.70234,1.01929,0.68305,66382394,2022-09-02T00:00:00.000Z
1.83191,1.13338,0.69853,63549963,2022-09-03T00:00:00.000Z
1.85074,1.14259,0.70815,63033219,2022-09-04T00:00:00.000Z
2.71873,1.86294,0.85579,45255881,2022-09-05T23:00:32.756Z
3.72158,2.86457,0.85701,34704768,2022-09-06T23:01:36.000Z
3.44492,2.59509,0.84983,38823408,2022-09-07T23:01:35.292Z
3.34017,2.49255,0.84762,39617852,2022-09-08T23:01:43.622Z
3.21628,2.373,0.84329,42502432,2022-09-09T23:01:43.619Z
3.70754,2.87113,0.83641,39328566,2022-09-10T23:01:31.605Z
3.85524,2.99561,0.85963,37237089,2022-09-11T23:01:37.588Z
28.4287,27.64603,0.78266,10803304,2022-09-12T23:01:37.651Z
61.84921,61.00463,0.84459,6041,2022-09-13T23:01:50.441Z
61.94917,61.11675,0.83242,1997,2022-09-14T20:01:35.976Z
1.93563,1.09913,0.83649,49183554,2022-09-15T23:01:28.397Z
1.88148,1.05605,0.82543,49497113,2022-09-16T23:01:49.449Z
1.58067,0.82636,0.75431,59166449,2022-09-17T23:01:44.524Z
1.87894,1.03848,0.84045,50230359,2022-09-18T23:01:44.732Z
1.61846,0.86522,0.75324,59090630,2022-09-19T23:01:52.633Z
1.67127,0.87832,0.79294,55865932,2022-09-20T23:01:41.064Z
1.59264,0.7744,0.81824,53486659,2022-09-21T23:01:44.451Z
1.79889,1.03368,0.76521,55836822,2022-09-22T23:01:41.662Z
2.15469,1.37698,0.7777,51306322,2022-09-23T23:02:15.125Z
2.10953,1.3217,0.78783,52207565,2022-09-24T23:01:43.869Z
2.13461,1.32911,0.8055,51262787,2022-09-25T23:01:39.503Z
2.06945,1.27619,0.79326,53415354,2022-09-26T23:01:30.785Z
1.89752,1.11508,0.78244,55107899,2022-09-27T23:01:41.899Z
1.9057,1.09786,0.80784,55691987,2022-09-28T23:01:40.242Z
1.92749,1.12469,0.80279,54943894,2022-09-29T23:01:34.068Z
1.46815,0.67924,0.78891,61634213,2022-09-30T23:01:45.901Z
1.7543,0.92538,0.82892,56809169,2022-10-01T23:01:48.833Z
1.80697,0.96529,0.84168,56443279,2022-10-02T23:01:45.819Z
1.55582,0.69289,0.86293,61618237,2022-10-03T23:01:25.012Z
1.76233,0.91327,0.84907,60131527,2022-10-04T23:01:52.882Z
1.62039,0.81608,0.80431,64235598,2022-10-05T23:01:49.991Z
1.80923,0.95265,0.85658,56731824,2022-10-06T23:01:52.712Z
2.02324,1.04915,0.97409,50513468,2022-10-07T23:01:42.134Z
1.99916,1.04825,0.95091,49607005,2022-10-08T23:01:39.868Z
2.02389,1.09526,0.92864,50064774,2022-10-09T23:01:51.146Z
1.81528,0.96342,0.85186,54236594,2022-10-10T23:01:37.768Z
1.88889,1.03993,0.84896,52929262,2022-10-11T23:01:32.982Z
1.82087,1.00176,0.81911,53503957,2022-10-12T23:01:50.259Z
1.78977,0.97895,0.81082,53869244,2022-10-13T23:01:42.827Z
1.74252,0.95535,0.78717,54224985,2022-10-14T23:01:56.144Z
1.77616,0.95536,0.8208,53042945,2022-10-15T23:01:39.920Z
1.76948,0.95597,0.81351,54443536,2022-10-16T23:01:53.988Z
1.77955,0.9834,0.79615,54805723,2022-10-17T23:01:46.798Z
1.7547,0.96492,0.78978,54884623,2022-10-18T23:01:49.906Z
1.99534,1.20235,0.79299,50921140,2022-10-19T23:01:28.144Z
2.32342,1.53495,0.78847,47082188,2022-10-20T23:01:47.096Z
2.16566,1.39657,0.76909,49351814,2022-10-21T23:01:44.548Z
1.75576,0.98843,0.76733,55081047,2022-10-22T23:01:56.111Z
1.72888,0.96816,0.76072,57186907,2022-10-23T23:01:56.434Z
1.73449,0.96582,0.76867,56380034,2022-10-24T23:01:49.463Z
1.69283,0.96557,0.72726,60894944,2022-10-25T23:01:45.600Z
1.53944,0.84358,0.69587,67596994,2022-10-26T23:01:40.669Z
1.53999,0.85273,0.68726,66596638,2022-10-27T23:01:48.678Z
1.58448,0.89888,0.68561,67150317,2022-10-28T23:01:45.526Z
1.58279,0.90436,0.67843,68904599,2022-10-29T23:01:49.132Z
1.58992,0.88992,0.7,68385744,2022-10-30T23:01:44.544Z
1.42649,0.73629,0.6902,74024538,2022-10-31T23:01:41.993Z
0.87558,0.3793,0.49628,111224852,2022-11-01T23:01:44.119Z
0.89151,0.38916,0.50235,105377439,2022-11-02T23:02:08.850Z
0.87343,0.36806,0.50537,111369523,2022-11-03T23:01:51.386Z
0.81274,0.32328,0.48946,124728299,2022-11-04T23:01:46.325Z
0.80545,0.31681,0.48863,123829087,2022-11-05T23:01:45.395Z
0.81447,0.31823,0.49624,121644665,2022-11-06T23:01:52.434Z
1.24747,0.67447,0.57301,91994052,2022-11-07T23:01:28.776Z
1.39945,0.79865,0.6008,72758857,2022-11-08T23:01:40.713Z
1.44274,0.78027,0.66247,59267385,2022-11-09T23:01:48.397Z
1.44305,0.84571,0.59734,69580364,2022-11-10T23:01:44.347Z
1.44987,0.85684,0.59303,65806925,2022-11-11T23:01:47.533Z
1.52196,0.91283,0.60913,62751322,2022-11-12T23:01:47.501Z
0.9534,0.63699,0.31641,62884298,2022-11-13T23:01:44.938Z
