APY,APY_BASE,APY_REWARD,TVL,DATE
1.71759,,,43432456,2022-07-06T00:00:00.000Z
1.82734,,,45779807,2022-07-07T00:00:00.000Z
1.77916,,,46549246,2022-07-08T00:00:00.000Z
1.77421,,,46802346,2022-07-09T00:00:00.000Z
1.73204,,,47363966,2022-07-10T00:00:00.000Z
1.74903,,,45804690,2022-07-11T00:00:00.000Z
1.79036,,,44581666,2022-07-12T00:00:00.000Z
1.77856,,,45541852,2022-07-13T00:00:00.000Z
1.85182,,,44101687,2022-07-14T00:00:00.000Z
1.83184,,,44762369,2022-07-15T00:00:00.000Z
1.758,,,46518980,2022-07-16T00:00:00.000Z
1.74039,,,47291286,2022-07-17T00:00:00.000Z
1.65594,,,51160069,2022-07-18T00:00:00.000Z
1.73421,,,49190133,2022-07-19T00:00:00.000Z
1.64725,,,51586675,2022-07-20T00:00:00.000Z
1.67384,,,50759645,2022-07-21T00:00:00.000Z
1.7457,,,47973396,2022-07-22T00:00:00.000Z
1.70151,,,49544361,2022-07-23T00:00:00.000Z
1.79886,,,46053127,2022-07-24T00:00:00.000Z
1.84291,,,44726891,2022-07-25T00:00:00.000Z
1.78304,,,45463091,2022-07-26T00:00:00.000Z
1.90475,,,42917961,2022-07-27T00:00:00.000Z
1.97815,,,41934026,2022-07-28T00:00:00.000Z
2.42021,,,38755084,2022-07-29T00:00:00.000Z
2.2515,,,39901052,2022-07-30T00:00:00.000Z
2.15477,,,41698757,2022-07-31T00:00:00.000Z
2.1502,,,41405588,2022-08-01T00:00:00.000Z
2.24057,,,39667999,2022-08-02T00:00:00.000Z
2.16453,,,41158508,2022-08-03T00:00:00.000Z
2.14078,,,41532404,2022-08-04T00:00:00.000Z
2.20334,,,41407866,2022-08-05T00:00:00.000Z
2.22631,,,41430042,2022-08-06T00:00:00.000Z
2.1919,,,42274424,2022-08-07T00:00:00.000Z
2.10324,,,44195344,2022-08-08T00:00:00.000Z
2.17328,,,41271434,2022-08-09T00:00:00.000Z
2.2174,,,40717258,2022-08-10T00:00:00.000Z
2.28902,,,39288652,2022-08-11T00:00:00.000Z
2.28602,,,39192210,2022-08-12T00:00:00.000Z
2.2617,,,40121480,2022-08-13T00:00:00.000Z
2.22825,1.43391,0.79434,40399665,2022-08-14T00:00:00.000Z
