APY,APY_BASE,APY_REWARD,TVL,DATE
1.30607,,,90324092,2022-07-06T00:00:00.000Z
1.60702,,,79701790,2022-07-07T00:00:00.000Z
1.6369,,,78645665,2022-07-08T00:00:00.000Z
1.67539,,,76641269,2022-07-09T00:00:00.000Z
1.43275,,,84961796,2022-07-10T00:00:00.000Z
1.39547,,,85843484,2022-07-11T00:00:00.000Z
1.39165,,,85406498,2022-07-12T00:00:00.000Z
1.41755,,,84979969,2022-07-13T00:00:00.000Z
1.40303,,,85958492,2022-07-14T00:00:00.000Z
1.39084,,,86339915,2022-07-15T00:00:00.000Z
1.39331,,,86299233,2022-07-16T00:00:00.000Z
1.67314,,,76252446,2022-07-17T00:00:00.000Z
1.72203,,,75380799,2022-07-18T00:00:00.000Z
1.72471,,,75737441,2022-07-19T00:00:00.000Z
1.78039,,,73014456,2022-07-20T00:00:00.000Z
1.7394,,,74162594,2022-07-21T00:00:00.000Z
1.69754,,,75740764,2022-07-22T00:00:00.000Z
1.25761,,,92673747,2022-07-23T00:00:00.000Z
1.30143,,,90775392,2022-07-24T00:00:00.000Z
1.30219,,,90235593,2022-07-25T00:00:00.000Z
1.22344,,,93146320,2022-07-26T00:00:00.000Z
1.21066,,,94608600,2022-07-27T00:00:00.000Z
1.63175,,,80082575,2022-07-28T00:00:00.000Z
1.8427,,,77242342,2022-07-29T00:00:00.000Z
1.81652,,,76116207,2022-07-30T00:00:00.000Z
1.80605,,,76095252,2022-07-31T00:00:00.000Z
1.77454,,,76750604,2022-08-01T00:00:00.000Z
1.766,,,77947963,2022-08-02T00:00:00.000Z
1.87441,,,72925489,2022-08-03T00:00:00.000Z
1.88165,,,72303555,2022-08-04T00:00:00.000Z
1.89875,,,72038254,2022-08-05T00:00:00.000Z
1.90435,,,72249515,2022-08-06T00:00:00.000Z
1.91513,,,71476485,2022-08-07T00:00:00.000Z
1.89519,,,72329759,2022-08-08T00:00:00.000Z
1.85028,,,73324118,2022-08-09T00:00:00.000Z
1.54508,,,83940038,2022-08-10T00:00:00.000Z
1.75164,,,76638518,2022-08-11T00:00:00.000Z
