APY,APY_BASE,APY_REWARD,TVL,DATE
2.60425,,,80417204,2022-07-06T00:00:00.000Z
2.55094,,,84040667,2022-07-07T00:00:00.000Z
2.55596,,,84130668,2022-07-08T00:00:00.000Z
2.58829,,,84113303,2022-07-09T00:00:00.000Z
2.6203,,,80210257,2022-07-10T00:00:00.000Z
2.62424,,,77387676,2022-07-11T00:00:00.000Z
2.58759,,,76427524,2022-07-12T00:00:00.000Z
2.50258,,,80035713,2022-07-13T00:00:00.000Z
2.49746,,,83423958,2022-07-14T00:00:00.000Z
2.51555,,,84075331,2022-07-15T00:00:00.000Z
1.9793,,,98155548,2022-07-16T00:00:00.000Z
2.34995,,,90105926,2022-07-17T00:00:00.000Z
2.28978,,,94870358,2022-07-18T00:00:00.000Z
2.29322,,,98468786,2022-07-19T00:00:00.000Z
2.29715,,,94093945,2022-07-20T00:00:00.000Z
2.23311,,,97108285,2022-07-21T00:00:00.000Z
2.19114,,,96783030,2022-07-22T00:00:00.000Z
2.37664,,,91694921,2022-07-23T00:00:00.000Z
2.28772,,,94194021,2022-07-24T00:00:00.000Z
2.28789,,,90521361,2022-07-25T00:00:00.000Z
2.2768,,,89029971,2022-07-26T00:00:00.000Z
1.96872,,,104492712,2022-07-27T00:00:00.000Z
2.17632,,,103481739,2022-07-28T00:00:00.000Z
2.3822,,,111878820,2022-07-29T00:00:00.000Z
2.17636,,,113258699,2022-07-30T00:00:00.000Z
2.01395,,,115082984,2022-07-31T00:00:00.000Z
2.07979,,,116112062,2022-08-01T00:00:00.000Z
2.18952,,,114568971,2022-08-02T00:00:00.000Z
2.09882,,,121957945,2022-08-03T00:00:00.000Z
2.00718,,,127364445,2022-08-04T00:00:00.000Z
1.90906,,,129751607,2022-08-05T00:00:00.000Z
1.92864,,,130009559,2022-08-06T00:00:00.000Z
1.84671,,,135674389,2022-08-07T00:00:00.000Z
1.82177,,,137123235,2022-08-08T00:00:00.000Z
1.75944,,,138093620,2022-08-09T00:00:00.000Z
1.7578,,,139869759,2022-08-10T00:00:00.000Z
1.76038,,,138007824,2022-08-11T00:00:00.000Z
1.75121,,,138330182,2022-08-12T00:00:00.000Z
1.8135,,,137066152,2022-08-13T00:00:00.000Z
1.74274,0.82826,0.91448,136316600,2022-08-14T00:00:00.000Z
1.72972,0.84269,0.88702,137715877,2022-08-15T00:00:00.000Z
1.65501,0.81565,0.83936,137574611,2022-08-16T00:00:00.000Z
1.72621,0.84082,0.88538,131299957,2022-08-17T00:00:00.000Z
1.80773,0.85785,0.94987,130776731,2022-08-18T00:00:00.000Z
1.78809,0.85507,0.93302,120551201,2022-08-19T00:00:00.000Z
1.76278,0.84752,0.91526,123988213,2022-08-20T00:00:00.000Z
1.74187,0.87551,0.86637,131331269,2022-08-21T00:00:00.000Z
1.68239,0.8549,0.82749,131170234,2022-08-22T00:00:00.000Z
1.69736,0.84303,0.85433,130801825,2022-08-23T00:00:00.000Z
1.7423,0.87985,0.86245,128049795,2022-08-24T00:00:00.000Z
1.8708,1.02321,0.84759,123341115,2022-08-25T00:00:00.000Z
1.94032,1.09439,0.84593,113285650,2022-08-26T00:00:00.000Z
1.83726,1.03099,0.80627,112125150,2022-08-27T00:00:00.000Z
1.77182,0.9649,0.80692,114484989,2022-08-28T00:00:00.000Z
1.79782,0.97579,0.82203,115313615,2022-08-29T00:00:00.000Z
1.72275,0.92892,0.79384,116638489,2022-08-30T00:00:00.000Z
1.69865,0.89625,0.80241,116849061,2022-08-31T00:00:00.000Z
1.71507,0.90956,0.80551,115714117,2022-09-01T00:00:00.000Z
1.7137,0.91938,0.79432,115494380,2022-09-02T00:00:00.000Z
1.69813,0.90212,0.79601,116217121,2022-09-03T00:00:00.000Z
1.65799,0.8677,0.79029,118934814,2022-09-04T00:00:00.000Z
1.62097,0.84461,0.77636,122533981,2022-09-05T23:00:32.756Z
1.43174,0.72255,0.70919,129042762,2022-09-06T23:01:36.000Z
1.45894,0.73969,0.71925,133414401,2022-09-07T23:01:35.292Z
1.44173,0.72491,0.71683,134092924,2022-09-08T23:01:43.622Z
1.42571,0.70648,0.71923,140060683,2022-09-09T23:01:43.619Z
1.39755,0.68176,0.71579,143130062,2022-09-10T23:01:31.605Z
1.39059,0.6693,0.72129,142040500,2022-09-11T23:01:37.588Z
0.89546,0.35679,0.53868,205719769,2022-09-12T23:01:37.651Z
0.8633,0.33564,0.52766,197507610,2022-09-13T23:01:50.441Z
0.81483,0.28919,0.52564,202095399,2022-09-14T23:01:36.819Z
1.46165,0.70718,0.75447,118364610,2022-09-15T23:01:28.397Z
1.54762,0.80606,0.74156,115474231,2022-09-16T23:01:49.449Z
1.69965,0.9437,0.75595,113468642,2022-09-17T23:01:44.524Z
1.69012,0.9005,0.78963,109052148,2022-09-18T23:01:44.732Z
1.69475,0.92486,0.7699,112668035,2022-09-19T23:01:52.633Z
1.74636,0.96761,0.77874,110051472,2022-09-20T23:01:41.064Z
1.69244,0.93047,0.76197,109322525,2022-09-21T23:01:44.451Z
1.75951,1.00533,0.75418,112587982,2022-09-22T23:01:41.662Z
1.77476,1.01743,0.75733,112472048,2022-09-23T23:02:15.125Z
