APY,APY_BASE,APY_REWARD,TVL,DATE
67.55253,1.10932,66.44322,1614,2023-07-19T23:02:32.144Z
44.09632,0.72428,43.37204,3011,2023-07-20T23:02:47.593Z
43.54006,0.62448,42.91557,3209,2023-07-21T23:02:26.007Z
49.95729,0.45719,49.5001,3032,2023-07-22T23:02:24.263Z
32.2481,2.52958,29.71853,1561,2023-07-23T23:02:16.913Z
23.99232,2.29234,21.69998,2488,2023-07-24T23:02:50.038Z
29.88416,3.04423,26.83992,1132,2023-07-25T15:02:25.550Z
28.4315,1.27715,27.15435,3608,2023-07-26T23:02:18.880Z
28.40371,1.4516,26.95211,3298,2023-07-27T23:02:14.553Z
28.67033,1.4516,27.21872,3298,2023-07-28T23:02:10.537Z
26.02521,1.69301,24.3322,3248,2023-07-29T23:01:59.283Z
25.71808,1.69296,24.02512,3248,2023-07-30T23:02:21.367Z
26.97552,1.85202,25.1235,2839,2023-07-31T23:02:26.276Z
0.75963,0.75963,,7843,2023-08-01T23:02:20.927Z
64.53794,0.74928,63.78866,8110,2023-08-02T23:02:22.862Z
70.41054,0.58938,69.82115,8050,2023-08-03T23:02:31.713Z
66.70195,0.5417,66.16025,8705,2023-08-04T23:02:27.160Z
55.59925,0.37798,55.22127,11436,2023-08-05T23:02:29.481Z
54.0336,1.43187,52.60173,12732,2023-08-06T23:02:27.808Z
34.14375,1.61477,32.52898,18679,2023-08-07T23:02:34.074Z
34.08953,1.61129,32.47824,18776,2023-08-08T23:02:13.336Z
34.70695,1.67603,33.03092,17821,2023-08-09T23:02:25.019Z
34.86998,1.68489,33.18509,17651,2023-08-10T23:02:23.998Z
27.99323,1.66931,26.32391,22433,2023-08-11T23:02:20.127Z
27.86615,1.65559,26.21056,22703,2023-08-12T23:02:20.081Z
27.86203,1.65619,26.20584,22687,2023-08-13T23:02:04.703Z
37.20099,1.58585,35.61514,23548,2023-08-14T23:02:14.055Z
32.93595,1.25682,31.67914,31389,2023-08-15T23:02:33.773Z
30.60808,1.09412,29.51396,36548,2023-08-16T23:02:23.192Z
36.39651,0.99472,35.40178,31840,2023-08-17T23:02:21.910Z
46.07134,0.60476,45.46658,30231,2023-08-18T23:02:28.052Z
51.97583,0.8388,51.13703,23841,2023-08-19T23:02:33.771Z
52.52995,1.73539,50.79455,15123,2023-08-20T23:02:30.386Z
50.24845,1.60375,48.6447,16960,2023-08-21T23:02:31.194Z
33.73288,1.61514,32.11775,16884,2023-08-22T23:02:24.366Z
32.45914,1.53043,30.92872,18453,2023-08-23T23:02:24.984Z
31.53586,1.56529,29.97057,18622,2023-08-24T23:02:08.376Z
30.57419,1.53092,29.04327,19688,2023-08-25T23:02:22.260Z
26.34387,1.21935,25.12452,26708,2023-08-26T23:02:30.734Z
24.78081,1.48628,23.29453,25106,2023-08-27T23:02:26.124Z
24.45368,1.42748,23.0262,26181,2023-08-28T23:02:29.966Z
23.0093,1.19534,21.81396,31264,2023-08-29T23:02:25.072Z
23.16857,1.41758,21.75099,27934,2023-08-30T23:02:25.781Z
23.61476,1.62408,21.99069,24726,2023-08-31T23:02:35.931Z
23.18872,1.32873,21.85998,29044,2023-09-01T23:02:19.169Z
24.38564,1.7718,22.61385,22769,2023-09-02T23:02:06.850Z
15.61611,0.76883,14.84728,57357,2023-09-03T23:02:25.955Z
14.81098,0.90021,13.91077,57156,2023-09-04T23:02:48.710Z
15.7127,0.74589,14.96681,57387,2023-09-05T23:02:30.536Z
15.58471,0.85252,14.73219,55170,2023-09-06T23:02:34.625Z
15.39888,0.70297,14.69591,59047,2023-09-07T23:02:30.858Z
14.93521,0.69142,14.24379,61207,2023-09-08T23:02:36.293Z
12.78514,0.58452,12.20062,75556,2023-09-09T23:02:28.280Z
13.02649,1.07178,11.95472,60114,2023-09-10T23:02:39.685Z
13.01997,1.49259,11.52738,50067,2023-09-11T23:02:16.583Z
12.9664,1.55867,11.40773,48984,2023-09-12T23:02:38.835Z
11.94105,1.88781,10.05324,53067,2023-09-13T23:02:31.410Z
10.5348,1.57242,8.96238,61999,2023-09-14T23:02:25.269Z
10.57539,1.9219,8.65348,52872,2023-09-15T23:02:17.555Z
10.56389,2.63847,7.92542,35314,2023-09-16T23:02:30.132Z
11.19034,1.792,9.39834,52383,2023-09-17T23:04:06.213Z
11.33747,1.92339,9.41409,48550,2023-09-18T23:02:21.817Z
10.74397,1.7886,8.95538,55151,2023-09-19T23:02:27.684Z
10.32007,1.5748,8.74527,63434,2023-09-20T23:02:27.308Z
10.15903,1.48407,8.67496,66950,2023-09-21T23:02:32.810Z
10.70444,1.39912,9.30532,65253,2023-09-22T23:02:29.089Z
10.62564,1.56724,9.0584,61361,2023-09-23T23:02:42.423Z
10.20344,1.44147,8.76197,67733,2023-09-24T23:02:30.667Z
10.26771,1.52018,8.74752,65089,2023-09-25T23:02:17.216Z
10.01546,1.40601,8.60946,70210,2023-09-26T23:02:27.426Z
10.68918,1.75583,8.93335,56113,2023-09-27T23:02:25.840Z
10.58124,2.02869,8.55255,50869,2023-09-28T23:02:40.893Z
9.88783,2.46512,7.42272,44407,2023-09-29T23:02:25.920Z
9.53596,2.36461,7.17136,48705,2023-09-30T23:02:32.285Z
8.73253,1.95408,6.77846,67271,2023-10-01T23:02:29.256Z
8.61343,1.91831,6.69512,69377,2023-10-02T23:02:25.858Z
8.01158,1.84026,6.17132,78520,2023-10-03T23:02:27.333Z
7.13614,1.72976,5.40638,95239,2023-10-04T23:02:35.711Z
7.13948,1.73655,5.40293,94771,2023-10-05T23:02:26.466Z
6.16558,1.72972,4.43587,115860,2023-10-06T23:02:13.050Z
5.80069,1.72513,4.07556,126668,2023-10-07T23:02:31.983Z
