APY,APY_BASE,APY_REWARD,TVL,DATE
139.39028,0.34953,139.04075,1591,2023-08-03T23:02:31.713Z
249.11211,0.07106,249.04105,1090,2023-08-04T23:02:27.160Z
231.17624,0.15541,231.02083,1090,2023-08-05T23:02:29.481Z
48.01265,0.62062,47.39203,13563,2023-08-06T23:02:27.808Z
47.9926,0.64358,47.34903,13409,2023-08-07T23:02:34.074Z
48.08031,0.64361,47.4367,13420,2023-08-08T23:02:13.336Z
47.58254,0.6089,46.97365,13798,2023-08-09T23:02:25.019Z
47.77905,0.6005,47.17854,13797,2023-08-10T23:02:23.998Z
48.18567,0.61181,47.57386,13594,2023-08-11T23:02:20.127Z
48.2149,0.61181,47.60308,13589,2023-08-12T23:02:20.081Z
48.54164,0.62262,47.91902,13411,2023-08-13T23:02:04.703Z
41.68592,0.99703,40.68889,13071,2023-08-14T23:02:14.055Z
32.62698,1.42962,31.19735,13669,2023-08-15T23:02:33.773Z
32.55489,1.42337,31.13151,13726,2023-08-16T23:02:23.192Z
33.05267,1.36577,31.6869,13721,2023-08-17T23:02:21.910Z
299.92283,1.38888,298.53395,1439,2023-08-18T23:02:28.052Z
211.51358,0.54494,210.96864,3129,2023-08-19T23:02:33.771Z
83.46947,1.21496,82.25452,5718,2023-08-20T23:02:30.386Z
73.50283,1.63173,71.87111,5261,2023-08-21T23:02:31.194Z
46.51907,1.95974,44.55932,5488,2023-08-22T23:02:24.366Z
40.33215,2.28423,38.04791,5395,2023-08-23T23:02:24.984Z
39.92774,2.14805,37.77969,5926,2023-08-24T23:02:08.376Z
35.9077,2.07839,33.82931,6897,2023-08-25T23:02:22.260Z
24.88166,2.85674,22.02492,5842,2023-08-26T23:02:30.734Z
62.27358,37.05397,25.21961,1127,2023-08-27T23:02:26.124Z
28.11974,2.67549,25.44424,5959,2023-08-28T23:02:29.966Z
28.46063,2.89057,25.57006,4928,2023-08-29T23:02:25.072Z
29.02779,2.83604,26.19176,5054,2023-08-30T23:02:25.781Z
29.1784,3.15731,26.02109,3585,2023-08-31T23:02:35.931Z
26.49475,3.01528,23.47947,4664,2023-09-01T23:02:19.169Z
27.03379,3.17132,23.86247,3829,2023-09-02T23:02:06.850Z
25.36849,2.83384,22.53465,5830,2023-09-03T23:02:25.955Z
23.32478,2.6684,20.65638,7337,2023-09-04T23:02:48.710Z
20.40746,3.02761,17.37985,6190,2023-09-05T23:02:30.536Z
18.21029,2.47415,15.73614,11189,2023-09-06T23:02:34.625Z
20.35742,2.10954,18.24788,12419,2023-09-07T23:02:30.858Z
20.51091,2.14158,18.36933,12065,2023-09-08T23:02:36.293Z
20.86871,3.03602,17.83269,5983,2023-09-09T23:02:28.280Z
18.02663,1.57744,16.44919,18637,2023-09-10T23:02:39.685Z
17.24426,1.56406,15.6802,19530,2023-09-11T23:02:16.583Z
17.35025,1.68022,15.67003,18442,2023-09-12T23:02:38.835Z
15.58401,2.14695,13.43706,16337,2023-09-13T23:02:31.410Z
13.03508,1.93344,11.10164,22559,2023-09-14T23:02:25.269Z
13.95954,2.13295,11.82658,18787,2023-09-15T23:02:17.555Z
12.06485,2.84518,9.21967,13962,2023-09-16T23:02:30.132Z
11.5438,2.58864,8.95516,17905,2023-09-17T23:04:06.213Z
11.539,2.58255,8.95645,18033,2023-09-18T23:02:21.817Z
12.32797,2.94996,9.37801,12393,2023-09-19T23:02:27.684Z
13.87794,4.28274,9.59521,8316,2023-09-20T23:02:27.308Z
12.72716,3.17923,9.54793,9304,2023-09-21T23:02:32.810Z
13.94403,2.52078,11.42325,14781,2023-09-22T23:02:29.089Z
12.22372,2.71457,9.50915,15160,2023-09-23T23:02:42.423Z
12.19064,2.62065,9.56999,16284,2023-09-24T23:02:30.667Z
13.84427,2.39305,11.45121,16188,2023-09-25T23:02:17.216Z
13.42822,2.39848,11.02973,16741,2023-09-26T23:02:27.426Z
12.51045,2.28066,10.22979,19595,2023-09-27T23:02:25.840Z
11.53735,2.4826,9.05475,19277,2023-09-28T23:02:40.893Z
11.69145,2.73191,8.95954,15970,2023-09-29T23:02:25.920Z
10.72682,2.6823,8.04452,18562,2023-09-30T23:02:32.285Z
10.88602,2.36979,8.51623,22430,2023-10-01T23:02:29.256Z
10.5937,2.33831,8.25539,23469,2023-10-02T23:02:25.858Z
9.1709,2.40091,6.76999,27372,2023-10-03T23:02:27.333Z
8.19093,2.49875,5.69218,30222,2023-10-04T23:02:35.711Z
7.99374,2.58956,5.40418,29571,2023-10-05T23:02:26.466Z
7.32768,2.66925,4.65843,32231,2023-10-06T23:02:13.050Z
6.9451,2.66297,4.28214,35237,2023-10-07T23:02:31.983Z
6.74043,2.7273,4.01313,35596,2023-10-08T23:02:22.407Z
6.38594,2.70291,3.68302,39365,2023-10-09T23:02:35.383Z
6.09337,2.63282,3.46055,44336,2023-10-10T23:02:25.576Z
5.80052,2.44472,3.3558,52856,2023-10-11T23:02:34.040Z
5.65694,2.3828,3.27414,56459,2023-10-12T23:04:19.561Z
5.40509,2.40709,2.998,60675,2023-10-13T23:02:27.952Z
5.30895,2.3291,2.97985,64527,2023-10-14T23:02:29.938Z
5.18781,2.20403,2.98378,69954,2023-10-15T23:02:34.117Z
5.66917,2.56639,3.10278,52128,2023-10-16T23:02:06.033Z
5.25101,2.25075,3.00027,68256,2023-10-17T23:02:37.306Z
5.28283,2.26077,3.02207,66585,2023-10-18T23:02:38.263Z
5.5581,2.53111,3.02699,54778,2023-10-19T23:02:27.715Z
5.37651,2.35319,3.02332,62781,2023-10-20T23:02:24.829Z
5.87451,2.67696,3.19756,46468,2023-10-21T23:02:21.286Z
5.14572,2.86169,2.28403,55260,2023-10-22T23:02:39.860Z
5.34457,3.00147,2.3431,47269,2023-10-23T23:02:30.365Z
6.13482,2.84099,3.29384,39660,2023-10-24T23:04:08.988Z
6.00555,2.87134,3.13421,40505,2023-10-25T23:01:39.135Z
6.1029,2.91046,3.19244,38320,2023-10-26T23:01:28.390Z
6.25414,3.1245,3.12964,30803,2023-10-27T23:01:33.250Z
6.11593,2.9153,3.20063,37929,2023-10-28T23:01:25.367Z
6.20285,2.9751,3.22774,35478,2023-10-29T23:01:28.410Z
6.45611,3.13811,3.318,28647,2023-10-30T23:01:18.206Z
6.41011,3.12246,3.28764,29468,2023-10-31T23:01:25.090Z
6.31157,3.06868,3.24289,31947,2023-11-01T23:01:27.811Z
7.19712,3.06938,4.12774,24978,2023-11-02T23:01:45.184Z
9.01714,4.35695,4.66018,17481,2023-11-03T23:01:33.239Z
29.81282,24.99327,4.81955,9983,2023-11-04T23:01:36.489Z
7.20267,2.82074,4.38193,30663,2023-11-05T23:01:37.843Z
6.98395,2.65603,4.32791,35934,2023-11-06T23:01:40.229Z
7.25966,2.91842,4.34124,28146,2023-11-07T23:01:42.541Z
12.02735,7.62665,4.4007,17375,2023-11-08T23:01:40.284Z
7.63659,3.03553,4.60105,24000,2023-11-09T23:01:46.804Z
7.24077,2.86124,4.37953,30144,2023-11-10T23:03:30.796Z
7.34581,2.93703,4.40878,27670,2023-11-11T23:01:40.495Z
7.39518,3.00768,4.3875,25851,2023-11-12T23:01:34.602Z
14.34517,9.97549,4.36968,16892,2023-11-13T23:01:34.083Z
7.13507,3.01916,4.11591,27021,2023-11-14T23:01:43.318Z
7.01085,3.0573,3.95355,27143,2023-11-15T23:01:42.065Z
14.99298,10.66472,4.32826,16628,2023-11-16T23:01:35.710Z
6.40102,2.92776,3.47325,35131,2023-11-17T23:01:38.654Z
6.62205,3.03735,3.58469,30312,2023-11-18T23:01:37.092Z
6.32747,2.8609,3.46657,37691,2023-11-19T23:01:39.785Z
6.40462,2.90644,3.49818,35896,2023-11-20T23:01:31.071Z
6.31239,2.87762,3.43477,37309,2023-11-21T23:01:35.860Z
6.64754,2.82051,3.82702,35815,2023-11-22T23:01:42.543Z
6.63787,2.84201,3.79586,35361,2023-11-23T23:01:41.084Z
6.78256,2.96246,3.8201,31215,2023-11-24T23:01:36.825Z
6.84528,3.01228,3.833,29523,2023-11-25T23:01:35.020Z
6.06586,2.77298,3.29288,43479,2023-11-26T23:01:36.764Z
5.96297,2.7163,3.24667,46076,2023-11-27T23:01:39.449Z
5.92101,2.68999,3.23102,47501,2023-11-28T23:01:39.440Z
5.85908,2.66034,3.19874,49096,2023-11-29T23:01:37.250Z
5.92629,2.78012,3.14617,45061,2023-11-30T23:01:40.555Z
5.77715,2.63289,3.14427,51381,2023-12-01T23:01:42.009Z
5.7787,2.8033,2.9754,47214,2023-12-02T23:01:43.012Z
6.22968,3.17656,3.05311,30901,2023-12-03T23:03:42.822Z
5.60334,3.22202,2.38132,29248,2023-12-04T23:01:40.989Z
5.4869,3.19854,2.28836,31600,2023-12-05T23:01:38.245Z
5.25973,3.04017,2.21956,39277,2023-12-06T23:01:35.574Z
5.21468,2.98398,2.23071,42264,2023-12-07T23:01:37.065Z
5.21132,3.02694,2.18439,41164,2023-12-08T23:12:38.439Z
4.76808,2.62201,2.14608,61296,2023-12-09T23:01:37.473Z
4.71927,2.69988,2.01939,61086,2023-12-10T23:01:37.551Z
4.65239,2.8543,1.79809,58582,2023-12-11T23:01:38.664Z
4.19405,2.5194,1.67465,83228,2023-12-12T23:01:30.589Z
4.06629,2.63813,1.42816,89694,2023-12-13T23:01:37.374Z
4.14298,2.79433,1.34865,83393,2023-12-14T23:01:43.123Z
4.06246,2.73344,1.32902,88790,2023-12-15T23:01:45.783Z
4.18901,2.848,1.34102,79215,2023-12-16T23:01:40.762Z
4.16422,2.83042,1.3338,80721,2023-12-17T11:01:39.596Z
4.29144,2.97959,1.31185,70858,2023-12-18T23:01:41.200Z
4.15067,2.90227,1.2484,80266,2023-12-19T23:01:45.520Z
4.07251,2.91989,1.15261,85373,2023-12-20T23:01:37.215Z
3.96704,3.0147,0.95234,94140,2023-12-21T23:01:25.854Z
4.18234,3.20328,0.97906,73774,2023-12-22T23:01:41.340Z
6.66986,5.75279,0.91707,70922,2023-12-23T23:01:39.972Z
3.43409,2.80703,0.62706,176805,2023-12-24T23:01:32.655Z
1.58275,0.71638,0.86636,80681,2023-12-25T23:01:42.586Z
2.36087,1.47702,0.88386,71549,2023-12-26T23:01:44.625Z
1.44584,0.71546,0.73039,97268,2023-12-27T23:01:47.238Z
1.31182,0.7082,0.60362,122845,2023-12-28T23:01:33.007Z
1.3905,0.68679,0.70371,117512,2023-12-29T23:01:33.508Z
1.10932,0.6562,0.45312,149929,2023-12-30T23:01:33.769Z
1.23292,0.71462,0.5183,96228,2023-12-31T23:01:51.063Z
2.0387,1.51739,0.52131,85834,2024-01-01T23:01:38.586Z
1.03794,0.63527,0.40267,185282,2024-01-02T23:01:38.332Z
6.64719,5.99847,0.64872,40050,2024-01-03T23:03:35.606Z
0.96917,0.60429,0.36488,232109,2024-01-04T23:01:43.607Z
0.86479,0.49393,0.37087,331298,2024-01-05T23:01:40.716Z
0.82047,0.54069,0.27978,377586,2024-01-06T23:01:33.267Z
0.83398,0.52978,0.3042,361623,2024-01-07T23:01:35.848Z
0.70005,0.48142,0.21863,582817,2024-01-08T23:01:42.678Z
0.86753,0.60174,0.26579,321740,2024-01-09T23:01:33.796Z
0.86488,0.5933,0.27159,325170,2024-01-10T22:01:45.938Z
0.91244,0.62837,0.28408,270448,2024-01-11T23:01:31.894Z
0.93137,0.65179,0.27958,248003,2024-01-12T23:01:39.602Z
0.87727,0.62463,0.25265,308878,2024-01-13T23:01:33.900Z
