APY,APY_BASE,APY_REWARD,TVL,DATE
104.47375,0.50906,103.96468,1162,2023-08-11T23:02:20.127Z
104.51112,0.5084,104.00272,1161,2023-08-12T23:02:20.081Z
87.89393,0.35727,87.53665,1436,2023-08-13T23:02:04.703Z
96.69638,0.43693,96.25945,1278,2023-08-14T23:02:14.055Z
95.68837,0.41917,95.26921,1297,2023-08-15T23:02:33.773Z
76.65461,0.26501,76.38961,1692,2023-08-16T23:02:23.192Z
72.36359,0.19728,72.16631,1834,2023-08-17T23:02:21.910Z
77.44074,0.2206,77.22015,1699,2023-08-18T23:02:28.052Z
77.41366,0.22061,77.19305,1700,2023-08-19T23:02:33.771Z
8.56291,0.00275,8.56016,17421,2023-08-20T23:02:30.386Z
8.58468,0.00275,8.58194,17377,2023-08-21T23:02:31.194Z
12.51798,0.00275,12.51523,17128,2023-08-22T23:02:24.366Z
12.19544,0.00275,12.19269,17582,2023-08-23T23:02:24.984Z
12.37375,0.00275,12.37101,17328,2023-08-24T23:02:08.376Z
12.76688,0.00291,12.76397,16787,2023-08-25T23:02:22.260Z
12.97018,0,12.97018,16777,2023-08-26T23:02:30.734Z
12.22101,0,12.22101,17805,2023-08-27T23:02:26.124Z
12.24471,0,12.24471,17771,2023-08-28T23:02:29.966Z
11.51839,0,11.51839,18891,2023-08-29T23:02:25.072Z
11.69414,0,11.69414,18607,2023-08-30T23:02:25.781Z
10.7433,0,10.7433,20250,2023-08-31T23:02:35.931Z
10.85289,0,10.85289,20046,2023-09-01T23:02:19.169Z
10.80893,0,10.80893,20127,2023-09-02T23:02:06.850Z
10.78173,0,10.78173,20177,2023-09-03T23:02:25.955Z
10.85617,0,10.85616,20034,2023-09-04T23:02:48.710Z
10.73136,0.00079,10.73057,20117,2023-09-05T23:02:30.536Z
10.58336,0.00077,10.58259,20400,2023-09-06T23:02:34.625Z
10.32946,0.00076,10.3287,20903,2023-09-07T23:02:30.858Z
10.51035,0.01342,10.49693,20049,2023-09-08T23:02:36.293Z
7.53286,0.00039,7.53247,28726,2023-09-09T23:02:28.280Z
11.94173,0.00098,11.94075,18061,2023-09-10T23:02:39.685Z
5.0791,0.00017,5.07893,42686,2023-09-11T23:02:16.583Z
4.91777,0.00017,4.9176,44086,2023-09-12T23:02:38.835Z
4.8605,0.00025,4.86025,44570,2023-09-13T23:02:31.410Z
4.79061,0.00025,4.79036,45220,2023-09-14T23:02:25.269Z
4.76964,0.00025,4.76939,45419,2023-09-15T23:02:17.555Z
4.80094,0.00053,4.80042,45035,2023-09-16T23:02:30.132Z
4.81943,0.00025,4.81918,44950,2023-09-17T23:04:06.213Z
4.79888,0.00026,4.79862,45140,2023-09-18T23:02:21.817Z
4.46737,0.01543,4.45195,47156,2023-09-19T23:02:27.684Z
4.45854,0.00045,4.45809,48515,2023-09-20T23:02:27.308Z
4.54731,0.00027,4.54704,47632,2023-09-21T23:02:32.810Z
4.48115,0.00026,4.48088,48339,2023-09-22T23:02:29.089Z
4.47517,0.00022,4.47495,48422,2023-09-23T23:02:42.423Z
4.48972,0.00022,4.4895,48265,2023-09-24T23:02:30.667Z
4.52718,0.00022,4.52696,47866,2023-09-25T23:02:17.216Z
4.53748,0.00022,4.53726,47757,2023-09-26T23:02:27.426Z
4.52304,0.01028,4.51276,46833,2023-09-27T23:02:25.840Z
4.39,0.00025,4.38975,49349,2023-09-28T23:02:40.893Z
4.40326,0.00185,4.40142,48836,2023-09-29T23:02:25.920Z
4.39091,0.00167,4.38925,49002,2023-09-30T23:02:32.285Z
4.16742,0.00345,4.16398,51388,2023-10-01T23:02:29.256Z
4.13519,0.00337,4.13182,51798,2023-10-02T23:02:25.858Z
4.16394,0.00677,4.15717,51122,2023-10-03T23:02:27.333Z
4.07374,0.00667,4.06707,52264,2023-10-04T23:02:35.711Z
4.13161,0.02999,4.10162,50447,2023-10-05T23:02:26.466Z
3.95512,0.09698,3.85814,51421,2023-10-06T23:02:13.050Z
3.77673,0.2864,3.49032,52886,2023-10-07T23:02:31.983Z
3.73579,0.26213,3.47366,53551,2023-10-08T23:02:22.407Z
3.583,0.24169,3.34131,56048,2023-10-09T23:02:35.383Z
3.75966,0.26998,3.48969,53171,2023-10-10T23:02:25.576Z
3.67715,0.70126,2.97588,55763,2023-10-11T23:02:34.040Z
3.55557,0.35514,3.20042,56505,2023-10-12T23:04:19.561Z
3.42801,0.25173,3.17628,58765,2023-10-13T23:02:27.952Z
3.40453,0.25956,3.14497,59198,2023-10-14T23:02:29.938Z
3.36575,0.27431,3.09144,59938,2023-10-15T23:02:34.117Z
3.11064,0.24657,2.86407,65282,2023-10-16T23:02:06.033Z
3.01222,0.01003,3.00219,70423,2023-10-17T23:02:37.306Z
3.02655,0.00899,3.01756,70174,2023-10-18T23:02:38.263Z
2.90594,0.00956,2.89637,73047,2023-10-19T23:02:27.715Z
2.76566,0.01362,2.75204,76454,2023-10-20T23:02:24.829Z
2.67688,0.01594,2.66094,78850,2023-10-21T23:02:21.286Z
2.68393,0.01589,2.66804,78645,2023-10-22T23:02:39.860Z
2.92451,0.02503,2.89949,71684,2023-10-23T23:02:30.365Z
2.63421,0.02591,2.6083,79621,2023-10-24T23:04:08.988Z
2.60657,0.03692,2.56966,80068,2023-10-25T23:01:39.135Z
2.73259,0.03511,2.69748,76383,2023-10-26T23:01:28.390Z
2.75656,0.03357,2.72299,75761,2023-10-27T23:01:33.250Z
2.71624,0.04067,2.67556,76679,2023-10-28T23:01:25.367Z
1.40279,0.01127,1.39152,151669,2023-10-29T23:01:28.410Z
1.37452,0.02493,1.34959,154017,2023-10-30T23:01:18.206Z
1.35602,0.01226,1.34377,156850,2023-10-31T23:01:25.090Z
1.32329,0.01239,1.31091,160754,2023-11-01T23:01:27.811Z
1.3765,0.01759,1.35891,154107,2023-11-02T23:01:45.184Z
1.34214,0.01599,1.32615,158201,2023-11-03T23:01:33.239Z
