APY,APY_BASE,APY_REWARD,TVL,DATE
52.03028,0.04106,51.98922,4121,2023-07-19T23:02:32.144Z
18.92151,0.00544,18.91607,11779,2023-07-20T23:02:47.593Z
15.93813,0.06878,15.86935,13316,2023-07-21T23:02:26.007Z
18.16304,0.08923,18.07381,11513,2023-07-22T23:02:24.263Z
11.06319,0.03323,11.02996,19513,2023-07-23T23:02:16.913Z
7.79511,0.01653,7.77858,27521,2023-07-24T23:02:50.038Z
9.87793,0.02651,9.85142,21674,2023-07-25T23:02:15.065Z
34.89659,0.63361,34.26298,5162,2023-07-26T23:02:18.880Z
32.01126,0.53486,31.4764,5699,2023-07-27T23:02:14.553Z
32.0108,0.53486,31.47594,5755,2023-07-28T23:02:10.537Z
30.54372,0.48782,30.05591,6106,2023-07-29T23:01:59.283Z
25.58572,0.9591,24.62662,6678,2023-07-30T23:02:21.367Z
19.64431,0.5752,19.06911,9308,2023-07-31T23:02:26.276Z
0.26853,0.26853,,8572,2023-08-01T23:02:20.927Z
69.30487,0.13463,69.17024,12627,2023-08-02T23:02:22.862Z
69.51076,0.72783,68.78293,10864,2023-08-03T23:02:31.713Z
55.43111,0.50356,54.92756,14263,2023-08-04T23:02:27.160Z
52.40761,0.45289,51.95472,15273,2023-08-05T23:02:29.481Z
90.56538,0.42667,90.13871,15784,2023-08-06T23:02:27.808Z
86.09536,0.41633,85.67903,16644,2023-08-07T23:02:34.074Z
91.25868,0.49221,90.76646,15460,2023-08-08T23:02:13.336Z
70.76184,1.3814,69.38044,17070,2023-08-09T23:02:25.019Z
66.35395,1.28097,65.07298,18507,2023-08-10T23:02:23.998Z
30.93246,2.06771,28.86474,36812,2023-08-11T23:02:20.127Z
30.62476,2.05542,28.56934,37270,2023-08-12T23:02:20.081Z
33.55441,1.68969,31.86472,35326,2023-08-13T23:02:04.703Z
33.52244,1.11726,32.40518,51411,2023-08-14T23:02:14.055Z
34.53103,1.08647,33.44456,50034,2023-08-15T23:02:33.773Z
34.67596,1.0966,33.57936,49706,2023-08-16T23:02:23.192Z
91.88089,0.4818,91.39909,20497,2023-08-17T23:02:21.910Z
91.94646,0.49835,91.44811,20406,2023-08-18T23:02:28.052Z
66.7403,1.75238,64.98792,22872,2023-08-19T23:02:33.771Z
47.46809,0.97399,46.4941,36460,2023-08-20T23:02:30.386Z
46.95141,0.80889,46.14251,37876,2023-08-21T23:02:31.194Z
28.93664,0.9182,28.01844,40829,2023-08-22T23:02:24.366Z
21.57496,0.5485,21.02646,58913,2023-08-23T23:02:24.984Z
20.90758,0.69062,20.21697,59328,2023-08-24T23:02:08.376Z
20.52489,0.70587,19.81902,60326,2023-08-25T23:02:22.260Z
17.58467,0.5872,16.99748,72101,2023-08-26T23:02:30.734Z
16.11374,0.49566,15.61808,80173,2023-08-27T23:02:26.124Z
15.29224,0.55171,14.74053,83822,2023-08-28T23:02:29.966Z
14.93245,0.59325,14.3392,85906,2023-08-29T23:02:25.072Z
14.17063,0.50667,13.66396,91717,2023-08-30T23:02:25.781Z
14.6639,0.5171,14.1468,88027,2023-08-31T23:02:35.931Z
11.8852,0.30818,11.57702,113206,2023-09-01T23:02:19.169Z
