Timestamp,Date,Circle CCTP,deBridge,Wormhole,Across,Squid (Powered by Axelar),Stargate,Orbiter Finance,Hyperlane,Eywa,Synapse,Celer cBridge,Allbridge Core,Base Bridge,rhino.fi,Symbiosis,Owlto,Layerswap,Meson,Hop,Nitro (by Router Protocol),RetroBridge,yBridge by xSync Network,Satellite (Powered by Axelar),UniversalX,zkBridge,MeMeBridge,XSwap,MiniBridge,Connext,CometBridge,Helixbox,Bunnyfi,Interport Finance,MES Protocol,Total
1692748800,2023-08-23,,,,8.6644235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6644235
1692835200,2023-08-24,,,,1.64668,,,,,,,,,,,24019.133834024815,,,,,,,,,,,,,,,,,,,,24020.780514024817
1692921600,2023-08-25,,,,23.961336,,,,,,,,,,,10887.766299379826,,,,,,,,,,,,,,,,,,,,10911.727635379826
1693180800,2023-08-28,,,,3.3254599995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3254599995
1693526400,2023-09-01,,,,,1010141.1414807313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010141.1414807313
1693612800,2023-09-02,,,,,559218.3804889263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559218.3804889263
1693699200,2023-09-03,,,,,278505.283496812,,,,,33945.29823366383,,,,,57895.29549575731,,,,,,,,,,,,,,,,,,,,370345.87722623313
1693785600,2023-09-04,,,,,252642.8773587438,,,,,37321.083410151216,,,,,62679.61711220828,,,,,,,,,,,,,,,,,,,,352643.57788110327
1693872000,2023-09-05,,,,323862.0040915663,453785.9840865916,,,,,10181.781321731407,,,,,44824.10603739234,,,,,,,,,,,,,,,,,,,,832653.8755372816
1693958400,2023-09-06,,,,2263306.422316786,423508.3334776089,,,,,16405.333214377406,,,,,135170.50247855837,,,,,,,,,,,,,,,,,,,,2838390.591487331
1694044800,2023-09-07,,,,2937758.5166384582,1755330.5227692728,,,,,80737.85527142553,,,,,17584.1835287659,,,,,,,,,,,,,,,,,,,,4791411.078207922
1694131200,2023-09-08,,,,1311587.4050042054,374870.7829224548,,,,,19715.792827804573,,,,,41.0765,,,,,,,,17058.83699599671,,,,,,,,,,,,1723273.8942504616
1694217600,2023-09-09,,,,808053.8577105104,123048.89965177167,,,,,375.3443759094722,,,,,,,,,,,,,1081.6932305861208,,,,,,,,,,,,932559.7949687776
1694304000,2023-09-10,,,,1017321.5353306298,256134.9264767324,,,,,8739.5,,,,,,,,,,,,,,,,,,,,,,,,,1282195.9618073623
1694390400,2023-09-11,,,,1026366.9947986486,523715.79253875214,,,,,32027.548224,,,,,22142.776317086373,,,,,,,,,,,,,,,,,,,,1604253.111878487
1694476800,2023-09-12,,,,2326864.341632588,375483.749930784,,,,,21509.112570821195,,,,,,,,,,,,,,,,,,,,,,,,,2723857.2041341932
1694563200,2023-09-13,,,,1681063.888100896,207519.7873771157,,,,,4195.959282167207,,,,,,,,,,,,,,,,,,,,,,,,,1892779.634760179
1694649600,2023-09-14,,,,1018592.9831515632,597093.6323058718,,,,,44253.11791150835,,,,,,,,,,,,,,,,,,,,,,,,,1659939.7333689434
1694736000,2023-09-15,,,,1354666.0951167024,184086.19757757665,,,,,6720.152437474671,,,,,,,,,,,,,,,,,,,,,,,,,1545472.4451317536
1694822400,2023-09-16,,,,650453.4569167111,60162.81479830877,,,,,2590.4331651593498,,,,,,,,,,,,,,,,,,,,,,,,,713206.7048801791
1694908800,2023-09-17,,,,799250.5124657308,144863.51334885354,,,,,1036.0729721482949,,,,,,,,,,,,,,,,,,,,,,,,,945150.0987867326
1694995200,2023-09-18,,,,1872763.5133084976,138284.63216600375,,,,,1713.9751595148423,,,,117432.20314608762,,,,,,,,,,,,,,,,,,,,,2130194.323780104
