Timestamp,Date,Across,Meson,Orbiter Finance,Symbiosis,Celer cBridge,rhino.fi,Layerswap,RetroBridge,Owlto,Nitro (by Router Protocol),ZKsync Era Bridge,yBridge by xSync Network,MeMeBridge,CometBridge,MiniBridge,Bunnyfi,Interport Finance,MES Protocol,Total
1686268800,2023-06-09,,,,,,,,,,,5987357.547717974,,,,,,,,5987357.547717974
1686355200,2023-06-10,,,,,,,,,,,9598956.604726922,,,,,,,,9598956.604726922
1686441600,2023-06-11,,,,,,,,,,,10270909.986234453,,,,,,,,10270909.986234453
1686528000,2023-06-12,,,,,,,,,,,16034935.654332539,,,,,,,,16034935.654332539
1686614400,2023-06-13,,,,,,,,,,,12290760.099750511,,,,,,,,12290760.099750511
1686700800,2023-06-14,,,,,,,,,,,15782993.018017586,,,,,,,,15782993.018017586
1686787200,2023-06-15,,,,,,,,,,,11494908.235797413,,,,,,,,11494908.235797413
1686873600,2023-06-16,,,,,,,,,,,12088775.670837088,,,,,,,,12088775.670837088
1686960000,2023-06-17,,,,,,,,,,,16487311.730043706,,,,,,,,16487311.730043706
1687046400,2023-06-18,,,,,,,,,,,12033553.515647708,,,,,,,,12033553.515647708
1687132800,2023-06-19,,,,,,,,,,,12943335.410107577,,,,,,,,12943335.410107577
1687219200,2023-06-20,,,,,,,,,,,12212115.052045062,,,,,,,,12212115.052045062
1687305600,2023-06-21,,,,,,,,,,,13474023.61510693,,,,,,,,13474023.61510693
1687392000,2023-06-22,,,,,,,,,,,12979089.76628108,,,,,,,,12979089.76628108
1687478400,2023-06-23,,,,,,,,,,,2557382.4315949557,,,,,,,,2557382.4315949557
1687564800,2023-06-24,,,,,,,,,,,299663.21986038913,,,,,,,,299663.21986038913
1687651200,2023-06-25,,,,,,,,,,,3028353.090811799,,,,,,,,3028353.090811799
1687737600,2023-06-26,,,,,,,,,,,6273465.590230334,,,,,,,,6273465.590230334
1687824000,2023-06-27,,,,,,,,,,,13989168.79502336,,,,,,,,13989168.79502336
1687910400,2023-06-28,,,,,,,,,,,15768010.510374455,,,,,,,,15768010.510374455
1687996800,2023-06-29,,,,,,,,,,,13367623.002009092,,,,,,,,13367623.002009092
1688083200,2023-06-30,,,,,,,,,,,12963011.508108823,,,,,,,,12963011.508108823
1688169600,2023-07-01,,,,,,,,,,,12878690.636497535,,,,,,,,12878690.636497535
1688256000,2023-07-02,,,,,,,,,,,13917809.695137281,,,,,,,,13917809.695137281
1688342400,2023-07-03,,,,,,,,,,,13561034.612591173,,,,,,,,13561034.612591173
1688428800,2023-07-04,,,,,,,,,,,14862714.733211579,,,,,,,,14862714.733211579
1688515200,2023-07-05,,,,,,,,,,,7766558.152277143,,,,,,,,7766558.152277143
1688601600,2023-07-06,,,,,,,,,,,13967010.119904555,,,,,,,,13967010.119904555
1688688000,2023-07-07,,,,,,,,,,,17394542.613811854,,,,,,,,17394542.613811854
1688774400,2023-07-08,,,,,,,,,,,12687173.117608681,,,,,,,,12687173.117608681
1688860800,2023-07-09,,,,,,,,,,,26392706.632550426,,,,,,,,26392706.632550426
1688947200,2023-07-10,,,,,,,,,,,30225578.300150324,,,,,,,,30225578.300150324
1689033600,2023-07-11,,,,,,,,,,,30840062.809292927,,,,,,,,30840062.809292927
1689120000,2023-07-12,,,,,,,,,,,33300614.877094325,,,,,,,,33300614.877094325
1689206400,2023-07-13,,,,,,,,,,,29104857.27022337,,,,,,,,29104857.27022337
1689292800,2023-07-14,,,,,,,,,,,30590512.041368566,,,,,,,,30590512.041368566
1689379200,2023-07-15,,,,,,,,,,,34998963.116831176,,,,,,,,34998963.116831176
1689465600,2023-07-16,,,,,,,,,,,20420920.086208813,,,,,,,,20420920.086208813
1689552000,2023-07-17,,,,,,,,,,,28914142.239686612,,,,,,,,28914142.239686612
1689638400,2023-07-18,,,,,,,,,,,38551453.62607448,,,,,,,,38551453.62607448
1689724800,2023-07-19,,,,,,,,,,,11657869.645466987,,,,,,,,11657869.645466987
1689811200,2023-07-20,,,,,,,,,,,30551928.20183588,,,,,,,,30551928.20183588
1689897600,2023-07-21,,,,,,,,,,,32705076.39044199,,,,,,,,32705076.39044199
1689984000,2023-07-22,,,,,,,,,,,28986248.662362248,,,,,,,,28986248.662362248
1690070400,2023-07-23,,,,,,,,,,,28973762.168730058,,,,,,,,28973762.168730058
1690156800,2023-07-24,,,,,,,,,,,23039741.704500347,,,,,,,,23039741.704500347
1690243200,2023-07-25,,,,,,,,,,,21413020.38999942,,,,,,,,21413020.38999942
1690329600,2023-07-26,,,,,,,,,,,11452396.993103255,,,,,,,,11452396.993103255
1690416000,2023-07-27,,,,,,,,,,,10155431.576866716,,,,,,,,10155431.576866716
1690502400,2023-07-28,,,,,,,,,,,9939132.086105913,,,,,,,,9939132.086105913
1690588800,2023-07-29,,,,,,,,,,,18655137.48146943,,,,,,,,18655137.48146943
1690675200,2023-07-30,,,,,,,,,,,28187964.014677055,,,,,,,,28187964.014677055
1690761600,2023-07-31,,,,,,,,,,,11540416.046168704,,,,,,,,11540416.046168704
1690848000,2023-08-01,,,,,,,,,,,9247471.718190953,,,,,,,,9247471.718190953
1690934400,2023-08-02,,,,,,,,,,,25639880.461116713,,,,,,,,25639880.461116713
1691020800,2023-08-03,,,,,,,,,,,11707121.881314283,,,,,,,,11707121.881314283
1691107200,2023-08-04,,,,,,,,,,,19020670.123798866,,,,,,,,19020670.123798866
1691193600,2023-08-05,,,,,,,,,,,13622493.830607444,,,,,,,,13622493.830607444
1691280000,2023-08-06,,,,,,,,,,,11445768.241773942,,,,,,,,11445768.241773942
1691366400,2023-08-07,,,,,,,,,,,25733252.502993386,,,,,,,,25733252.502993386
1691452800,2023-08-08,,,,,,,,,,,25573058.41994048,,,,,,,,25573058.41994048
1691539200,2023-08-09,,,,,,,,,,,12736546.736922238,,,,,,,,12736546.736922238
1691625600,2023-08-10,,,,,,,,,,,30316722.316478282,,,,,,,,30316722.316478282
1691712000,2023-08-11,,,,,,,,,,,11067144.987237714,,,,,,,,11067144.987237714
1691798400,2023-08-12,,,,335738.11981248984,,,,,,,11120349.282829143,,,,,,,,11456087.402641634
1691884800,2023-08-13,,,,599434.469494543,,,,,,,9269512.931314329,,,,,,,,9868947.40080887
1691971200,2023-08-14,,,,452467.2211002901,,,,,,,12558192.606033703,,,,,,,,13010659.827133993
1692057600,2023-08-15,,,,459688.3229047639,,,,,,,11555619.139475029,,,,,,,,12015307.462379793
1692144000,2023-08-16,7372.4554469161485,,,324779.8431039507,,,,,,,8382353.28076205,,,,,,,,8714505.579312917
1692230400,2023-08-17,13496.954866439068,,,367962.1238682574,,,,,,,8385596.533028186,,,,,,,,8767055.611762883
1692316800,2023-08-18,,,,475513.984999817,,,,,,,48017357.77637839,,,,,,,,48492871.761378214
1692403200,2023-08-19,,,,312589.98833136464,,,,,,,10105839.255067263,,,,,,,,10418429.243398627
1692489600,2023-08-20,673291.0931080941,,,469106.9106388106,,,,,,,15825128.354653306,,,,,,,,16967526.35840021
1692576000,2023-08-21,840813.1768948291,,,197568.06608491315,,,,,,,38953507.94573136,,,,,,,,39991889.1887111
1692662400,2023-08-22,742076.4209395798,,,301894.4640287023,,,,,,,9115725.891301649,,,,,,,,10159696.776269931
1692748800,2023-08-23,604389.2793152169,,,657881.7383221013,,,,,,,9973343.955899835,,,,,,,,11235614.973537153
1692835200,2023-08-24,1392668.4059350681,,,553164.15618045,,,,,,,12252072.651137669,,,,,,,,14197905.213253187
1692921600,2023-08-25,1173015.626442038,,,410169.21244407207,,,,,,,13962559.106661975,,,,,,,,15545743.945548085
1693008000,2023-08-26,2457110.3522666325,,,668283.3762976001,,,,,,,12526745.485925585,,,,,,,,15652139.214489818
1693094400,2023-08-27,3422079.2449991833,,,599799.5299759745,,,,,,,14165500.385258462,,,,,,,,18187379.16023362
1693180800,2023-08-28,2425667.076340487,,,391372.2044838511,,,,,,,12315441.65131519,,,,,,,,15132480.932139527
1693267200,2023-08-29,1782035.8838950458,,,542351.5512157583,,,,,,,27077742.0424052,,,,,,,,29402129.477516003
1693353600,2023-08-30,1360411.6777354823,,,438745.3027866159,,,,,,,15840638.260357648,,,,,,,,17639795.240879748
1693440000,2023-08-31,1548804.1646100045,,,581223.1493452433,,,,,,,24605523.379442558,,,,,,,,26735550.693397805
1693526400,2023-09-01,47714.319879115814,,,556855.5562366266,,,,,,,12204147.150693119,,,,,,,,12808717.026808862
1693612800,2023-09-02,,,,747799.320312095,,,,,,,13004620.984950388,,,,,,,,13752420.305262484
1693699200,2023-09-03,27.6988439225,,,553980.3907202546,,,,,,,13206443.775051564,,,,,,,,13760451.86461574
1693785600,2023-09-04,,,,492534.0341218469,,,,,,,28625430.32047256,,,,,,,,29117964.35459441
1693872000,2023-09-05,11.490303105,,,613555.1679528005,,,,,,,13676384.000491183,,,,,,,,14289950.658747088
1693958400,2023-09-06,,,,386779.797824426,,,,,,,28048516.720367685,,,,,,,,28435296.518192112
1694044800,2023-09-07,15996.204712591043,,,420652.681065999,,,,,,,13661367.561146766,,,,,,,,14098016.446925355
1694131200,2023-09-08,1165595.9256712585,,,541388.4900423154,,,,,,,15159993.691783747,,,,,,,,16866978.10749732
1694217600,2023-09-09,2436684.9814610723,,,591180.9220291285,,,,,,,29811677.94662741,,,,,,,,32839543.85011761
1694304000,2023-09-10,3606991.871597035,,,676602.5958204864,,,,,,,21927943.06922567,,,,,,,,26211537.536643192
1694390400,2023-09-11,2511659.3728941977,,,448005.10002081003,,,,,,,16023402.871126316,,,,,,,,18983067.344041325
1694476800,2023-09-12,1879987.311523508,,,439433.5314926599,,,,,,,26703445.55641233,,,,,,,,29022866.3994285
1694563200,2023-09-13,1347417.7913039322,,,220241.41694425506,,,,,,,12299861.973839972,,,,,,,,13867521.182088159
1694649600,2023-09-14,2756988.6726007,,,297931.75389809406,,,,,,,17831366.85365276,,,,,,,,20886287.280151553
1694736000,2023-09-15,2942512.445777734,,,699977.381043347,,,,,,,29499831.98259737,,,,,,,,33142321.80941845
1694822400,2023-09-16,4280343.817736959,,,794828.0475185502,,,,,,,19189889.086399835,,,,,,,,24265060.951655343
1694908800,2023-09-17,3173103.344755238,,,438208.5935970275,,,,,,,31144149.528916664,,,,,,,,34755461.46726893
1694995200,2023-09-18,3013514.6468863483,,,675541.4209078308,,97432.9995416812,,,,,18028331.57296193,,,,,,,,21814820.64029779
1695081600,2023-09-19,3349152.006839498,,,574573.6221263534,,372150.4403389252,,,,,21698762.71333599,,,,,,,,25994638.782640766
1695168000,2023-09-20,3548635.578906501,,,423596.8713380723,,360573.0976805986,,,,,30192473.559457295,,,,,,,,34525279.10738247
1695254400,2023-09-21,2933220.813543373,,,492775.467901977,,265346.317492752,,,,,21249534.869596347,,,,,,,,24940877.468534447
1695340800,2023-09-22,3144420.8107366706,,,424674.5624965894,,412809.89379170915,,,,,30089410.261150997,,,,,,,,34071315.528175965
1695427200,2023-09-23,2667104.52464843,,,518403.8051632892,,417577.89490207855,,,,,15506281.146500142,,,,,,,,19109367.37121394
1695513600,2023-09-24,3133004.590603833,,,341466.9268857114,,142982.03436200626,,,,,19638133.983886283,,,,,,,,23255587.535737835
1695600000,2023-09-25,3664008.99008532,,,342777.13754730776,,137728.56435496447,,,,,29012585.785554104,,,,,,,,33157100.477541696
1695686400,2023-09-26,3265457.7693823795,,,265988.29173330555,,104727.8576292166,,,,,27093060.145098884,,,,,,,,30729234.063843787
1695772800,2023-09-27,3724123.9992356915,2.785545,,332319.8751954122,,163284.98008781645,,,,,20142168.574008126,,,,,,,,24361900.214072045
1695859200,2023-09-28,3474054.766396527,,,290324.78528588417,,253069.52616905488,,,,,33243957.465207554,,,,,,,,37261406.54305902
1695945600,2023-09-29,2655763.0876202495,,,363547.6166992331,,289917.6556707237,,,,,19531167.674608864,,,,,,,,22840396.03459907
1696032000,2023-09-30,4085489.306337686,,,169300.67048137507,,282498.90095571673,,,,,17553837.444687296,,,,,,,,22091126.322462074
1696118400,2023-10-01,2651461.312615006,,,272904.62314962095,,153901.13649286455,,,,,17326625.37427783,,,,,,,,20404892.446535323
1696204800,2023-10-02,2638625.2938306425,,,340262.60045678355,,150016.2011844749,,,,,13554614.394685827,,,,,,,,16683518.490157727
1696291200,2023-10-03,2602539.9784889272,,,303331.4970661071,,132404.51058360533,,,,,15147153.583942883,,,,,,,,18185429.57008152
1696377600,2023-10-04,2471562.2917727963,,,394832.11455355946,,181513.679193555,,,,,14412580.73587406,,,,,,,,17460488.82139397
1696464000,2023-10-05,2525188.4334950373,,,403221.5557915993,,230454.75134172323,,,,,14827372.26838475,,,,,,,,17986237.00901311
1696550400,2023-10-06,2900538.473940002,,,376935.95784073183,,199167.99220772926,,,,,27004616.317424662,,,,,,,,30481258.741413124
1696636800,2023-10-07,3430594.5411004648,,,313075.26116059755,,217097.51497026632,,,,,29585284.994998693,,,,,,,,33546052.31223002
1696723200,2023-10-08,3982332.6144357673,,,256201.12188721396,,211847.3890430069,,,,,29330810.835319918,,,,,,,,33781191.96068591
1696809600,2023-10-09,4020038.2583683236,,,363673.12594448356,,153863.7129838169,,,,,32076903.678170726,,,,,,,,36614478.77546735
1696896000,2023-10-10,3354016.1331569506,,,643642.9470155891,,126858.75783265287,,,,,17122254.39983677,,,,,,,,21246772.237841964
1696982400,2023-10-11,3305880.0184443705,,,496940.95982279023,,185890.67002337234,,,,,15462763.87121119,,,,,,,,19451475.519501723
1697068800,2023-10-12,3252786.709294925,,,321788.4694835072,,139596.0078436781,,,,,26288955.982666552,,,,,,,,30003127.16928866
1697155200,2023-10-13,2979473.863452103,,,367474.01427668385,,165250.49257781464,,,,,14519982.658641264,,,,,,,,18032181.028947864
1697241600,2023-10-14,3829214.1871702466,,,328273.55894830124,,204010.3910276634,,,,,15479257.681750422,,,,,,,,19840755.818896633
1697328000,2023-10-15,3568678.644731259,,,173529.08639740665,,159213.00183004723,,,,,15451801.67548291,,,,,,,,19353222.40844162
1697414400,2023-10-16,3126425.353921212,,,213749.12502321313,,225288.07367115072,,,,,15148734.435727917,,,,,,,,18714196.988343492
1697500800,2023-10-17,3744375.5579338204,,,139027.75933283832,,264670.10096419556,,,,,15603418.705599997,,,,,,,,19751492.12383085
1697587200,2023-10-18,3107203.486867134,,,150257.47720087846,,372389.12802902266,,,,,15578487.416169252,,,,,,,,19208337.50826629
1697673600,2023-10-19,2693524.712397767,,,84543.56212853848,,315089.39685319265,,,,,13279497.42712684,,,,,,,,16372655.098506339
1697760000,2023-10-20,2140716.540217001,,,90413.19867584779,,480621.17840795114,,,,,26136946.011064112,,,,,,,,28848696.92836491
