"protocolName","date","network","value","eventType"
"Bungee","2024-01-16","Ethereum","3300000","bridgeHack"
"Radiant Capital","2024-01-02","Arbitrum","4500000","bridgeHack"
"Orbit Bridge","2023-12-31","Ethereum","81700000","bridgeHack"
"Multichain","2023-07-07","BSC, Moonriver, Fantom","126000000","bridgeHack"
"Binance Bridge","2022-10-06","BSC","570000000","bridgeHack"
"Harmony Bridge","2022-06-23","Ethereum, BSC","100000000","bridgeHack"
"Rubic","2022-12-25","Ethereum","1410000","bridgeHack"
"ChainSwap","2022-11-07","Ethereum, BSC","4400000","bridgeHack"
"Ronin Bridge","2022-03-23","NA","625000000","bridgeHack"
"Wormhole","2022-02-02","Solana","326000000","bridgeHack"
"Radiant Capital","2024-10-16","Arbitrum, BSC","53000000","lendingHack"
"UwU Lend","2024-06-13","Ethereum","3700000","lendingHack"
"UwU Lend","2024-06-10","Ethereum","20000000","lendingHack"
"Sonne Finance","2024-05-15","Optimism","20000000","lendingHack"
"Pike Finance","2024-04-30","Ethereum, Optimism, Arbitrum","1600000","lendingHack"
"Abracadabra","2024-01-30","Ethereum","6500000","lendingHack"
"Lendhub","2023-01-16","Heco","6000000","lendingHack"
"Compound","2021-09-29","Ethereum","147000000","lendingHack"
"DAO Maker","2021-09-04","Ethereum","4000000","lendingHack"
"Yearn","2021-02-05","Ethereum","11000000","lendingHack"
"Compounder Finance","2020-12-02","Ethereum","12000000","lendingHack"
"Arbitrum One","2023-03-23","NA","NA","tokenization"
"Polygon","2024-09-04","NA","NA","tokenization"
"Starknet","2024-02-20","NA","NA","tokenization"
"zkSync","2024-06-17","NA","NA","tokenization"
"Optimism","2022-05-31","NA","NA","tokenization"
"LayerZero","2024-06-20","NA","NA","tokenization"
"Wormhole","2024-04-03","NA","NA","tokenization"
"Luna","2022-05-07","NA","60000000000","marketCollapse"
"FTX","2022-11-06","NA","8000000000","marketCollapse"
"Curve Finance","2023-07-30","NA","61700000","marketCollapse"
"LayerZero","2023-07-20","Base","NA","bridge_integrations"
"LayerZero","2023-06-14","Scroll ZKP","NA","bridge_integrations"
"LayerZero","2023-04-27","zkSync Era Mainnet","NA","bridge_integrations"
"LayerZero","2023-04-26","Polygon zkEVM","NA","bridge_integrations"
"LayerZero","2023-03-11","Gnosis Chain","NA","bridge_integrations"
"LayerZero","2023-03-10","Base","NA","bridge_integrations"
"LayerZero","2022-11-30","Chainlink Oracles","NA","bridge_integrations"
"LayerZero","2022-10-19","Aptos","NA","bridge_integrations"
"LayerZero","2023-03-30","Ethereum","NA","bridge_integrations"
"LayerZero","2023-10-25","Avalanche, BSC","NA","bridge_integrations"
"LayerZero","2023-06-07","Arbitrum Nova, Arbitrum, Optimism, Polygon zkEVM, Polygon, Optimism, PolyhedraZK (initial announcement)","NA","bridge_integrations"
"Wormhole","2021-02-02","Ethereum","NA","bridge_integrations"
"Wormhole","2021-08-09","Solana","NA","bridge_integrations"
"Wormhole","2021-10-22","Binance Smart Chain (BSC)","NA","bridge_integrations"
"Wormhole","2021-11-08","Polygon","NA","bridge_integrations"
"Wormhole","2021-11-15","Avalanche","NA","bridge_integrations"
"Wormhole","2022-04-14","Celo","NA","bridge_integrations"
"Wormhole","2022-10-18","Aptos","NA","bridge_integrations"
"Wormhole","2022-11-22","Arbitrum","NA","bridge_integrations"
"Wormhole","2022-12-19","Optimism","NA","bridge_integrations"
"Hop Protocol","2021-07-12","Optimism","NA","bridge_integrations"
"Optimism","2021-08-02","Optimism","NA","mainnet"
"Arbitrum","2021-08-31","Arbitrum","NA","mainnet"
"Gnosis","2024-12-17","Gnosis","NA","mainnet"
"xDai","2020-03-30","xDai","NA","mainnet"
"zkSyncEra","2024-03-24","zkSyncEra","NA","mainnet"
"Base","2023-08-09","Base","NA","mainnet"
"Polygon","2021-02-18","Polygon","NA","mainnet"
"Avalanche","2020-09-23","Avalanche","NA","mainnet"
"BSC","2020-09-01","BSC","NA","mainnet"

