"Date(UTC)","UnixTimeStamp","Value (Wei)"
"6/15/2023","1686787200","34833333367"
"6/16/2023","1686873600","1410000044"
"6/17/2023","1686960000","800000025"
"6/18/2023","1687046400","0"
"6/19/2023","1687132800","1033333367"
"6/20/2023","1687219200","1084000038"
"6/21/2023","1687305600","1410000044"
"6/22/2023","1687392000","1410000045"
"6/23/2023","1687478400","1410000044"
"6/24/2023","1687564800","0"
"6/25/2023","1687651200","0"
"6/26/2023","1687737600","0"
"6/27/2023","1687824000","1500000044"
"6/28/2023","1687910400","323076969"
"6/29/2023","1687996800","1060000030"
"6/30/2023","1688083200","1833333383"
"7/1/2023","1688169600","0"
"7/2/2023","1688256000","0"
"7/3/2023","1688342400","0"
"7/4/2023","1688428800","700000050"
"7/5/2023","1688515200","6700000050"
"7/6/2023","1688601600","423076973"
"7/7/2023","1688688000","100000044"
"7/8/2023","1688774400","0"
"7/9/2023","1688860800","0"
"7/10/2023","1688947200","5994736870"
"7/11/2023","1689033600","2407317118"
"7/12/2023","1689120000","1319076946"
"7/13/2023","1689206400","906500240"
"7/14/2023","1689292800","1324631134"
"7/15/2023","1689379200","1196561150"
"7/16/2023","1689465600","1327545472"
"7/17/2023","1689552000","988142867"
"7/18/2023","1689638400","763057075"
"7/19/2023","1689724800","709204506"
"7/20/2023","1689811200","658673710"
"7/21/2023","1689897600","555323175"
"7/22/2023","1689984000","687742365"
"7/23/2023","1690070400","690371213"
"7/24/2023","1690156800","483041679"
"7/25/2023","1690243200","453588126"
"7/26/2023","1690329600","2582623057"
"7/27/2023","1690416000","1826921316"
"7/28/2023","1690502400","1438714527"
"7/29/2023","1690588800","1388808617"
"7/30/2023","1690675200","1550139910"
"7/31/2023","1690761600","1396799145"
"8/1/2023","1690848000","1192177546"
"8/2/2023","1690934400","1246498225"
"8/3/2023","1691020800","996443146"
"8/4/2023","1691107200","935210716"
"8/5/2023","1691193600","966841125"
"8/6/2023","1691280000","913608904"
"8/7/2023","1691366400","1047426278"
"8/8/2023","1691452800","984994452"
"8/9/2023","1691539200","1179627858"
"8/10/2023","1691625600","1192973233"
"8/11/2023","1691712000","1393525219"
"8/12/2023","1691798400","921412763"
"8/13/2023","1691884800","827672716"
"8/14/2023","1691971200","768498676"
"8/15/2023","1692057600","597675480"
"8/16/2023","1692144000","547401755"
"8/17/2023","1692230400","477172670"
"8/18/2023","1692316800","415398005"
"8/19/2023","1692403200","813040709"
"8/20/2023","1692489600","981581182"
"8/21/2023","1692576000","1110322132"
"8/22/2023","1692662400","935022701"
"8/23/2023","1692748800","626873092"
"8/24/2023","1692835200","594213151"
"8/25/2023","1692921600","793912861"
"8/26/2023","1693008000","982220538"
"8/27/2023","1693094400","699821357"
"8/28/2023","1693180800","639783828"
"8/29/2023","1693267200","570987304"
"8/30/2023","1693353600","458228431"
"8/31/2023","1693440000","531402562"
"9/1/2023","1693526400","474011636"
"9/2/2023","1693612800","368366855"
"9/3/2023","1693699200","354317127"
"9/4/2023","1693785600","337873454"
"9/5/2023","1693872000","376512723"
"9/6/2023","1693958400","320859442"
"9/7/2023","1694044800","394153626"
"9/8/2023","1694131200","412244613"
"9/9/2023","1694217600","344262204"
"9/10/2023","1694304000","283740379"
"9/11/2023","1694390400","365079004"
"9/12/2023","1694476800","297110091"
"9/13/2023","1694563200","317783109"
"9/14/2023","1694649600","412675630"
"9/15/2023","1694736000","413602651"
"9/16/2023","1694822400","317043264"
"9/17/2023","1694908800","195745014"
"9/18/2023","1694995200","593425899"
"9/19/2023","1695081600","217443245"
"9/20/2023","1695168000","345425837"
"9/21/2023","1695254400","250201762"
"9/22/2023","1695340800","240572029"
"9/23/2023","1695427200","271328156"
"9/24/2023","1695513600","282447547"
"9/25/2023","1695600000","230531648"
"9/26/2023","1695686400","294490933"
"9/27/2023","1695772800","243391126"
