"Date(UTC)","UnixTimeStamp","Value (Wei)"
"4/24/2020","1587686400","1312580231"
"4/25/2020","1587772800","500000000"
"4/26/2020","1587859200","509146341"
"4/27/2020","1587945600","544827586"
"4/28/2020","1588032000","509316770"
"4/29/2020","1588118400","500000000"
"4/30/2020","1588204800","528089888"
"5/1/2020","1588291200","7054832278"
"5/2/2020","1588377600","600543478"
"5/3/2020","1588464000","500000000"
"5/4/2020","1588550400","500000000"
"5/5/2020","1588636800","650000000"
"5/6/2020","1588723200","545774648"
"5/7/2020","1588809600","551724138"
"5/8/2020","1588896000","548387097"
"5/9/2020","1588982400","500000000"
"5/10/2020","1589068800","500000000"
"5/11/2020","1589155200","500000000"
"5/12/2020","1589241600","544117647"
"5/13/2020","1589328000","500000000"
"5/14/2020","1589414400","500000000"
"5/15/2020","1589500800","531007752"
"5/16/2020","1589587200","7058587480"
"5/17/2020","1589673600","513358779"
"5/18/2020","1589760000","568249258"
"5/19/2020","1589846400","573795181"
"5/20/2020","1589932800","616591928"
"5/21/2020","1590019200","5221955128"
"5/22/2020","1590105600","1266839378"
"5/23/2020","1590192000","1337962963"
"5/24/2020","1590278400","2267175573"
"5/25/2020","1590364800","1496296296"
"5/26/2020","1590451200","660287081"
"5/27/2020","1590537600","557692308"
"5/28/2020","1590624000","5060036496"
"5/29/2020","1590710400","698113208"
"5/30/2020","1590796800","1115384615"
"5/31/2020","1590883200","1066037736"
"6/1/2020","1590969600","784810127"
"6/2/2020","1591056000","1166666667"
"6/3/2020","1591142400","943661972"
"6/4/2020","1591228800","1371428571"
"6/5/2020","1591315200","1185567010"
"6/6/2020","1591401600","1006666667"
"6/7/2020","1591488000","13754901961"
"6/8/2020","1591574400","985652174"
"6/9/2020","1591660800","853991597"
"6/10/2020","1591747200","503571429"
"6/11/2020","1591833600","1819767442"
"6/12/2020","1591920000","1105263158"
"6/13/2020","1592006400","7512800000"
"6/14/2020","1592092800","501698370"
"6/15/2020","1592179200","497055058"
"6/16/2020","1592265600","493353123"
"6/17/2020","1592352000","498743386"
"6/18/2020","1592438400","563817980"
"6/19/2020","1592524800","1085235961"
"6/20/2020","1592611200","685059401"
"6/21/2020","1592697600","491748551"
"6/22/2020","1592784000","502636248"
"6/23/2020","1592870400","508355651"
"6/24/2020","1592956800","900596026"
"6/25/2020","1593043200","645688529"
"6/26/2020","1593129600","937095522"
"6/27/2020","1593216000","509078947"
"6/28/2020","1593302400","915745124"
"6/29/2020","1593388800","765459647"
"6/30/2020","1593475200","758127207"
"7/1/2020","1593561600","746932060"
"7/2/2020","1593648000","584820423"
"7/3/2020","1593734400","614890084"
"7/4/2020","1593820800","460475754"
"7/5/2020","1593907200","666797863"
"7/6/2020","1593993600","766461437"
"7/7/2020","1594080000","550790122"
"7/8/2020","1594166400","824005106"
"7/9/2020","1594252800","729817178"
"7/10/2020","1594339200","1313990071"
"7/11/2020","1594425600","2800168759"
"7/12/2020","1594512000","1930727737"
"7/13/2020","1594598400","1942122407"
"7/14/2020","1594684800","532902804"
"7/15/2020","1594771200","2969636419"
"7/16/2020","1594857600","2250886232"
"7/17/2020","1594944000","1509038208"
"7/18/2020","1595030400","520015229"
"7/19/2020","1595116800","730758778"
"7/20/2020","1595203200","866544771"
"7/21/2020","1595289600","644847465"
"7/22/2020","1595376000","643390223"
"7/23/2020","1595462400","698039842"
"7/24/2020","1595548800","785367301"
"7/25/2020","1595635200","551678129"
"7/26/2020","1595721600","612950436"
"7/27/2020","1595808000","716332841"
"7/28/2020","1595894400","592397621"
"7/29/2020","1595980800","660251668"
"7/30/2020","1596067200","694951495"
"7/31/2020","1596153600","818314254"
"8/1/2020","1596240000","543414037"
"8/2/2020","1596326400","520213993"
"8/3/2020","1596412800","698428970"
"8/4/2020","1596499200","653826388"
"8/5/2020","1596585600","661625983"
"8/6/2020","1596672000","1092860391"
"8/7/2020","1596758400","759867009"
"8/8/2020","1596844800","1041098405"
"8/9/2020","1596931200","744021496"
"8/10/2020","1597017600","1255731147"
"8/11/2020","1597104000","853266532"
"8/12/2020","1597190400","852707784"
"8/13/2020","1597276800","709134469"
"8/14/2020","1597363200","1199398597"
"8/15/2020","1597449600","630381679"
"8/16/2020","1597536000","599832082"
"8/17/2020","1597622400","2025347315"
"8/18/2020","1597708800","1639205035"
"8/19/2020","1597795200","1555088017"
"8/20/2020","1597881600","1597648323"
"8/21/2020","1597968000","1694054689"
"8/22/2020","1598054400","2146638426"
"8/23/2020","1598140800","2728840570"
"8/24/2020","1598227200","2310827792"
"8/25/2020","1598313600","2505676863"
"8/26/2020","1598400000","3513449753"
"8/27/2020","1598486400","1542153022"
"8/28/2020","1598572800","2141470079"
"8/29/2020","1598659200","1432118566"
"8/30/2020","1598745600","1876042130"
"8/31/2020","1598832000","3207729749"
"9/1/2020","1598918400","3958330549"
"9/2/2020","1599004800","2521604672"
"9/3/2020","1599091200","2617541914"
"9/4/2020","1599177600","2787599682"
"9/5/2020","1599264000","2361696086"
"9/6/2020","1599350400","1955852131"
"9/7/2020","1599436800","1739220852"
"9/8/2020","1599523200","1481362511"
"9/9/2020","1599609600","2050365441"
"9/10/2020","1599696000","1382697993"
"9/11/2020","1599782400","1475566637"
"9/12/2020","1599868800","1264131856"
"9/13/2020","1599955200","801505908"
"9/14/2020","1600041600","918387945"
"9/15/2020","1600128000","1029729842"
"9/16/2020","1600214400","1613746090"
"9/17/2020","1600300800","1017476193"
"9/18/2020","1600387200","1098403106"
"9/19/2020","1600473600","1688021493"
"9/20/2020","1600560000","3604359665"
"9/21/2020","1600646400","2478069385"
"9/22/2020","1600732800","4776356362"
"9/23/2020","1600819200","2689839671"
"9/24/2020","1600905600","2178347219"
"9/25/2020","1600992000","1147744093"
"9/26/2020","1601078400","882188361"
"9/27/2020","1601164800","665311316"
"9/28/2020","1601251200","1301306020"
"9/29/2020","1601337600","1350598834"
"9/30/2020","1601424000","1582462381"
"10/1/2020","1601510400","1307961607"
"10/2/2020","1601596800","1307127790"
"10/3/2020","1601683200","970982410"
"10/4/2020","1601769600","1052776408"
"10/5/2020","1601856000","956222545"
"10/6/2020","1601942400","1235181776"
"10/7/2020","1602028800","1345547336"
"10/8/2020","1602115200","1254584939"
"10/9/2020","1602201600","1520247955"
"10/10/2020","1602288000","883775192"
"10/11/2020","1602374400","1034541003"
"10/12/2020","1602460800","893752087"
"10/13/2020","1602547200","679577382"
"10/14/2020","1602633600","732076513"
"10/15/2020","1602720000","912037803"
"10/16/2020","1602806400","559810681"
"10/17/2020","1602892800","653904651"
"10/18/2020","1602979200","593272778"
"10/19/2020","1603065600","694402556"
"10/20/2020","1603152000","729788463"
"10/21/2020","1603238400","609569825"
"10/22/2020","1603324800","615123205"
"10/23/2020","1603411200","771297207"
"10/24/2020","1603497600","537189135"
"10/25/2020","1603584000","554929715"
"10/26/2020","1603670400","855392543"
"10/27/2020","1603756800","899665987"
"10/28/2020","1603843200","935259941"
"10/29/2020","1603929600","1075812785"
"10/30/2020","1604016000","1401904036"
"10/31/2020","1604102400","1270419229"
"11/1/2020","1604188800","888123911"
"11/2/2020","1604275200","950713427"
"11/3/2020","1604361600","959943186"
"11/4/2020","1604448000","1191392130"
"11/5/2020","1604534400","820428260"
"11/6/2020","1604620800","1733658089"
"11/7/2020","1604707200","1325278681"
"11/8/2020","1604793600","927051443"
"11/9/2020","1604880000","1124590737"
"11/10/2020","1604966400","780097623"
"11/11/2020","1605052800","1708389847"
"11/12/2020","1605139200","1478000929"
"11/13/2020","1605225600","1371251541"
"11/14/2020","1605312000","771034525"
"11/15/2020","1605398400","616387218"
"11/16/2020","1605484800","1129990930"
"11/17/2020","1605571200","693877020"
"11/18/2020","1605657600","839700559"
"11/19/2020","1605744000","722672375"
"11/20/2020","1605830400","854253056"
"11/21/2020","1605916800","1209262788"
"11/22/2020","1606003200","1014787651"
"11/23/2020","1606089600","1448114432"
"11/24/2020","1606176000","922534655"
"11/25/2020","1606262400","777009986"
"11/26/2020","1606348800","2599779661"
"11/27/2020","1606435200","1451460780"
"11/28/2020","1606521600","1155889807"
"11/29/2020","1606608000","1156619325"
"11/30/2020","1606694400","993717377"
"12/1/2020","1606780800","800144789"
"12/2/2020","1606867200","1893045670"
"12/3/2020","1606953600","1211573527"
"12/4/2020","1607040000","1144998683"
"12/5/2020","1607126400","792429539"
"12/6/2020","1607212800","699868459"
"12/7/2020","1607299200","943344998"
"12/8/2020","1607385600","824588962"
"12/9/2020","1607472000","835754425"
"12/10/2020","1607558400","783351116"
"12/11/2020","1607644800","1937429931"
"12/12/2020","1607731200","971227964"
"12/13/2020","1607817600","862562327"
"12/14/2020","1607904000","1070833669"
"12/15/2020","1607990400","810095813"
"12/16/2020","1608076800","981744079"
"12/17/2020","1608163200","706140891"
"12/18/2020","1608249600","707935386"
"12/19/2020","1608336000","1013359357"
"12/20/2020","1608422400","867006089"
"12/21/2020","1608508800","1056548248"
"12/22/2020","1608595200","1721837095"
"12/23/2020","1608681600","1115925276"
"12/24/2020","1608768000","685345185"
"12/25/2020","1608854400","946866151"
"12/26/2020","1608940800","1038515328"
"12/27/2020","1609027200","1242656087"
"12/28/2020","1609113600","1060476059"
"12/29/2020","1609200000","1665379538"
"12/30/2020","1609286400","1126920374"
"12/31/2020","1609372800","622805550"
"1/1/2021","1609459200","842117499"
"1/2/2021","1609545600","822149193"
"1/3/2021","1609632000","760174972"
"1/4/2021","1609718400","1475869292"
"1/5/2021","1609804800","7299202260"
"1/6/2021","1609891200","1077684874"
"1/7/2021","1609977600","1069050013"
"1/8/2021","1610064000","1409346828"
"1/9/2021","1610150400","892506598"
"1/10/2021","1610236800","880261211"
"1/11/2021","1610323200","1019603288"
"1/12/2021","1610409600","853724044"
"1/13/2021","1610496000","1060010590"
"1/14/2021","1610582400","755546791"
"1/15/2021","1610668800","735742201"
"1/16/2021","1610755200","878029330"
"1/17/2021","1610841600","903097277"
"1/18/2021","1610928000","1145575785"
"1/19/2021","1611014400","752527747"
"1/20/2021","1611100800","1196453284"
"1/21/2021","1611187200","1728705340"
"1/22/2021","1611273600","1907964193"
"1/23/2021","1611360000","1638273022"
"1/24/2021","1611446400","1117573313"
"1/25/2021","1611532800","1538801097"
"1/26/2021","1611619200","1230789772"
"1/27/2021","1611705600","1181908066"
"1/28/2021","1611792000","1036155525"
"1/29/2021","1611878400","1209203076"
"1/30/2021","1611964800","996516108"
"1/31/2021","1612051200","1112019744"
"2/1/2021","1612137600","1076590155"
"2/2/2021","1612224000","990277966"
"2/3/2021","1612310400","1332837290"
"2/4/2021","1612396800","1204159079"
"2/5/2021","1612483200","1624744705"
"2/6/2021","1612569600","959005887"
"2/7/2021","1612656000","1589513390"
"2/8/2021","1612742400","1291969880"
"2/9/2021","1612828800","1299271980"
"2/10/2021","1612915200","1657327421"
"2/11/2021","1613001600","1808456436"
"2/12/2021","1613088000","1575983497"
"2/13/2021","1613174400","1552526842"
"2/14/2021","1613260800","1683094303"
"2/15/2021","1613347200","1380898604"
"2/16/2021","1613433600","1668198733"
"2/17/2021","1613520000","1485140405"
"2/18/2021","1613606400","2488157096"
"2/19/2021","1613692800","2219695500"
"2/20/2021","1613779200","1839090613"
