"Date(UTC)","UnixTimeStamp","Value"
"8/29/2020","1598659200","119289150000000000"
"8/30/2020","1598745600","180821360000000000"
"8/31/2020","1598832000","654710832000000000"
"9/1/2020","1598918400","1197506346000000000"
"9/2/2020","1599004800","861189546568790000"
"9/3/2020","1599091200","18473202019262465840"
"9/4/2020","1599177600","18594658560080000000"
"9/5/2020","1599264000","11077580834169000000"
"9/6/2020","1599350400","8199546803999982000"
"9/7/2020","1599436800","10491472592000000000"
"9/8/2020","1599523200","33037353808110085000"
"9/9/2020","1599609600","30959150155000000000"
"9/10/2020","1599696000","23548796975000000000"
"9/11/2020","1599782400","78058172345529414000"
"9/12/2020","1599868800","307639848208874247296"
"9/13/2020","1599955200","444468313980906113148"
"9/14/2020","1600041600","1772713781376544736488"
"9/15/2020","1600128000","542842166851878422263"
"9/16/2020","1600214400","229705789932988271382"
"9/17/2020","1600300800","241452980400395724522"
"9/18/2020","1600387200","262859944565680592408"
"9/19/2020","1600473600","165814309699897929665"
"9/20/2020","1600560000","122466306321710160901"
"9/21/2020","1600646400","191201344620474682428"
"9/22/2020","1600732800","373326656142890500507"
"9/23/2020","1600819200","211041919811247628031"
"9/24/2020","1600905600","398359755975459790203"
"9/25/2020","1600992000","248714070971607080339"
"9/26/2020","1601078400","208782072872312962802"
"9/27/2020","1601164800","224479520048824270929"
"9/28/2020","1601251200","376386652584179768479"
"9/29/2020","1601337600","458129097219282430457"
"9/30/2020","1601424000","401065956067567754902"
"10/1/2020","1601510400","356764105308852361000"
"10/2/2020","1601596800","270806833010901929108"
"10/3/2020","1601683200","348330378771744770143"
"10/4/2020","1601769600","280077893241222813972"
"10/5/2020","1601856000","310600890909601908528"
"10/6/2020","1601942400","375624340546178696947"
"10/7/2020","1602028800","422825966303810659017"
"10/8/2020","1602115200","498298286014875487363"
"10/9/2020","1602201600","490946797279158210239"
"10/10/2020","1602288000","427121573558568440020"
"10/11/2020","1602374400","370495831159656603592"
"10/12/2020","1602460800","438820572474946795977"
"10/13/2020","1602547200","405573851014835643673"
"10/14/2020","1602633600","360609384238637513808"
"10/15/2020","1602720000","568017389801795437167"
"10/16/2020","1602806400","488566281843249786711"
"10/17/2020","1602892800","664341929620856334263"
"10/18/2020","1602979200","513773573759050586781"
