"Date(UTC)","UnixTimeStamp","Value"
"4/24/2020","1587686400","830639031500000000"
"4/25/2020","1587772800","6975393500000000"
"4/26/2020","1587859200","11592930000000000"
"4/27/2020","1587945600","12199294500000000"
"4/28/2020","1588032000","10558658500000000"
"4/29/2020","1588118400","5888671000000000"
"4/30/2020","1588204800","14248519500000000"
"5/1/2020","1588291200","9456089169674297305"
"5/2/2020","1588377600","15939568000000000"
"5/3/2020","1588464000","3575348500000000"
"5/4/2020","1588550400","2407557500000000"
"5/5/2020","1588636800","7225015000000000"
"5/6/2020","1588723200","10932397000000000"
"5/7/2020","1588809600","2021936000000000"
"5/8/2020","1588896000","2328539000000000"
"5/9/2020","1588982400","6787814000000000"
"5/10/2020","1589068800","123832500000000"
"5/11/2020","1589155200","437470500000000"
"5/12/2020","1589241600","5963315500000000"
"5/13/2020","1589328000","3522416500000000"
"5/14/2020","1589414400","5149246000000000"
"5/15/2020","1589500800","10858010500000000"
"5/16/2020","1589587200","5014273264500000000"
"5/17/2020","1589673600","19680764000000000"
"5/18/2020","1589760000","25734693500000000"
"5/19/2020","1589846400","22989344000000000"
"5/20/2020","1589932800","16717088000000000"
"5/21/2020","1590019200","3398592530000000000"
"5/22/2020","1590105600","17614310000000000"
"5/23/2020","1590192000","8524001500000000"
"5/24/2020","1590278400","11138322500000000"
"5/25/2020","1590364800","10496227500000000"
"5/26/2020","1590451200","16735223000000000"
"5/27/2020","1590537600","4796741000000000"
"5/28/2020","1590624000","2926399285900000000"
"5/29/2020","1590710400","6610478000000000"
"5/30/2020","1590796800","4917128500000000"
"5/31/2020","1590883200","4224626500000000"
"6/1/2020","1590969600","4772972500000000"
"6/2/2020","1591056000","3001651000000000"
"6/3/2020","1591142400","5360322500000000"
"6/4/2020","1591228800","4554082000000000"
"6/5/2020","1591315200","6610301000000000"
"6/6/2020","1591401600","5039927500000000"
"6/7/2020","1591488000","33553136000000000"
"6/8/2020","1591574400","8217765500000000"
"6/9/2020","1591660800","13375076000000000"
"6/10/2020","1591747200","3941807500000000"
"6/11/2020","1591833600","2987206500000000"
"6/12/2020","1591920000","6482958500000000"
"6/13/2020","1592006400","5363367582500000000"
"6/14/2020","1592092800","411909553000000000"
"6/15/2020","1592179200","427579412000000000"
"6/16/2020","1592265600","429652771500000000"
